identifier1	identifier2	annotator	judgment	comment	lemma
блочный-0	блочный-1	annotator1	1		блочный
блочный-0	блочный-1	annotator2	1		блочный
блочный-0	блочный-1	annotator3	2		блочный
блочный-0	блочный-1	annotator4	3		блочный
блочный-0	блочный-1	annotator5	1		блочный
блочный-2	блочный-3	annotator1	2		блочный
блочный-2	блочный-3	annotator2	1		блочный
блочный-2	блочный-3	annotator3	4		блочный
блочный-2	блочный-3	annotator4	1		блочный
блочный-2	блочный-3	annotator5	3		блочный
блочный-4	блочный-5	annotator1	3		блочный
блочный-4	блочный-5	annotator2	3		блочный
блочный-4	блочный-5	annotator3	1		блочный
блочный-4	блочный-5	annotator4	3		блочный
блочный-4	блочный-5	annotator5	1		блочный
блочный-6	блочный-7	annotator1	1		блочный
блочный-6	блочный-7	annotator2	1		блочный
блочный-6	блочный-7	annotator3	1		блочный
блочный-6	блочный-7	annotator4	1		блочный
блочный-6	блочный-7	annotator5	1		блочный
блочный-8	блочный-9	annotator1	4		блочный
блочный-8	блочный-9	annotator2	4		блочный
блочный-8	блочный-9	annotator3	4		блочный
блочный-8	блочный-9	annotator4	4		блочный
блочный-8	блочный-9	annotator5	4		блочный
блочный-10	блочный-11	annotator1	2		блочный
блочный-10	блочный-11	annotator2	3		блочный
блочный-10	блочный-11	annotator3	2		блочный
блочный-10	блочный-11	annotator4	3		блочный
блочный-10	блочный-11	annotator5	2		блочный
блочный-12	блочный-13	annotator1	1		блочный
блочный-12	блочный-13	annotator2	1		блочный
блочный-12	блочный-13	annotator3	1		блочный
блочный-12	блочный-13	annotator4	1		блочный
блочный-12	блочный-13	annotator5	3		блочный
блочный-14	блочный-15	annotator1	1		блочный
блочный-14	блочный-15	annotator2	2		блочный
блочный-14	блочный-15	annotator3	1		блочный
блочный-14	блочный-15	annotator4	4		блочный
блочный-14	блочный-15	annotator5	2		блочный
блочный-16	блочный-17	annotator1	1		блочный
блочный-16	блочный-17	annotator2	2		блочный
блочный-16	блочный-17	annotator3	1		блочный
блочный-16	блочный-17	annotator4	1		блочный
блочный-16	блочный-17	annotator5	3		блочный
блочный-18	блочный-19	annotator1	1		блочный
блочный-18	блочный-19	annotator2	1		блочный
блочный-18	блочный-19	annotator3	1		блочный
блочный-18	блочный-19	annotator4	1		блочный
блочный-18	блочный-19	annotator5	2		блочный
блочный-20	блочный-21	annotator1	1		блочный
блочный-20	блочный-21	annotator2	1		блочный
блочный-20	блочный-21	annotator3	1		блочный
блочный-20	блочный-21	annotator4	4		блочный
блочный-20	блочный-21	annotator5	1		блочный
блочный-22	блочный-23	annotator1	4		блочный
блочный-22	блочный-23	annotator2	1		блочный
блочный-22	блочный-23	annotator3	2		блочный
блочный-22	блочный-23	annotator4	4		блочный
блочный-22	блочный-23	annotator5	1		блочный
блочный-24	блочный-25	annotator1	4		блочный
блочный-24	блочный-25	annotator2	4		блочный
блочный-24	блочный-25	annotator3	4		блочный
блочный-24	блочный-25	annotator4	2		блочный
блочный-24	блочный-25	annotator5	3		блочный
блочный-26	блочный-27	annotator1	1		блочный
блочный-26	блочный-27	annotator2	1		блочный
блочный-26	блочный-27	annotator3	1		блочный
блочный-26	блочный-27	annotator4	1		блочный
блочный-26	блочный-27	annotator5	2		блочный
блочный-28	блочный-29	annotator1	4		блочный
блочный-28	блочный-29	annotator2	4		блочный
блочный-28	блочный-29	annotator3	4		блочный
блочный-28	блочный-29	annotator4	4		блочный
блочный-28	блочный-29	annotator5	4		блочный
блочный-30	блочный-31	annotator1	2		блочный
блочный-30	блочный-31	annotator2	1		блочный
блочный-30	блочный-31	annotator3	1		блочный
блочный-30	блочный-31	annotator4	4		блочный
блочный-30	блочный-31	annotator5	1		блочный
блочный-32	блочный-33	annotator1	2		блочный
блочный-32	блочный-33	annotator2	2		блочный
блочный-32	блочный-33	annotator3	4		блочный
блочный-32	блочный-33	annotator4	1		блочный
блочный-32	блочный-33	annotator5	4		блочный
блочный-34	блочный-35	annotator1	4		блочный
блочный-34	блочный-35	annotator2	4		блочный
блочный-34	блочный-35	annotator3	4		блочный
блочный-34	блочный-35	annotator4	4		блочный
блочный-34	блочный-35	annotator5	4		блочный
блочный-36	блочный-37	annotator1	1		блочный
блочный-36	блочный-37	annotator2	3		блочный
блочный-36	блочный-37	annotator3	1		блочный
блочный-36	блочный-37	annotator4	1		блочный
блочный-36	блочный-37	annotator5	4		блочный
блочный-38	блочный-39	annotator1	1		блочный
блочный-38	блочный-39	annotator2	1		блочный
блочный-38	блочный-39	annotator3	1		блочный
блочный-38	блочный-39	annotator4	3		блочный
блочный-38	блочный-39	annotator5	2		блочный
блочный-40	блочный-41	annotator1	3		блочный
блочный-40	блочный-41	annotator2	2		блочный
блочный-40	блочный-41	annotator3	1		блочный
блочный-40	блочный-41	annotator4	1		блочный
блочный-40	блочный-41	annotator5	2		блочный
блочный-42	блочный-43	annotator1	4		блочный
блочный-42	блочный-43	annotator2	4		блочный
блочный-42	блочный-43	annotator3	4		блочный
блочный-42	блочный-43	annotator4	4		блочный
блочный-42	блочный-43	annotator5	4		блочный
блочный-44	блочный-45	annotator1	4		блочный
блочный-44	блочный-45	annotator2	4		блочный
блочный-44	блочный-45	annotator3	2		блочный
блочный-44	блочный-45	annotator4	4		блочный
блочный-44	блочный-45	annotator5	4		блочный
блочный-46	блочный-47	annotator1	4		блочный
блочный-46	блочный-47	annotator2	4		блочный
блочный-46	блочный-47	annotator3	3		блочный
блочный-46	блочный-47	annotator4	4		блочный
блочный-46	блочный-47	annotator5	4		блочный
блочный-48	блочный-49	annotator1	4		блочный
блочный-48	блочный-49	annotator2	1		блочный
блочный-48	блочный-49	annotator3	4		блочный
блочный-48	блочный-49	annotator4	1		блочный
блочный-48	блочный-49	annotator5	1		блочный
блочный-50	блочный-51	annotator1	4		блочный
блочный-50	блочный-51	annotator2	2		блочный
блочный-50	блочный-51	annotator3	4		блочный
блочный-50	блочный-51	annotator4	3		блочный
блочный-50	блочный-51	annotator5	3		блочный
блочный-52	блочный-53	annotator1	1		блочный
блочный-52	блочный-53	annotator2	1		блочный
блочный-52	блочный-53	annotator3	1		блочный
блочный-52	блочный-53	annotator4	4		блочный
блочный-52	блочный-53	annotator5	1		блочный
блочный-54	блочный-55	annotator1	1		блочный
блочный-54	блочный-55	annotator2	1		блочный
блочный-54	блочный-55	annotator3	1		блочный
блочный-54	блочный-55	annotator4	1		блочный
блочный-54	блочный-55	annotator5	1		блочный
блочный-56	блочный-57	annotator1	4		блочный
блочный-56	блочный-57	annotator2	2		блочный
блочный-56	блочный-57	annotator3	2		блочный
блочный-56	блочный-57	annotator4	2		блочный
блочный-56	блочный-57	annotator5	4		блочный
блочный-58	блочный-59	annotator1	1		блочный
блочный-58	блочный-59	annotator2	1		блочный
