identifier1	identifier2	annotator	judgment	comment	lemma
боевик-42-13	боевик-43-13	annotator1	1		боевик
боевик-108-13	боевик-109-13	annotator1	4		боевик
боевик-22-13	боевик-23-13	annotator1	4		боевик
боевик-56-13	боевик-57-13	annotator1	1		боевик
боевик-106-13	боевик-107-13	annotator1	4		боевик
боевик-58-13	боевик-59-13	annotator1	4		боевик
боевик-60-13	боевик-61-13	annotator1	4		боевик
боевик-6-13	боевик-7-13	annotator1	4		боевик
боевик-4-13	боевик-5-13	annotator1	1		боевик
боевик-2-13	боевик-3-13	annotator1	1		боевик
боевик-116-13	боевик-117-13	annotator1	4		боевик
боевик-8-13	боевик-9-13	annotator1	1		боевик
боевик-14-13	боевик-15-13	annotator1	4		боевик
боевик-114-13	боевик-115-13	annotator1	4		боевик
боевик-12-13	боевик-13-13	annotator1	4		боевик
боевик-10-13	боевик-11-13	annotator1	4		боевик
боевик-16-13	боевик-17-13	annotator1	4		боевик
боевик-112-13	боевик-113-13	annotator1	4		боевик
боевик-18-13	боевик-19-13	annotator1	1		боевик
боевик-110-13	боевик-111-13	annotator1	1		боевик
боевик-64-13	боевик-65-13	annotator1	1		боевик
боевик-66-13	боевик-67-13	annotator1	1		боевик
боевик-74-13	боевик-75-13	annotator1	4		боевик
боевик-82-13	боевик-83-13	annotator1	3		боевик
боевик-84-13	боевик-85-13	annotator1	1		боевик
боевик-72-13	боевик-73-13	annotator1	4		боевик
боевик-86-13	боевик-87-13	annotator1	1		боевик
боевик-70-13	боевик-71-13	annotator1	4		боевик
боевик-118-13	боевик-119-13	annotator1	1		боевик
боевик-76-13	боевик-77-13	annotator1	4		боевик
боевик-78-13	боевик-79-13	annotator1	4		боевик
боевик-68-13	боевик-69-13	annotator1	4		боевик
боевик-88-13	боевик-89-13	annotator1	3		боевик
боевик-80-13	боевик-81-13	annotator1	4		боевик
боевик-0-13	боевик-1-13	annotator1	4		боевик
боевик-20-13	боевик-21-13	annotator1	1		боевик
боевик-104-13	боевик-105-13	annotator1	4		боевик
боевик-62-13	боевик-63-13	annotator1	3		боевик
боевик-54-13	боевик-55-13	annotator1	2		боевик
боевик-100-13	боевик-101-13	annotator1	3		боевик
боевик-48-13	боевик-49-13	annotator1	1		боевик
боевик-96-13	боевик-97-13	annotator1	4		боевик
боевик-38-13	боевик-39-13	annotator1	1		боевик
боевик-52-13	боевик-53-13	annotator1	4		боевик
боевик-90-13	боевик-91-13	annotator1	4		боевик
