lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
боевик	NOUN	1918-1990	1	боевик-25-13		Ряд заграничных боевиков демонстрировался перед петроградской публикой.	16:24	0:71
боевик	NOUN	1918-1990	1	боевик-16-13		Боевики колебались.	0:7	0:19
боевик	NOUN	1918-1990	1	боевик-17-13		Хотя в советских средствах массовой информации никакого сообщения о визите боевиков-палестинцев к Сахаровым не появлялось, мы узнали о нем в тот же день -- любопытно, что диссидентские каналы связи действовали тогда безотказно.	75:83	0:227
боевик	NOUN	1918-1990	1	боевик-18-13		Боевики предпринимают попытки прорывов на территорию крупных населенных пунктов.	0:7	0:80
боевик	NOUN	1918-1990	1	боевик-20-13		А все эти боевики с несуществующими в реальной жизни вымученными типажами -- куда им до ухоженного, мощного и реального Брюса Уиллиса Дома музыку слушаю не часто.	10:17	0:162
боевик	NOUN	1918-1990	1	боевик-21-13		И, может быть, именно потому, что этот скромный советский человек ни слова не проронил при допросах, может быть, именно потому, что гестапо столкнулось в его лице с сильным, непобедимым противником, гитлеровцы утроили силы в поисках ровенского подполья, разведчиков и боевиков партизанского отряда.	268:276	0:298
боевик	NOUN	1918-1990	1	боевик-58-13		За этим поединком внимательно следили не только боевики, но и Четвертый с каким-то мужчиной в штатском.	48:55	0:103
боевик	NOUN	1918-1990	1	боевик-56-13		Если бы тогда, на улице Коперника, солдаты и офицеры штурмовых отрядов сумели перебороть в себе страх перед озверевшими боевиками, не было бы этой трагедии.	120:129	0:156
боевик	NOUN	1918-1990	1	боевик-8-13		Боевик был убит в тот момент, когда пытался установить управляемый фугас.	0:6	0:73
боевик	NOUN	1918-1990	1	боевик-53-13		Съемку производит кино-оператор И.С. Фролов, недавно вернувшийся из Италии, снявший за границей ряд выдающихся боевиков.	111:119	0:120
боевик	NOUN	1918-1990	1	боевик-88-13		По сообщению управления ФСБ на Кавказских Минеральных Водах, 6 февраля в Шелковском районе Чечни сотрудниками УФСБ по Ставропольскому краю был задержан 28-летний боевик Аслан Едилсултанов из банды Шамиля Басаева, принимавший участие в налете на Буденновск летом 1995 года.	162:168	0:272
боевик	NOUN	1918-1990	1	боевик-84-13		Они лежали в 15-20 метрах от того злополучного здания, в нескольких шагах друг от друга с перевязанными запястьями рук (так легче было тащить их волоком), а рядом убитый боевик (видимо, попал под артобстрел, когда волок мертвых).	170:176	0:229
боевик	NOUN	1918-1990	1	боевик-83-13		В Выборге собрались немногие уцелевшие из разгромленной красинской гвардии: боевики Семен, Вано Болквадзе, Саша Охтенский, Кириллов -- Кандид, Англичанин, Лихарев -- Канонир.	76:83	0:174
боевик	NOUN	1918-1990	1	боевик-82-13		Она любезно пригласила нас приехать к ней в тот же день, что мы ей позвонили, то есть назавтра после покушения на А. Д. Мы явились в точно назначенный час, рассказали ей об угрозах палестинских боевиков и, не моргнув глазом, изложили слезную просьбу нашего общего друга к Александру Исаевичу вступиться за академика Сахарова.	194:202	0:325
