identifier1	identifier2	annotator	judgment	comment	lemma
ботаник-68-13	ботаник-69-13	annotator1	1		ботаник
ботаник-98-13	ботаник-99-13	annotator1	4		ботаник
ботаник-66-13	ботаник-67-13	annotator1	4		ботаник
ботаник-44-13	ботаник-45-13	annotator1	1		ботаник
ботаник-100-13	ботаник-101-13	annotator1	1		ботаник
ботаник-112-13	ботаник-113-13	annotator1	4		ботаник
ботаник-60-13	ботаник-61-13	annotator1	2		ботаник
ботаник-90-13	ботаник-91-13	annotator1	1		ботаник
ботаник-82-13	ботаник-83-13	annotator1	4		ботаник
ботаник-54-13	ботаник-55-13	annotator1	4		ботаник
ботаник-20-13	ботаник-21-13	annotator1	1		ботаник
ботаник-6-13	ботаник-7-13	annotator1	1		ботаник
ботаник-88-13	ботаник-89-13	annotator1	4		ботаник
ботаник-56-13	ботаник-57-13	annotator1	2		ботаник
ботаник-48-13	ботаник-49-13	annotator1	4		ботаник
ботаник-14-13	ботаник-15-13	annotator1	3		ботаник
ботаник-58-13	ботаник-59-13	annotator1	2		ботаник
ботаник-52-13	ботаник-53-13	annotator1	4		ботаник
ботаник-16-13	ботаник-17-13	annotator1	4		ботаник
ботаник-86-13	ботаник-87-13	annotator1	1		ботаник
ботаник-70-13	ботаник-71-13	annotator1	3		ботаник
ботаник-50-13	ботаник-51-13	annotator1	1		ботаник
ботаник-22-13	ботаник-23-13	annotator1	2		ботаник
ботаник-28-13	ботаник-29-13	annotator1	4		ботаник
ботаник-46-13	ботаник-47-13	annotator1	4		ботаник
ботаник-72-13	ботаник-73-13	annotator1	1		ботаник
ботаник-74-13	ботаник-75-13	annotator1	4		ботаник
ботаник-26-13	ботаник-27-13	annotator1	1		ботаник
ботаник-84-13	ботаник-85-13	annotator1	4		ботаник
ботаник-18-13	ботаник-19-13	annotator1	1		ботаник
ботаник-102-13	ботаник-103-13	annotator1	4		ботаник
ботаник-76-13	ботаник-77-13	annotator1	4		ботаник
ботаник-24-13	ботаник-25-13	annotator1	1		ботаник
ботаник-40-13	ботаник-41-13	annotator1	1		ботаник
ботаник-12-13	ботаник-13-13	annotator1	1		ботаник
ботаник-64-13	ботаник-65-13	annotator1	4		ботаник
ботаник-104-13	ботаник-105-13	annotator1	2		ботаник
ботаник-42-13	ботаник-43-13	annotator1	3		ботаник
ботаник-0-13	ботаник-1-13	annotator1	4		ботаник
ботаник-118-13	ботаник-119-13	annotator1	3		ботаник
ботаник-96-13	ботаник-97-13	annotator1	4		ботаник
ботаник-8-13	ботаник-9-13	annotator1	1		ботаник
ботаник-10-13	ботаник-11-13	annotator1	1		ботаник
ботаник-106-13	ботаник-107-13	annotator1	1		ботаник
ботаник-2-13	ботаник-3-13	annotator1	1		ботаник
ботаник-36-13	ботаник-37-13	annotator1	4		ботаник
ботаник-30-13	ботаник-31-13	annotator1	4		ботаник
ботаник-38-13	ботаник-39-13	annotator1	2		ботаник
ботаник-94-13	ботаник-95-13	annotator1	4		ботаник
ботаник-116-13	ботаник-117-13	annotator1	4		ботаник
ботаник-62-13	ботаник-63-13	annotator1	4		ботаник
ботаник-78-13	ботаник-79-13	annotator1	4		ботаник
ботаник-32-13	ботаник-33-13	annotator1	3		ботаник
ботаник-92-13	ботаник-93-13	annotator1	4		ботаник
ботаник-108-13	ботаник-109-13	annotator1	4		ботаник
ботаник-4-13	ботаник-5-13	annotator1	1		ботаник
ботаник-110-13	ботаник-111-13	annotator1	4		ботаник
ботаник-34-13	ботаник-35-13	annotator1	1		ботаник
ботаник-80-13	ботаник-81-13	annotator1	4		ботаник
ботаник-114-13	ботаник-115-13	annotator1	3		ботаник
ботаник-4-13	ботаник-5-13	annotator2	4		ботаник
ботаник-116-13	ботаник-117-13	annotator2	4		ботаник
ботаник-22-13	ботаник-23-13	annotator2	4		ботаник
ботаник-66-13	ботаник-67-13	annotator2	4		ботаник
ботаник-2-13	ботаник-3-13	annotator2	1		ботаник
ботаник-0-13	ботаник-1-13	annotator2	4		ботаник
ботаник-14-13	ботаник-15-13	annotator2	1		ботаник
ботаник-60-13	ботаник-61-13	annotator2	1		ботаник
ботаник-72-13	ботаник-73-13	annotator2	1		ботаник
ботаник-118-13	ботаник-119-13	annotator2	1		ботаник
ботаник-114-13	ботаник-115-13	annotator2	2		ботаник
ботаник-90-13	ботаник-91-13	annotator2	4		ботаник
ботаник-104-13	ботаник-105-13	annotator2	1		ботаник
ботаник-96-13	ботаник-97-13	annotator2	2		ботаник
ботаник-112-13	ботаник-113-13	annotator2	4		ботаник
ботаник-94-13	ботаник-95-13	annotator2	3		ботаник
ботаник-106-13	ботаник-107-13	annotator2	1		ботаник
ботаник-92-13	ботаник-93-13	annotator2	4		ботаник
ботаник-24-13	ботаник-25-13	annotator2	4		ботаник
ботаник-108-13	ботаник-109-13	annotator2	4		ботаник
ботаник-102-13	ботаник-103-13	annotator2	4		ботаник
ботаник-100-13	ботаник-101-13	annotator2	2		ботаник
ботаник-98-13	ботаник-99-13	annotator2	3		ботаник
ботаник-20-13	ботаник-21-13	annotator2	1		ботаник
ботаник-68-13	ботаник-69-13	annotator2	1		ботаник
ботаник-18-13	ботаник-19-13	annotator2	1		ботаник
ботаник-16-13	ботаник-17-13	annotator2	4		ботаник
ботаник-70-13	ботаник-71-13	annotator2	1		ботаник
ботаник-26-13	ботаник-27-13	annotator2	1		ботаник
ботаник-110-13	ботаник-111-13	annotator2	3		ботаник
ботаник-6-13	ботаник-7-13	annotator2	1		ботаник
ботаник-62-13	ботаник-63-13	annotator2	4		ботаник
ботаник-10-13	ботаник-11-13	annotator2	1		ботаник
ботаник-84-13	ботаник-85-13	annotator2	4		ботаник
ботаник-46-13	ботаник-47-13	annotator2	4		ботаник
ботаник-86-13	ботаник-87-13	annotator2	1		ботаник
ботаник-56-13	ботаник-57-13	annotator2	1		ботаник
ботаник-54-13	ботаник-55-13	annotator2	4		ботаник
ботаник-52-13	ботаник-53-13	annotator2	2		ботаник
ботаник-44-13	ботаник-45-13	annotator2	1		ботаник
ботаник-82-13	ботаник-83-13	annotator2	4		ботаник
ботаник-48-13	ботаник-49-13	annotator2	4		ботаник
ботаник-76-13	ботаник-77-13	annotator2	1		ботаник
ботаник-32-13	ботаник-33-13	annotator2	4		ботаник
ботаник-78-13	ботаник-79-13	annotator2	4		ботаник
ботаник-30-13	ботаник-31-13	annotator2	4		ботаник
ботаник-36-13	ботаник-37-13	annotator2	4		ботаник
ботаник-40-13	ботаник-41-13	annotator2	4		ботаник
ботаник-42-13	ботаник-43-13	annotator2	4		ботаник
ботаник-80-13	ботаник-81-13	annotator2	4		ботаник
ботаник-38-13	ботаник-39-13	annotator2	2		ботаник
ботаник-34-13	ботаник-35-13	annotator2	1		ботаник
ботаник-50-13	ботаник-51-13	annotator2	2		ботаник
ботаник-88-13	ботаник-89-13	annotator2	4		ботаник
ботаник-74-13	ботаник-75-13	annotator2	4		ботаник
ботаник-28-13	ботаник-29-13	annotator2	4		ботаник
ботаник-64-13	ботаник-65-13	annotator2	1		ботаник
ботаник-12-13	ботаник-13-13	annotator2	1		ботаник
ботаник-58-13	ботаник-59-13	annotator2	1		ботаник
ботаник-8-13	ботаник-9-13	annotator2	1		ботаник
ботаник-22-13	ботаник-23-13	annotator3	1		ботаник
ботаник-64-13	ботаник-65-13	annotator3	1		ботаник
ботаник-32-13	ботаник-33-13	annotator3	4		ботаник
ботаник-90-13	ботаник-91-13	annotator3	3		ботаник
ботаник-96-13	ботаник-97-13	annotator3	1		ботаник
ботаник-2-13	ботаник-3-13	annotator3	1		ботаник
ботаник-76-13	ботаник-77-13	annotator3	4		ботаник
ботаник-102-13	ботаник-103-13	annotator3	4		ботаник
ботаник-34-13	ботаник-35-13	annotator3	1		ботаник
ботаник-110-13	ботаник-111-13	annotator3	4		ботаник
ботаник-100-13	ботаник-101-13	annotator3	4		ботаник
ботаник-74-13	ботаник-75-13	annotator3	4		ботаник
ботаник-108-13	ботаник-109-13	annotator3	3		ботаник
ботаник-92-13	ботаник-93-13	annotator3	4		ботаник
ботаник-30-13	ботаник-31-13	annotator3	4		ботаник
ботаник-10-13	ботаник-11-13	annotator3	1		ботаник
ботаник-12-13	ботаник-13-13	annotator3	1		ботаник
ботаник-38-13	ботаник-39-13	annotator3	3		ботаник
ботаник-114-13	ботаник-115-13	annotator3	4		ботаник
ботаник-80-13	ботаник-81-13	annotator3	4		ботаник
ботаник-118-13	ботаник-119-13	annotator3	4		ботаник
ботаник-112-13	ботаник-113-13	annotator3	4		ботаник
ботаник-106-13	ботаник-107-13	annotator3	1		ботаник
ботаник-40-13	ботаник-41-13	annotator3	1		ботаник
ботаник-78-13	ботаник-79-13	annotator3	4		ботаник
ботаник-42-13	ботаник-43-13	annotator3	1		ботаник
ботаник-0-13	ботаник-1-13	annotator3	4		ботаник
ботаник-36-13	ботаник-37-13	annotator3	4		ботаник
ботаник-94-13	ботаник-95-13	annotator3	1		ботаник
ботаник-62-13	ботаник-63-13	annotator3	4		ботаник
ботаник-104-13	ботаник-105-13	annotator3	1		ботаник
ботаник-98-13	ботаник-99-13	annotator3	1		ботаник
ботаник-8-13	ботаник-9-13	annotator3	4		ботаник
ботаник-82-13	ботаник-83-13	annotator3	4		ботаник
ботаник-48-13	ботаник-49-13	annotator3	4		ботаник
ботаник-24-13	ботаник-25-13	annotator3	4		ботаник
ботаник-72-13	ботаник-73-13	annotator3	3		ботаник
ботаник-46-13	ботаник-47-13	annotator3	1		ботаник
ботаник-26-13	ботаник-27-13	annotator3	1		ботаник
ботаник-66-13	ботаник-67-13	annotator3	1		ботаник
ботаник-84-13	ботаник-85-13	annotator3	4		ботаник
ботаник-28-13	ботаник-29-13	annotator3	4		ботаник
ботаник-70-13	ботаник-71-13	annotator3	4		ботаник
ботаник-20-13	ботаник-21-13	annotator3	1		ботаник
ботаник-14-13	ботаник-15-13	annotator3	0		ботаник
ботаник-52-13	ботаник-53-13	annotator3	1		ботаник
ботаник-50-13	ботаник-51-13	annotator3	3		ботаник
ботаник-86-13	ботаник-87-13	annotator3	1		ботаник
ботаник-16-13	ботаник-17-13	annotator3	4		ботаник
ботаник-44-13	ботаник-45-13	annotator3	1		ботаник
ботаник-116-13	ботаник-117-13	annotator3	1		ботаник
ботаник-4-13	ботаник-5-13	annotator3	2		ботаник
ботаник-68-13	ботаник-69-13	annotator3	4		ботаник
ботаник-58-13	ботаник-59-13	annotator3	1		ботаник
ботаник-88-13	ботаник-89-13	annotator3	4		ботаник
ботаник-54-13	ботаник-55-13	annotator3	4		ботаник
ботаник-60-13	ботаник-61-13	annotator3	1		ботаник
ботаник-6-13	ботаник-7-13	annotator3	4		ботаник
ботаник-56-13	ботаник-57-13	annotator3	4		ботаник
ботаник-18-13	ботаник-19-13	annotator3	4		ботаник
ботаник-66-13	ботаник-67-13	annotator4	4		ботаник
ботаник-82-13	ботаник-83-13	annotator4	4		ботаник
ботаник-110-13	ботаник-111-13	annotator4	1		ботаник
ботаник-72-13	ботаник-73-13	annotator4	1		ботаник
ботаник-74-13	ботаник-75-13	annotator4	4		ботаник
ботаник-80-13	ботаник-81-13	annotator4	4		ботаник
ботаник-60-13	ботаник-61-13	annotator4	1		ботаник
ботаник-68-13	ботаник-69-13	annotator4	1		ботаник
ботаник-78-13	ботаник-79-13	annotator4	4		ботаник
ботаник-70-13	ботаник-71-13	annotator4	2		ботаник
ботаник-64-13	ботаник-65-13	annotator4	1		ботаник
ботаник-84-13	ботаник-85-13	annotator4	4		ботаник
ботаник-108-13	ботаник-109-13	annotator4	4		ботаник
ботаник-76-13	ботаник-77-13	annotator4	4		ботаник
ботаник-86-13	ботаник-87-13	annotator4	1		ботаник
ботаник-106-13	ботаник-107-13	annotator4	1		ботаник
ботаник-88-13	ботаник-89-13	annotator4	4		ботаник
ботаник-62-13	ботаник-63-13	annotator4	4		ботаник
ботаник-118-13	ботаник-119-13	annotator4	4		ботаник
ботаник-2-13	ботаник-3-13	annotator4	1		ботаник
ботаник-26-13	ботаник-27-13	annotator4	1		ботаник
ботаник-24-13	ботаник-25-13	annotator4	4		ботаник
ботаник-22-13	ботаник-23-13	annotator4	1		ботаник
ботаник-12-13	ботаник-13-13	annotator4	1		ботаник
ботаник-4-13	ботаник-5-13	annotator4	1		ботаник
ботаник-116-13	ботаник-117-13	annotator4	4		ботаник
ботаник-0-13	ботаник-1-13	annotator4	4		ботаник
ботаник-10-13	ботаник-11-13	annotator4	1		ботаник
ботаник-6-13	ботаник-7-13	annotator4	3		ботаник
ботаник-8-13	ботаник-9-13	annotator4	3		ботаник
ботаник-28-13	ботаник-29-13	annotator4	4		ботаник
ботаник-50-13	ботаник-51-13	annotator4	1		ботаник
ботаник-48-13	ботаник-49-13	annotator4	4		ботаник
ботаник-46-13	ботаник-47-13	annotator4	4		ботаник
ботаник-44-13	ботаник-45-13	annotator4	1		ботаник
ботаник-56-13	ботаник-57-13	annotator4	3		ботаник
ботаник-54-13	ботаник-55-13	annotator4	4		ботаник
ботаник-52-13	ботаник-53-13	annotator4	1		ботаник
ботаник-42-13	ботаник-43-13	annotator4	4		ботаник
ботаник-34-13	ботаник-35-13	annotator4	1		ботаник
ботаник-32-13	ботаник-33-13	annotator4	4		ботаник
ботаник-30-13	ботаник-31-13	annotator4	4		ботаник
ботаник-40-13	ботаник-41-13	annotator4	1		ботаник
ботаник-36-13	ботаник-37-13	annotator4	4		ботаник
ботаник-38-13	ботаник-39-13	annotator4	3		ботаник
ботаник-14-13	ботаник-15-13	annotator4	4		ботаник
ботаник-16-13	ботаник-17-13	annotator4	4		ботаник
ботаник-58-13	ботаник-59-13	annotator4	3		ботаник
ботаник-102-13	ботаник-103-13	annotator4	4		ботаник
ботаник-92-13	ботаник-93-13	annotator4	4		ботаник
ботаник-18-13	ботаник-19-13	annotator4	1		ботаник
ботаник-90-13	ботаник-91-13	annotator4	1		ботаник
ботаник-20-13	ботаник-21-13	annotator4	1		ботаник
ботаник-114-13	ботаник-115-13	annotator4	4		ботаник
ботаник-96-13	ботаник-97-13	annotator4	1		ботаник
ботаник-94-13	ботаник-95-13	annotator4	4		ботаник
ботаник-112-13	ботаник-113-13	annotator4	4		ботаник
ботаник-104-13	ботаник-105-13	annotator4	1		ботаник
ботаник-100-13	ботаник-101-13	annotator4	1		ботаник
ботаник-98-13	ботаник-99-13	annotator4	4		ботаник
ботаник-52-13	ботаник-53-13	annotator5	3		ботаник
ботаник-54-13	ботаник-55-13	annotator5	4		ботаник
ботаник-86-13	ботаник-87-13	annotator5	1		ботаник
ботаник-16-13	ботаник-17-13	annotator5	3		ботаник
ботаник-56-13	ботаник-57-13	annotator5	1		ботаник
ботаник-104-13	ботаник-105-13	annotator5	1		ботаник
ботаник-50-13	ботаник-51-13	annotator5	4		ботаник
ботаник-84-13	ботаник-85-13	annotator5	4		ботаник
ботаник-92-13	ботаник-93-13	annotator5	4		ботаник
ботаник-28-13	ботаник-29-13	annotator5	4		ботаник
ботаник-110-13	ботаник-111-13	annotator5	4		ботаник
ботаник-44-13	ботаник-45-13	annotator5	4		ботаник
ботаник-80-13	ботаник-81-13	annotator5	4		ботаник
ботаник-74-13	ботаник-75-13	annotator5	4		ботаник
ботаник-34-13	ботаник-35-13	annotator5	1		ботаник
ботаник-94-13	ботаник-95-13	annotator5	1		ботаник
ботаник-32-13	ботаник-33-13	annotator5	2		ботаник
ботаник-76-13	ботаник-77-13	annotator5	4		ботаник
ботаник-30-13	ботаник-31-13	annotator5	3		ботаник
ботаник-40-13	ботаник-41-13	annotator5	1		ботаник
ботаник-112-13	ботаник-113-13	annotator5	4		ботаник
ботаник-78-13	ботаник-79-13	annotator5	4		ботаник
ботаник-38-13	ботаник-39-13	annotator5	4		ботаник
ботаник-114-13	ботаник-115-13	annotator5	3		ботаник
ботаник-36-13	ботаник-37-13	annotator5	4		ботаник
ботаник-42-13	ботаник-43-13	annotator5	3		ботаник
ботаник-90-13	ботаник-91-13	annotator5	2		ботаник
ботаник-48-13	ботаник-49-13	annotator5	4		ботаник
ботаник-82-13	ботаник-83-13	annotator5	4		ботаник
ботаник-18-13	ботаник-19-13	annotator5	1		ботаник
ботаник-68-13	ботаник-69-13	annotator5	3		ботаник
ботаник-14-13	ботаник-15-13	annotator5	4		ботаник
ботаник-20-13	ботаник-21-13	annotator5	1		ботаник
ботаник-26-13	ботаник-27-13	annotator5	1		ботаник
ботаник-70-13	ботаник-71-13	annotator5	2		ботаник
ботаник-88-13	ботаник-89-13	annotator5	4		ботаник
ботаник-24-13	ботаник-25-13	annotator5	4		ботаник
ботаник-58-13	ботаник-59-13	annotator5	3		ботаник
ботаник-22-13	ботаник-23-13	annotator5	1		ботаник
ботаник-72-13	ботаник-73-13	annotator5	1		ботаник
ботаник-66-13	ботаник-67-13	annotator5	1		ботаник
ботаник-12-13	ботаник-13-13	annotator5	1		ботаник
ботаник-98-13	ботаник-99-13	annotator5	2		ботаник
ботаник-4-13	ботаник-5-13	annotator5	1		ботаник
ботаник-100-13	ботаник-101-13	annotator5	2		ботаник
ботаник-2-13	ботаник-3-13	annotator5	1		ботаник
ботаник-60-13	ботаник-61-13	annotator5	1		ботаник
ботаник-0-13	ботаник-1-13	annotator5	3		ботаник
ботаник-102-13	ботаник-103-13	annotator5	4		ботаник
ботаник-10-13	ботаник-11-13	annotator5	1		ботаник
ботаник-62-13	ботаник-63-13	annotator5	4		ботаник
ботаник-108-13	ботаник-109-13	annotator5	4		ботаник
ботаник-8-13	ботаник-9-13	annotator5	2		ботаник
ботаник-96-13	ботаник-97-13	annotator5	1		ботаник
ботаник-64-13	ботаник-65-13	annotator5	1		ботаник
ботаник-6-13	ботаник-7-13	annotator5	1		ботаник
ботаник-118-13	ботаник-119-13	annotator5	1		ботаник
ботаник-106-13	ботаник-107-13	annotator5	1		ботаник
ботаник-46-13	ботаник-47-13	annotator5	1		ботаник
ботаник-116-13	ботаник-117-13	annotator5	1		ботаник
