lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ботаник	NOUN	1918-1990	1	ботаник-0		-- Ну и прекрасно! -- вздохнул ботаник.	31:38	0:39
ботаник	NOUN	1918-1990	1	ботаник-1		Ботаник проделал чисто литературоведческую работу: тщательно выбрал из пушкинских стихов и прозы названия деревьев, кустов, трав, злаков, фруктов, овощей, цветов.	0:7	0:162
ботаник	NOUN	1918-1990	1	ботаник-2		70 лет назад, 26 января 1943 года в саратовской тюремной больнице НКВД, согласно официальному медицинскому заключению -- от воспаления легких, а на самом деле от тяжелой формы дистрофии, умер Николай Иванович Вавилов (р. 1887) один из корифеев отечественной науки, получивший мировое признание ученый-ботаник, растениевод, агроном, генетик, географ-путешественник, организатор науки, академик АН СССР и Всесоюзной академии сельскохозяйственных наук им. В.И. Ленина, иностранный член множества зарубежных академий и научных обществ.	-1:12	0:531
ботаник	NOUN	1991-2017	2	ботаник-3		Мы все дома, лишь наш "ботаник" Гусев, с винтовочкой в руках, отправился вниз по Цзэгэстэ -- "попугать гусей", как он наивно выразился мне, прося разрешения "прогуляться" немного.	23:30	0:179
ботаник	NOUN	1991-2017	2	ботаник-4		Ботаник, обнаруживший этот лишайник, хотел подчеркнуть свою благодарность новому президенту США за обещанную им поддержку науки.	0:7	0:128
ботаник	NOUN	1991-2017	2	ботаник-5		Повернулся лицом к "ботанику" и потелебенькал своим мужским хозяйством, стряхивая, не спеша упрятывать в мотню.	17:18	0:111
ботаник	NOUN	1918-1990	1	ботаник-6		Ботаник вскинулся душой и телом и решил -- идиот, -- что он создание нерукотворное, что он таким чисто пахнущим и родился.	0:7	0:122
ботаник	NOUN	1991-2017	2	ботаник-7		В то время пока разбивался базис для съемки, пока геолог и ботаник занимались обследованием окрестностей базы, рабочие на лошадях перебрасывали зоологов и оставшийся груз к устью р. Парняка.	59:66	0:190
ботаник	NOUN	1918-1990	1	ботаник-8		Ботаники спорили о том, есть ли на Устюрте эфемеры -- растения-скороспелки, -- а они вдруг дали в этом районе урожай зеленой массы в 5-10 раз больший, чем дает его обычная растительность пустыни.	0:8	0:195
ботаник	NOUN	1918-1990	1	ботаник-9		В этом курсе на базе предшествующего материала из ботаники, зоологии, физиологии, физики, химии, математики дается в свете современных данных динамичная картина функционирования клетки.	50:58	0:185
ботаник	NOUN	1991-2017	2	ботаник-10		Ботаники углядели различия в "ресничках" на чашелистиках.	0:8	0:57
ботаник	NOUN	1991-2017	2	ботаник-11		Чтоб сойти для террористов за умствующего "ботаника", чтоб не шлепнули в первую очередь, почуяв реальную угрозу.	43:51	0:112
ботаник	NOUN	1991-2017	2	ботаник-12		Ботанику у нас вел капитан Васильев, который всегда говорил, что, поскольку мы с ним однофамильцы, я обязательно должен посещать его кружок.	0:8	0:140
ботаник	NOUN	1991-2017	2	ботаник-13		В зеркале, которое недавно беспощадно пересмеивало тибидохского ботаника, отразился его точеный профиль.	64:72	0:104
ботаник	NOUN	1918-1990	1	ботаник-14		А все же чудесная эта ботаника слабо отвлекала его от "воркования" там, внизу!	22:30	0:78
ботаник	NOUN	1991-2017	2	ботаник-15		Понятно, что учитель ботаники Серафим Никандрович не чает в Юрке души.	21:29	0:70
ботаник	NOUN	1991-2017	2	ботаник-16		А уже во времена Александра Македонского один из первых ботаников древности Теофраст дал в своей "Естественной истории" подробнейшее описание роз включая уход за ними.	56:65	0:167
ботаник	NOUN	1991-2017	2	ботаник-17		Тогда же он воспользовался вымерзанием большинства растений Учебно-опытного сада и рядом с уцелевшими хемоклонами и сортами-накопителями БАВ начал посадки новых культур (в Саду лечебных культур), рассчитывая на заинтересованность ботаников и возможность отстоять эту территорию в длительном владении кафедры ("сейчас он как бельмо на глазу института").	230:239	0:352
ботаник	NOUN	1991-2017	2	ботаник-18		В Ильинском жили и трудились многие известные в Прикамье и России люди: Андрей Никифорович Воронихин (архитектор Казанского собора в Петербурге), патриарх отечественного научного лесоводства, археолог, краевед Александр Ефимович Теплоухов, его сын Федор Александрович -- один из организаторов Пермского научно-промышленного музея (ныне Пермский областной краеведческий музей), ботаник Павел Васильевич Сюзев и многие другие.	377:384	0:424
