identifier1	identifier2	annotator	judgment	comment	lemma
валюта-60-13	валюта-61-13	annotator1	4		валюта
валюта-50-13	валюта-51-13	annotator1	3		валюта
валюта-104-13	валюта-105-13	annotator1	4		валюта
валюта-98-13	валюта-99-13	annotator1	3		валюта
валюта-48-13	валюта-49-13	annotator1	4		валюта
валюта-92-13	валюта-93-13	annotator1	4		валюта
валюта-94-13	валюта-95-13	annotator1	4		валюта
валюта-46-13	валюта-47-13	annotator1	4		валюта
валюта-96-13	валюта-97-13	annotator1	4		валюта
валюта-114-13	валюта-115-13	annotator1	4		валюта
валюта-116-13	валюта-117-13	annotator1	3		валюта
валюта-118-13	валюта-119-13	annotator1	4		валюта
валюта-112-13	валюта-113-13	annotator1	4		валюта
валюта-106-13	валюта-107-13	annotator1	4		валюта
валюта-56-13	валюта-57-13	annotator1	4		валюта
валюта-108-13	валюта-109-13	annotator1	4		валюта
валюта-102-13	валюта-103-13	annotator1	4		валюта
валюта-110-13	валюта-111-13	annotator1	2		валюта
валюта-100-13	валюта-101-13	annotator1	4		валюта
валюта-30-13	валюта-31-13	annotator1	4		валюта
валюта-2-13	валюта-3-13	annotator1	3		валюта
валюта-6-13	валюта-7-13	annotator1	2		валюта
валюта-14-13	валюта-15-13	annotator1	4		валюта
валюта-0-13	валюта-1-13	annotator1	4		валюта
валюта-24-13	валюта-25-13	annotator1	3		валюта
валюта-26-13	валюта-27-13	annotator1	4		валюта
валюта-28-13	валюта-29-13	annotator1	3		валюта
валюта-12-13	валюта-13-13	annotator1	4		валюта
валюта-16-13	валюта-17-13	annotator1	4		валюта
валюта-18-13	валюта-19-13	annotator1	4		валюта
валюта-10-13	валюта-11-13	annotator1	4		валюта
валюта-20-13	валюта-21-13	annotator1	3		валюта
валюта-22-13	валюта-23-13	annotator1	3		валюта
валюта-8-13	валюта-9-13	annotator1	4		валюта
валюта-82-13	валюта-83-13	annotator1	2		валюта
валюта-52-13	валюта-53-13	annotator1	4		валюта
валюта-54-13	валюта-55-13	annotator1	2		валюта
валюта-58-13	валюта-59-13	annotator1	4		валюта
валюта-66-13	валюта-67-13	annotator1	4		валюта
валюта-80-13	валюта-81-13	annotator1	3		валюта
валюта-40-13	валюта-41-13	annotator1	4		валюта
валюта-78-13	валюта-79-13	annotator1	4		валюта
валюта-42-13	валюта-43-13	annotator1	4		валюта
валюта-76-13	валюта-77-13	annotator1	4		валюта
валюта-88-13	валюта-89-13	annotator1	4		валюта
валюта-38-13	валюта-39-13	annotator1	4		валюта
валюта-86-13	валюта-87-13	annotator1	2		валюта
валюта-84-13	валюта-85-13	annotator1	3		валюта
валюта-44-13	валюта-45-13	annotator1	4		валюта
валюта-32-13	валюта-33-13	annotator1	4		валюта
