lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
валюта	NOUN	1918-1990	1	валюта-0		-- "Так там же валюту надо платить".	15:21	0:36
валюта	NOUN	1918-1990	1	валюта-1		Излюбленною темою для нападок оппозиции всегда была смета Особенной Канцелярии, по кредитной части, к которой можно было с большим или меньшим основанием приурочить нападки на деятельность Крестьянского Банка и еще более -- Иностранного Отделения Канцелярии, с тем, чтобы изъять из непосредственных рук Министра Финансов такое орудие, как покупка валюты, необходимой тому же Министру.	347:353	0:384
валюта	NOUN	1918-1990	1	валюта-2		..", если бы Москва нам побольше валюты давала.	33:39	0:47
валюта	NOUN	1918-1990	1	валюта-3		Плачевный результат этой антрепризы можно было заранее предвидеть: Тэсье очутившись в Новороссийске, занялся игрой на валюте, а Делавинь по дошедшим до меня слухам из Константинополя, получал доход от выдачи паспортов белоэмигрантам.	118:124	0:233
валюта	NOUN	1991-2017	2	валюта-4		Валютные новшества: валюту для поездок за рубеж теперь будут продавать по рыночным ценам и не более 200 долларов в год на одного человека.	0:8	0:138
валюта	NOUN	1991-2017	2	валюта-5		Говорилось в статье и об операциях с валютой.	37:44	0:45
валюта	NOUN	1991-2017	2	валюта-6		Валютный курс не устраивает наших туристов Популярность единой европейской валюты оказалась обратно пропорциональной российскому интересу к этим туристическим направлениям.	0:8	0:172
валюта	NOUN	1991-2017	2	валюта-7		При этом, пока заемщик не оплатит 20-25% от стоимости жилья, погашать кредит придется по повышенной процентной ставке -- 15-16% годовых в валюте, после чего она снизится до 13%.	138:144	0:177
валюта	NOUN	1991-2017	2	валюта-8		Аналитики полагают, что к летнему сезону-2003 все тарифы на европейские направления будут уже в новой валюте.	102:108	0:109
валюта	NOUN	1991-2017	2	валюта-9		Так и шло: театр гастролировал почти каждый год в Москве, в Одессе я жил у родителей, на очередных заграничных гастролях -- в шикарных гостиницах, суточные, валюта (кстати, очень маленькая).	157:163	0:190
валюта	NOUN	1918-1990	1	валюта-10		Ах, товарищи потомки -- на хитрости строился социализм: был экспорт, было поступление валюты.	86:92	0:93
валюта	NOUN	1918-1990	1	валюта-11		Мы перестали расходовать золото на закупку хлеба за границей, экспорт хлеба стал постепенно довольно крупным источником поступления валюты, так необходимой нам тогда для восстановления промышленности.	132:138	0:200
валюта	NOUN	1918-1990	1	валюта-12		В рамках Европейского сообщества, валюты стран-участниц которого получили статус обратимых еще в 1958 году, намечено добиться отмены все еще остающихся ограничений лишь к началу 1993 года.	34:40	0:188
валюта	NOUN	1918-1990	1	валюта-13		Не получился у нас и выход на международный рынок, с тем чтобы продавать хлеб на Запад и приобретать необходимую валюту.	113:119	0:120
валюта	NOUN	1918-1990	1	валюта-14		В то же время, принимая во внимание недостаточную научную обстановку, в какой я работаю, правительство ассигновало в необычном порядке -- Биогеохимической лаборатории, директором которой я состою, 3000 руб. валютой и 30000 руб. червонцами.	207:214	0:239
валюта	NOUN	1918-1990	1	валюта-15		Пасквиль в обмен на валюту.	20:26	0:27
валюта	NOUN	1991-2017	2	валюта-16		Ведь главная возможность здесь -- это оплата в свободно конвертируемой валюте.	71:77	0:78
валюта	NOUN	1991-2017	2	валюта-17		В связи с развитием мирового экономического кризиса, в марте 2009 года Китай предложил на базе специальных прав заимствования создать мировую резервную валюту, которая могла бы заменить в этом качестве доллар США.[1] Предполагается расширить базовую валютную корзину.	152:158	0:267
валюта	NOUN	1991-2017	2	валюта-18		Впрочем, правда у нас пережила буквально то же, что и наши финансы, -- девальвацию, инфляцию, дефолт -- и наконец превратилась в свободно конвертируемую валюту, имеющую бойкое хождение в средствах массовой информации.	153:159	0:217
валюта	NOUN	1991-2017	2	валюта-19		-- И в чем разница -- Еврооблигации в основном выпущены весьма надежными заемщиками, номинированы в иностранной валюте и среди подобного класса инструментов предлагают очень привлекательную доходность как для иностранных покупателей, так и для российских.	112:118	0:255
валюта	NOUN	1918-1990	1	валюта-20		Все остальное будет зависеть исключительно от внешних факторов: цен на нефть или серьезных колебаний мировых валют.	109:114	0:115
валюта	NOUN	1991-2017	2	валюта-21		Я начинаю снимать Жоржа Баланчина и его балет, хотя договоренности у Минкульта с американцами нет -- возьмут ли они с нас валюту Если потребуют -- мы закроем картину.	122:128	0:166
валюта	NOUN	1918-1990	1	валюта-22		Вспомним, однако, "черное золото": оно ведь тоже не является валютой, но государство, по идее, контролирует все его передвижения благодаря владению "Транснефтью".	61:68	0:162
валюта	NOUN	1991-2017	2	валюта-23		-- Вы, товарищ майор, -- сказал отец Пётр, -- подымите вот этот бумажник, сосчитайте находящуюся там валюту и будьте добры дать мне расписку в том, что такую-то сумму вы там нашли.	101:107	0:180
валюта	NOUN	1918-1990	1	валюта-24		Джексон заявил, что он собирается заинтересовать центральные банки, которые, используя систему компьютерной валюты, могут использовать свои огромные золотые запасы для операций с капиталами.	108:114	0:190
