identifier1	identifier2	annotator	judgment	comment	lemma
валютный-0	валютный-1	annotator1	4		валютный
валютный-0	валютный-1	annotator2	4		валютный
валютный-0	валютный-1	annotator3	3		валютный
валютный-0	валютный-1	annotator4	3		валютный
валютный-0	валютный-1	annotator5	4		валютный
валютный-2	валютный-3	annotator1	4		валютный
валютный-2	валютный-3	annotator2	4		валютный
валютный-2	валютный-3	annotator3	4		валютный
валютный-2	валютный-3	annotator4	3		валютный
валютный-2	валютный-3	annotator5	4		валютный
валютный-4	валютный-5	annotator1	1		валютный
валютный-4	валютный-5	annotator2	3		валютный
валютный-4	валютный-5	annotator3	3		валютный
валютный-4	валютный-5	annotator4	4		валютный
валютный-4	валютный-5	annotator5	1		валютный
валютный-6	валютный-7	annotator1	4		валютный
валютный-6	валютный-7	annotator2	4		валютный
валютный-6	валютный-7	annotator3	4		валютный
валютный-6	валютный-7	annotator4	4		валютный
валютный-6	валютный-7	annotator5	4		валютный
валютный-8	валютный-9	annotator1	4		валютный
валютный-8	валютный-9	annotator2	3		валютный
валютный-8	валютный-9	annotator3	3		валютный
валютный-8	валютный-9	annotator4	1		валютный
валютный-8	валютный-9	annotator5	3		валютный
валютный-10	валютный-11	annotator1	3		валютный
валютный-10	валютный-11	annotator2	4		валютный
валютный-10	валютный-11	annotator3	3		валютный
валютный-10	валютный-11	annotator4	3		валютный
валютный-10	валютный-11	annotator5	3		валютный
валютный-12	валютный-13	annotator1	3		валютный
валютный-12	валютный-13	annotator2	3		валютный
валютный-12	валютный-13	annotator3	1		валютный
валютный-12	валютный-13	annotator4	4		валютный
валютный-12	валютный-13	annotator5	3		валютный
валютный-14	валютный-15	annotator1	4		валютный
валютный-14	валютный-15	annotator2	4		валютный
валютный-14	валютный-15	annotator3	2		валютный
валютный-14	валютный-15	annotator4	3		валютный
валютный-14	валютный-15	annotator5	4		валютный
валютный-16	валютный-17	annotator1	4		валютный
валютный-16	валютный-17	annotator2	3		валютный
валютный-16	валютный-17	annotator3	4		валютный
валютный-16	валютный-17	annotator4	4		валютный
валютный-16	валютный-17	annotator5	4		валютный
валютный-18	валютный-19	annotator1	3		валютный
валютный-18	валютный-19	annotator2	3		валютный
валютный-18	валютный-19	annotator3	3		валютный
валютный-18	валютный-19	annotator4	4		валютный
валютный-18	валютный-19	annotator5	4		валютный
валютный-20	валютный-21	annotator1	4		валютный
валютный-20	валютный-21	annotator2	4		валютный
валютный-20	валютный-21	annotator3	3		валютный
валютный-20	валютный-21	annotator4	3		валютный
валютный-20	валютный-21	annotator5	4		валютный
валютный-22	валютный-23	annotator1	4		валютный
валютный-22	валютный-23	annotator2	4		валютный
валютный-22	валютный-23	annotator3	3		валютный
валютный-22	валютный-23	annotator4	4		валютный
валютный-22	валютный-23	annotator5	4		валютный
валютный-24	валютный-25	annotator1	2		валютный
валютный-24	валютный-25	annotator2	4		валютный
валютный-24	валютный-25	annotator3	4		валютный
валютный-24	валютный-25	annotator4	4		валютный
валютный-24	валютный-25	annotator5	4		валютный
валютный-26	валютный-27	annotator1	4		валютный
валютный-26	валютный-27	annotator2	4		валютный
валютный-26	валютный-27	annotator3	4		валютный
валютный-26	валютный-27	annotator4	4		валютный
валютный-26	валютный-27	annotator5	1		валютный
валютный-28	валютный-29	annotator1	3		валютный
валютный-28	валютный-29	annotator2	4		валютный
валютный-28	валютный-29	annotator3	2		валютный
валютный-28	валютный-29	annotator4	3		валютный
валютный-28	валютный-29	annotator5	3		валютный
валютный-30	валютный-31	annotator1	4		валютный
валютный-30	валютный-31	annotator2	4		валютный
валютный-30	валютный-31	annotator3	4		валютный
валютный-30	валютный-31	annotator4	4		валютный
валютный-30	валютный-31	annotator5	2		валютный
валютный-32	валютный-33	annotator1	4		валютный
валютный-32	валютный-33	annotator2	3		валютный
валютный-32	валютный-33	annotator3	4		валютный
валютный-32	валютный-33	annotator4	4		валютный
валютный-32	валютный-33	annotator5	4		валютный
валютный-34	валютный-35	annotator1	3		валютный
валютный-34	валютный-35	annotator2	4		валютный
валютный-34	валютный-35	annotator3	4		валютный
валютный-34	валютный-35	annotator4	1		валютный
валютный-34	валютный-35	annotator5	4		валютный
валютный-36	валютный-37	annotator1	4		валютный
