lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
валютный	ADJ	1918-1990	1	валютный-0		"Мучной кирасир" был, в представлениях нашей семьи во всяком случае, довольно заядлым антисоветчиком, но, насколько я помню разговоры того времени, попал в Соловки он не только и не столько за это, сколько за участие в каких-то валютных делах вкупе с другими, более заметными лицами, посаженными по одному делу с ним.	228:236	0:317
валютный	ADJ	1918-1990	1	валютный-1		Других предложений по созданию внутреннего валютного рынка, за исключением лишь упоминания его возможных форм, мне не известно.	43:52	0:127
валютный	ADJ	1918-1990	1	валютный-2		(20) Ее муж Чхве Се-енъ, сын заведующего финансовым отделом ЦК ТПК, руководит собственной фирмой, которая занята валютными операциями.	113:122	0:134
валютный	ADJ	1991-2017	2	валютный-3		"Правительство будет решительно избегать всяких валютных экспериментов".	48:56	0:72
валютный	ADJ	1918-1990	1	валютный-4		(Правда, его применение в технике ограничено.) Цветная металлургия, как и прежде, -- это валютный цех страны, обеспечивающий ее драгоценными металлами.	89:97	0:151
валютный	ADJ	1918-1990	1	валютный-5		Тогда еще можно было получать деньги из-за рубежа в виде сертификатов "Березки" (валютный магазин, в основном для советских чиновников, работающих за границей).	50:51	0:160
валютный	ADJ	1991-2017	2	валютный-6		-- У нас в прошлом году сильно упал экспорт и, соответственно, экспортная валютная выручка.	74:82	0:91
валютный	ADJ	1991-2017	2	валютный-7		В соответствии с процентным или денежным подходом (money view) центральный банк манипулирует краткосрочной процентной ставкой таким образом, чтобы оказывать влияние на более значимые переменные -- валютный курс и долгосрочную процентную ставку.	197:205	0:244
валютный	ADJ	1991-2017	2	валютный-8		Валютно-экономическое управление Госбанка СССР в Совет Министров СССР.	0:20	0:70
валютный	ADJ	1991-2017	2	валютный-9		Для воссоединения логического и исторического наш рассказ о нынешнем валютном катаклизме придется начать с прошлого Рождества.	69:77	0:126
валютный	ADJ	1918-1990	1	валютный-10		Валютной единицей здесь, как и везде, служил ректификат, без которого ни один уважающий себя стеклодув не принял бы заказа.	0:8	0:123
валютный	ADJ	1918-1990	1	валютный-11		-- А на Магадане этом -- чего теперь -- Как чего Валютный цех страны.	49:57	0:69
валютный	ADJ	1991-2017	2	валютный-12		А валютный рынок вдруг завибрировал, потянулся к доллару.	2:10	0:57
валютный	ADJ	1991-2017	2	валютный-13		Георгий устроил скандал и начал говорить нелепые вещи: что она хочет изучать языки, чтобы уехать за границу и стать там валютной проституткой.	120:128	0:142
валютный	ADJ	1918-1990	1	валютный-14		А где ее взять В начале года много говорилось о том, что начиная с апреля в стране будут проводиться валютные аукционы.	101:109	0:119
валютный	ADJ	1918-1990	1	валютный-15		Случай в валютном баре И в это время в баре появился посетитель.	9:17	0:64
валютный	ADJ	1991-2017	2	валютный-16		Административный штраф является денежным взысканием и может выражаться в величине, кратной: 1) минимальному размеру оплаты труда (без учета районных коэффициентов), установленному федеральным законом на момент окончания или пресечения административного правонарушения (далее -- минимальный размер оплаты труда); 2) стоимости предмета административного правонарушения на момент окончания или пресечения административного правонарушения; 3) сумме неуплаченных налогов, сборов, подлежащих уплате на момент окончания или пресечения административного правонарушения, либо сумме незаконной валютной операции, либо сумме неуплаченного административного штрафа.	584:592	0:653
валютный	ADJ	1991-2017	2	валютный-17		Однако после введения валютного контроля за импортом их доля может значительно вырасти.	22:31	0:87
валютный	ADJ	1918-1990	1	валютный-18		Более 4 миллионов -- на расчетном счете Госбанка и 230 тысяч валютных средств.	61:69	0:78
валютный	ADJ	1991-2017	2	валютный-19		Там экипаж терпел своих бравых начальников и держал дисциплину, ибо эти короткие рейсы выгодны в валютном отношении, плюс через каждые двенадцать дней -- сутки дома.	97:105	0:165
валютный	ADJ	1918-1990	1	валютный-20		В Volkswagen полагают, что ситуация на валютных рынках вряд ли быстро изменится и поэтому следует возобновить собственное производство в США.	39:47	0:141
валютный	ADJ	1991-2017	2	валютный-21		Семен Иванович только усмехнулся презрительно: за несколько дней в Одессе, не нуждаясь в деньгах, он спокойно обследовал торговую и валютную биржу и выяснил, что в городе ничего решительно нет, ни товаров, ни денег, если не считать небольшого количества французской и греческой валюты, которую все время перепродавали одни и те же лица до четырех часов на углу Дерибасовской, а с четырех у Фанкони.	132:140	0:398
валютный	ADJ	1918-1990	1	валютный-22		В крупнейших экономиках стран БРИКС ситуация противоположная: подавляющую часть активов центробанков Индии, Китая и России составляют валютные авуары.	134:142	0:150
валютный	ADJ	1991-2017	2	валютный-23		Был предусмотрен также ряд мер, направленных на сосредоточение валютных ресурсов у Госбанка, на который возлагалась задача проведения валютной политики.	63:71	0:152
валютный	ADJ	1991-2017	2	валютный-24		В общем случае стоимость кредита за период просрочки платежа может возрасти до двукратного уровня по сравнению с базовой ставкой по валютному кредиту и до одной десятой процента в день -- по рублевому.	132:141	0:201
валютный	ADJ	1991-2017	2	валютный-25		Минус был только один: высокая стоимость импортных автомобилей в условиях валютного дефицита не позволяла осуществлять закупки в достаточном объёме.	74:83	0:148
валютный	ADJ	1918-1990	1	валютный-26		В результате действующая система валютного контроля, основанная на паспорте сделки и проверке отгрузочной документации, дополняется физической предтаможенной экспертизой, что, несомненно, большого энтузиазма у экспортеров не вызовет.	33:42	0:233
валютный	ADJ	1991-2017	2	валютный-27		Основные контуры внутреннего валютного рынка были намечены еще в 1922 году, и буквально тремя законодательными актами такой рынок был конституирован.	29:38	0:149
валютный	ADJ	1918-1990	1	валютный-28		В соответствии с действующим законодательством между чисто финансовой, кредитной, расчетной, валютной, налоговой и другими функциями существует определенная грань.	93:101	0:163
валютный	ADJ	1991-2017	2	валютный-29		Страхуил поинтересовался: -- А выпивка у них есть Я перебил его: -- Как ты сюда попал -- В смысле -- на Запад Была у меня одна еврейка из валютного ресторана.	138:147	0:158
