identifier1	identifier2	annotator	judgment	comment	lemma
вампир-0	вампир-1	annotator1	3		вампир
вампир-0	вампир-1	annotator2	1		вампир
вампир-0	вампир-1	annotator3	4		вампир
вампир-0	вампир-1	annotator4	1		вампир
вампир-0	вампир-1	annotator5	3		вампир
вампир-2	вампир-3	annotator1	4		вампир
вампир-2	вампир-3	annotator2	4		вампир
вампир-2	вампир-3	annotator3	3		вампир
вампир-2	вампир-3	annotator4	2		вампир
вампир-2	вампир-3	annotator5	4		вампир
вампир-4	вампир-5	annotator1	1		вампир
вампир-4	вампир-5	annotator2	4		вампир
вампир-4	вампир-5	annotator3	1		вампир
вампир-4	вампир-5	annotator4	4		вампир
вампир-4	вампир-5	annotator5	4		вампир
вампир-6	вампир-7	annotator1	4		вампир
вампир-6	вампир-7	annotator2	2		вампир
вампир-6	вампир-7	annotator3	1		вампир
вампир-6	вампир-7	annotator4	2		вампир
вампир-6	вампир-7	annotator5	2		вампир
вампир-8	вампир-9	annotator1	2		вампир
вампир-8	вампир-9	annotator2	1		вампир
вампир-8	вампир-9	annotator3	4		вампир
вампир-8	вампир-9	annotator4	3		вампир
вампир-8	вампир-9	annotator5	4		вампир
вампир-10	вампир-11	annotator1	4		вампир
вампир-10	вампир-11	annotator2	4		вампир
вампир-10	вампир-11	annotator3	4		вампир
вампир-10	вампир-11	annotator4	4		вампир
вампир-10	вампир-11	annotator5	1		вампир
вампир-12	вампир-13	annotator1	4		вампир
вампир-12	вампир-13	annotator2	4		вампир
вампир-12	вампир-13	annotator3	3		вампир
вампир-12	вампир-13	annotator4	4		вампир
вампир-12	вампир-13	annotator5	4		вампир
вампир-14	вампир-15	annotator1	4		вампир
вампир-14	вампир-15	annotator2	1		вампир
вампир-14	вампир-15	annotator3	4		вампир
вампир-14	вампир-15	annotator4	4		вампир
вампир-14	вампир-15	annotator5	4		вампир
вампир-16	вампир-17	annotator1	3		вампир
вампир-16	вампир-17	annotator2	4		вампир
вампир-16	вампир-17	annotator3	3		вампир
вампир-16	вампир-17	annotator4	4		вампир
вампир-16	вампир-17	annotator5	2		вампир
вампир-18	вампир-19	annotator1	3		вампир
вампир-18	вампир-19	annotator2	3		вампир
вампир-18	вампир-19	annotator3	4		вампир
вампир-18	вампир-19	annotator4	2		вампир
вампир-18	вампир-19	annotator5	4		вампир
вампир-20	вампир-21	annotator1	4		вампир
