lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
вампир	NOUN	1918-1990	1	вампир-0		"Ночью на наш табор налетели, очевидно, крылатые хищники -- летучие вампиры".	68:75	0:77
вампир	NOUN	1918-1990	1	вампир-1		Тут же Филипп Филиппович отвалился окончательно, как сытый вампир, сорвал одну перчатку, выбросив из неё облако потной пудры, другую разорвал, швырнул на пол и позвонил, нажав кнопку в стене.	59:65	0:191
вампир	NOUN	1918-1990	1	вампир-2		-- "Не скажу вам, вампиры, и не отрекусь!" -- стойко отвечает тот комсомолец.	18:25	0:77
вампир	NOUN	1918-1990	1	вампир-3		Но, проходя мимо Крапиво, не выдержал характера и ядовитым голосом произнес: -- Радуешься, вампир Кровушки нашей попил.	91:97	0:119
вампир	NOUN	1991-2017	2	вампир-4		-- Вопрос, что там на самом деле, лишен смысла -- ибо ответ зависит от того, кто будет смотреть: пчела, летучая мышь, человек или вампир.	130:136	0:137
вампир	NOUN	1991-2017	2	вампир-5		Работа Дозоров -- это ведь не отлов магов-психопатов на улицах и выдача лицензий вампирам!	81:89	0:90
вампир	NOUN	1918-1990	1	вампир-6		-- Из этого древнейшего переживания, -- сказал он, -- может сложиться ощущение, что лимбо -- темный стадион, где летают светящиеся насекомые и бегают одетые в униформу античных воинов вампиры.	184:191	0:192
вампир	NOUN	1991-2017	2	вампир-7		Лишь мертвой луной, поднимая мертвейшие споры о Лотце, Сергей Кобылинский проламывал головы, бледным, как скатерть, лицом; братец, Лев, настоящий губан и вампир, ненасытно высасывал Блока, привскакивая, громко грохая стульями; Блок тщетно тщился вникать в то, что слышал; и, не успевая с ответом, теряясь, сидел с напряженной улыбкой, задеревенев, потемнев, и у глаз появились мешки; мы его увели в кабинет и обсели: Владимиров, Эртель, Петровский, я и Малафеев.	154:160	0:462
вампир	NOUN	1991-2017	2	вампир-8		-- Когда вампиру приходится много думать, язык чувствует себя некомфортно.	9:16	0:74
вампир	NOUN	1991-2017	2	вампир-9		Так вампир, напившийся живой крови, молодеет.	4:10	0:45
вампир	NOUN	1918-1990	1	вампир-10		.. вампира.	3:10	0:11
вампир	NOUN	1918-1990	1	вампир-11		Забавнее -- вампиры, Дракула, но и тут после третьего уже не хочется ходить.	12:19	0:76
вампир	NOUN	1918-1990	1	вампир-12		..), иной раз и в кино забежим -- можно и на серьезное, можно и на вампиров, каратэ или туда, куда до восемнадцати лет не пускают, многое, о чем и не подозревал, увидишь, а заодно и кругозор расширишь.	67:75	0:201
вампир	NOUN	1918-1990	1	вампир-13		-- Сам вампир!	7:13	0:14
