identifier1	identifier2	annotator	judgment	comment	lemma
взлом-0	взлом-1	annotator1	4		взлом
взлом-0	взлом-1	annotator2	4		взлом
взлом-0	взлом-1	annotator3	4		взлом
взлом-0	взлом-1	annotator4	4		взлом
взлом-0	взлом-1	annotator5	4		взлом
взлом-2	взлом-3	annotator1	4		взлом
взлом-2	взлом-3	annotator2	4		взлом
взлом-2	взлом-3	annotator3	4		взлом
взлом-2	взлом-3	annotator4	4		взлом
взлом-2	взлом-3	annotator5	4		взлом
взлом-4	взлом-5	annotator1	4		взлом
взлом-4	взлом-5	annotator2	4		взлом
взлом-4	взлом-5	annotator3	4		взлом
взлом-4	взлом-5	annotator4	4		взлом
взлом-4	взлом-5	annotator5	3		взлом
взлом-6	взлом-7	annotator1	4		взлом
взлом-6	взлом-7	annotator2	3		взлом
взлом-6	взлом-7	annotator3	3		взлом
взлом-6	взлом-7	annotator4	4		взлом
взлом-6	взлом-7	annotator5	4		взлом
взлом-8	взлом-9	annotator1	3		взлом
взлом-8	взлом-9	annotator2	4		взлом
взлом-8	взлом-9	annotator3	4		взлом
взлом-8	взлом-9	annotator4	4		взлом
взлом-8	взлом-9	annotator5	4		взлом
взлом-10	взлом-11	annotator1	1		взлом
взлом-10	взлом-11	annotator2	1		взлом
взлом-10	взлом-11	annotator3	1		взлом
взлом-10	взлом-11	annotator4	2		взлом
взлом-10	взлом-11	annotator5	4		взлом
взлом-12	взлом-13	annotator1	1		взлом
взлом-12	взлом-13	annotator2	3		взлом
взлом-12	взлом-13	annotator3	1		взлом
взлом-12	взлом-13	annotator4	4		взлом
взлом-12	взлом-13	annotator5	3		взлом
взлом-14	взлом-15	annotator1	3		взлом
взлом-14	взлом-15	annotator2	4		взлом
взлом-14	взлом-15	annotator3	1		взлом
взлом-14	взлом-15	annotator4	4		взлом
взлом-14	взлом-15	annotator5	4		взлом
взлом-16	взлом-17	annotator1	3		взлом
взлом-16	взлом-17	annotator2	4		взлом
взлом-16	взлом-17	annotator3	4		взлом
взлом-16	взлом-17	annotator4	4		взлом
взлом-16	взлом-17	annotator5	4		взлом
взлом-18	взлом-19	annotator1	3		взлом
взлом-18	взлом-19	annotator2	4		взлом
взлом-18	взлом-19	annotator3	4		взлом
взлом-18	взлом-19	annotator4	1		взлом
взлом-18	взлом-19	annotator5	1		взлом
взлом-20	взлом-21	annotator1	1		взлом
взлом-20	взлом-21	annotator2	4		взлом
взлом-20	взлом-21	annotator3	4		взлом
взлом-20	взлом-21	annotator4	1		взлом
взлом-20	взлом-21	annotator5	3		взлом
взлом-22	взлом-23	annotator1	4		взлом
взлом-22	взлом-23	annotator2	4		взлом
взлом-22	взлом-23	annotator3	4		взлом
взлом-22	взлом-23	annotator4	4		взлом
взлом-22	взлом-23	annotator5	3		взлом
взлом-24	взлом-25	annotator1	4		взлом
взлом-24	взлом-25	annotator2	4		взлом
взлом-24	взлом-25	annotator3	4		взлом
взлом-24	взлом-25	annotator4	4		взлом
взлом-24	взлом-25	annotator5	4		взлом
взлом-26	взлом-27	annotator1	1		взлом
взлом-26	взлом-27	annotator2	4		взлом
взлом-26	взлом-27	annotator3	1		взлом
взлом-26	взлом-27	annotator4	4		взлом
взлом-26	взлом-27	annotator5	3		взлом
взлом-28	взлом-29	annotator1	4		взлом
взлом-28	взлом-29	annotator2	4		взлом
взлом-28	взлом-29	annotator3	4		взлом
взлом-28	взлом-29	annotator4	4		взлом
взлом-28	взлом-29	annotator5	4		взлом
взлом-30	взлом-31	annotator1	4		взлом
взлом-30	взлом-31	annotator2	4		взлом
взлом-30	взлом-31	annotator3	4		взлом
взлом-30	взлом-31	annotator4	4		взлом
взлом-30	взлом-31	annotator5	4		взлом
взлом-32	взлом-33	annotator1	4		взлом
взлом-32	взлом-33	annotator2	4		взлом
взлом-32	взлом-33	annotator3	4		взлом
взлом-32	взлом-33	annotator4	4		взлом
взлом-32	взлом-33	annotator5	3		взлом
взлом-34	взлом-35	annotator1	3		взлом
взлом-34	взлом-35	annotator2	4		взлом
взлом-34	взлом-35	annotator3	4		взлом
взлом-34	взлом-35	annotator4	3		взлом
взлом-34	взлом-35	annotator5	4		взлом
взлом-36	взлом-37	annotator1	1		взлом
взлом-36	взлом-37	annotator2	3		взлом
взлом-36	взлом-37	annotator3	3		взлом
взлом-36	взлом-37	annotator4	4		взлом
взлом-36	взлом-37	annotator5	2		взлом
взлом-38	взлом-39	annotator1	1		взлом
взлом-38	взлом-39	annotator2	1		взлом
взлом-38	взлом-39	annotator3	1		взлом
взлом-38	взлом-39	annotator4	1		взлом
взлом-38	взлом-39	annotator5	3		взлом
взлом-40	взлом-41	annotator1	4		взлом
взлом-40	взлом-41	annotator2	4		взлом
взлом-40	взлом-41	annotator3	4		взлом
взлом-40	взлом-41	annotator4	4		взлом
взлом-40	взлом-41	annotator5	4		взлом
взлом-42	взлом-43	annotator1	3		взлом
взлом-42	взлом-43	annotator2	1		взлом
взлом-42	взлом-43	annotator3	3		взлом
взлом-42	взлом-43	annotator4	4		взлом
взлом-42	взлом-43	annotator5	1		взлом
взлом-44	взлом-45	annotator1	4		взлом
взлом-44	взлом-45	annotator2	4		взлом
взлом-44	взлом-45	annotator3	4		взлом
взлом-44	взлом-45	annotator4	4		взлом
взлом-44	взлом-45	annotator5	4		взлом
взлом-46	взлом-47	annotator1	1		взлом
взлом-46	взлом-47	annotator2	3		взлом
взлом-46	взлом-47	annotator3	3		взлом
взлом-46	взлом-47	annotator4	2		взлом
взлом-46	взлом-47	annotator5	4		взлом
взлом-48	взлом-49	annotator1	1		взлом
взлом-48	взлом-49	annotator2	2		взлом
взлом-48	взлом-49	annotator3	1		взлом
взлом-48	взлом-49	annotator4	1		взлом
взлом-48	взлом-49	annotator5	2		взлом
взлом-50	взлом-51	annotator1	3		взлом
взлом-50	взлом-51	annotator2	1		взлом
взлом-50	взлом-51	annotator3	1		взлом
взлом-50	взлом-51	annotator4	2		взлом
взлом-50	взлом-51	annotator5	1		взлом
взлом-52	взлом-53	annotator1	1		взлом
взлом-52	взлом-53	annotator2	4		взлом
взлом-52	взлом-53	annotator3	2		взлом
взлом-52	взлом-53	annotator4	1		взлом
взлом-52	взлом-53	annotator5	2		взлом
взлом-54	взлом-55	annotator1	4		взлом
взлом-54	взлом-55	annotator2	4		взлом
взлом-54	взлом-55	annotator3	3		взлом
взлом-54	взлом-55	annotator4	3		взлом
взлом-54	взлом-55	annotator5	4		взлом
взлом-56	взлом-57	annotator1	4		взлом
взлом-56	взлом-57	annotator2	4		взлом
взлом-56	взлом-57	annotator3	4		взлом
взлом-56	взлом-57	annotator4	2		взлом
взлом-56	взлом-57	annotator5	4		взлом
взлом-58	взлом-59	annotator1	3		взлом
взлом-58	взлом-59	annotator2	1		взлом
взлом-58	взлом-59	annotator3	2		взлом
взлом-58	взлом-59	annotator4	2		взлом
взлом-58	взлом-59	annotator5	2		взлом
взлом-60	взлом-61	annotator1	4		взлом
взлом-60	взлом-61	annotator2	4		взлом
взлом-60	взлом-61	annotator3	4		взлом
взлом-60	взлом-61	annotator4	4		взлом
взлом-60	взлом-61	annotator5	4		взлом
взлом-62	взлом-63	annotator1	4		взлом
взлом-62	взлом-63	annotator2	4		взлом
взлом-62	взлом-63	annotator3	4		взлом
взлом-62	взлом-63	annotator4	4		взлом
взлом-62	взлом-63	annotator5	4		взлом
взлом-64	взлом-65	annotator1	4		взлом
взлом-64	взлом-65	annotator2	4		взлом
взлом-64	взлом-65	annotator3	4		взлом
взлом-64	взлом-65	annotator4	4		взлом
взлом-64	взлом-65	annotator5	4		взлом
взлом-66	взлом-67	annotator1	3		взлом
взлом-66	взлом-67	annotator2	3		взлом
взлом-66	взлом-67	annotator3	3		взлом
взлом-66	взлом-67	annotator4	1		взлом
взлом-66	взлом-67	annotator5	3		взлом
взлом-68	взлом-69	annotator1	3		взлом
взлом-68	взлом-69	annotator2	4		взлом
взлом-68	взлом-69	annotator3	3		взлом
взлом-68	взлом-69	annotator4	1		взлом
взлом-68	взлом-69	annotator5	2		взлом
взлом-70	взлом-71	annotator1	4		взлом
взлом-70	взлом-71	annotator2	4		взлом
взлом-70	взлом-71	annotator3	4		взлом
взлом-70	взлом-71	annotator4	4		взлом
взлом-70	взлом-71	annotator5	4		взлом
взлом-72	взлом-73	annotator1	4		взлом
взлом-72	взлом-73	annotator2	1		взлом
взлом-72	взлом-73	annotator3	4		взлом
взлом-72	взлом-73	annotator4	4		взлом
взлом-72	взлом-73	annotator5	2		взлом
взлом-74	взлом-75	annotator1	4		взлом
взлом-74	взлом-75	annotator2	4		взлом
взлом-74	взлом-75	annotator3	4		взлом
взлом-74	взлом-75	annotator4	4		взлом
взлом-74	взлом-75	annotator5	4		взлом
взлом-76	взлом-77	annotator1	4		взлом
взлом-76	взлом-77	annotator2	4		взлом
взлом-76	взлом-77	annotator3	2		взлом
взлом-76	взлом-77	annotator4	4		взлом
взлом-76	взлом-77	annotator5	3		взлом
взлом-78	взлом-79	annotator1	4		взлом
взлом-78	взлом-79	annotator2	4		взлом
взлом-78	взлом-79	annotator3	4		взлом
взлом-78	взлом-79	annotator4	4		взлом
взлом-78	взлом-79	annotator5	4		взлом
взлом-80	взлом-81	annotator1	3		взлом
взлом-80	взлом-81	annotator2	4		взлом
взлом-80	взлом-81	annotator3	4		взлом
взлом-80	взлом-81	annotator4	4		взлом
взлом-80	взлом-81	annotator5	4		взлом
взлом-82	взлом-83	annotator1	4		взлом
взлом-82	взлом-83	annotator2	1		взлом
взлом-82	взлом-83	annotator3	4		взлом
взлом-82	взлом-83	annotator4	4		взлом
взлом-82	взлом-83	annotator5	3		взлом
взлом-84	взлом-85	annotator1	4		взлом
взлом-84	взлом-85	annotator2	4		взлом
взлом-84	взлом-85	annotator3	4		взлом
взлом-84	взлом-85	annotator4	4		взлом
взлом-84	взлом-85	annotator5	3		взлом
взлом-86	взлом-87	annotator1	4		взлом
взлом-86	взлом-87	annotator2	0		взлом
взлом-86	взлом-87	annotator3	4		взлом
взлом-86	взлом-87	annotator4	4		взлом
взлом-86	взлом-87	annotator5	4		взлом
взлом-88	взлом-89	annotator1	1		взлом
взлом-88	взлом-89	annotator2	3		взлом
взлом-88	взлом-89	annotator3	4		взлом
взлом-88	взлом-89	annotator4	1		взлом
взлом-88	взлом-89	annotator5	4		взлом
взлом-90	взлом-91	annotator1	3		взлом
взлом-90	взлом-91	annotator2	4		взлом
взлом-90	взлом-91	annotator3	4		взлом
взлом-90	взлом-91	annotator4	2		взлом
взлом-90	взлом-91	annotator5	2		взлом
взлом-92	взлом-93	annotator1	2		взлом
взлом-92	взлом-93	annotator2	4		взлом
взлом-92	взлом-93	annotator3	3		взлом
взлом-92	взлом-93	annotator4	2		взлом
взлом-92	взлом-93	annotator5	1		взлом
взлом-94	взлом-95	annotator1	1		взлом
взлом-94	взлом-95	annotator2	2		взлом
взлом-94	взлом-95	annotator3	1		взлом
взлом-94	взлом-95	annotator4	3		взлом
взлом-94	взлом-95	annotator5	2		взлом
взлом-96	взлом-97	annotator1	2		взлом
взлом-96	взлом-97	annotator2	4		взлом
взлом-96	взлом-97	annotator3	4		взлом
взлом-96	взлом-97	annotator4	4		взлом
взлом-96	взлом-97	annotator5	1		взлом
взлом-98	взлом-99	annotator1	4		взлом
взлом-98	взлом-99	annotator2	1		взлом
взлом-98	взлом-99	annotator3	4		взлом
взлом-98	взлом-99	annotator4	4		взлом
взлом-98	взлом-99	annotator5	4		взлом
взлом-100	взлом-101	annotator1	4		взлом
взлом-100	взлом-101	annotator2	4		взлом
взлом-100	взлом-101	annotator3	4		взлом
взлом-100	взлом-101	annotator4	4		взлом
взлом-100	взлом-101	annotator5	4		взлом
взлом-102	взлом-103	annotator1	4		взлом
взлом-102	взлом-103	annotator2	4		взлом
взлом-102	взлом-103	annotator3	4		взлом
взлом-102	взлом-103	annotator4	4		взлом
взлом-102	взлом-103	annotator5	4		взлом
взлом-104	взлом-105	annotator1	4		взлом
взлом-104	взлом-105	annotator2	1		взлом
взлом-104	взлом-105	annotator3	3		взлом
взлом-104	взлом-105	annotator4	4		взлом
взлом-104	взлом-105	annotator5	1		взлом
взлом-106	взлом-107	annotator1	4		взлом
взлом-106	взлом-107	annotator2	4		взлом
взлом-106	взлом-107	annotator3	4		взлом
взлом-106	взлом-107	annotator4	4		взлом
взлом-106	взлом-107	annotator5	3		взлом
взлом-108	взлом-109	annotator1	1		взлом
взлом-108	взлом-109	annotator2	2		взлом
взлом-108	взлом-109	annotator3	4		взлом
взлом-108	взлом-109	annotator4	1		взлом
взлом-108	взлом-109	annotator5	1		взлом
взлом-110	взлом-111	annotator1	4		взлом
взлом-110	взлом-111	annotator2	4		взлом
взлом-110	взлом-111	annotator3	4		взлом
взлом-110	взлом-111	annotator4	4		взлом
взлом-110	взлом-111	annotator5	4		взлом
взлом-112	взлом-113	annotator1	3		взлом
взлом-112	взлом-113	annotator2	4		взлом
взлом-112	взлом-113	annotator3	4		взлом
взлом-112	взлом-113	annotator4	4		взлом
взлом-112	взлом-113	annotator5	4		взлом
взлом-114	взлом-115	annotator1	4		взлом
взлом-114	взлом-115	annotator2	3		взлом
взлом-114	взлом-115	annotator3	3		взлом
взлом-114	взлом-115	annotator4	4		взлом
взлом-114	взлом-115	annotator5	4		взлом
взлом-116	взлом-117	annotator1	4		взлом
взлом-116	взлом-117	annotator2	3		взлом
взлом-116	взлом-117	annotator3	4		взлом
взлом-116	взлом-117	annotator4	4		взлом
взлом-116	взлом-117	annotator5	4		взлом
взлом-118	взлом-119	annotator1	4		взлом
взлом-118	взлом-119	annotator2	4		взлом
взлом-118	взлом-119	annotator3	4		взлом
взлом-118	взлом-119	annotator4	4		взлом
взлом-118	взлом-119	annotator5	3		взлом
