lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
взлом	NOUN	1918-1990	1	взлом-0		-- Взлом, -- сказал Кирилл.	3:8	0:27
взлом	NOUN	1991-2017	2	взлом-1		-- За это говорит все -- чистота взлома, тщательность затирания следов и, наконец, терпеливая и хорошо поставленная разведка места преступления: все три взлома совершены на следующую ночь после получения из банка крупной суммы.	33:39	0:227
взлом	NOUN	1918-1990	1	взлом-2		-- А следов взлома не было -- Нет, похоже, дверь открыли ключом.	12:18	0:64
взлом	NOUN	1991-2017	2	взлом-3		Любовь со взломом Когда грабители, пробираясь в дом, гладят во дворе сторожевую собаку, это вовсе не означает, что они любят ее больше, чем хозяина.	10:17	0:148
взлом	NOUN	1918-1990	1	взлом-4		-- Ведь я же не на взлом несгораемого шкафа ходил.	19:24	0:50
взлом	NOUN	1918-1990	1	взлом-5		Знаменитый парижский сыщик Лару в своей брошюре "О взломе стальных касс" утверждает: "Человек рождается преступником.	51:57	0:117
взлом	NOUN	1918-1990	1	взлом-6		-- Вы докатились до взлома!	20:26	0:27
взлом	NOUN	1918-1990	1	взлом-7		И характерно, что в первый раз я в суде выступил не у Мирового Судьи по грошовому гражданскому делу, не перед присяжными по чужому казенному ордеру по делу о 3-ей краже, или краже со взломом, как это обыкновенно бывало с начинающими адвокатами, а в Судебной Палате, по сектантскому делу, которое мне передал Лев Толстой.	183:190	0:320
взлом	NOUN	1918-1990	1	взлом-8		-- Следов взлома нет -- Естественно, нет.	10:16	0:41
взлом	NOUN	1991-2017	2	взлом-9		Десять дней уж прошло: написала Никите Васильевичу обо всем: от него она знала о "краже со взломом" в столе; он ей плакался, что уж три месяца с Анной Павловной совсе не видится (кушает, трудится и отдыхает один), что она, оградившись стеной от него, за стеною сидит; и сопит хам ужасно; ночами его настигает порой в коридоре, со свечкой в руках.	91:98	0:346
взлом	NOUN	1918-1990	1	взлом-10		24 марта 1997 года запущена рейтинговая система "Rambler"s Top 100", позволяющая всем желающим установить на заглавную страницу своего сайта счетчик посещений и принять участие в рейтинге популярности сайтов российского Интернета в различных категориях (31 августа того же года состоялся первый взлом счетчика).	295:300	0:311
взлом	NOUN	1991-2017	2	взлом-11		Следует отметить, что на третий день фашистской оккупации был обнаружен взлом деревянного храма; на престоле оказался разорван антиминс, сломан крест, брошено на пол Евангелие, сорвана с петель южная дверь алтаря, имеются пулевые пробоины в алтаре.	72:77	0:248
взлом	NOUN	1991-2017	2	взлом-12		Взлом с поджогом Неизвестные лица в ночь с 17 на 18 марта проникли в садовый домик, мирно стоявший на улице Цветочной в товариществе "Мичуринец".	0:5	0:145
взлом	NOUN	1991-2017	2	взлом-13		Бывает, что ущерб от компьютерных взломов составляет многие десятки, а то и сотни миллионов долларов!.."	34:41	0:104
взлом	NOUN	1991-2017	2	взлом-14		Бежали не просто, а, так сказать, со взломом, то есть обобрав дочиста кассу, не отдав каких-либо распоряжений.	37:44	0:110
