identifier1	identifier2	annotator	judgment	comment	lemma
вирус-0	вирус-1	annotator1	3		вирус
вирус-0	вирус-1	annotator2	0		вирус
вирус-0	вирус-1	annotator3	4		вирус
вирус-0	вирус-1	annotator4	4		вирус
вирус-0	вирус-1	annotator5	1		вирус
вирус-2	вирус-3	annotator1	4		вирус
вирус-2	вирус-3	annotator2	4		вирус
вирус-2	вирус-3	annotator3	3		вирус
вирус-2	вирус-3	annotator4	4		вирус
вирус-2	вирус-3	annotator5	4		вирус
вирус-4	вирус-5	annotator1	4		вирус
вирус-4	вирус-5	annotator2	4		вирус
вирус-4	вирус-5	annotator3	3		вирус
вирус-4	вирус-5	annotator4	3		вирус
вирус-4	вирус-5	annotator5	0		вирус
вирус-6	вирус-7	annotator1	4		вирус
вирус-6	вирус-7	annotator2	4		вирус
вирус-6	вирус-7	annotator3	4		вирус
вирус-6	вирус-7	annotator4	4		вирус
вирус-6	вирус-7	annotator5	4		вирус
вирус-8	вирус-9	annotator1	4		вирус
вирус-8	вирус-9	annotator2	4		вирус
вирус-8	вирус-9	annotator3	4		вирус
вирус-8	вирус-9	annotator4	4		вирус
вирус-8	вирус-9	annotator5	4		вирус
вирус-10	вирус-11	annotator1	4		вирус
вирус-10	вирус-11	annotator2	4		вирус
вирус-10	вирус-11	annotator3	1		вирус
вирус-10	вирус-11	annotator4	1		вирус
вирус-10	вирус-11	annotator5	4		вирус
вирус-12	вирус-13	annotator1	4		вирус
вирус-12	вирус-13	annotator2	3		вирус
вирус-12	вирус-13	annotator3	4		вирус
вирус-12	вирус-13	annotator4	4		вирус
вирус-12	вирус-13	annotator5	4		вирус
вирус-14	вирус-15	annotator1	4		вирус
вирус-14	вирус-15	annotator2	4		вирус
вирус-14	вирус-15	annotator3	4		вирус
вирус-14	вирус-15	annotator4	4		вирус
вирус-14	вирус-15	annotator5	4		вирус
вирус-16	вирус-17	annotator1	4		вирус
вирус-16	вирус-17	annotator2	4		вирус
вирус-16	вирус-17	annotator3	4		вирус
вирус-16	вирус-17	annotator4	4		вирус
вирус-16	вирус-17	annotator5	4		вирус
вирус-18	вирус-19	annotator1	4		вирус
вирус-18	вирус-19	annotator2	4		вирус
вирус-18	вирус-19	annotator3	3		вирус
вирус-18	вирус-19	annotator4	4		вирус
вирус-18	вирус-19	annotator5	4		вирус
вирус-20	вирус-21	annotator1	3		вирус
вирус-20	вирус-21	annotator2	4		вирус
вирус-20	вирус-21	annotator3	3		вирус
вирус-20	вирус-21	annotator4	4		вирус
вирус-20	вирус-21	annotator5	4		вирус
вирус-22	вирус-23	annotator1	4		вирус
вирус-22	вирус-23	annotator2	4		вирус
вирус-22	вирус-23	annotator3	1		вирус
вирус-22	вирус-23	annotator4	4		вирус
вирус-22	вирус-23	annotator5	4		вирус
вирус-24	вирус-25	annotator1	4		вирус
вирус-24	вирус-25	annotator2	4		вирус
вирус-24	вирус-25	annotator3	4		вирус
вирус-24	вирус-25	annotator4	4		вирус
вирус-24	вирус-25	annotator5	4		вирус
вирус-26	вирус-27	annotator1	4		вирус
вирус-26	вирус-27	annotator2	2		вирус
вирус-26	вирус-27	annotator3	4		вирус
вирус-26	вирус-27	annotator4	4		вирус
вирус-26	вирус-27	annotator5	4		вирус
вирус-28	вирус-29	annotator1	4		вирус
вирус-28	вирус-29	annotator2	4		вирус
вирус-28	вирус-29	annotator3	4		вирус
вирус-28	вирус-29	annotator4	4		вирус
вирус-28	вирус-29	annotator5	4		вирус
вирус-30	вирус-31	annotator1	4		вирус
вирус-30	вирус-31	annotator2	4		вирус
вирус-30	вирус-31	annotator3	4		вирус
вирус-30	вирус-31	annotator4	4		вирус
вирус-30	вирус-31	annotator5	4		вирус
вирус-32	вирус-33	annotator1	4		вирус
вирус-32	вирус-33	annotator2	4		вирус
вирус-32	вирус-33	annotator3	4		вирус
вирус-32	вирус-33	annotator4	4		вирус
вирус-32	вирус-33	annotator5	4		вирус
вирус-34	вирус-35	annotator1	2		вирус
вирус-34	вирус-35	annotator2	4		вирус
вирус-34	вирус-35	annotator3	4		вирус
вирус-34	вирус-35	annotator4	1		вирус
вирус-34	вирус-35	annotator5	2		вирус
вирус-36	вирус-37	annotator1	4		вирус
вирус-36	вирус-37	annotator2	3		вирус
вирус-36	вирус-37	annotator3	4		вирус
вирус-36	вирус-37	annotator4	4		вирус
вирус-36	вирус-37	annotator5	3		вирус
вирус-38	вирус-39	annotator1	4		вирус
вирус-38	вирус-39	annotator2	4		вирус
вирус-38	вирус-39	annotator3	4		вирус
вирус-38	вирус-39	annotator4	4		вирус
вирус-38	вирус-39	annotator5	4		вирус
вирус-40	вирус-41	annotator1	4		вирус
вирус-40	вирус-41	annotator2	4		вирус
вирус-40	вирус-41	annotator3	2		вирус
вирус-40	вирус-41	annotator4	4		вирус
вирус-40	вирус-41	annotator5	4		вирус
вирус-42	вирус-43	annotator1	4		вирус
