lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
вирус	NOUN	1918-1990	1	вирус-0		"В луче далекой звезды и в ревущем нефтяном фонтане, в волшебной постройке кораллов и в сияющих вершинах гор, в куске каменного угля и в яркой пластмассовой игрушке, в грохоте рвущейся в космос ракеты и в пузырьке с лекарством, в гордом полете орла и в силуэте вируса на экране электронного микроскопа -- всюду мы встречаем неисчерпаемый в своем многообразии удивительный элемент, занимающий шестую клетку менделеевской таблицы -- углерод".	261:267	0:440
вирус	NOUN	1918-1990	1	вирус-1		Зато насчет вирусов нашлись интересные мысли.	12:19	0:45
вирус	NOUN	1918-1990	1	вирус-2		Из неприятного: в Нью-Йорке эпидемия чудовищного вируса, который завезли, как говорят, с Гаити.	49:55	0:95
вирус	NOUN	1918-1990	1	вирус-3		-- Очевидно, бацилла "а" действует, как вирус гриппа.	40:45	0:53
вирус	NOUN	1918-1990	1	вирус-4		-- За последнее время около шестидесяти процентов заболевших или инфицированных в Москве получили вирус от женщин, -- говорит Полунин.	98:103	0:134
вирус	NOUN	1991-2017	2	вирус-5		Эти данные представляют большой интерес: выделение вируса из опухоли человека значительно приблизит ученых к пониманию механизма возникновения опухолей.	51:57	0:152
вирус	NOUN	1991-2017	2	вирус-6		1. Сравнение инфекционных фокусов вариантов WT и NPG вируса A/WSN/33 в культуре клеток MDCK.	53:59	0:92
вирус	NOUN	1991-2017	2	вирус-7		Люди, инфицированные ВИЧ, могут выглядеть и чувствовать себя здоровыми в течение ряда лет и, не зная, что они заражены, передавать вирус другим.	131:136	0:144
вирус	NOUN	1991-2017	2	вирус-8		А. Фаучи предпола ает, что, может быть, окажется возможным избавиться от резервуаров латентного ВИЧ, активируя латентно-инфицированные Т-СD4+-клетки с помощью цитокинов, вызывающих гибель этих клеток, одновременно с помощью химиотерапии предохраняя их от дальнейшего распространения вируса.	283:289	0:290
вирус	NOUN	1991-2017	2	вирус-9		Корреляции клинико-биохимического варианта течения хронической НСV-инфекции с репликативной активностью вируса и генотипом HCV не получено.	104:110	0:139
вирус	NOUN	1991-2017	2	вирус-10		Анализ аминокислотной последовательности тяжелой субъединицы гемагглютинина вируса гриппа А/Алма-Ата/1417/ 84 // Молекул, биол.	76:82	0:127
вирус	NOUN	1991-2017	2	вирус-11		Зачем пишут убивающие нас вирусы Разве мы не умрем все без исключения и так Если они уважают Аллаха, зачем они ускоряют его скрипты Говорят, нет ничего страшнее смерти от вирусного теракта.	26:32	0:189
вирус	NOUN	1918-1990	1	вирус-12		В нем плавает какой-то зловредный вирус, о чем сообщили в газетах.	34:39	0:66
вирус	NOUN	1918-1990	1	вирус-13		И все-таки даже после этого немецкий ученый Биттнер, открывший в 1936 году вирус рака молочной железы мышей, передающийся от матери к детенышам с молоком, побоялся назвать его вирусом и ограничился расплывчатой формулировкой "фактор молока", -- с таким большим трудом пробивала себе дорогу вирусологическая точка зрения на природу рака.	75:80	0:336
вирус	NOUN	1918-1990	1	вирус-14		В организм человека вирус попадает через рот.	20:25	0:45
вирус	NOUN	1918-1990	1	вирус-15		Лишь в XX в. впервые [с открытием] фильтрующихся вирусов в науке появились факты, заставляющие нас серьезно -- не философски, а научно -- ставить вопрос: имеем ли мы дело с живым природным телом или с телом природным неживым -- косным. научно исследуются явления, касающиеся в материально-энергетической среде проявлений, философски общих живым и косным природным телам.	49:56	0:370
вирус	NOUN	1918-1990	1	вирус-16		В то же время нам не удалось зарегистрировать сколько-нибудь ощутимые концентрации ИФ в трахее мышей даже на поздних этапах наблюдения, тогда как размножение вируса в этом случае отмечали.	158:164	0:188
вирус	NOUN	1991-2017	2	вирус-17		От животных -- к человеку Итак, онкогенные вирусы известны уже шестьдесят лет.	43:49	0:78
вирус	NOUN	1991-2017	2	вирус-18		Ведь генетики "стерилизуют" вирус: они удаляют из ДНК область, ответственную за размножение и начало инфекционного процесса.	28:33	0:124
вирус	NOUN	1991-2017	2	вирус-19		Экспериментальное исследование -- взаимоотношений вируса Карши с комарами Anopheles atroparvus и Culex pipiens molestus // Конференция по природной очаговости болезней, 10-я.	50:56	0:174
вирус	NOUN	1991-2017	2	вирус-20		Все другие адамантансодержащие полимерные препараты в той или иной степени ингибировали репродукцию вируса гриппа при дозах заражения 100 и 1000 ТИД50 (см. рис. 2, в), но действие их было несколько слабее, чем у препарата АС-342, антивирусная активность которого сопоставима с ремантадином.	100:106	0:290
вирус	NOUN	1991-2017	2	вирус-21		Вопрос о вероятной принадлежности изолята Турецкий к вирусам комплекса КЭ (но не к вирусу КЭ) уже поднимался в литературе [17].	53:60	0:127
вирус	NOUN	1918-1990	1	вирус-22		Все попытки выделить вирус непосредственно из такой опухоли были до сих пор неудачными.	21:26	0:87
вирус	NOUN	1918-1990	1	вирус-23		Недавно обнаружено, что вирусы в мумиях египетских фараонов пережили двадцать с лишним веков.	24:30	0:93
вирус	NOUN	1918-1990	1	вирус-24		Выделение вируса лихорадки Западного Нила от больных людей в период эпидемической вспышки в Волгоградской области, Краснодарском крае и Астраханской области Оригинальные исследования Во время вспышки серозного менингита и менингоэнцефалита в июле-сентябре 1999 г. в Волгоградской области, Краснодарском крае и Астраханской области из фрагментов мозга умершего и из крови больного выделено 2 штамма вируса Западного Нила, обозначенных LEIV 27889 Vlg и Act 986 соответственно.	10:16	0:474
вирус	NOUN	1991-2017	2	вирус-25		Вирусы не способны размножаться самостоятельно.	0:6	0:47
вирус	NOUN	1918-1990	1	вирус-26		Выделение вируса паротита из слюны больных проводили на культуре клеток Vero.	10:16	0:77
вирус	NOUN	1991-2017	2	вирус-27		Гриппозный вирус боится свежего воздуха.	11:16	0:40
вирус	NOUN	1918-1990	1	вирус-28		Высокий уровень ассоциации HHV-8 с СК, с одной стороны, и высокий процент диагностических ошибок при данной патологии кожи -- с другой, выдвигают в качестве актуального вопрос об использовании маркеров вируса для дифференциальной диагностики заболевания.	202:208	0:254
вирус	NOUN	1991-2017	2	вирус-29		Вирусы онкогенные и инфекционные В чем же различие между вирусами, вызывающими опухоли, и "обычными" -- такими, например, как вирус гриппа Долгое время ученые не могли этого понять.	0:6	0:181
вирус	NOUN	1918-1990	1	вирус-30		Другой возможной причиной локализации инфекционного процесса у мышей, зараженных штаммом ЕР-2 ВОК, может быть выявленная неспособность данного вируса размножаться в макрофагальных клетках, критическая роль которых для развития летальной инфекции у мышей была показана ранее для родственного вируса оспы мышей [6].	143:149	0:313
вирус	NOUN	1991-2017	2	вирус-31		При каждой новой победе вирусологии мы вспоминаем русского ученого Д. И. Ивановского, являющегося признанным во всем мире основателем учения о фильтрующихся вирусах.	24:35	0:165
вирус	NOUN	1991-2017	2	вирус-32		Зависимость ингибирования репликации вируса ВЭЛ от температуры и времени добавления антител после инфицирования клеток При инфицировании клеток Vero после их предварительной обработки антителами к рЛСБ при 4 и 37C наблюдали одинаковый эффект подавления инфекционности вируса.	37:43	0:275
вирус	NOUN	1991-2017	2	вирус-33		Определение типоспецифических антител к вирусу гепатита дельта на основе синтетических пептидов // Вопр. вирусол.	40:46	0:113
вирус	NOUN	1991-2017	2	вирус-34		И вдруг, на 36-м году жизни, во мне активизировался дремавший до поры мотоциклетный вирус.	84:89	0:90
вирус	NOUN	1991-2017	2	вирус-35		В 5 подопытных флаконов (один из которых служил контролем вируса) вносили ВГС (штамм С-13 в разведении 10(-4)), инкубировали 48 ч при 37C, затем обрабатывали либо кагоцелом, либо циклофероном, либо саврацем в стандартных концентрациях, оставляя 1 флакон необработанным в качестве контроля вируса.	58:64	0:296
вирус	NOUN	1918-1990	1	вирус-36		И напрасно: между бородавками человека -- небольшими кожными опухолями, вызываемыми вирусом, и бородавками жабы нет ничего общего.	84:91	0:130
вирус	NOUN	1918-1990	1	вирус-37		Несмотря на то, что вирусы очень маленькие, строение их очень сложно, и для того чтобы полностью расшифровать функцию каждой химической и физической структуры, из которой состоит вирус, необходимо использовать самые современные физические и химические методы исследования.	20:26	0:272
вирус	NOUN	1991-2017	2	вирус-38		Инфекционность дельта-агента связана с присутствием в организме вируса гепатита В (HBV) и реализуется в виде супер- или конинфекции с последним.	64:70	0:144
вирус	NOUN	1991-2017	2	вирус-39		1, при высокой множественности инфекции (10( в 6) ЦПД 50/мл) ГА достоверно обнаруживался уже на 3-й сутки, но наиболее высокие титры (128-256 и выше) наблюдались на 4-6-й день, когда наступал выраженный цитопатический эффект и в культуральную среду поступали внутриклеточные структурные белки вируса краснухи Е1 и E2.	293:299	0:317
вирус	NOUN	1918-1990	1	вирус-40		Как видно, пассирование вирусов в присутствии альфа-ИФН приводит к практически полному исчезновению вирусспецифических белков в обоих случаях.	24:31	0:142
