identifier1	identifier2	annotator	judgment	comment	lemma
выплеск-0	выплеск-1	annotator1	4		выплеск
выплеск-0	выплеск-1	annotator2	4		выплеск
выплеск-0	выплеск-1	annotator3	4		выплеск
выплеск-0	выплеск-1	annotator4	4		выплеск
выплеск-0	выплеск-1	annotator5	4		выплеск
выплеск-2	выплеск-3	annotator1	4		выплеск
выплеск-2	выплеск-3	annotator2	2		выплеск
выплеск-2	выплеск-3	annotator3	4		выплеск
выплеск-2	выплеск-3	annotator4	4		выплеск
выплеск-2	выплеск-3	annotator5	4		выплеск
выплеск-4	выплеск-5	annotator1	4		выплеск
выплеск-4	выплеск-5	annotator2	4		выплеск
выплеск-4	выплеск-5	annotator3	2		выплеск
выплеск-4	выплеск-5	annotator4	4		выплеск
выплеск-4	выплеск-5	annotator5	4		выплеск
выплеск-6	выплеск-7	annotator1	4		выплеск
выплеск-6	выплеск-7	annotator2	3		выплеск
выплеск-6	выплеск-7	annotator3	4		выплеск
выплеск-6	выплеск-7	annotator4	4		выплеск
выплеск-6	выплеск-7	annotator5	3		выплеск
выплеск-8	выплеск-9	annotator1	4		выплеск
выплеск-8	выплеск-9	annotator2	4		выплеск
выплеск-8	выплеск-9	annotator3	3		выплеск
выплеск-8	выплеск-9	annotator4	4		выплеск
выплеск-8	выплеск-9	annotator5	4		выплеск
выплеск-10	выплеск-11	annotator1	1		выплеск
выплеск-10	выплеск-11	annotator2	2		выплеск
выплеск-10	выплеск-11	annotator3	1		выплеск
выплеск-10	выплеск-11	annotator4	3		выплеск
выплеск-10	выплеск-11	annotator5	1		выплеск
выплеск-12	выплеск-13	annotator1	4		выплеск
выплеск-12	выплеск-13	annotator2	4		выплеск
выплеск-12	выплеск-13	annotator3	3		выплеск
выплеск-12	выплеск-13	annotator4	2		выплеск
выплеск-12	выплеск-13	annotator5	2		выплеск
выплеск-14	выплеск-15	annotator1	4		выплеск
выплеск-14	выплеск-15	annotator2	1		выплеск
выплеск-14	выплеск-15	annotator3	3		выплеск
выплеск-14	выплеск-15	annotator4	4		выплеск
выплеск-14	выплеск-15	annotator5	4		выплеск
выплеск-16	выплеск-17	annotator1	3		выплеск
выплеск-16	выплеск-17	annotator2	4		выплеск
выплеск-16	выплеск-17	annotator3	3		выплеск
выплеск-16	выплеск-17	annotator4	4		выплеск
выплеск-16	выплеск-17	annotator5	4		выплеск
выплеск-18	выплеск-19	annotator1	4		выплеск
выплеск-18	выплеск-19	annotator2	4		выплеск
выплеск-18	выплеск-19	annotator3	4		выплеск
выплеск-18	выплеск-19	annotator4	4		выплеск
выплеск-18	выплеск-19	annotator5	4		выплеск
выплеск-20	выплеск-21	annotator1	1		выплеск
выплеск-20	выплеск-21	annotator2	4		выплеск
выплеск-20	выплеск-21	annotator3	3		выплеск
выплеск-20	выплеск-21	annotator4	4		выплеск
выплеск-20	выплеск-21	annotator5	3		выплеск
выплеск-22	выплеск-23	annotator1	1		выплеск
выплеск-22	выплеск-23	annotator2	1		выплеск
выплеск-22	выплеск-23	annotator3	1		выплеск
выплеск-22	выплеск-23	annotator4	3		выплеск
выплеск-22	выплеск-23	annotator5	1		выплеск
выплеск-24	выплеск-25	annotator1	4		выплеск
выплеск-24	выплеск-25	annotator2	2		выплеск
выплеск-24	выплеск-25	annotator3	2		выплеск
выплеск-24	выплеск-25	annotator4	3		выплеск
выплеск-24	выплеск-25	annotator5	2		выплеск
выплеск-26	выплеск-27	annotator1	4		выплеск
выплеск-26	выплеск-27	annotator2	4		выплеск
выплеск-26	выплеск-27	annotator3	4		выплеск
выплеск-26	выплеск-27	annotator4	4		выплеск
выплеск-26	выплеск-27	annotator5	3		выплеск
выплеск-28	выплеск-29	annotator1	1		выплеск
выплеск-28	выплеск-29	annotator2	4		выплеск
выплеск-28	выплеск-29	annotator3	4		выплеск
выплеск-28	выплеск-29	annotator4	3		выплеск
выплеск-28	выплеск-29	annotator5	4		выплеск
