lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
выплеск	NOUN	1991-2017	2	выплеск-0		-- А кто будет править княжением, пока мы с тобой будем выращивать невесту для хорошего воина -- Ольга уже с трудом сдерживала себя от выплеска княжеского гнева.	135:143	0:161
выплеск	NOUN	1991-2017	2	выплеск-1		Как вы считаете, выплеск агрессии на экран не может спровоцировать агрессию в жизни В. Огородников.	17:24	0:99
выплеск	NOUN	1918-1990	1	выплеск-2		А погром -- это пустой и бессмысленный выплеск отрицательной энергии.	39:46	0:69
выплеск	NOUN	1991-2017	2	выплеск-3		Жора всю свою собранную в сердце жизнь, собранную для великого выплеска, разменяет по мелочам пьяных или полупьяных экзотических разговоров.	63:71	0:140
выплеск	NOUN	1991-2017	2	выплеск-4		Александров Алексей Святослав -- один из основателей движения Дети Ра, провозгласившего поэзию формой духовного протуберанца; протуберанец может быть разным и даже не очень большим, но он протуберанец, а не выплеск грязи из лужи от колеса проехавшего автомобиля (см.	207:214	0:266
выплеск	NOUN	1991-2017	2	выплеск-5		Другие предлагают то, о чем мечтают дети: приключения на отдыхе, самостоятельная жизнь, выплеск энергии и возможность отдохнуть от взрослых.	88:95	0:140
выплеск	NOUN	1918-1990	1	выплеск-6		Волны упорствовали на своем: волна за волной могуче взбегали на штурм суши вверх по холодному и жесткому насту намытого песка, вверх через бурые, осклизлые завалы камней, вверх -- сколько сил и размаха хватало, и волна за волной угасали, как выдох, на последней черте выплеска, оставляя по себе мгновенную пену да прелый запах взболтанных водорослей.	268:276	0:350
выплеск	NOUN	1918-1990	1	выплеск-7		В середине и конце лета песчаный выплеск Труханова острова подходит чуть ли не к самому правому берегу, а причалы на нем становятся похожими на длинные недостроенные мосты -- так мелеет и сужается река.	33:40	0:202
выплеск	NOUN	1918-1990	1	выплеск-8		Все во мне зудит (так он и сказал), требует немедленного выплеска.	57:65	0:66
выплеск	NOUN	1991-2017	2	выплеск-9		Не исключено, что вся эта встряска закончится мирно, но Яго нужен этот открытый поступок, этот выплеск ярости, эта ночная истерика.	95:102	0:131
выплеск	NOUN	1918-1990	1	выплеск-10		Его манят движение, разворот событий, неудержимый выплеск национальной энергии и национальной же боли, вовлечение индивидуального во всеобщее.	50:57	0:142
выплеск	NOUN	1991-2017	2	выплеск-11		И называется этот выплеск Зурбаганом.	18:25	0:37
выплеск	NOUN	1918-1990	1	выплеск-12		Еще одним примером выплеска терминов одного уровня на другой уровень является слово "вера".	19:27	0:91
выплеск	NOUN	1918-1990	1	выплеск-13		Говорит, что за последние годы устал, измучился оттого, что режиссеры требуют форсировать, играть и репетировать на пределе, что они требуют выплеска всего темперамента, какой только у тебя есть, и т.д. и т.п.	141:149	0:209
выплеск	NOUN	1918-1990	1	выплеск-14		Здесь нет никакого выплеска гражданской скорби.	19:27	0:47
выплеск	NOUN	1991-2017	2	выплеск-15		Энергия, заложенная в нас, требовала исхода, "выплеска" и воплощалась в серии нелепых движений, которые только мы могли назвать "танцем".	20:21	0:137
выплеск	NOUN	1918-1990	1	выплеск-16		Любопытно, у меня и раньше были запойные рабочие дни и даже недели, но такого яростного выхода, выплеска творческих эмоций у меня еще не случалось.	96:104	0:147
выплеск	NOUN	1991-2017	2	выплеск-17		Простор для возможного выплеска темперамента, для более открыто волнующего рисунка.	23:31	0:83
