identifier1	identifier2	annotator	judgment	comment	lemma
вышка-0-13	вышка-1-13	annotator1	1		вышка
вышка-28-13	вышка-29-13	annotator1	1		вышка
вышка-26-13	вышка-27-13	annotator1	4		вышка
вышка-60-13	вышка-61-13	annotator1	1		вышка
вышка-74-13	вышка-75-13	annotator1	4		вышка
вышка-24-13	вышка-25-13	annotator1	1		вышка
вышка-68-13	вышка-69-13	annotator1	3		вышка
вышка-90-13	вышка-91-13	annotator1	3		вышка
вышка-6-13	вышка-7-13	annotator1	4		вышка
вышка-62-13	вышка-63-13	annotator1	4		вышка
вышка-118-13	вышка-119-13	annotator1	1		вышка
вышка-2-13	вышка-3-13	annotator1	3		вышка
вышка-8-13	вышка-9-13	annotator1	1		вышка
вышка-64-13	вышка-65-13	annotator1	1		вышка
вышка-14-13	вышка-15-13	annotator1	4		вышка
вышка-12-13	вышка-13-13	annotator1	1		вышка
вышка-72-13	вышка-73-13	annotator1	4		вышка
вышка-66-13	вышка-67-13	annotator1	4		вышка
вышка-22-13	вышка-23-13	annotator1	1		вышка
вышка-70-13	вышка-71-13	annotator1	3		вышка
вышка-116-13	вышка-117-13	annotator1	4		вышка
вышка-114-13	вышка-115-13	annotator1	4		вышка
вышка-106-13	вышка-107-13	annotator1	4		вышка
вышка-96-13	вышка-97-13	annotator1	1		вышка
вышка-94-13	вышка-95-13	annotator1	1		вышка
вышка-108-13	вышка-109-13	annotator1	1		вышка
вышка-92-13	вышка-93-13	annotator1	1		вышка
вышка-98-13	вышка-99-13	annotator1	3		вышка
вышка-110-13	вышка-111-13	annotator1	4		вышка
вышка-104-13	вышка-105-13	annotator1	3		вышка
вышка-102-13	вышка-103-13	annotator1	4		вышка
вышка-112-13	вышка-113-13	annotator1	2		вышка
вышка-100-13	вышка-101-13	annotator1	4		вышка
вышка-20-13	вышка-21-13	annotator1	3		вышка
вышка-18-13	вышка-19-13	annotator1	3		вышка
вышка-16-13	вышка-17-13	annotator1	4		вышка
вышка-10-13	вышка-11-13	annotator1	1		вышка
вышка-4-13	вышка-5-13	annotator1	4		вышка
вышка-44-13	вышка-45-13	annotator1	4		вышка
вышка-54-13	вышка-55-13	annotator1	2		вышка
вышка-88-13	вышка-89-13	annotator1	3		вышка
вышка-58-13	вышка-59-13	annotator1	3		вышка
вышка-34-13	вышка-35-13	annotator1	4		вышка
вышка-78-13	вышка-79-13	annotator1	1		вышка
вышка-80-13	вышка-81-13	annotator1	4		вышка
вышка-46-13	вышка-47-13	annotator1	1		вышка
вышка-30-13	вышка-31-13	annotator1	4		вышка
вышка-42-13	вышка-43-13	annotator1	3		вышка
вышка-56-13	вышка-57-13	annotator1	1		вышка
