lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
вышка	NOUN	1918-1990	1	вышка-0-13		Буза пахнет вышкой", -- так вот откуда взял Грабарь слова для своей просьбы о помиловании", -- подумал Анатолий Васильевич, слушая Зубаренко.	12:18	0:141
вышка	NOUN	1918-1990	1	вышка-115-13		На большой площади по отлогим склонам Ходиной балки стояли первые вышки скважин и качали нефть.	66:71	0:95
вышка	NOUN	1918-1990	1	вышка-114-13		Часовые на вышках следят: к бровке нельзя подходить заключенным.	11:17	0:64
вышка	NOUN	1918-1990	1	вышка-12-13		А пока он был в запое, телевизионная вышка упала, не выдержав порыва ураганного ветра.	37:42	0:86
вышка	NOUN	1918-1990	1	вышка-54-13		На Замоскворецком радиусе уже работают пять буровых вышек, на Покровском -- шесть.	52:57	0:82
вышка	NOUN	1918-1990	1	вышка-109-13		Значит, несменно дозорные должны особенно бдительно держать стражу на вышках во имя Истины.	70:76	0:91
вышка	NOUN	1918-1990	1	вышка-108-13		Так, в пятом номере за этот год была опубликована статья Льва Юдасева "Основание для выбора оснований", где упоминается о том, что проблема защиты нефтяных вышек от движущихся ледяных полей еще не решена.	156:161	0:204
вышка	NOUN	1918-1990	1	вышка-55-13		По образовавшейся гигантской куче людей две вышки открыли пулеметный огонь.	44:49	0:75
вышка	NOUN	1918-1990	1	вышка-106-13		Солнце помялось-помаялось невысоко над горизонтом в раздумье, словно трусоватый пловец перед прыжком с водной вышки, а потом набралось-таки духу и сигануло за еловый лесок в пустую ракетную шахту, где с комфортом (остаточная радиация солнцу была до лампады) устроилось на ночлег, предварительно затворив за собой стотонный свинцовый люк.	110:115	0:337
вышка	NOUN	1918-1990	1	вышка-56-13		На вододроме стояло двухэтажное здание (вышка руководства занятиями), с трех сторон окруженное замерзшим озером.	40:45	0:112
вышка	NOUN	1918-1990	1	вышка-104-13		Система охраны стены постоянно совершенствовалась: к уже существующим бетонным заграждениям, пулеметным вышкам и собакам постоянно добавлялись все новые хитрые самострелы, мины-ловушки.	104:110	0:185
вышка	NOUN	1918-1990	1	вышка-102-13		С полночи заступил на родную свою вышку.	34:39	0:40
вышка	NOUN	1918-1990	1	вышка-101-13		-- И с вышки прыгает.	7:12	0:21
