identifier1	identifier2	annotator	judgment	comment	lemma
гермафродит-6-13	гермафродит-7-13	annotator1	1		гермафродит
гермафродит-0-13	гермафродит-1-13	annotator1	4		гермафродит
гермафродит-22-13	гермафродит-23-13	annotator1	4		гермафродит
гермафродит-20-13	гермафродит-21-13	annotator1	3		гермафродит
гермафродит-18-13	гермафродит-19-13	annotator1	4		гермафродит
гермафродит-4-13	гермафродит-5-13	annotator1	4		гермафродит
гермафродит-8-13	гермафродит-9-13	annotator1	2		гермафродит
гермафродит-10-13	гермафродит-11-13	annotator1	3		гермафродит
гермафродит-12-13	гермафродит-13-13	annotator1	1		гермафродит
гермафродит-2-13	гермафродит-3-13	annotator1	4		гермафродит
гермафродит-16-13	гермафродит-17-13	annotator1	4		гермафродит
гермафродит-14-13	гермафродит-15-13	annotator1	3		гермафродит
гермафродит-8-13	гермафродит-9-13	annotator2	3		гермафродит
гермафродит-10-13	гермафродит-11-13	annotator2	4		гермафродит
гермафродит-6-13	гермафродит-7-13	annotator2	1		гермафродит
гермафродит-4-13	гермафродит-5-13	annotator2	4		гермафродит
гермафродит-14-13	гермафродит-15-13	annotator2	4		гермафродит
гермафродит-18-13	гермафродит-19-13	annotator2	4		гермафродит
гермафродит-12-13	гермафродит-13-13	annotator2	1		гермафродит
гермафродит-2-13	гермафродит-3-13	annotator2	2		гермафродит
гермафродит-20-13	гермафродит-21-13	annotator2	3		гермафродит
гермафродит-16-13	гермафродит-17-13	annotator2	4		гермафродит
гермафродит-22-13	гермафродит-23-13	annotator2	4		гермафродит
гермафродит-0-13	гермафродит-1-13	annotator2	3		гермафродит
гермафродит-12-13	гермафродит-13-13	annotator3	1		гермафродит
гермафродит-18-13	гермафродит-19-13	annotator3	1		гермафродит
гермафродит-22-13	гермафродит-23-13	annotator3	3		гермафродит
гермафродит-16-13	гермафродит-17-13	annotator3	3		гермафродит
гермафродит-20-13	гермафродит-21-13	annotator3	4		гермафродит
гермафродит-10-13	гермафродит-11-13	annotator3	4		гермафродит
гермафродит-6-13	гермафродит-7-13	annotator3	4		гермафродит
гермафродит-8-13	гермафродит-9-13	annotator3	1		гермафродит
гермафродит-2-13	гермафродит-3-13	annotator3	4		гермафродит
гермафродит-0-13	гермафродит-1-13	annotator3	4		гермафродит
гермафродит-14-13	гермафродит-15-13	annotator3	4		гермафродит
гермафродит-4-13	гермафродит-5-13	annotator3	4		гермафродит
гермафродит-0-13	гермафродит-1-13	annotator4	4		гермафродит
гермафродит-6-13	гермафродит-7-13	annotator4	3		гермафродит
гермафродит-14-13	гермафродит-15-13	annotator4	2		гермафродит
гермафродит-12-13	гермафродит-13-13	annotator4	4		гермафродит
гермафродит-8-13	гермафродит-9-13	annotator4	3		гермафродит
гермафродит-16-13	гермафродит-17-13	annotator4	4		гермафродит
гермафродит-10-13	гермафродит-11-13	annotator4	4		гермафродит
гермафродит-4-13	гермафродит-5-13	annotator4	1		гермафродит
гермафродит-2-13	гермафродит-3-13	annotator4	4		гермафродит
гермафродит-18-13	гермафродит-19-13	annotator4	2		гермафродит
гермафродит-22-13	гермафродит-23-13	annotator4	1		гермафродит
гермафродит-20-13	гермафродит-21-13	annotator4	3		гермафродит
гермафродит-4-13	гермафродит-5-13	annotator5	4		гермафродит
гермафродит-18-13	гермафродит-19-13	annotator5	4		гермафродит
гермафродит-0-13	гермафродит-1-13	annotator5	4		гермафродит
гермафродит-12-13	гермафродит-13-13	annotator5	3		гермафродит
гермафродит-16-13	гермафродит-17-13	annotator5	4		гермафродит
гермафродит-10-13	гермафродит-11-13	annotator5	4		гермафродит
гермафродит-6-13	гермафродит-7-13	annotator5	4		гермафродит
гермафродит-14-13	гермафродит-15-13	annotator5	4		гермафродит
гермафродит-20-13	гермафродит-21-13	annotator5	3		гермафродит
гермафродит-22-13	гермафродит-23-13	annotator5	4		гермафродит
гермафродит-2-13	гермафродит-3-13	annotator5	3		гермафродит
гермафродит-8-13	гермафродит-9-13	annotator5	3		гермафродит
