identifier1	identifier2	annotator	judgment	comment	lemma
гильдия-0	гильдия-1	annotator1	4		гильдия
гильдия-0	гильдия-1	annotator2	4		гильдия
гильдия-0	гильдия-1	annotator3	4		гильдия
гильдия-0	гильдия-1	annotator4	1		гильдия
гильдия-0	гильдия-1	annotator5	1		гильдия
гильдия-2	гильдия-3	annotator1	4		гильдия
гильдия-2	гильдия-3	annotator2	4		гильдия
гильдия-2	гильдия-3	annotator3	4		гильдия
гильдия-2	гильдия-3	annotator4	3		гильдия
гильдия-2	гильдия-3	annotator5	4		гильдия
гильдия-4	гильдия-5	annotator1	3		гильдия
гильдия-4	гильдия-5	annotator2	4		гильдия
гильдия-4	гильдия-5	annotator3	1		гильдия
гильдия-4	гильдия-5	annotator4	3		гильдия
гильдия-4	гильдия-5	annotator5	4		гильдия
гильдия-6	гильдия-7	annotator1	4		гильдия
гильдия-6	гильдия-7	annotator2	4		гильдия
гильдия-6	гильдия-7	annotator3	4		гильдия
гильдия-6	гильдия-7	annotator4	4		гильдия
гильдия-6	гильдия-7	annotator5	4		гильдия
гильдия-8	гильдия-9	annotator1	1		гильдия
гильдия-8	гильдия-9	annotator2	4		гильдия
гильдия-8	гильдия-9	annotator3	3		гильдия
гильдия-8	гильдия-9	annotator4	3		гильдия
гильдия-8	гильдия-9	annotator5	4		гильдия
гильдия-10	гильдия-11	annotator1	1		гильдия
гильдия-10	гильдия-11	annotator2	4		гильдия
гильдия-10	гильдия-11	annotator3	3		гильдия
гильдия-10	гильдия-11	annotator4	1		гильдия
гильдия-10	гильдия-11	annotator5	1		гильдия
гильдия-12	гильдия-13	annotator1	2		гильдия
гильдия-12	гильдия-13	annotator2	4		гильдия
гильдия-12	гильдия-13	annotator3	4		гильдия
гильдия-12	гильдия-13	annotator4	2		гильдия
гильдия-12	гильдия-13	annotator5	2		гильдия
гильдия-14	гильдия-15	annotator1	4		гильдия
гильдия-14	гильдия-15	annotator2	4		гильдия
гильдия-14	гильдия-15	annotator3	4		гильдия
гильдия-14	гильдия-15	annotator4	4		гильдия
гильдия-14	гильдия-15	annotator5	4		гильдия
гильдия-16	гильдия-17	annotator1	3		гильдия
гильдия-16	гильдия-17	annotator2	1		гильдия
гильдия-16	гильдия-17	annotator3	3		гильдия
гильдия-16	гильдия-17	annotator4	2		гильдия
гильдия-16	гильдия-17	annotator5	4		гильдия
гильдия-18	гильдия-19	annotator1	4		гильдия
гильдия-18	гильдия-19	annotator2	4		гильдия
гильдия-18	гильдия-19	annotator3	4		гильдия
гильдия-18	гильдия-19	annotator4	4		гильдия
гильдия-18	гильдия-19	annotator5	4		гильдия
гильдия-20	гильдия-21	annotator1	4		гильдия
гильдия-20	гильдия-21	annotator2	3		гильдия
гильдия-20	гильдия-21	annotator3	4		гильдия
гильдия-20	гильдия-21	annotator4	4		гильдия
гильдия-20	гильдия-21	annotator5	4		гильдия
гильдия-22	гильдия-23	annotator1	4		гильдия
гильдия-22	гильдия-23	annotator2	4		гильдия
гильдия-22	гильдия-23	annotator3	4		гильдия
гильдия-22	гильдия-23	annotator4	4		гильдия
гильдия-22	гильдия-23	annotator5	4		гильдия
гильдия-24	гильдия-25	annotator1	4		гильдия
гильдия-24	гильдия-25	annotator2	4		гильдия
гильдия-24	гильдия-25	annotator3	4		гильдия
гильдия-24	гильдия-25	annotator4	4		гильдия
гильдия-24	гильдия-25	annotator5	4		гильдия
гильдия-26	гильдия-27	annotator1	2		гильдия
гильдия-26	гильдия-27	annotator2	1		гильдия
гильдия-26	гильдия-27	annotator3	3		гильдия
гильдия-26	гильдия-27	annotator4	1		гильдия
гильдия-26	гильдия-27	annotator5	1		гильдия
гильдия-28	гильдия-29	annotator1	3		гильдия
гильдия-28	гильдия-29	annotator2	3		гильдия
гильдия-28	гильдия-29	annotator3	1		гильдия
гильдия-28	гильдия-29	annotator4	2		гильдия
гильдия-28	гильдия-29	annotator5	4		гильдия
гильдия-30	гильдия-31	annotator1	3		гильдия
гильдия-30	гильдия-31	annotator2	4		гильдия
гильдия-30	гильдия-31	annotator3	4		гильдия
гильдия-30	гильдия-31	annotator4	4		гильдия
гильдия-30	гильдия-31	annotator5	4		гильдия
гильдия-32	гильдия-33	annotator1	4		гильдия
гильдия-32	гильдия-33	annotator2	3		гильдия
гильдия-32	гильдия-33	annotator3	4		гильдия
гильдия-32	гильдия-33	annotator4	4		гильдия
гильдия-32	гильдия-33	annotator5	4		гильдия
гильдия-34	гильдия-35	annotator1	4		гильдия
гильдия-34	гильдия-35	annotator2	4		гильдия
гильдия-34	гильдия-35	annotator3	4		гильдия
гильдия-34	гильдия-35	annotator4	4		гильдия
гильдия-34	гильдия-35	annotator5	4		гильдия
гильдия-36	гильдия-37	annotator1	2		гильдия
гильдия-36	гильдия-37	annotator2	4		гильдия
гильдия-36	гильдия-37	annotator3	4		гильдия
гильдия-36	гильдия-37	annotator4	4		гильдия
гильдия-36	гильдия-37	annotator5	3		гильдия
гильдия-38	гильдия-39	annotator1	3		гильдия
гильдия-38	гильдия-39	annotator2	2		гильдия
гильдия-38	гильдия-39	annotator3	4		гильдия
гильдия-38	гильдия-39	annotator4	3		гильдия
гильдия-38	гильдия-39	annotator5	1		гильдия
гильдия-40	гильдия-41	annotator1	4		гильдия
гильдия-40	гильдия-41	annotator2	3		гильдия
гильдия-40	гильдия-41	annotator3	3		гильдия
гильдия-40	гильдия-41	annotator4	2		гильдия
гильдия-40	гильдия-41	annotator5	4		гильдия
гильдия-42	гильдия-43	annotator1	4		гильдия
гильдия-42	гильдия-43	annotator2	4		гильдия
гильдия-42	гильдия-43	annotator3	4		гильдия
гильдия-42	гильдия-43	annotator4	4		гильдия
гильдия-42	гильдия-43	annotator5	4		гильдия
гильдия-44	гильдия-45	annotator1	4		гильдия
гильдия-44	гильдия-45	annotator2	3		гильдия
гильдия-44	гильдия-45	annotator3	1		гильдия
гильдия-44	гильдия-45	annotator4	4		гильдия
гильдия-44	гильдия-45	annotator5	2		гильдия
гильдия-46	гильдия-47	annotator1	4		гильдия
гильдия-46	гильдия-47	annotator2	1		гильдия
гильдия-46	гильдия-47	annotator3	4		гильдия
гильдия-46	гильдия-47	annotator4	1		гильдия
гильдия-46	гильдия-47	annotator5	4		гильдия
гильдия-48	гильдия-49	annotator1	4		гильдия
