lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
гильдия	NOUN	1918-1990	1	гильдия-0		"Запись в метрической книге Таганрогской соборной церкви: "1860 года месяца Генваря 17-го дня рожден, а 27-го крещен Антоний; родители его: таганрогский купец третьей гильдии Павел Георгиевич Чехов и законная жена его Евгения Яковлевна; восприемники: таганрогский купеческий брат Спиридон Титов и таганрогского третьей гильдии купца Дмитрия Сафьянополу жена"".	167:174	0:360
гильдия	NOUN	1918-1990	1	гильдия-1		Состоя председателем в комиссии о назначении лиц на общественные должности при Купеческом обществе, обязательные купцам, уплачивающим гильдию, Найденов настоял назначить П.Д.	134:141	0:174
гильдия	NOUN	1991-2017	2	гильдия-2		-- А ты-то сам, Ян, к какой гильдии принадлежишь, к какому цеху -- спросил он, глядя в сторону, на набережную Ялты, где юркал из магазина в магазин наш простой советский народ.	28:35	0:176
гильдия	NOUN	1991-2017	2	гильдия-3		Текутьева -- будущего пятого Почётного гражданина Тюмени (1906 г.). 22 мая следующего года новый предводитель и 1-й гильдии купец открывает в своём доме на Иркутской улице библиотеку имени А. С.	116:123	0:194
гильдия	NOUN	1918-1990	1	гильдия-4		-- Меня поражает закрытость этой "стройки века", -- говорит член гильдии экспертов Союза архитекторов России Юрий Корякин.	65:72	0:122
гильдия	NOUN	1991-2017	2	гильдия-5		Знаменитая новгородская купеческая гильдия "Иваньское сто" объединяла купцов-вощников.	35:42	0:86
гильдия	NOUN	1918-1990	1	гильдия-6		-- Не хотите ли вы сказать, что красное знамя, на гильдии ткачей вывешено по приказу из Москвы -- Ох!	50:57	0:101
гильдия	NOUN	1918-1990	1	гильдия-7		Он был членом местной гильдии башмачников.	22:29	0:42
гильдия	NOUN	1918-1990	1	гильдия-8		-- Тут, кстати, вы, мой друг, узнаете и краткую историю гильдии до наших критических дней.	56:63	0:90
гильдия	NOUN	1918-1990	1	гильдия-9		Посланы были два рассыльщика из дюжих второй гильдии купцов, и повелено было тем рассылыцикам: -- Требовать должника в словесный суд неотступно.	45:52	0:144
гильдия	NOUN	1918-1990	1	гильдия-10		-Письмо настоящее (слева) и фальсифицированное (справа) АНДРЕЙ ГУСЕВ, ВИЦЕ-ПРЕЗИДЕНТ РОССИЙСКОЙ ГИЛЬДИИ РИЭЛТЕРОВ: "...МЫ УБЕЖДЕННЫЕ, ПОСЛЕДОВАТЕЛЬНЫЕ ПРОТИ (Выступление вице-президента Российской гильдии риэлтеров Андрея Гусева приведено по магнитофонной записи.	96:103	0:263
гильдия	NOUN	1991-2017	2	гильдия-11		-- Под одним письмом ко мне Лютов подписался: "Московский, первой гильдии, лишний человек".	66:73	0:91
гильдия	NOUN	1991-2017	2	гильдия-12		2-й гильдии купцы Ф. С. Колмогоров и И. А.	4:11	0:42
гильдия	NOUN	1991-2017	2	гильдия-13		Но аффект ненависти против своей гильдии -- это психическая патология, если в основе лежит надрывная ненависть к себе самому, и гораздо более вульгарная низость, если в основе лежит ненависть к коллегам и конкурентам, к тем, кого все время приходится встречать и дышать с ними одним воздухом.	33:40	0:292
гильдия	NOUN	1991-2017	2	гильдия-14		9 ноября того же года 2-й гильдии купцом Тюфиным был организован и обед, и бал городского общества в честь пребывания в Тюмени инициатора постройки Уральско-Сибирской железной дороги и геодезических изысканий по намеченной трассе -- полковника Е. В.	26:33	0:249
гильдия	NOUN	1991-2017	2	гильдия-15		Олег ЕГОРОВ, Президент Поволжской гильдии риэлторов.	34:41	0:52
гильдия	NOUN	1918-1990	1	гильдия-16		Гильдия предприятий торговли по почте планирует серьезно повлиять на эту ситуацию, начав со следующего учебного года регулярные образовательные мероприятия как для менеджеров фирм -- членов Гильдии, так и для других участников рынка.	0:7	0:233
гильдия	NOUN	1991-2017	2	гильдия-17		-- Ведь сам-то из купцов я буду -- да, да, из московских купцов, во второй гильдии числился, мелочным товаром торговал.	75:82	0:119
гильдия	NOUN	1918-1990	1	гильдия-18		А именно: ежели в драке вырвут бороду купцу первой гильдии -- штраф сто рублей, за бороду второй гильдии -- пятьдесят рублей, а за бороду третьей гильдии -- тридцать два рубля с полтиной.	51:58	0:187
гильдия	NOUN	1918-1990	1	гильдия-19		И купец первой гильдии даже вспотел от мысли, что везет с собой из Москвы круглого идиота.	15:22	0:90
гильдия	NOUN	1918-1990	1	гильдия-20		А который человек торговый, бывшей купеческой гильдии, тот, значит, "приказал долго жить".	46:53	0:90
гильдия	NOUN	1918-1990	1	гильдия-21		И в самом деле, ни на улице перед гильдией ткачей, ни под тяжелой колоннадой галереи дома не было заметно ни особенного оживления в движении, ни заметного волнения: спокойно, с обычной для англичан сумрачной деловитостью, в дом гильдии ткачей входили и оттуда выходили люди; как всегда, стояли кружками под колоннами и, засунув руки в карманы, беседовали рабочие, попыхивая пипами.	34:42	0:381
гильдия	NOUN	1918-1990	1	гильдия-22		А потом заплатили еще двести пятьдесят, стали купцом первой гильдии, оптовиком, и теперь вы уверены, что на земле все в отличном порядке.	60:67	0:137
гильдия	NOUN	1918-1990	1	гильдия-23		Отец ее был некогда купцом второй гильдии (потом учителем в кад. корп.), потом аптекарем, потом директором пансиона, наконец (журналистом) корректором в типографии и умер, оставив (жене) кой-какие долги (и несколько рукописей, касающихся ботаники) и довольно полное собрание бабочек и насекомых.	34:41	0:295
гильдия	NOUN	1918-1990	1	гильдия-24		Анисья Полыгалина, купца второй гильдии вдова".	32:39	0:47
гильдия	NOUN	1918-1990	1	гильдия-25		Был он допрежь из московских купцов второй гильдии, мелочную торговлю вел, а теперича, соизволением божиим, игумен.	43:50	0:115
гильдия	NOUN	1991-2017	2	гильдия-26		В 1802 году участок приобретает Андрей Андреевич Кнауф-Доути (1765-1820), уроженец города Киля (в северной Германии), московский купец первой гильдии; с 1795 года он владел чугунолитейным и железоделательным заводами на Среднем и Южном Урале, которые скупил у Ягужинских, Строгановых и Осокина.	142:149	0:294
гильдия	NOUN	1991-2017	2	гильдия-27		Полтаверны оккупировала компания нищих -- безногие и безрукие, слепые и усыпанные язвами, весь день они попрошайничали у храмов и рынков, чтобы к вечеру, отдав гильдии ее долю, собраться на свой нищенский ужин.	160:167	0:210
гильдия	NOUN	1918-1990	1	гильдия-28		В его составе 19 гильдий, объединяющих медийщиков самых разных специальностей -- от "политиков" и "экономистов" до специалистов в религиозной и аграрной сферах.	17:24	0:160
гильдия	NOUN	1991-2017	2	гильдия-29		К брату моему, купцу первой гильдии, придрались: -- Наверное, был комиссаром!	28:35	0:77
гильдия	NOUN	1918-1990	1	гильдия-30		В пореформенный период право на проживание за "чертой оседлости" было предоставлено купцам 1 и II гильдии, людям с высшим образованием) ремесленникам, медицинским и аптекарским работникам.	98:105	0:188
гильдия	NOUN	1991-2017	2	гильдия-31		Как звать-то -- Петр Еремеев, первого взводу учебной команды, второй гильдии купца сын.	69:76	0:87
