identifier1	identifier2	annotator	judgment	comment	lemma
гимназия-2-13	гимназия-3-13	annotator1	4		гимназия
гимназия-66-13	гимназия-67-13	annotator1	4		гимназия
гимназия-10-13	гимназия-11-13	annotator1	4		гимназия
гимназия-74-13	гимназия-75-13	annotator1	4		гимназия
гимназия-112-13	гимназия-113-13	annotator1	4		гимназия
гимназия-8-13	гимназия-9-13	annotator1	4		гимназия
гимназия-52-13	гимназия-53-13	annotator1	4		гимназия
гимназия-114-13	гимназия-115-13	annotator1	3		гимназия
гимназия-50-13	гимназия-51-13	annotator1	4		гимназия
гимназия-16-13	гимназия-17-13	annotator1	4		гимназия
гимназия-48-13	гимназия-49-13	annotator1	4		гимназия
гимназия-46-13	гимназия-47-13	annotator1	4		гимназия
гимназия-92-13	гимназия-93-13	annotator1	3		гимназия
гимназия-86-13	гимназия-87-13	annotator1	4		гимназия
гимназия-30-13	гимназия-31-13	annotator1	4		гимназия
гимназия-58-13	гимназия-59-13	annotator1	4		гимназия
гимназия-116-13	гимназия-117-13	annotator1	1		гимназия
гимназия-94-13	гимназия-95-13	annotator1	4		гимназия
гимназия-12-13	гимназия-13-13	annotator1	2		гимназия
гимназия-102-13	гимназия-103-13	annotator1	4		гимназия
гимназия-98-13	гимназия-99-13	annotator1	4		гимназия
гимназия-100-13	гимназия-101-13	annotator1	4		гимназия
гимназия-68-13	гимназия-69-13	annotator1	4		гимназия
гимназия-70-13	гимназия-71-13	annotator1	4		гимназия
гимназия-22-13	гимназия-23-13	annotator1	4		гимназия
гимназия-72-13	гимназия-73-13	annotator1	4		гимназия
гимназия-28-13	гимназия-29-13	annotator1	4		гимназия
гимназия-18-13	гимназия-19-13	annotator1	4		гимназия
гимназия-26-13	гимназия-27-13	annotator1	4		гимназия
гимназия-24-13	гимназия-25-13	annotator1	4		гимназия
гимназия-56-13	гимназия-57-13	annotator1	3		гимназия
гимназия-20-13	гимназия-21-13	annotator1	4		гимназия
гимназия-14-13	гимназия-15-13	annotator1	4		гимназия
гимназия-90-13	гимназия-91-13	annotator1	4		гимназия
гимназия-6-13	гимназия-7-13	annotator1	4		гимназия
гимназия-62-13	гимназия-63-13	annotator1	4		гимназия
гимназия-4-13	гимназия-5-13	annotator1	4		гимназия
гимназия-60-13	гимназия-61-13	annotator1	4		гимназия
гимназия-106-13	гимназия-107-13	annotator1	4		гимназия
гимназия-64-13	гимназия-65-13	annotator1	4		гимназия
гимназия-0-13	гимназия-1-13	annotator1	4		гимназия
гимназия-88-13	гимназия-89-13	annotator1	4		гимназия
гимназия-84-13	гимназия-85-13	annotator1	4		гимназия
гимназия-80-13	гимназия-81-13	annotator1	4		гимназия
гимназия-78-13	гимназия-79-13	annotator1	4		гимназия
гимназия-32-13	гимназия-33-13	annotator1	4		гимназия
гимназия-118-13	гимназия-119-13	annotator1	4		гимназия
гимназия-108-13	гимназия-109-13	annotator1	4		гимназия
гимназия-34-13	гимназия-35-13	annotator1	1		гимназия
гимназия-104-13	гимназия-105-13	annotator1	4		гимназия
гимназия-42-13	гимназия-43-13	annotator1	4		гимназия
