lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
гимназия	NOUN	1991-2017	2	гимназия-0		-- Мы стараемся познакомить наших учащихся с людьми, которые добились успехов прежде всего в политической карьере, -- пояснил директор гимназии Андрей СЕЛИВАНОВ.	135:143	0:161
гимназия	NOUN	1991-2017	2	гимназия-1		Талантливые выпускники факультетов, традиционно призванных готовить учителей, если и идут работать в школы, то очень редко и, как правило, в привилегированные лицеи и гимназии.	167:175	0:176
гимназия	NOUN	1918-1990	1	гимназия-2		-- Нина, в какой школе вы учитесь -- Я в гимназии имени Ушинского учусь, можно на автобусе две остановки проехать, а можно через парк пешком пройти.	41:49	0:148
гимназия	NOUN	1991-2017	2	гимназия-3		А против здания Совета -- бывшая гимназия -- стояли пушки, из них стреляют по Пахотной стороне, когда там "крестьянские восстания".	33:41	0:131
гимназия	NOUN	1991-2017	2	гимназия-4		-- Ново-Николаевская Первая женская гимназия ведомства Министерства Народного Просвещения.	36:44	0:90
гимназия	NOUN	1991-2017	2	гимназия-5		Все интернаты или лагеря, в которых летом будут проживать ребята, как правило, арендуются у частных школ и гимназий и располагают всем необходимым для обучения и развлечений.	107:115	0:174
гимназия	NOUN	1918-1990	1	гимназия-6		-- Тетка Мало того, что давеча ты опозорил нашу гимназию перед лицом самого головного атамана с этой идиотской декламацией, так сегодня еще чуть не утопил лучшего ученика вашего класса Забирай свои книжки -- и марш домой, к тетке.	48:56	0:230
гимназия	NOUN	1918-1990	1	гимназия-7		Еще в школе (гимназии) сестра Соня захотела принимать участие в постановках.	13:21	0:76
гимназия	NOUN	1918-1990	1	гимназия-8		Гимназия продолжала действовать, в ней шли занятия, и не иссякал поток тех, кто желал учиться.	0:8	0:94
гимназия	NOUN	1991-2017	2	гимназия-9		В Холме было много учебных заведений: кроме семинарии были гимназия мужская и женская, железнодорожное училище, духовное училище, учительская семинария, женское Мариинское шестиклассное училище с интернатом, устроенное главным образом для дочерей духовенства.	59:67	0:259
гимназия	NOUN	1991-2017	2	гимназия-10		Бабка училась в гимназии целых три года, как ни крутите, и влюбленный художник писал с нее "портрэт".	16:24	0:101
гимназия	NOUN	1991-2017	2	гимназия-11		Тимур Легалов, школа 208; Екатерина Межуткова, гимназия 2; Михаил Садыков, гимназия 9; Константин Фёдоров, Вита Гончарова, школа 130.	47:55	0:133
