identifier1	identifier2	annotator	judgment	comment	lemma
гололед-0	гололед-1	annotator1	4		гололед
гололед-0	гололед-1	annotator2	4		гололед
гололед-0	гололед-1	annotator3	4		гололед
гололед-0	гололед-1	annotator4	4		гололед
гололед-0	гололед-1	annotator5	3		гололед
гололед-2	гололед-3	annotator1	4		гололед
гололед-2	гололед-3	annotator2	4		гололед
гололед-2	гололед-3	annotator3	4		гололед
гололед-2	гололед-3	annotator4	4		гололед
гололед-2	гололед-3	annotator5	4		гололед
гололед-4	гололед-5	annotator1	4		гололед
гололед-4	гололед-5	annotator2	4		гололед
гололед-4	гололед-5	annotator3	4		гололед
гололед-4	гололед-5	annotator4	4		гололед
гололед-4	гололед-5	annotator5	4		гололед
гололед-6	гололед-7	annotator1	4		гололед
гололед-6	гололед-7	annotator2	4		гололед
гололед-6	гололед-7	annotator3	4		гололед
гололед-6	гололед-7	annotator4	4		гололед
гололед-6	гололед-7	annotator5	4		гололед
гололед-8	гололед-9	annotator1	4		гололед
гололед-8	гололед-9	annotator2	4		гололед
гололед-8	гололед-9	annotator3	4		гололед
гололед-8	гололед-9	annotator4	4		гололед
гололед-8	гололед-9	annotator5	4		гололед
гололед-10	гололед-11	annotator1	4		гололед
гололед-10	гололед-11	annotator2	4		гололед
гололед-10	гололед-11	annotator3	4		гололед
гололед-10	гололед-11	annotator4	4		гололед
гололед-10	гололед-11	annotator5	4		гололед
гололед-12	гололед-13	annotator1	4		гололед
гололед-12	гололед-13	annotator2	4		гололед
гололед-12	гололед-13	annotator3	4		гололед
гололед-12	гололед-13	annotator4	4		гололед
гололед-12	гололед-13	annotator5	3		гололед
гололед-14	гололед-15	annotator1	4		гололед
гололед-14	гололед-15	annotator2	4		гололед
гололед-14	гололед-15	annotator3	4		гололед
гололед-14	гололед-15	annotator4	4		гололед
гололед-14	гололед-15	annotator5	4		гололед
гололед-16	гололед-17	annotator1	4		гололед
гололед-16	гололед-17	annotator2	4		гололед
гололед-16	гололед-17	annotator3	4		гололед
гололед-16	гололед-17	annotator4	4		гололед
гололед-16	гололед-17	annotator5	4		гололед
гололед-18	гололед-19	annotator1	4		гололед
гололед-18	гололед-19	annotator2	4		гололед
гололед-18	гололед-19	annotator3	3		гололед
гололед-18	гололед-19	annotator4	4		гололед
гололед-18	гололед-19	annotator5	4		гололед
гололед-20	гололед-21	annotator1	4		гололед
гололед-20	гололед-21	annotator2	4		гололед
гололед-20	гололед-21	annotator3	4		гололед
гололед-20	гололед-21	annotator4	4		гололед
гололед-20	гололед-21	annotator5	4		гололед
гололед-22	гололед-23	annotator1	4		гололед
гололед-22	гололед-23	annotator2	4		гололед
гололед-22	гололед-23	annotator3	4		гололед
гололед-22	гололед-23	annotator4	4		гололед
гололед-22	гололед-23	annotator5	4		гололед
гололед-24	гололед-25	annotator1	1		гололед
гололед-24	гололед-25	annotator2	4		гололед
гололед-24	гололед-25	annotator3	4		гололед
гололед-24	гололед-25	annotator4	4		гололед
гололед-24	гололед-25	annotator5	4		гололед
гололед-26	гололед-27	annotator1	3		гололед
гололед-26	гололед-27	annotator2	4		гололед
гололед-26	гололед-27	annotator3	4		гололед
гололед-26	гололед-27	annotator4	4		гололед
гололед-26	гололед-27	annotator5	3		гололед
гололед-28	гололед-29	annotator1	4		гололед
гололед-28	гололед-29	annotator2	4		гололед
гололед-28	гололед-29	annotator3	4		гололед
гололед-28	гололед-29	annotator4	4		гололед
гололед-28	гололед-29	annotator5	4		гололед
гололед-30	гололед-31	annotator1	4		гололед
гололед-30	гололед-31	annotator2	4		гололед
гололед-30	гололед-31	annotator3	4		гололед
гололед-30	гололед-31	annotator4	4		гололед
гололед-30	гололед-31	annotator5	3		гололед
гололед-32	гололед-33	annotator1	4		гололед
гололед-32	гололед-33	annotator2	1		гололед
гололед-32	гололед-33	annotator3	4		гололед
гололед-32	гололед-33	annotator4	1		гололед
гололед-32	гололед-33	annotator5	4		гололед
гололед-34	гололед-35	annotator1	4		гололед
гололед-34	гололед-35	annotator2	1		гололед
гололед-34	гололед-35	annotator3	4		гололед
гололед-34	гололед-35	annotator4	4		гололед
гололед-34	гололед-35	annotator5	4		гололед
гололед-36	гололед-37	annotator1	4		гололед
гололед-36	гололед-37	annotator2	4		гололед
гололед-36	гололед-37	annotator3	4		гололед
гололед-36	гололед-37	annotator4	4		гололед
гололед-36	гололед-37	annotator5	4		гололед
гололед-38	гололед-39	annotator1	4		гололед
гололед-38	гололед-39	annotator2	4		гололед
гололед-38	гололед-39	annotator3	4		гололед
гололед-38	гололед-39	annotator4	4		гололед
гололед-38	гололед-39	annotator5	4		гололед
гололед-40	гололед-41	annotator1	4		гололед
гололед-40	гололед-41	annotator2	4		гололед
гололед-40	гололед-41	annotator3	4		гололед
гололед-40	гололед-41	annotator4	4		гололед
гололед-40	гололед-41	annotator5	4		гололед
гололед-42	гололед-43	annotator1	4		гололед
гололед-42	гололед-43	annotator2	4		гололед
гололед-42	гололед-43	annotator3	4		гололед
гололед-42	гололед-43	annotator4	4		гололед
гололед-42	гололед-43	annotator5	4		гололед
гололед-44	гололед-45	annotator1	4		гололед
гололед-44	гололед-45	annotator2	4		гололед
гололед-44	гололед-45	annotator3	4		гололед
гололед-44	гололед-45	annotator4	4		гололед
гололед-44	гололед-45	annotator5	4		гололед
гололед-46	гололед-47	annotator1	4		гололед
гололед-46	гололед-47	annotator2	4		гололед
гололед-46	гололед-47	annotator3	4		гололед
гололед-46	гололед-47	annotator4	4		гололед
гололед-46	гололед-47	annotator5	4		гололед
гололед-48	гололед-49	annotator1	2		гололед
гололед-48	гололед-49	annotator2	4		гололед
гололед-48	гололед-49	annotator3	4		гололед
гололед-48	гололед-49	annotator4	4		гололед
гололед-48	гололед-49	annotator5	3		гололед
гололед-50	гололед-51	annotator1	4		гололед
гололед-50	гололед-51	annotator2	4		гололед
гололед-50	гололед-51	annotator3	4		гололед
гололед-50	гололед-51	annotator4	4		гололед
гололед-50	гололед-51	annotator5	4		гололед
гололед-52	гололед-53	annotator1	4		гололед
гололед-52	гололед-53	annotator2	4		гололед
гололед-52	гололед-53	annotator3	4		гололед
гололед-52	гололед-53	annotator4	4		гололед
гололед-52	гололед-53	annotator5	4		гололед
гололед-54	гололед-55	annotator1	4		гололед
гололед-54	гололед-55	annotator2	4		гололед
гололед-54	гололед-55	annotator3	4		гололед
гололед-54	гололед-55	annotator4	4		гололед
гололед-54	гололед-55	annotator5	4		гололед
гололед-56	гололед-57	annotator1	4		гололед
гололед-56	гололед-57	annotator2	3		гололед
гололед-56	гололед-57	annotator3	4		гололед
гололед-56	гололед-57	annotator4	4		гололед
гололед-56	гололед-57	annotator5	4		гололед
гололед-58	гололед-59	annotator1	4		гололед
гололед-58	гололед-59	annotator2	4		гололед
гололед-58	гололед-59	annotator3	4		гололед
гололед-58	гололед-59	annotator4	4		гололед
гололед-58	гололед-59	annotator5	4		гололед
гололед-60	гололед-61	annotator1	4		гололед
гололед-60	гололед-61	annotator2	4		гололед
гололед-60	гололед-61	annotator3	4		гололед
гололед-60	гололед-61	annotator4	3		гололед
гололед-60	гололед-61	annotator5	4		гололед
гололед-62	гололед-63	annotator1	4		гололед
гололед-62	гололед-63	annotator2	4		гололед
гололед-62	гололед-63	annotator3	4		гололед
гололед-62	гололед-63	annotator4	4		гололед
гололед-62	гололед-63	annotator5	4		гололед
гололед-64	гололед-65	annotator1	4		гололед
гололед-64	гололед-65	annotator2	4		гололед
гололед-64	гололед-65	annotator3	3		гололед
гололед-64	гололед-65	annotator4	4		гололед
гололед-64	гололед-65	annotator5	4		гололед
