lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
гололед	NOUN	1918-1990	1	гололед-0		(Из "Временных указаний по проведению зимнего обслуживания на дорогах ГДР") Для химической борьбы с гололедом применяют хлориды.	100:109	0:128
гололед	NOUN	1918-1990	1	гололед-1		Дождь, снег, гололед -- все это диктует свою езду.	13:20	0:50
гололед	NOUN	1991-2017	2	гололед-2		-- Ничего не случилось -- О, нет, ничего, просто тут гололед.	53:60	0:61
гололед	NOUN	1991-2017	2	гололед-3		Откуда-то из глубины начала пробиваться мыслишка о простеньком и страшном выходе: на улице чудовищный гололед, никто не удивится, если я вдруг не справлюсь с управлением где-нибудь на загородной дороге.	102:109	0:202
гололед	NOUN	1918-1990	1	гололед-4		28 ноября 1983 г. Сегодня гнилой день: дождь не дождь, какая-то квелая сочь из серого упавшего на деревья неба, гололед.	112:119	0:120
гололед	NOUN	1918-1990	1	гололед-5		Гололед -- это не только неудобства во время прогулки.	0:7	0:54
гололед	NOUN	1918-1990	1	гололед-6		Гололед Не знаю, в какие года был на острове гололед.	0:7	0:53
гололед	NOUN	1991-2017	2	гололед-7		Зима, гололед.	6:13	0:14
гололед	NOUN	1991-2017	2	гололед-8		Гололед не гололед -- гонит с любой скоростью.	0:7	0:46
гололед	NOUN	1991-2017	2	гололед-9		Известно, что на территории этого МУПа белгородцы из-за гололеда получили наибольшее число травм.	56:64	0:97
гололед	NOUN	1918-1990	1	гололед-10		Гололедица или там гололед -- Щукин так до сих пор и не усвоил разницы.	0:10	0:71
гололед	NOUN	1991-2017	2	гололед-11		Но во время распутицы и гололеда мучением для лошади и возчиков становились крутые въезды на мосты.	24:32	0:99
гололед	NOUN	1918-1990	1	гололед-12		А гололед на самом деле был -- хоть стой, хоть падай.	2:9	0:53
гололед	NOUN	1991-2017	2	гололед-13		На санях я обгонял машины на шоссе, объезжал и разъезжался нормально даже в гололед".	76:83	0:85
гололед	NOUN	1918-1990	1	гололед-14		А вокруг -- гололед или грязь (на которой все равно скользко).	12:19	0:62
гололед	NOUN	1991-2017	2	гололед-15		Высокая стоимость подогрева -- это главная причина, по которой специалисты предпочитают другой способ борьбы с гололедом -- химический.	111:120	0:135
