identifier1	identifier2	annotator	judgment	comment	lemma
голубой-102-13	голубой-103-13	annotator1	3		голубой
голубой-114-13	голубой-115-13	annotator1	4		голубой
голубой-32-13	голубой-33-13	annotator1	4		голубой
голубой-94-13	голубой-95-13	annotator1	1		голубой
голубой-104-13	голубой-105-13	annotator1	3		голубой
голубой-76-13	голубой-77-13	annotator1	4		голубой
голубой-34-13	голубой-35-13	annotator1	4		голубой
голубой-106-13	голубой-107-13	annotator1	3		голубой
голубой-100-13	голубой-101-13	annotator1	4		голубой
голубой-52-13	голубой-53-13	annotator1	1		голубой
голубой-98-13	голубой-99-13	annotator1	1		голубой
голубой-96-13	голубой-97-13	annotator1	1		голубой
голубой-54-13	голубой-55-13	annotator1	4		голубой
голубой-112-13	голубой-113-13	annotator1	4		голубой
голубой-108-13	голубой-109-13	annotator1	1		голубой
голубой-16-13	голубой-17-13	annotator1	4		голубой
голубой-56-13	голубой-57-13	annotator1	1		голубой
голубой-14-13	голубой-15-13	annotator1	3		голубой
голубой-0-13	голубой-1-13	annotator1	4		голубой
голубой-12-13	голубой-13-13	annotator1	4		голубой
голубой-30-13	голубой-31-13	annotator1	4		голубой
голубой-110-13	голубой-111-13	annotator1	1		голубой
голубой-28-13	голубой-29-13	annotator1	4		голубой
голубой-116-13	голубой-117-13	annotator1	1		голубой
голубой-86-13	голубой-87-13	annotator1	4		голубой
голубой-84-13	голубой-85-13	annotator1	4		голубой
голубой-78-13	голубой-79-13	annotator1	3		голубой
голубой-88-13	голубой-89-13	annotator1	4		голубой
голубой-80-13	голубой-81-13	annotator1	4		голубой
голубой-66-13	голубой-67-13	annotator1	4		голубой
голубой-82-13	голубой-83-13	annotator1	4		голубой
голубой-64-13	голубой-65-13	annotator1	4		голубой
голубой-62-13	голубой-63-13	annotator1	2		голубой
голубой-58-13	голубой-59-13	annotator1	4		голубой
голубой-60-13	голубой-61-13	annotator1	4		голубой
голубой-38-13	голубой-39-13	annotator1	1		голубой
голубой-72-13	голубой-73-13	annotator1	4		голубой
голубой-70-13	голубой-71-13	annotator1	2		голубой
голубой-36-13	голубой-37-13	annotator1	4		голубой
голубой-68-13	голубой-69-13	annotator1	1		голубой
голубой-40-13	голубой-41-13	annotator1	4		голубой
голубой-118-13	голубой-119-13	annotator1	4		голубой
голубой-42-13	голубой-43-13	annotator1	4		голубой
голубой-92-13	голубой-93-13	annotator1	4		голубой
голубой-74-13	голубой-75-13	annotator1	4		голубой
голубой-18-13	голубой-19-13	annotator1	2		голубой
голубой-90-13	голубой-91-13	annotator1	3		голубой
голубой-10-13	голубой-11-13	annotator1	4		голубой
голубой-20-13	голубой-21-13	annotator1	4		голубой
голубой-46-13	голубой-47-13	annotator1	1		голубой
голубой-22-13	голубой-23-13	annotator1	4		голубой
голубой-4-13	голубой-5-13	annotator1	4		голубой
голубой-2-13	голубой-3-13	annotator1	4		голубой
голубой-44-13	голубой-45-13	annotator1	4		голубой
голубой-24-13	голубой-25-13	annotator1	1		голубой
голубой-8-13	голубой-9-13	annotator1	4		голубой
голубой-50-13	голубой-51-13	annotator1	4		голубой
голубой-48-13	голубой-49-13	annotator1	3		голубой
голубой-26-13	голубой-27-13	annotator1	1		голубой
голубой-6-13	голубой-7-13	annotator1	4		голубой
голубой-36-13	голубой-37-13	annotator2	4		голубой
голубой-30-13	голубой-31-13	annotator2	4		голубой
голубой-66-13	голубой-67-13	annotator2	4		голубой
голубой-114-13	голубой-115-13	annotator2	4		голубой
голубой-112-13	голубой-113-13	annotator2	4		голубой
голубой-42-13	голубой-43-13	annotator2	4		голубой
голубой-116-13	голубой-117-13	annotator2	1		голубой
голубой-68-13	голубой-69-13	annotator2	1		голубой
голубой-32-13	голубой-33-13	annotator2	4		голубой
голубой-20-13	голубой-21-13	annotator2	4		голубой
голубой-102-13	голубой-103-13	annotator2	4		голубой
голубой-58-13	голубой-59-13	annotator2	4		голубой
голубой-10-13	голубой-11-13	annotator2	4		голубой
голубой-60-13	голубой-61-13	annotator2	4		голубой
голубой-74-13	голубой-75-13	annotator2	4		голубой
голубой-26-13	голубой-27-13	annotator2	1		голубой
голубой-72-13	голубой-73-13	annotator2	4		голубой
голубой-6-13	голубой-7-13	annotator2	4		голубой
голубой-92-13	голубой-93-13	annotator2	4		голубой
