identifier1	identifier2	annotator	judgment	comment	lemma
двушка-118-13	двушка-119-13	annotator1	1		двушка
двушка-46-13	двушка-47-13	annotator1	1		двушка
двушка-48-13	двушка-49-13	annotator1	4		двушка
двушка-64-13	двушка-65-13	annotator1	1		двушка
двушка-98-13	двушка-99-13	annotator1	1		двушка
двушка-28-13	двушка-29-13	annotator1	4		двушка
двушка-8-13	двушка-9-13	annotator1	1		двушка
двушка-96-13	двушка-97-13	annotator1	1		двушка
двушка-62-13	двушка-63-13	annotator1	4		двушка
двушка-10-13	двушка-11-13	annotator1	1		двушка
двушка-58-13	двушка-59-13	annotator1	1		двушка
двушка-12-13	двушка-13-13	annotator1	1		двушка
двушка-60-13	двушка-61-13	annotator1	1		двушка
двушка-110-13	двушка-111-13	annotator1	1		двушка
двушка-20-13	двушка-21-13	annotator1	1		двушка
двушка-6-13	двушка-7-13	annotator1	1		двушка
двушка-108-13	двушка-109-13	annotator1	1		двушка
двушка-0-13	двушка-1-13	annotator1	1		двушка
двушка-66-13	двушка-67-13	annotator1	4		двушка
двушка-72-13	двушка-73-13	annotator1	1		двушка
двушка-2-13	двушка-3-13	annotator1	1		двушка
двушка-4-13	двушка-5-13	annotator1	4		двушка
двушка-18-13	двушка-19-13	annotator1	1		двушка
двушка-70-13	двушка-71-13	annotator1	1		двушка
двушка-14-13	двушка-15-13	annotator1	1		двушка
двушка-88-13	двушка-89-13	annotator1	1		двушка
двушка-22-13	двушка-23-13	annotator1	4		двушка
двушка-68-13	двушка-69-13	annotator1	1		двушка
двушка-24-13	двушка-25-13	annotator1	4		двушка
двушка-26-13	двушка-27-13	annotator1	1		двушка
двушка-100-13	двушка-101-13	annotator1	4		двушка
двушка-50-13	двушка-51-13	annotator1	1		двушка
двушка-44-13	двушка-45-13	annotator1	4		двушка
двушка-82-13	двушка-83-13	annotator1	4		двушка
двушка-114-13	двушка-115-13	annotator1	1		двушка
двушка-112-13	двушка-113-13	annotator1	4		двушка
двушка-78-13	двушка-79-13	annotator1	1		двушка
двушка-38-13	двушка-39-13	annotator1	4		двушка
двушка-102-13	двушка-103-13	annotator1	4		двушка
двушка-40-13	двушка-41-13	annotator1	1		двушка
двушка-94-13	двушка-95-13	annotator1	1		двушка
двушка-76-13	двушка-77-13	annotator1	4		двушка
двушка-42-13	двушка-43-13	annotator1	4		двушка
двушка-36-13	двушка-37-13	annotator1	1		двушка
двушка-30-13	двушка-31-13	annotator1	1		двушка
двушка-116-13	двушка-117-13	annotator1	1		двушка
двушка-74-13	двушка-75-13	annotator1	1		двушка
двушка-92-13	двушка-93-13	annotator1	1		двушка
двушка-80-13	двушка-81-13	annotator1	1		двушка
двушка-32-13	двушка-33-13	annotator1	1		двушка
двушка-16-13	двушка-17-13	annotator1	1		двушка
двушка-86-13	двушка-87-13	annotator1	4		двушка
двушка-106-13	двушка-107-13	annotator1	4		двушка
двушка-52-13	двушка-53-13	annotator1	4		двушка
двушка-90-13	двушка-91-13	annotator1	4		двушка
двушка-54-13	двушка-55-13	annotator1	3		двушка
двушка-34-13	двушка-35-13	annotator1	1		двушка
двушка-84-13	двушка-85-13	annotator1	4		двушка
двушка-104-13	двушка-105-13	annotator1	4		двушка
двушка-56-13	двушка-57-13	annotator1	1		двушка
двушка-16-13	двушка-17-13	annotator2	1		двушка
двушка-98-13	двушка-99-13	annotator2	1		двушка
двушка-102-13	двушка-103-13	annotator2	4		двушка
двушка-20-13	двушка-21-13	annotator2	1		двушка
двушка-94-13	двушка-95-13	annotator2	1		двушка
двушка-18-13	двушка-19-13	annotator2	0		двушка
двушка-90-13	двушка-91-13	annotator2	4		двушка
двушка-100-13	двушка-101-13	annotator2	1		двушка
двушка-88-13	двушка-89-13	annotator2	1		двушка
двушка-96-13	двушка-97-13	annotator2	1		двушка
двушка-12-13	двушка-13-13	annotator2	1		двушка
двушка-26-13	двушка-27-13	annotator2	1		двушка
двушка-118-13	двушка-119-13	annotator2	1		двушка
двушка-58-13	двушка-59-13	annotator2	4		двушка
двушка-36-13	двушка-37-13	annotator2	1		двушка
двушка-38-13	двушка-39-13	annotator2	0		двушка
двушка-40-13	двушка-41-13	annotator2	1		двушка
двушка-30-13	двушка-31-13	annotator2	1		двушка
двушка-32-13	двушка-33-13	annotator2	1		двушка
двушка-34-13	двушка-35-13	annotator2	4		двушка
двушка-42-13	двушка-43-13	annotator2	4		двушка
двушка-116-13	двушка-117-13	annotator2	4		двушка
двушка-52-13	двушка-53-13	annotator2	1		двушка
двушка-54-13	двушка-55-13	annotator2	4		двушка
двушка-14-13	двушка-15-13	annotator2	1		двушка
двушка-56-13	двушка-57-13	annotator2	1		двушка
двушка-46-13	двушка-47-13	annotator2	1		двушка
двушка-44-13	двушка-45-13	annotator2	4		двушка
двушка-48-13	двушка-49-13	annotator2	4		двушка
двушка-28-13	двушка-29-13	annotator2	4		двушка
двушка-8-13	двушка-9-13	annotator2	1		двушка
двушка-10-13	двушка-11-13	annotator2	1		двушка
двушка-6-13	двушка-7-13	annotator2	1		двушка
двушка-2-13	двушка-3-13	annotator2	1		двушка
двушка-0-13	двушка-1-13	annotator2	1		двушка
двушка-4-13	двушка-5-13	annotator2	4		двушка
двушка-24-13	двушка-25-13	annotator2	4		двушка
двушка-22-13	двушка-23-13	annotator2	4		двушка
двушка-50-13	двушка-51-13	annotator2	1		двушка
двушка-112-13	двушка-113-13	annotator2	4		двушка
двушка-92-13	двушка-93-13	annotator2	1		двушка
двушка-68-13	двушка-69-13	annotator2	1		двушка
двушка-84-13	двушка-85-13	annotator2	4		двушка
двушка-86-13	двушка-87-13	annotator2	4		двушка
двушка-80-13	двушка-81-13	annotator2	1		двушка
двушка-66-13	двушка-67-13	annotator2	4		двушка
двушка-76-13	двушка-77-13	annotator2	4		двушка
двушка-106-13	двушка-107-13	annotator2	4		двушка
двушка-74-13	двушка-75-13	annotator2	1		двушка
двушка-82-13	двушка-83-13	annotator2	4		двушка
двушка-104-13	двушка-105-13	annotator2	4		двушка
двушка-72-13	двушка-73-13	annotator2	1		двушка
двушка-70-13	двушка-71-13	annotator2	4		двушка
двушка-64-13	двушка-65-13	annotator2	0		двушка
двушка-108-13	двушка-109-13	annotator2	1		двушка
двушка-62-13	двушка-63-13	annotator2	4		двушка
двушка-60-13	двушка-61-13	annotator2	1		двушка
двушка-78-13	двушка-79-13	annotator2	1		двушка
двушка-110-13	двушка-111-13	annotator2	1		двушка
двушка-114-13	двушка-115-13	annotator2	1		двушка
двушка-16-13	двушка-17-13	annotator3	1		двушка
двушка-58-13	двушка-59-13	annotator3	0		двушка
двушка-60-13	двушка-61-13	annotator3	4		двушка
двушка-86-13	двушка-87-13	annotator3	4		двушка
двушка-52-13	двушка-53-13	annotator3	1		двушка
двушка-66-13	двушка-67-13	annotator3	4		двушка
двушка-12-13	двушка-13-13	annotator3	1		двушка
двушка-112-13	двушка-113-13	annotator3	4		двушка
двушка-20-13	двушка-21-13	annotator3	1		двушка
двушка-8-13	двушка-9-13	annotator3	1		двушка
двушка-64-13	двушка-65-13	annotator3	1		двушка
двушка-54-13	двушка-55-13	annotator3	4		двушка
двушка-26-13	двушка-27-13	annotator3	1		двушка
двушка-14-13	двушка-15-13	annotator3	4		двушка
двушка-48-13	двушка-49-13	annotator3	4		двушка
двушка-62-13	двушка-63-13	annotator3	4		двушка
двушка-2-13	двушка-3-13	annotator3	1		двушка
двушка-70-13	двушка-71-13	annotator3	4		двушка
двушка-4-13	двушка-5-13	annotator3	4		двушка
двушка-46-13	двушка-47-13	annotator3	1		двушка
двушка-28-13	двушка-29-13	annotator3	4		двушка
двушка-44-13	двушка-45-13	annotator3	4		двушка
двушка-82-13	двушка-83-13	annotator3	4		двушка
двушка-0-13	двушка-1-13	annotator3	1		двушка
двушка-68-13	двушка-69-13	annotator3	1		двушка
двушка-108-13	двушка-109-13	annotator3	1		двушка
двушка-22-13	двушка-23-13	annotator3	4		двушка
двушка-50-13	двушка-51-13	annotator3	1		двушка
двушка-24-13	двушка-25-13	annotator3	1		двушка
двушка-56-13	двушка-57-13	annotator3	1		двушка
двушка-72-13	двушка-73-13	annotator3	1		двушка
двушка-6-13	двушка-7-13	annotator3	1		двушка
двушка-84-13	двушка-85-13	annotator3	4		двушка
двушка-118-13	двушка-119-13	annotator3	1		двушка
двушка-94-13	двушка-95-13	annotator3	1		двушка
двушка-18-13	двушка-19-13	annotator3	1		двушка
двушка-88-13	двушка-89-13	annotator3	1		двушка
двушка-40-13	двушка-41-13	annotator3	1		двушка
двушка-76-13	двушка-77-13	annotator3	4		двушка
двушка-38-13	двушка-39-13	annotator3	4		двушка
двушка-100-13	двушка-101-13	annotator3	4		двушка
двушка-36-13	двушка-37-13	annotator3	1		двушка
двушка-42-13	двушка-43-13	annotator3	4		двушка
