lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
двушка	NOUN	1991-2017	2	двушка-0		"Недорогой" сегодня понимают так: для Пентиумов продавцы выставляют цену в 450-650 долларов (в зависимости от комплектации и нахальства), для четверок -- 300-450, для троек -- от 150 долларов, а для двушек -- меньше 100.	199:205	0:220
двушка	NOUN	1991-2017	2	двушка-1		Тогда я вынул из кармана целую горсть нашей мелочи, остававшейся у меня, -- пятачки, двушки, пятнашки.	85:91	0:102
двушка	NOUN	1918-1990	1	двушка-2		"Прекрасная квартира" существовала пока что лишь в компьютере у риелторов, а "двушку" надо было продавать теперь и немедленно.	78:84	0:126
двушка	NOUN	1991-2017	2	двушка-3		Муся какъ-то прочла у Оскара Уайльда: "Несчастье каждой двушки въ томъ, что она рано или поздно становится похожей на свою собственную мать".	56:62	0:141
двушка	NOUN	1991-2017	2	двушка-4		(А в том году купил сыну "двушку" в Чертаново!) -- Ну, Борменталь, вздрогнули!	3:4	0:78
двушка	NOUN	1991-2017	2	двушка-5		Однокомнатные "хрущевки" продаются за 9-10,5 тысяч долларов, "двушки" -- по 11,5-13 тысяч".	62:68	0:91
двушка	NOUN	1918-1990	1	двушка-6		, 2004.10.07 15:57. ага, только маленький ньюанс -- нету у нас старого!!! а теоритически можно продать старую (допустим есть) на первоначальный взнос для новой, но вот где жить, пока это новое будет строиться и ремонтироваться все тот же съем вот например, одна из программ, когда ты уже имеешь квартиру и хочешь новую, по сути полная фигня, так как деньги от продажи старой квартиры идут на погашения кредита, а первый взнос -- вынь да полож http://www.optbank.ru/services/uluchshenie.html , 2004.10.07 16:28. ну может не все изучили все таки или уже все банки просмотрели а почему только новострой можно ведь вторичку в новом доме , 2004.10.07 16:40. не, не все, по той причине, что нету того, что продавать, но когда натыкалась на программы с учетом старого жилья, то схемы были похоже, только вместо доходов, как факта платежеспособности, рассматривается квартира можно и вторичку в новом доме, но чаще это продается как "инвистиционные права", то есть бывший владелец не вступает в права собственности, а это еще и еще очередной гемор с банком, так как если есть ГК, то в банке уже не могут провести как инвистиции, надо либо чтобы владелец вступал в права, либо задним числом проводить сделки -- в общем дополнительная известная болезнь к тому же, люди, которые этим занимаются профессионально (покупают котлован, а потом продают уже построенное) чаще специальизируются на однушках-двушках, трешки-четверки менее в ходу , 2004.10.07 14:16.	55:56	0:1445
двушка	NOUN	1991-2017	2	двушка-7		Вещей, блья, платьевъ у двушки ничего не оказалось.	24:30	0:51
двушка	NOUN	1918-1990	1	двушка-8		-- Почему ей двушка -- доставала она Димочку.	13:19	0:45
двушка	NOUN	1991-2017	2	двушка-9		По словамъ C. В. Максимова, о немъ держится въ народ молва, что въ старину, когда около села были больше лса, двушки сами убгали къ лшимъ, жили съ ними года два-три, a затмъ возвращались домой съ кучей денегъ.	110:116	0:209
двушка	NOUN	1918-1990	1	двушка-10		-- Я. -- Так что ж ты не позвонил сперва -- А какая разница Ну, двушки не было.	64:70	0:79
двушка	NOUN	1918-1990	1	двушка-11		Крестьянскя двушки и женщины академика А. Архипова, полнотлыя, съ такимъ завиднымъ избыткомъ здоровья и загара, въ яркихъ платьяхъ, въ которыхъ преобладаетъ красный цвтъ, переносять насъ въ воскресную, деревенскую Россю.	12:18	0:220
двушка	NOUN	1918-1990	1	двушка-12		.а у мамы двушка.	10:16	0:17
двушка	NOUN	1991-2017	2	двушка-13		К ней не нужно по телефону звонить, запасшись двушками, чтобы не напороться без звонка.	46:54	0:87
