identifier1	identifier2	annotator	judgment	comment	lemma
дивизион-22-13	дивизион-23-13	annotator1	3		дивизион
дивизион-64-13	дивизион-65-13	annotator1	4		дивизион
дивизион-116-13	дивизион-117-13	annotator1	3		дивизион
дивизион-84-13	дивизион-85-13	annotator1	4		дивизион
дивизион-18-13	дивизион-19-13	annotator1	4		дивизион
дивизион-62-13	дивизион-63-13	annotator1	4		дивизион
дивизион-114-13	дивизион-115-13	annotator1	4		дивизион
дивизион-86-13	дивизион-87-13	annotator1	4		дивизион
дивизион-34-13	дивизион-35-13	annotator1	4		дивизион
дивизион-60-13	дивизион-61-13	annotator1	4		дивизион
дивизион-80-13	дивизион-81-13	annotator1	3		дивизион
дивизион-88-13	дивизион-89-13	annotator1	4		дивизион
дивизион-58-13	дивизион-59-13	annotator1	4		дивизион
дивизион-112-13	дивизион-113-13	annotator1	1		дивизион
дивизион-36-13	дивизион-37-13	annotator1	4		дивизион
дивизион-90-13	дивизион-91-13	annotator1	4		дивизион
дивизион-56-13	дивизион-57-13	annotator1	1		дивизион
дивизион-110-13	дивизион-111-13	annotator1	4		дивизион
дивизион-72-13	дивизион-73-13	annotator1	4		дивизион
дивизион-20-13	дивизион-21-13	annotator1	4		дивизион
дивизион-76-13	дивизион-77-13	annotator1	1		дивизион
дивизион-70-13	дивизион-71-13	annotator1	4		дивизион
дивизион-16-13	дивизион-17-13	annotator1	3		дивизион
дивизион-78-13	дивизион-79-13	annotator1	4		дивизион
дивизион-82-13	дивизион-83-13	annotator1	4		дивизион
дивизион-68-13	дивизион-69-13	annotator1	4		дивизион
дивизион-14-13	дивизион-15-13	annotator1	4		дивизион
дивизион-108-13	дивизион-109-13	annotator1	4		дивизион
дивизион-26-13	дивизион-27-13	annotator1	4		дивизион
дивизион-54-13	дивизион-55-13	annotator1	4		дивизион
дивизион-38-13	дивизион-39-13	annotator1	4		дивизион
дивизион-92-13	дивизион-93-13	annotator1	4		дивизион
дивизион-24-13	дивизион-25-13	annotator1	4		дивизион
дивизион-30-13	дивизион-31-13	annotator1	3		дивизион
дивизион-74-13	дивизион-75-13	annotator1	4		дивизион
дивизион-48-13	дивизион-49-13	annotator1	4		дивизион
дивизион-118-13	дивизион-119-13	annotator1	4		дивизион
дивизион-106-13	дивизион-107-13	annotator1	1		дивизион
дивизион-96-13	дивизион-97-13	annotator1	4		дивизион
дивизион-12-13	дивизион-13-13	annotator1	4		дивизион
дивизион-66-13	дивизион-67-13	annotator1	4		дивизион
дивизион-44-13	дивизион-45-13	annotator1	4		дивизион
дивизион-4-13	дивизион-5-13	annotator1	3		дивизион
дивизион-6-13	дивизион-7-13	annotator1	4		дивизион
дивизион-104-13	дивизион-105-13	annotator1	4		дивизион
дивизион-2-13	дивизион-3-13	annotator1	2		дивизион
дивизион-50-13	дивизион-51-13	annotator1	4		дивизион
дивизион-32-13	дивизион-33-13	annotator1	4		дивизион
дивизион-42-13	дивизион-43-13	annotator1	4		дивизион
дивизион-100-13	дивизион-101-13	annotator1	4		дивизион
дивизион-10-13	дивизион-11-13	annotator1	4		дивизион
дивизион-0-13	дивизион-1-13	annotator1	1		дивизион
дивизион-94-13	дивизион-95-13	annotator1	4		дивизион
дивизион-40-13	дивизион-41-13	annotator1	1		дивизион
дивизион-28-13	дивизион-29-13	annotator1	4		дивизион
дивизион-98-13	дивизион-99-13	annotator1	1		дивизион
дивизион-102-13	дивизион-103-13	annotator1	4		дивизион
дивизион-8-13	дивизион-9-13	annotator1	2		дивизион
дивизион-46-13	дивизион-47-13	annotator1	4		дивизион
дивизион-52-13	дивизион-53-13	annotator1	4		дивизион
дивизион-14-13	дивизион-15-13	annotator2	4		дивизион
дивизион-118-13	дивизион-119-13	annotator2	1		дивизион
дивизион-16-13	дивизион-17-13	annotator2	4		дивизион
дивизион-76-13	дивизион-77-13	annotator2	1		дивизион
дивизион-102-13	дивизион-103-13	annotator2	4		дивизион
дивизион-78-13	дивизион-79-13	annotator2	4		дивизион
дивизион-98-13	дивизион-99-13	annotator2	2		дивизион
дивизион-110-13	дивизион-111-13	annotator2	4		дивизион
дивизион-18-13	дивизион-19-13	annotator2	4		дивизион
дивизион-108-13	дивизион-109-13	annotator2	4		дивизион
дивизион-104-13	дивизион-105-13	annotator2	4		дивизион
дивизион-96-13	дивизион-97-13	annotator2	4		дивизион
дивизион-36-13	дивизион-37-13	annotator2	4		дивизион
дивизион-112-13	дивизион-113-13	annotator2	1		дивизион
дивизион-94-13	дивизион-95-13	annotator2	1		дивизион
дивизион-34-13	дивизион-35-13	annotator2	4		дивизион
дивизион-26-13	дивизион-27-13	annotator2	4		дивизион
дивизион-114-13	дивизион-115-13	annotator2	1		дивизион
дивизион-116-13	дивизион-117-13	annotator2	4		дивизион
дивизион-28-13	дивизион-29-13	annotator2	4		дивизион
дивизион-30-13	дивизион-31-13	annotator2	4		дивизион
дивизион-66-13	дивизион-67-13	annotator2	3		дивизион
дивизион-32-13	дивизион-33-13	annotator2	4		дивизион
дивизион-106-13	дивизион-107-13	annotator2	2		дивизион
дивизион-72-13	дивизион-73-13	annotator2	3		дивизион
дивизион-56-13	дивизион-57-13	annotator2	2		дивизион
дивизион-46-13	дивизион-47-13	annotator2	4		дивизион
дивизион-88-13	дивизион-89-13	annotator2	4		дивизион
дивизион-58-13	дивизион-59-13	annotator2	4		дивизион
дивизион-60-13	дивизион-61-13	annotator2	4		дивизион
дивизион-4-13	дивизион-5-13	annotator2	4		дивизион
дивизион-44-13	дивизион-45-13	annotator2	4		дивизион
дивизион-84-13	дивизион-85-13	annotator2	4		дивизион
дивизион-74-13	дивизион-75-13	annotator2	4		дивизион
дивизион-62-13	дивизион-63-13	annotator2	4		дивизион
дивизион-2-13	дивизион-3-13	annotator2	4		дивизион
дивизион-82-13	дивизион-83-13	annotator2	1		дивизион
дивизион-42-13	дивизион-43-13	annotator2	4		дивизион
дивизион-64-13	дивизион-65-13	annotator2	4		дивизион
дивизион-86-13	дивизион-87-13	annotator2	4		дивизион
дивизион-12-13	дивизион-13-13	annotator2	4		дивизион
дивизион-0-13	дивизион-1-13	annotator2	4		дивизион
дивизион-40-13	дивизион-41-13	annotator2	2		дивизион
дивизион-6-13	дивизион-7-13	annotator2	4		дивизион
дивизион-90-13	дивизион-91-13	annotator2	4		дивизион
дивизион-54-13	дивизион-55-13	annotator2	4		дивизион
дивизион-20-13	дивизион-21-13	annotator2	4		дивизион
дивизион-8-13	дивизион-9-13	annotator2	4		дивизион
дивизион-70-13	дивизион-71-13	annotator2	1		дивизион
дивизион-100-13	дивизион-101-13	annotator2	4		дивизион
дивизион-50-13	дивизион-51-13	annotator2	4		дивизион
дивизион-22-13	дивизион-23-13	annotator2	4		дивизион
дивизион-24-13	дивизион-25-13	annotator2	4		дивизион
дивизион-48-13	дивизион-49-13	annotator2	4		дивизион
дивизион-68-13	дивизион-69-13	annotator2	4		дивизион
дивизион-38-13	дивизион-39-13	annotator2	4		дивизион
дивизион-10-13	дивизион-11-13	annotator2	4		дивизион
дивизион-52-13	дивизион-53-13	annotator2	4		дивизион
дивизион-80-13	дивизион-81-13	annotator2	4		дивизион
дивизион-92-13	дивизион-93-13	annotator2	4		дивизион
дивизион-10-13	дивизион-11-13	annotator3	4		дивизион
дивизион-8-13	дивизион-9-13	annotator3	4		дивизион
дивизион-4-13	дивизион-5-13	annotator3	4		дивизион
дивизион-94-13	дивизион-95-13	annotator3	1		дивизион
дивизион-0-13	дивизион-1-13	annotator3	1		дивизион
дивизион-98-13	дивизион-99-13	annotator3	4		дивизион
дивизион-96-13	дивизион-97-13	annotator3	4		дивизион
дивизион-106-13	дивизион-107-13	annotator3	1		дивизион
дивизион-114-13	дивизион-115-13	annotator3	4		дивизион
дивизион-66-13	дивизион-67-13	annotator3	4		дивизион
дивизион-74-13	дивизион-75-13	annotator3	4		дивизион
дивизион-70-13	дивизион-71-13	annotator3	3		дивизион
дивизион-76-13	дивизион-77-13	annotator3	1		дивизион
дивизион-68-13	дивизион-69-13	annotator3	4		дивизион
дивизион-78-13	дивизион-79-13	annotator3	4		дивизион
дивизион-92-13	дивизион-93-13	annotator3	4		дивизион
дивизион-72-13	дивизион-73-13	annotator3	4		дивизион
дивизион-108-13	дивизион-109-13	annotator3	4		дивизион
дивизион-2-13	дивизион-3-13	annotator3	3		дивизион
дивизион-90-13	дивизион-91-13	annotator3	4		дивизион
дивизион-110-13	дивизион-111-13	annotator3	4		дивизион
дивизион-86-13	дивизион-87-13	annotator3	4		дивизион
дивизион-112-13	дивизион-113-13	annotator3	1		дивизион
дивизион-84-13	дивизион-85-13	annotator3	4		дивизион
дивизион-82-13	дивизион-83-13	annotator3	1		дивизион
дивизион-116-13	дивизион-117-13	annotator3	4		дивизион
дивизион-80-13	дивизион-81-13	annotator3	4		дивизион
дивизион-118-13	дивизион-119-13	annotator3	4		дивизион
дивизион-88-13	дивизион-89-13	annotator3	4		дивизион
дивизион-100-13	дивизион-101-13	annotator3	1		дивизион
дивизион-6-13	дивизион-7-13	annotator3	4		дивизион
дивизион-18-13	дивизион-19-13	annotator3	4		дивизион
дивизион-36-13	дивизион-37-13	annotator3	4		дивизион
дивизион-28-13	дивизион-29-13	annotator3	4		дивизион
дивизион-40-13	дивизион-41-13	annotator3	2		дивизион
дивизион-12-13	дивизион-13-13	annotator3	4		дивизион
дивизион-30-13	дивизион-31-13	annotator3	4		дивизион
дивизион-64-13	дивизион-65-13	annotator3	4		дивизион
дивизион-22-13	дивизион-23-13	annotator3	4		дивизион
дивизион-62-13	дивизион-63-13	annotator3	4		дивизион
дивизион-32-13	дивизион-33-13	annotator3	4		дивизион
дивизион-54-13	дивизион-55-13	annotator3	4		дивизион
дивизион-60-13	дивизион-61-13	annotator3	4		дивизион
дивизион-52-13	дивизион-53-13	annotator3	4		дивизион
дивизион-34-13	дивизион-35-13	annotator3	4		дивизион
дивизион-58-13	дивизион-59-13	annotator3	4		дивизион
дивизион-24-13	дивизион-25-13	annotator3	4		дивизион
дивизион-42-13	дивизион-43-13	annotator3	4		дивизион
дивизион-56-13	дивизион-57-13	annotator3	2		дивизион
дивизион-14-13	дивизион-15-13	annotator3	4		дивизион
дивизион-26-13	дивизион-27-13	annotator3	4		дивизион
дивизион-38-13	дивизион-39-13	annotator3	4		дивизион
дивизион-44-13	дивизион-45-13	annotator3	4		дивизион
дивизион-20-13	дивизион-21-13	annotator3	4		дивизион
дивизион-50-13	дивизион-51-13	annotator3	4		дивизион
дивизион-46-13	дивизион-47-13	annotator3	1		дивизион
дивизион-104-13	дивизион-105-13	annotator3	4		дивизион
дивизион-102-13	дивизион-103-13	annotator3	4		дивизион
дивизион-16-13	дивизион-17-13	annotator3	1		дивизион
дивизион-48-13	дивизион-49-13	annotator3	4		дивизион
дивизион-54-13	дивизион-55-13	annotator4	4		дивизион
дивизион-78-13	дивизион-79-13	annotator4	4		дивизион
дивизион-90-13	дивизион-91-13	annotator4	4		дивизион
дивизион-72-13	дивизион-73-13	annotator4	4		дивизион
дивизион-58-13	дивизион-59-13	annotator4	4		дивизион
дивизион-70-13	дивизион-71-13	annotator4	3		дивизион
дивизион-68-13	дивизион-69-13	annotator4	4		дивизион
дивизион-92-13	дивизион-93-13	annotator4	4		дивизион
дивизион-38-13	дивизион-39-13	annotator4	4		дивизион
дивизион-66-13	дивизион-67-13	annotator4	1		дивизион
дивизион-6-13	дивизион-7-13	annotator4	4		дивизион
дивизион-18-13	дивизион-19-13	annotator4	3		дивизион
дивизион-22-13	дивизион-23-13	annotator4	4		дивизион
дивизион-100-13	дивизион-101-13	annotator4	2		дивизион
дивизион-56-13	дивизион-57-13	annotator4	4		дивизион
дивизион-50-13	дивизион-51-13	annotator4	4		дивизион
дивизион-8-13	дивизион-9-13	annotator4	3		дивизион
дивизион-48-13	дивизион-49-13	annotator4	4		дивизион
дивизион-46-13	дивизион-47-13	annotator4	4		дивизион
дивизион-10-13	дивизион-11-13	annotator4	4		дивизион
дивизион-44-13	дивизион-45-13	annotator4	4		дивизион
дивизион-4-13	дивизион-5-13	annotator4	4		дивизион
дивизион-2-13	дивизион-3-13	annotator4	1		дивизион
дивизион-88-13	дивизион-89-13	annotator4	4		дивизион
дивизион-42-13	дивизион-43-13	annotator4	4		дивизион
дивизион-40-13	дивизион-41-13	annotator4	1		дивизион
дивизион-52-13	дивизион-53-13	annotator4	4		дивизион
дивизион-64-13	дивизион-65-13	annotator4	4		дивизион
дивизион-80-13	дивизион-81-13	annotator4	4		дивизион
дивизион-62-13	дивизион-63-13	annotator4	4		дивизион
дивизион-82-13	дивизион-83-13	annotator4	4		дивизион
дивизион-84-13	дивизион-85-13	annotator4	4		дивизион
дивизион-86-13	дивизион-87-13	annotator4	1		дивизион
дивизион-0-13	дивизион-1-13	annotator4	4		дивизион
дивизион-60-13	дивизион-61-13	annotator4	4		дивизион
дивизион-20-13	дивизион-21-13	annotator4	4		дивизион
дивизион-74-13	дивизион-75-13	annotator4	4		дивизион
дивизион-116-13	дивизион-117-13	annotator4	4		дивизион
дивизион-114-13	дивизион-115-13	annotator4	4		дивизион
дивизион-106-13	дивизион-107-13	annotator4	1		дивизион
дивизион-32-13	дивизион-33-13	annotator4	4		дивизион
дивизион-112-13	дивизион-113-13	annotator4	3		дивизион
дивизион-28-13	дивизион-29-13	annotator4	3		дивизион
дивизион-118-13	дивизион-119-13	annotator4	4		дивизион
дивизион-34-13	дивизион-35-13	annotator4	3		дивизион
дивизион-110-13	дивизион-111-13	annotator4	4		дивизион
дивизион-36-13	дивизион-37-13	annotator4	4		дивизион
дивизион-26-13	дивизион-27-13	annotator4	4		дивизион
дивизион-94-13	дивизион-95-13	annotator4	1		дивизион
дивизион-24-13	дивизион-25-13	annotator4	4		дивизион
дивизион-104-13	дивизион-105-13	annotator4	4		дивизион
дивизион-108-13	дивизион-109-13	annotator4	4		дивизион
дивизион-96-13	дивизион-97-13	annotator4	4		дивизион
дивизион-16-13	дивизион-17-13	annotator4	4		дивизион
дивизион-98-13	дивизион-99-13	annotator4	1		дивизион
дивизион-76-13	дивизион-77-13	annotator4	1		дивизион
дивизион-14-13	дивизион-15-13	annotator4	4		дивизион
дивизион-102-13	дивизион-103-13	annotator4	4		дивизион
дивизион-30-13	дивизион-31-13	annotator4	2		дивизион
дивизион-12-13	дивизион-13-13	annotator4	4		дивизион
дивизион-80-13	дивизион-81-13	annotator5	4		дивизион
дивизион-6-13	дивизион-7-13	annotator5	4		дивизион
дивизион-116-13	дивизион-117-13	annotator5	4		дивизион
дивизион-98-13	дивизион-99-13	annotator5	1		дивизион
дивизион-28-13	дивизион-29-13	annotator5	4		дивизион
дивизион-38-13	дивизион-39-13	annotator5	4		дивизион
дивизион-94-13	дивизион-95-13	annotator5	4		дивизион
дивизион-10-13	дивизион-11-13	annotator5	4		дивизион
дивизион-4-13	дивизион-5-13	annotator5	4		дивизион
дивизион-8-13	дивизион-9-13	annotator5	4		дивизион
дивизион-44-13	дивизион-45-13	annotator5	4		дивизион
дивизион-48-13	дивизион-49-13	annotator5	4		дивизион
дивизион-100-13	дивизион-101-13	annotator5	1		дивизион
дивизион-40-13	дивизион-41-13	annotator5	1		дивизион
дивизион-102-13	дивизион-103-13	annotator5	4		дивизион
дивизион-46-13	дивизион-47-13	annotator5	4		дивизион
дивизион-0-13	дивизион-1-13	annotator5	3		дивизион
дивизион-106-13	дивизион-107-13	annotator5	1		дивизион
дивизион-26-13	дивизион-27-13	annotator5	4		дивизион
дивизион-104-13	дивизион-105-13	annotator5	4		дивизион
дивизион-96-13	дивизион-97-13	annotator5	4		дивизион
дивизион-2-13	дивизион-3-13	annotator5	1		дивизион
дивизион-42-13	дивизион-43-13	annotator5	4		дивизион
дивизион-118-13	дивизион-119-13	annotator5	4		дивизион
дивизион-24-13	дивизион-25-13	annotator5	4		дивизион
