lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
дивизион	NOUN	1918-1990	1	дивизион-0		"Манчестер Сити" Место в прошлом сезоне: 1-е в первом дивизионе.	54:63	0:64
дивизион	NOUN	1991-2017	2	дивизион-1		Состав такой же, как и 1 -го дивизиона.	29:38	0:39
дивизион	NOUN	1991-2017	2	дивизион-2		"Сейчас такая зависимость наблюдается прежде всего по тем сегментам, где покупатель обращает особенное внимание на стоимость эксплуатации автомобиля, однако не за горами время, когда такая ситуация распространится на весь авторынок", -- уверен директор управления маркетинга Северо-Западного дивизиона "Ренессанс Страхование" Алексей Образцов, отмечая, что сейчас по каско страхуется порядка 60% новых автомобилей.	292:301	0:414
дивизион	NOUN	1991-2017	2	дивизион-3		Данные о воздушной обстановке командные пункты и дивизионы получали от близлежащих радиолокационных рот РТВ и постов визуального наблюдения.	49:58	0:140
дивизион	NOUN	1918-1990	1	дивизион-4		-- Какой части -- Конного генерала Маркова офицерского дивизиона.	55:64	0:65
дивизион	NOUN	1918-1990	1	дивизион-5		Впоследствии, когда в конце 1918 года я подымал в Киеве панцирный дивизион против гетмана, я увидел, что почти все солдаты называли себя дежурными и дневальными, и уже не удивился.	66:74	0:180
дивизион	NOUN	1918-1990	1	дивизион-6		-- У нас тут случай без вас был в дивизионе, товарищ лейтенант.	34:43	0:63
дивизион	NOUN	1918-1990	1	дивизион-7		1909 г., третья с 15-см гаубицами; 4-й дивизион -- три четырехорудийные батареи: одна с 203-мм пушками, другая с 152-мм крепостными гаубицами обр.	39:47	0:146
дивизион	NOUN	1918-1990	1	дивизион-8		-- Что там у вас -- кричал командир дивизиона, которому слышно было в трубку, как здесь грохочет.	36:45	0:97
дивизион	NOUN	1918-1990	1	дивизион-9		Затем явились семеновцы, литовцы, 3-й стрелковый, петроградский броневой дивизион.	73:81	0:82
дивизион	NOUN	1918-1990	1	дивизион-10		30 мин. вечера, дивизион занял Адриановку, и тоже без сопротивления.	16:24	0:68
дивизион	NOUN	1918-1990	1	дивизион-11		Часть командиров батарей, дивизионов и полков не считают своей первейшей обязанностью лично больше наблюдать за противником, нашими войсками и разрывами снарядов своей артиллерии.	26:36	0:179
дивизион	NOUN	1918-1990	1	дивизион-12		8 минполк (без одного дивизиона) -- в моем резерве, сосредоточиться на южн. окраине Ивановка под прикрытием батальона охраны штарма.	22:31	0:132
дивизион	NOUN	1918-1990	1	дивизион-13		Перед фронтом и в глубине обороны подготовить массированный огонь шести--десяти дивизионов в зависимости от важности целей.	80:90	0:123
дивизион	NOUN	1918-1990	1	дивизион-14		99 зрбр имеют в составе: 3 дивизиона зенитных ракет типа С-75 ("Двина"), 3 дивизиона зенитных ракет типа С-125 ("Печора"), 2 технических дивизиона: один по обслуживанию зенитных ракет "Двина", один -- по обслуживанию зенитных ракет "Печора".	27:36	0:241
дивизион	NOUN	1918-1990	1	дивизион-15		Зенитная артиллерия организует на командных пунктах полков и дивизионов прием по радио сигнала истребителей об атаке цели и обеспечивает своевременное прекращение огня по атакуемой цели.	61:71	0:186
дивизион	NOUN	1918-1990	1	дивизион-16		Дивизион 2 гмп -- выполнение задачи по особому приказу.	0:8	0:55
дивизион	NOUN	1918-1990	1	дивизион-17		Нанести рубежи и участки на крупномасштабную карту и огневые планшеты батарей и дивизионов.	80:90	0:91
дивизион	NOUN	1918-1990	1	дивизион-18		А в четыре часа утра 22 июня наш дивизион 76-мм противотанковых орудий, выдвинутый к этому времени на огневую позицию у моста через Неман, встретил противника.	33:41	0:159
дивизион	NOUN	1991-2017	2	дивизион-19		Передовые наблюдательные пункты, наблюдательные пункты командиров батарей и одного дивизиона артиллерийского полка стрелковой дивизии должны все время следовать в боевых порядках пехоты, осуществляя необходимую связь и взаимодействие с соответствующими пехотными командирами.	83:92	0:275
