identifier1	identifier2	annotator	judgment	comment	lemma
донорство-36-13	донорство-37-13	annotator1	4		донорство
донорство-2-13	донорство-3-13	annotator1	4		донорство
донорство-58-13	донорство-59-13	annotator1	1		донорство
донорство-4-13	донорство-5-13	annotator1	4		донорство
донорство-48-13	донорство-49-13	annotator1	2		донорство
донорство-50-13	донорство-51-13	annotator1	2		донорство
донорство-6-13	донорство-7-13	annotator1	3		донорство
донорство-52-13	донорство-53-13	annotator1	4		донорство
донорство-14-13	донорство-15-13	annotator1	2		донорство
донорство-38-13	донорство-39-13	annotator1	1		донорство
донорство-0-13	донорство-1-13	annotator1	4		донорство
донорство-24-13	донорство-25-13	annotator1	4		донорство
донорство-18-13	донорство-19-13	annotator1	3		донорство
донорство-30-13	донорство-31-13	annotator1	4		донорство
донорство-16-13	донорство-17-13	annotator1	3		донорство
донорство-26-13	донорство-27-13	annotator1	4		донорство
донорство-22-13	донорство-23-13	annotator1	4		донорство
донорство-20-13	донорство-21-13	annotator1	4		донорство
донорство-56-13	донорство-57-13	annotator1	4		донорство
донорство-46-13	донорство-47-13	annotator1	4		донорство
донорство-12-13	донорство-13-13	annotator1	4		донорство
донорство-40-13	донорство-41-13	annotator1	3		донорство
донорство-42-13	донорство-43-13	annotator1	4		донорство
донорство-10-13	донорство-11-13	annotator1	2		донорство
донорство-44-13	донорство-45-13	annotator1	4		донорство
донорство-32-13	донорство-33-13	annotator1	4		донорство
донорство-34-13	донорство-35-13	annotator1	4		донорство
донорство-28-13	донорство-29-13	annotator1	4		донорство
донорство-54-13	донорство-55-13	annotator1	1		донорство
донорство-8-13	донорство-9-13	annotator1	4		донорство
донорство-46-13	донорство-47-13	annotator2	3		донорство
донорство-22-13	донорство-23-13	annotator2	4		донорство
донорство-40-13	донорство-41-13	annotator2	2		донорство
донорство-30-13	донорство-31-13	annotator2	4		донорство
донорство-36-13	донорство-37-13	annotator2	4		донорство
донорство-16-13	донорство-17-13	annotator2	1		донорство
донорство-42-13	донорство-43-13	annotator2	4		донорство
донорство-58-13	донорство-59-13	annotator2	1		донорство
донорство-18-13	донорство-19-13	annotator2	3		донорство
донорство-0-13	донорство-1-13	annotator2	1		донорство
донорство-44-13	донорство-45-13	annotator2	4		донорство
донорство-38-13	донорство-39-13	annotator2	1		донорство
донорство-54-13	донорство-55-13	annotator2	4		донорство
донорство-28-13	донорство-29-13	annotator2	4		донорство
донорство-50-13	донорство-51-13	annotator2	1		донорство
донорство-32-13	донорство-33-13	annotator2	4		донорство
донорство-52-13	донорство-53-13	annotator2	4		донорство
донорство-48-13	донорство-49-13	annotator2	3		донорство
донорство-34-13	донорство-35-13	annotator2	4		донорство
донорство-20-13	донорство-21-13	annotator2	4		донорство
донорство-56-13	донорство-57-13	annotator2	1		донорство
донорство-10-13	донорство-11-13	annotator2	2		донорство
донорство-12-13	донорство-13-13	annotator2	4		донорство
донорство-2-13	донорство-3-13	annotator2	4		донорство
донорство-26-13	донорство-27-13	annotator2	4		донорство
донорство-6-13	донорство-7-13	annotator2	4		донорство
донорство-4-13	донорство-5-13	annotator2	4		донорство
донорство-14-13	донорство-15-13	annotator2	4		донорство
донорство-24-13	донорство-25-13	annotator2	3		донорство
донорство-8-13	донорство-9-13	annotator2	4		донорство
донорство-12-13	донорство-13-13	annotator3	4		донорство
донорство-50-13	донорство-51-13	annotator3	1		донорство
донорство-32-13	донорство-33-13	annotator3	4		донорство
донорство-48-13	донорство-49-13	annotator3	4		донорство
донорство-34-13	донорство-35-13	annotator3	4		донорство
донорство-4-13	донорство-5-13	annotator3	4		донорство
донорство-46-13	донорство-47-13	annotator3	4		донорство
донорство-36-13	донорство-37-13	annotator3	4		донорство
донорство-52-13	донорство-53-13	annotator3	4		донорство
донорство-44-13	донорство-45-13	annotator3	3		донорство
донорство-6-13	донорство-7-13	annotator3	1		донорство
донорство-58-13	донорство-59-13	annotator3	2		донорство
донорство-2-13	донорство-3-13	annotator3	4		донорство
донорство-54-13	донорство-55-13	annotator3	1		донорство
донорство-28-13	донорство-29-13	annotator3	4		донорство
