lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
донорство	NOUN	1918-1990	1	донорство-0		-- Понимаете, -- говорит Алиса Петровна, -- советское безвозмездное донорство на самом деле не было безвозмездным.	68:77	0:114
донорство	NOUN	1991-2017	2	донорство-1		Опять пробирался я пешком от Академии в донорство, давал кровь, получал паечек.	40:49	0:79
донорство	NOUN	1918-1990	1	донорство-2		Донорство Галино 24-го.	0:9	0:23
донорство	NOUN	1918-1990	1	донорство-3		Дома застаю все эти скверные новости с донорством, также с провалом всех менокомбинаций.	39:49	0:88
донорство	NOUN	1991-2017	2	донорство-4		А вот донорство -- вещь полезная.	6:15	0:33
донорство	NOUN	1991-2017	2	донорство-5		Лучшей рекламной кампанией стали из социальной рекламы -- кампания по поддержке донорства костного мозга и чешской олимпийской команды инвалидов, некоммерческой радиостанции Кракова, из коммерческой рекламы -- кампания Master Card (США). напитка АСЕ (Словения), порошка Vizir (Словения), спутникового телевидения Yes Satelite (Израиль), пива Blue (Канада), мебельного магазина ИКЕА (Польша).	80:89	0:391
донорство	NOUN	1918-1990	1	донорство-6		В случае удачи с Галиным донорством это немногое было бы покрыто.	25:35	0:65
донорство	NOUN	1918-1990	1	донорство-7		Запущен ее же проэкт на фабрику -- боюсь, не высосало бы ее все-таки и донорство.	71:80	0:81
донорство	NOUN	1991-2017	2	донорство-8		В течение трех месяцев после апрельских событий в Центр органного донорства не поступил ни один донорский орган.	66:75	0:112
донорство	NOUN	1991-2017	2	донорство-9		Все КВД Москвы дружно взбунтовались: почему после сифилиса отвод от донорства на всю жизнь Вы, коллеги, нарушаете права человека!	68:77	0:129
донорство	NOUN	1918-1990	1	донорство-10		В то же время сдерживающим фактором для данного, основаного пути передачи вируса в Белоруссии является недостаточное финансирование донорства и как следствие частое использование в качестве доноров родственников реципиента.	132:141	0:223
донорство	NOUN	1991-2017	2	донорство-11		Характерный вышел день: из-за Галиного донорства в Союзпис пошел я.	39:48	0:67
донорство	NOUN	1991-2017	2	донорство-12		Ваше отношение к донорству спермы Положительное.	17:26	0:48
