identifier1	identifier2	annotator	judgment	comment	lemma
драйвер-0	драйвер-1	annotator1	1		драйвер
драйвер-0	драйвер-1	annotator2	1		драйвер
драйвер-0	драйвер-1	annotator3	1		драйвер
драйвер-0	драйвер-1	annotator4	1		драйвер
драйвер-0	драйвер-1	annotator5	1		драйвер
драйвер-2	драйвер-3	annotator1	3		драйвер
драйвер-2	драйвер-3	annotator2	1		драйвер
драйвер-2	драйвер-3	annotator3	1		драйвер
драйвер-2	драйвер-3	annotator4	0		драйвер
драйвер-2	драйвер-3	annotator5	1		драйвер
драйвер-4	драйвер-5	annotator1	4		драйвер
драйвер-4	драйвер-5	annotator2	4		драйвер
драйвер-4	драйвер-5	annotator3	4		драйвер
драйвер-4	драйвер-5	annotator4	3		драйвер
драйвер-4	драйвер-5	annotator5	4		драйвер
драйвер-6	драйвер-7	annotator1	4		драйвер
драйвер-6	драйвер-7	annotator2	4		драйвер
драйвер-6	драйвер-7	annotator3	4		драйвер
драйвер-6	драйвер-7	annotator4	4		драйвер
драйвер-6	драйвер-7	annotator5	4		драйвер
драйвер-8	драйвер-9	annotator1	1		драйвер
драйвер-8	драйвер-9	annotator2	1		драйвер
драйвер-8	драйвер-9	annotator3	3		драйвер
драйвер-8	драйвер-9	annotator4	1		драйвер
драйвер-8	драйвер-9	annotator5	1		драйвер
драйвер-10	драйвер-11	annotator1	1		драйвер
драйвер-10	драйвер-11	annotator2	1		драйвер
драйвер-10	драйвер-11	annotator3	1		драйвер
драйвер-10	драйвер-11	annotator4	1		драйвер
драйвер-10	драйвер-11	annotator5	1		драйвер
драйвер-12	драйвер-13	annotator1	1		драйвер
драйвер-12	драйвер-13	annotator2	1		драйвер
драйвер-12	драйвер-13	annotator3	1		драйвер
драйвер-12	драйвер-13	annotator4	1		драйвер
драйвер-12	драйвер-13	annotator5	1		драйвер
драйвер-14	драйвер-15	annotator1	4		драйвер
драйвер-14	драйвер-15	annotator2	4		драйвер
драйвер-14	драйвер-15	annotator3	4		драйвер
драйвер-14	драйвер-15	annotator4	4		драйвер
драйвер-14	драйвер-15	annotator5	4		драйвер
драйвер-16	драйвер-17	annotator1	1		драйвер
драйвер-16	драйвер-17	annotator2	1		драйвер
драйвер-16	драйвер-17	annotator3	1		драйвер
драйвер-16	драйвер-17	annotator4	1		драйвер
драйвер-16	драйвер-17	annotator5	4		драйвер
драйвер-18	драйвер-19	annotator1	1		драйвер
драйвер-18	драйвер-19	annotator2	3		драйвер
драйвер-18	драйвер-19	annotator3	4		драйвер
драйвер-18	драйвер-19	annotator4	4		драйвер
драйвер-18	драйвер-19	annotator5	1		драйвер
драйвер-20	драйвер-21	annotator1	3		драйвер
драйвер-20	драйвер-21	annotator2	4		драйвер
драйвер-20	драйвер-21	annotator3	4		драйвер
драйвер-20	драйвер-21	annotator4	4		драйвер
драйвер-20	драйвер-21	annotator5	4		драйвер
драйвер-22	драйвер-23	annotator1	4		драйвер
драйвер-22	драйвер-23	annotator2	2		драйвер
драйвер-22	драйвер-23	annotator3	2		драйвер
драйвер-22	драйвер-23	annotator4	4		драйвер
драйвер-22	драйвер-23	annotator5	4		драйвер
драйвер-24	драйвер-25	annotator1	4		драйвер
драйвер-24	драйвер-25	annotator2	4		драйвер
драйвер-24	драйвер-25	annotator3	2		драйвер
драйвер-24	драйвер-25	annotator4	4		драйвер
драйвер-24	драйвер-25	annotator5	4		драйвер
драйвер-26	драйвер-27	annotator1	1		драйвер
драйвер-26	драйвер-27	annotator2	3		драйвер
драйвер-26	драйвер-27	annotator3	4		драйвер
драйвер-26	драйвер-27	annotator4	1		драйвер
драйвер-26	драйвер-27	annotator5	4		драйвер
драйвер-28	драйвер-29	annotator1	2		драйвер
драйвер-28	драйвер-29	annotator2	1		драйвер
драйвер-28	драйвер-29	annotator3	1		драйвер
драйвер-28	драйвер-29	annotator4	1		драйвер
драйвер-28	драйвер-29	annotator5	1		драйвер
драйвер-30	драйвер-31	annotator1	1		драйвер
драйвер-30	драйвер-31	annotator2	1		драйвер
драйвер-30	драйвер-31	annotator3	4		драйвер
драйвер-30	драйвер-31	annotator4	3		драйвер
драйвер-30	драйвер-31	annotator5	1		драйвер
драйвер-32	драйвер-33	annotator1	1		драйвер
драйвер-32	драйвер-33	annotator2	1		драйвер
драйвер-32	драйвер-33	annotator3	1		драйвер
драйвер-32	драйвер-33	annotator4	1		драйвер
драйвер-32	драйвер-33	annotator5	1		драйвер
драйвер-34	драйвер-35	annotator1	4		драйвер
драйвер-34	драйвер-35	annotator2	3		драйвер
драйвер-34	драйвер-35	annotator3	4		драйвер
драйвер-34	драйвер-35	annotator4	4		драйвер
драйвер-34	драйвер-35	annotator5	4		драйвер
драйвер-36	драйвер-37	annotator1	1		драйвер
драйвер-36	драйвер-37	annotator2	4		драйвер
драйвер-36	драйвер-37	annotator3	1		драйвер
драйвер-36	драйвер-37	annotator4	2		драйвер
драйвер-36	драйвер-37	annotator5	2		драйвер
драйвер-38	драйвер-39	annotator1	2		драйвер
драйвер-38	драйвер-39	annotator2	1		драйвер
драйвер-38	драйвер-39	annotator3	1		драйвер
драйвер-38	драйвер-39	annotator4	1		драйвер
драйвер-38	драйвер-39	annotator5	2		драйвер
драйвер-40	драйвер-41	annotator1	1		драйвер
драйвер-40	драйвер-41	annotator2	4		драйвер
драйвер-40	драйвер-41	annotator3	1		драйвер
драйвер-40	драйвер-41	annotator4	1		драйвер
драйвер-40	драйвер-41	annotator5	1		драйвер
