lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
драйвер	NOUN	1918-1990	1	драйвер-0		Рынок мясных изделий имеет драйверы роста за счет консолидации и импортозамещения, -- объясняет он.	27:35	0:99
драйвер	NOUN	1991-2017	2	драйвер-1		Это была единственная слабость нашего мужественного драйвера -- водителя.	52:60	0:73
драйвер	NOUN	1918-1990	1	драйвер-2		-- А вот и Русская горка, -- сказал наш могучий драйвер, переводя рычаг на вторую скорость.	48:55	0:91
драйвер	NOUN	1918-1990	1	драйвер-3		Н-да, придете домой -- посмотрите словарь на "драйвер".	46:53	0:55
драйвер	NOUN	1991-2017	2	драйвер-4		-- Компьютеры Софт, драйвера, инсталляция, утилиты, -- пугал он Георгия теми терминами, которыми морочил его три дня назад юный и самоуверенный спец, вызванный для починки кобеницынского старенького компьютера и цедивший эти слова с убежденностью, что не знать их может только детсадовский малец (это Кобеницына, конечно, уязвило, вот он мимолетно и отыгрался на другом -- впрочем, без злорадства).	20:28	0:398
драйвер	NOUN	1991-2017	2	драйвер-5		Есть, правда, одно уточнение: в Windows 95 действуют некоторые системные программы общего пользования (драйверы), которые заранее переработаны для ММХ.	103:111	0:151
драйвер	NOUN	1918-1990	1	драйвер-6		Драйвер!	0:7	0:8
драйвер	NOUN	1918-1990	1	драйвер-7		Настоящий драйвер!	10:17	0:18
драйвер	NOUN	1991-2017	2	драйвер-8		Драйвером нисходящего движения котировок стал отток иностранного капитала.	0:9	0:74
драйвер	NOUN	1991-2017	2	драйвер-9		Хотя, ты мне сделал подсказку: лучше нанять драйвера, а не просить тебя.	44:52	0:72
драйвер	NOUN	1918-1990	1	драйвер-10		Hot Swap Kit представляет собой набор системных драйверов, расширений ядра системы и пользовательских утилит, обеспечивающих прозрачную (с точки зрения пользователя ОС) поддержку динамической замены устройств на шине CompactPCI.	48:57	0:228
драйвер	NOUN	1991-2017	2	драйвер-11		Его взору вдруг открылась вся необъятная территория родного порта, ибо "Жигули" и драйвер оказались выше всех контейнерных штабелей вокруг.	82:89	0:139
драйвер	NOUN	1918-1990	1	драйвер-12		В DOS'e я вам фоссиловские драйвера подвешу.	27:35	0:44
драйвер	NOUN	1991-2017	2	драйвер-13		И еще с моим драйвером, с Гошей.	13:22	0:32
драйвер	NOUN	1991-2017	2	драйвер-14		В этом случае качественный контент выступает в роли драйвера роста.	52:60	0:67
драйвер	NOUN	1991-2017	2	драйвер-15		Таким образом, из основного драйвера роста угольной промышленности России экспорт превратился в единственную возможность сохранения добычи на текущем уровне.	28:36	0:157
драйвер	NOUN	1991-2017	2	драйвер-16		Вот если бы она драйвера перепутала или вместо видеокарты звуковую впаяла, то тогда -- да, тогда, конечно, можно и язвить.	16:24	0:122
драйвер	NOUN	1991-2017	2	драйвер-17		"Композит" же Меламеда вошел в число приоритетных проектов "Роснано" и был проинвестирован как драйвер становления отрасли композиционных материалов.	95:102	0:149
драйвер	NOUN	1918-1990	1	драйвер-18		За брата у нас драйвер был.	15:22	0:27
драйвер	NOUN	1918-1990	1	драйвер-19		Фома Фомич проявляет очередные черты драйвера теперь в смысле отчаянного мужества -- приглашает меня к себе в каюту сыграть в шахматы.	37:45	0:134
драйвер	NOUN	1991-2017	2	драйвер-20		Запала инвесторов хватило лишь на то, чтобы еще немного приблизиться к отметке 1400 пунктов по индексу ММВБ, но для ее преодоления требуются более мощные драйверы, чем просто стагнация геополитической напряженности.	154:162	0:215
драйвер	NOUN	1991-2017	2	драйвер-21		Однако может указывать на то, что экономика России рискует утратить в наступившем году последний сохранявшийся драйвер -- растущий спрос домохозяйств при не оправившемся от прошлогоднего "саботажа" гос- и квазигоскомпаний инвестиционном спросе.	111:118	0:244
драйвер	NOUN	1918-1990	1	драйвер-22		И вот я назначен дублером драйвера Фомы Фомича Фомичева.	26:34	0:56
драйвер	NOUN	1918-1990	1	драйвер-23		Поехал я к нему на дачу, когда драйвер находился после больниц, санатория и отпусков в ожидании решения вопроса: пустят его еще плавать или, значить, не пустят.	31:38	0:160
драйвер	NOUN	1918-1990	1	драйвер-24		И, возможно, поэтому наш драйвер, наш капитан Фома Фомич Фомичев, молчаливо выслушав наши жуткие воспоминания и тщательно обдумав их, неожиданно сказал: -- Эт все что!	25:32	0:167
драйвер	NOUN	1918-1990	1	драйвер-25		И знаменитый драйвер.	13:20	0:21
драйвер	NOUN	1918-1990	1	драйвер-26		Ибо слово "драйвер" работает у англичан в диапазоне от "гонщик" и "преследователь" до "надсмотрщик за рабами" и от мирного "кучер" до мрачного "доводящий до отчаяния".	11:18	0:167
драйвер	NOUN	1918-1990	1	драйвер-27		Миссис Адамс попыталась было возражать, но плакаты произвели на нас такое сильное впечатление, что мы присоединились к мистеру Адамсу, и наш авантюристически настроенный драйвер покорился.	170:177	0:188
драйвер	NOUN	1991-2017	2	драйвер-28		Как драйвер областной экономики попробовали строительство -- и это сработало: в 2014 году вместо запланированных 250 тыс. квадратных метров в области сдали 300 тысяч.	4:11	0:166
драйвер	NOUN	1991-2017	2	драйвер-29		Вы можете использовать "VibrantLink" как отдельное приложение или как программу, которая появляется на экране в качестве драйвера для принтера, и, таким образом, работать с одношаговой возможностью растеризации и печати из одного графического приложения.	121:129	0:254
драйвер	NOUN	1918-1990	1	драйвер-30		Медики объяснили, что после сотрясения мозга Фомы Фомича у драйвера стали неприметно гипертрофироваться наиболее отрицательные черты и черточки характера и психики.	59:67	0:164
драйвер	NOUN	1918-1990	1	драйвер-31		Ушастик взвыл, но драйвер приказал старшему механику, значить, не разговаривать, а искать подходящие трусы и майку.	18:25	0:115
драйвер	NOUN	1918-1990	1	драйвер-32		Наконец, рост в ряде отраслей, например в металлургии, толкают оба драйвера сразу -- и импортозамещение, и гандикап курса.	67:75	0:122
драйвер	NOUN	1991-2017	2	драйвер-33		А не видно моего драйвера-капитана, потому что вас побаивается.	17:33	0:63
драйвер	NOUN	1991-2017	2	драйвер-34		Например, недавно мы обнаружили интересный драйвер развития мирового кондитерского рынка -- замороженные полуфабрикаты.	43:50	0:119
драйвер	NOUN	1991-2017	2	драйвер-35		В целом поддержав мысль главы ЦБ Набиуллиной, что-де ослабление рубля станет драйвером для проектов импортозамещения, опытный экономист честно добавил: "Конечно, для тех проектов, где инвестиции уже сделаны".	77:86	0:208
драйвер	NOUN	1918-1990	1	драйвер-36		Откуда -- никто из "драйверов" не признавался.	20:29	0:46
