identifier1	identifier2	annotator	judgment	comment	lemma
завязка-30-13	завязка-31-13	annotator1	2		завязка
завязка-100-13	завязка-101-13	annotator1	1		завязка
завязка-76-13	завязка-77-13	annotator1	1		завязка
завязка-22-13	завязка-23-13	annotator1	4		завязка
завязка-62-13	завязка-63-13	annotator1	1		завязка
завязка-90-13	завязка-91-13	annotator1	1		завязка
завязка-72-13	завязка-73-13	annotator1	4		завязка
завязка-98-13	завязка-99-13	annotator1	1		завязка
завязка-70-13	завязка-71-13	annotator1	4		завязка
завязка-78-13	завязка-79-13	annotator1	1		завязка
завязка-24-13	завязка-25-13	annotator1	4		завязка
завязка-80-13	завязка-81-13	annotator1	2		завязка
завязка-82-13	завязка-83-13	annotator1	1		завязка
завязка-74-13	завязка-75-13	annotator1	1		завязка
завязка-2-13	завязка-3-13	annotator1	1		завязка
завязка-36-13	завязка-37-13	annotator1	4		завязка
завязка-50-13	завязка-51-13	annotator1	4		завязка
завязка-20-13	завязка-21-13	annotator1	1		завязка
завязка-0-13	завязка-1-13	annotator1	1		завязка
завязка-56-13	завязка-57-13	annotator1	4		завязка
завязка-46-13	завязка-47-13	annotator1	1		завязка
завязка-92-13	завязка-93-13	annotator1	4		завязка
завязка-110-13	завязка-111-13	annotator1	4		завязка
завязка-94-13	завязка-95-13	annotator1	1		завязка
завязка-96-13	завязка-97-13	annotator1	1		завязка
завязка-42-13	завязка-43-13	annotator1	1		завязка
завязка-60-13	завязка-61-13	annotator1	4		завязка
завязка-40-13	завязка-41-13	annotator1	1		завязка
завязка-44-13	завязка-45-13	annotator1	1		завязка
завязка-102-13	завязка-103-13	annotator1	1		завязка
завязка-54-13	завязка-55-13	annotator1	4		завязка
завязка-34-13	завязка-35-13	annotator1	1		завязка
завязка-38-13	завязка-39-13	annotator1	1		завязка
завязка-52-13	завязка-53-13	annotator1	1		завязка
завязка-26-13	завязка-27-13	annotator1	1		завязка
завязка-88-13	завязка-89-13	annotator1	3		завязка
завязка-16-13	завязка-17-13	annotator1	1		завязка
завязка-12-13	завязка-13-13	annotator1	3		завязка
завязка-6-13	завязка-7-13	annotator1	1		завязка
завязка-28-13	завязка-29-13	annotator1	1		завязка
завязка-14-13	завязка-15-13	annotator1	4		завязка
завязка-114-13	завязка-115-13	annotator1	1		завязка
завязка-108-13	завязка-109-13	annotator1	1		завязка
завязка-112-13	завязка-113-13	annotator1	1		завязка
завязка-18-13	завязка-19-13	annotator1	4		завязка
завязка-118-13	завязка-119-13	annotator1	1		завязка
завязка-106-13	завязка-107-13	annotator1	4		завязка
завязка-68-13	завязка-69-13	annotator1	1		завязка
завязка-116-13	завязка-117-13	annotator1	1		завязка
завязка-10-13	завязка-11-13	annotator1	1		завязка
завязка-104-13	завязка-105-13	annotator1	1		завязка
завязка-32-13	завязка-33-13	annotator1	1		завязка
завязка-8-13	завязка-9-13	annotator1	4		завязка
завязка-58-13	завязка-59-13	annotator1	1		завязка
завязка-64-13	завязка-65-13	annotator1	1		завязка
завязка-66-13	завязка-67-13	annotator1	1		завязка
завязка-84-13	завязка-85-13	annotator1	4		завязка
завязка-48-13	завязка-49-13	annotator1	2		завязка
завязка-86-13	завязка-87-13	annotator1	1		завязка
завязка-4-13	завязка-5-13	annotator1	1		завязка
завязка-92-13	завязка-93-13	annotator2	4		завязка
завязка-84-13	завязка-85-13	annotator2	1		завязка
завязка-82-13	завязка-83-13	annotator2	1		завязка
завязка-6-13	завязка-7-13	annotator2	1		завязка
завязка-94-13	завязка-95-13	annotator2	1		завязка
завязка-14-13	завязка-15-13	annotator2	4		завязка
завязка-96-13	завязка-97-13	annotator2	1		завязка
завязка-108-13	завязка-109-13	annotator2	4		завязка
завязка-16-13	завязка-17-13	annotator2	1		завязка
