lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
завязка	NOUN	1918-1990	1	завязка-0		"Ферези были у меня самые добрые рогозиные, а завязки мочальные, да и то люди за долг взяли", -- жалуется он.	46:53	0:109
завязка	NOUN	1918-1990	1	завязка-1		Я написал письмо Марии, которую знал с детства, получил ответ, что ждет, если не обману с завязкой, и приехал в Сосновку.	90:98	0:121
завязка	NOUN	1918-1990	1	завязка-2		-- Должно быть, не зазря, -- еле слышно говорит он и все наматывает и разматывает завязку вокруг пальца.	82:89	0:104
завязка	NOUN	1918-1990	1	завязка-3		Действия артиллерии наступающего в бою против неподвижного противника и в бою встречном различны, в особенности при завязке боя.	116:123	0:128
завязка	NOUN	1991-2017	2	завязка-4		-- И, пока юная женщина силилась найти какие-то слова для ответа, распустил завязки мешка, размотал тряпицу, вытащил и утвердил в плотной плетёной соломе кованый светоч-светец: пушистая заюшка, заслушавшаяся песни щегла.	76:83	0:220
завязка	NOUN	1991-2017	2	завязка-5		Баки самолета заправляем под завязку на тот случай, если действительно придется туда лететь.	29:36	0:92
завязка	NOUN	1991-2017	2	завязка-6		-- Софья Константиновна, есть прекрасные магазины, набитые под завязку отменным спиртным.	63:70	0:89
завязка	NOUN	1991-2017	2	завязка-7		Обгрыз завязки, обслюнявил, наморщил ушаночку-то и потом на место вернул, як тут и було.	7:14	0:88
завязка	NOUN	1918-1990	1	завязка-8		Завязка русской трагедии культуры История русской культуры, вся она в перебоях, в приступах, в отречениях или увлечениях, в разочарованиях, изменах, разрывах.	0:7	0:158
завязка	NOUN	1918-1990	1	завязка-9		Новостью в нашей повести является романическая её завязка, отсутствующая в повести о Петре и Февронии, а также мотив ухода в монастырь из-за несчастной любви.	50:57	0:158
завязка	NOUN	1991-2017	2	завязка-10		Завязка сюжета: жители города, обессилевшие от разгула мафии, выносят решение пересажать в тюрьму всех мафиози до единого.	0:7	0:122
завязка	NOUN	1991-2017	2	завязка-11		В середине декабря в финской газете Kauppalehti появилась заметка о том, что между Эстонией и Финляндией пустят специальные автобусы, пассажиры которых смогут затариваться алкоголем под завязку: к автобусу приладят специальный прицепной контейнер для напитков, в который может поместиться 110 л пива и 90 л водки.	186:193	0:313
завязка	NOUN	1991-2017	2	завязка-12		А напугать впавшего в бешенство мужика, накачанного мускулами под завязку, вряд ли получится.	66:73	0:93
завязка	NOUN	1991-2017	2	завязка-13		-- она давно выгнала бы их, да дома в погребе было под завязку.	55:62	0:63
завязка	NOUN	1918-1990	1	завязка-14		А я уже заметила: если в самые неподходящие минуты жизни из памяти извлекается одно и то же событие, то оно и есть суть, завязка многого последующего.	121:128	0:150
завязка	NOUN	1991-2017	2	завязка-15		Надо быть поистине милым, галантным Константином Сергеевичем, чтоб приложить к возвращенному мне обратно манускрипту такое, а не более вразумительное письмо: "...Сообщаю вам, что ваша пьеса "Сны жемчужины" в нашем театре не могла бы иметь успеха..." Название пьесы мало говорит о ее содержании: жемчужина тут ни при чем, но самая распрекраснейшая в мире женщина умирает, -- в этом завязка пьесы.	381:388	0:395
завязка	NOUN	1918-1990	1	завязка-16		В кают-компании, набитой под завязку офицерами, стало тесно от тишины.	29:36	0:70
завязка	NOUN	1991-2017	2	завязка-17		Так, во всяком случае, мне представляется завязка этой истории, а теперь решайте и думайте сами -- все ваше дело.	42:49	0:113
завязка	NOUN	1918-1990	1	завязка-18		В операционную Гаврилов пришел в больничном халате, в больничных грубого полотна портках и рубашке (у рубашки вместо пуговиц были завязки), в больничных за номером туфлях на босу ногу (белье на Гаврилове переменили в это утро в последний раз, надели на него стерильное), пришел в операционную побледневшим, похудевшим, усталым.	130:137	0:327
завязка	NOUN	1918-1990	1	завязка-19		С этими словами Капитон Колотовкин неторопливо скрылся в клубе, пробыл там минут пять, а когда вернулся, то бережно нес за плечи синий уборщицкий халат с завязками на спине; халат был куплен за двадцать семь рублей в райцентре, какое он имел отношение к пожарной безопасности, никто понять не мог, но белобрысый богатырь Валерьян навстречу Капитону бросился охотно, перехватив ловко халат, помог киномеханику забраться в него грудью и аккуратно завязал тесемки на спине.	154:163	0:470
завязка	NOUN	1918-1990	1	завязка-20		Все же знают, что я в завязке.	22:29	0:30
завязка	NOUN	1991-2017	2	завязка-21		А щегольски сшитая сутана отца Константини, с особенной франтовской небрежностью наброшенная на плечи мантия, даже бант, каким были закреплены у воротника шёлковые завязки этой мантии, -- все словно кричало об аристократическом превосходстве над епископом из балтийских свиноводов.	164:171	0:281
завязка	NOUN	1991-2017	2	завязка-22		Все работы хороши И, тем не менее, забитая под завязку в начале встречи аудитория НовГУ постепенно стала пустеть: студенты уходили даже целыми группами.	47:54	0:152
завязка	NOUN	1991-2017	2	завязка-23		Второй вариант, к которому все громче призывают уже не только из левого лагеря и который безусловно обеспечил бы кратковременную вспышку общественного энтузиазма, до боли напоминает великий перелом 1929 года, и его реализация придала бы завершенность аналогии Е. Гайдара -- "возвращение награбленного народу", концентрация ресурсов в руках государственной бюрократии, укомплектованной под завязку "патриотическими офицерами спецслужб", "мобилизационная экономика", призванная обеспечить цивилизационный рывок России и возвращение ее в ряд ведущих держав, а еще лучше -- на принадлежащее ей по праву место супердержавы.	389:396	0:618
завязка	NOUN	1991-2017	2	завязка-24		Европа все ему уже дала, наполнила под завязку.	39:46	0:47
завязка	NOUN	1991-2017	2	завязка-25		Одаривая благодарных жительниц Цорбена своей болезнью, трудолюбивый сержант неустанно бегал туда-сюда, пока под завязку не нагрузил очередной танк.	112:119	0:147
завязка	NOUN	1991-2017	2	завязка-26		Его нет, и никто никогда никуда не ушёл: все тутошние кабинеты забиты под завязку.	74:81	0:82
завязка	NOUN	1991-2017	2	завязка-27		Здесь работают даже специальные кружки и школы его изящной завязки, и японские женщины, не слишком обремененные тяготами повседневного быта, проводят в них долгие часы, тренируясь в этом сложном деле, попивая зеленый чай, обсуждая с подругами детали, а заодно и все другие вопросы, пришедшие на ум...	59:66	0:300
завязка	NOUN	1918-1990	1	завязка-28		Если баки с горючим залиты под завязку, его, даже лежачего, запросто могло сжечь тепловой волной.	31:38	0:97
завязка	NOUN	1991-2017	2	завязка-29		Но что спорить Черт с ними, со всеми завязками, развязками, началами, срединами и концами.	37:46	0:90
завязка	NOUN	1918-1990	1	завязка-30		Жиловатый немец в шишаке медном с голубыми завязками от наушников по подбородку, все более багровея лицом, кричал: -- Ти знайт, как копе держа-йт тебе, зволочь!	43:52	0:160
завязка	NOUN	1918-1990	1	завязка-31		Но это -- потом, через сорок с лишним лет, а тогда -- было прохладное ленинградское лето, и застывшая Фонтанка, и подворотни, которые пахли кошками, и был отец, который шел по переулку в светлой рубашке и с кухонным полотенцем, которое он по профессиональной своей привычке заткнул за ремень брюк, как на работе -- за белую завязку своей куртки.	324:331	0:345
завязка	NOUN	1991-2017	2	завязка-32		Здесь даже последний дворник -- в многолетней завязке.	46:53	0:54
завязка	NOUN	1991-2017	2	завязка-33		Дело в том, что, по данным экспертов, внутри России нефтепродуктов и так "под завязку", а отпускные цены с заводов -- минимальные.	78:85	0:130
завязка	NOUN	1991-2017	2	завязка-34		И не просто свяжутся: завязка всех событий пьесы окажется предопределенной именно этим узлом, потому что с этого дня и начнется гибель дома, семьи.	22:29	0:147
завязка	NOUN	1991-2017	2	завязка-35		Капитализация завода, рассчитанного на выпуск 10 тыс. тракторов и загруженного работой под завязку, и такого же, чьи мощности не используются и на десятую долю, -- это, как говорят в Одессе, две большие разницы.	91:98	0:211
завязка	NOUN	1918-1990	1	завязка-36		И роман переполнен репортажами о турнирах и матчах, совершенно стереотипными: первым делом копья разлетаются в щепу, потом сверкают мечи; трава обрызгана кровью, и все такое, и проходят час и два, пока счастливый победитель не распутает у поверженного противника завязки шлема, чтобы отрубить ему голову.	263:270	0:304
завязка	NOUN	1991-2017	2	завязка-37		Бросив сапки в углу Кудлатого, они, как конница Буденного, галопом слетают с крутого берега, развязывая на ходу завязки трусиков, и Коломак закипает в горячем ключе из их тел, криков, игры и всяких выдумок.	112:119	0:206
завязка	NOUN	1918-1990	1	завязка-38		Из холщового мешка, набитого под завязку, она принялась извлекать узелки, торбочки, кошелки со всякой разной продукцией.	33:40	0:120
завязка	NOUN	1991-2017	2	завязка-39		Я не знаю ничего совершеннее, как завязка повести, нежели начало "Пиковой дамы".	34:41	0:80
