identifier1	identifier2	annotator	judgment	comment	lemma
загрузка-0	загрузка-1	annotator1	1		загрузка
загрузка-0	загрузка-1	annotator2	2		загрузка
загрузка-0	загрузка-1	annotator3	3		загрузка
загрузка-0	загрузка-1	annotator4	2		загрузка
загрузка-0	загрузка-1	annotator5	4		загрузка
загрузка-2	загрузка-3	annotator1	4		загрузка
загрузка-2	загрузка-3	annotator2	3		загрузка
загрузка-2	загрузка-3	annotator3	4		загрузка
загрузка-2	загрузка-3	annotator4	4		загрузка
загрузка-2	загрузка-3	annotator5	4		загрузка
загрузка-4	загрузка-5	annotator1	4		загрузка
загрузка-4	загрузка-5	annotator2	4		загрузка
загрузка-4	загрузка-5	annotator3	3		загрузка
загрузка-4	загрузка-5	annotator4	4		загрузка
загрузка-4	загрузка-5	annotator5	4		загрузка
загрузка-6	загрузка-7	annotator1	3		загрузка
загрузка-6	загрузка-7	annotator2	2		загрузка
загрузка-6	загрузка-7	annotator3	4		загрузка
загрузка-6	загрузка-7	annotator4	3		загрузка
загрузка-6	загрузка-7	annotator5	4		загрузка
загрузка-8	загрузка-9	annotator1	4		загрузка
загрузка-8	загрузка-9	annotator2	2		загрузка
загрузка-8	загрузка-9	annotator3	1		загрузка
загрузка-8	загрузка-9	annotator4	2		загрузка
загрузка-8	загрузка-9	annotator5	4		загрузка
загрузка-10	загрузка-11	annotator1	3		загрузка
загрузка-10	загрузка-11	annotator2	3		загрузка
загрузка-10	загрузка-11	annotator3	1		загрузка
загрузка-10	загрузка-11	annotator4	4		загрузка
загрузка-10	загрузка-11	annotator5	3		загрузка
загрузка-12	загрузка-13	annotator1	1		загрузка
загрузка-12	загрузка-13	annotator2	1		загрузка
загрузка-12	загрузка-13	annotator3	4		загрузка
загрузка-12	загрузка-13	annotator4	4		загрузка
загрузка-12	загрузка-13	annotator5	2		загрузка
загрузка-14	загрузка-15	annotator1	4		загрузка
загрузка-14	загрузка-15	annotator2	4		загрузка
загрузка-14	загрузка-15	annotator3	4		загрузка
загрузка-14	загрузка-15	annotator4	4		загрузка
загрузка-14	загрузка-15	annotator5	4		загрузка
загрузка-16	загрузка-17	annotator1	3		загрузка
загрузка-16	загрузка-17	annotator2	3		загрузка
загрузка-16	загрузка-17	annotator3	4		загрузка
загрузка-16	загрузка-17	annotator4	4		загрузка
загрузка-16	загрузка-17	annotator5	3		загрузка
загрузка-18	загрузка-19	annotator1	1		загрузка
загрузка-18	загрузка-19	annotator2	1		загрузка
загрузка-18	загрузка-19	annotator3	1		загрузка
загрузка-18	загрузка-19	annotator4	1		загрузка
загрузка-18	загрузка-19	annotator5	1		загрузка
загрузка-20	загрузка-21	annotator1	2		загрузка
загрузка-20	загрузка-21	annotator2	2		загрузка
загрузка-20	загрузка-21	annotator3	1		загрузка
загрузка-20	загрузка-21	annotator4	1		загрузка
загрузка-20	загрузка-21	annotator5	1		загрузка
загрузка-22	загрузка-23	annotator1	1		загрузка
загрузка-22	загрузка-23	annotator2	1		загрузка
загрузка-22	загрузка-23	annotator3	1		загрузка
загрузка-22	загрузка-23	annotator4	4		загрузка
загрузка-22	загрузка-23	annotator5	1		загрузка
загрузка-24	загрузка-25	annotator1	2		загрузка
загрузка-24	загрузка-25	annotator2	2		загрузка
загрузка-24	загрузка-25	annotator3	4		загрузка
загрузка-24	загрузка-25	annotator4	2		загрузка
загрузка-24	загрузка-25	annotator5	2		загрузка
загрузка-26	загрузка-27	annotator1	3		загрузка
загрузка-26	загрузка-27	annotator2	3		загрузка
загрузка-26	загрузка-27	annotator3	4		загрузка
загрузка-26	загрузка-27	annotator4	4		загрузка
загрузка-26	загрузка-27	annotator5	2		загрузка
загрузка-28	загрузка-29	annotator1	3		загрузка
загрузка-28	загрузка-29	annotator2	4		загрузка
загрузка-28	загрузка-29	annotator3	4		загрузка
загрузка-28	загрузка-29	annotator4	4		загрузка
загрузка-28	загрузка-29	annotator5	4		загрузка
загрузка-30	загрузка-31	annotator1	1		загрузка
загрузка-30	загрузка-31	annotator2	1		загрузка
загрузка-30	загрузка-31	annotator3	1		загрузка
загрузка-30	загрузка-31	annotator4	2		загрузка
загрузка-30	загрузка-31	annotator5	1		загрузка
загрузка-32	загрузка-33	annotator1	1		загрузка
загрузка-32	загрузка-33	annotator2	4		загрузка
загрузка-32	загрузка-33	annotator3	4		загрузка
загрузка-32	загрузка-33	annotator4	1		загрузка
загрузка-32	загрузка-33	annotator5	1		загрузка
загрузка-34	загрузка-35	annotator1	4		загрузка
загрузка-34	загрузка-35	annotator2	3		загрузка
загрузка-34	загрузка-35	annotator3	2		загрузка
загрузка-34	загрузка-35	annotator4	1		загрузка
загрузка-34	загрузка-35	annotator5	1		загрузка
загрузка-36	загрузка-37	annotator1	1		загрузка
загрузка-36	загрузка-37	annotator2	1		загрузка
загрузка-36	загрузка-37	annotator3	1		загрузка
загрузка-36	загрузка-37	annotator4	1		загрузка
загрузка-36	загрузка-37	annotator5	1		загрузка
загрузка-38	загрузка-39	annotator1	2		загрузка
загрузка-38	загрузка-39	annotator2	4		загрузка
загрузка-38	загрузка-39	annotator3	4		загрузка
загрузка-38	загрузка-39	annotator4	4		загрузка
загрузка-38	загрузка-39	annotator5	4		загрузка
загрузка-40	загрузка-41	annotator1	1		загрузка
загрузка-40	загрузка-41	annotator2	1		загрузка
загрузка-40	загрузка-41	annotator3	1		загрузка
загрузка-40	загрузка-41	annotator4	1		загрузка
загрузка-40	загрузка-41	annotator5	1		загрузка
загрузка-42	загрузка-43	annotator1	4		загрузка
загрузка-42	загрузка-43	annotator2	4		загрузка
загрузка-42	загрузка-43	annotator3	1		загрузка
загрузка-42	загрузка-43	annotator4	4		загрузка
загрузка-42	загрузка-43	annotator5	3		загрузка
загрузка-44	загрузка-45	annotator1	1		загрузка
загрузка-44	загрузка-45	annotator2	1		загрузка
загрузка-44	загрузка-45	annotator3	4		загрузка
загрузка-44	загрузка-45	annotator4	1		загрузка
загрузка-44	загрузка-45	annotator5	2		загрузка
загрузка-46	загрузка-47	annotator1	1		загрузка
загрузка-46	загрузка-47	annotator2	3		загрузка
загрузка-46	загрузка-47	annotator3	2		загрузка
загрузка-46	загрузка-47	annotator4	1		загрузка
загрузка-46	загрузка-47	annotator5	3		загрузка
загрузка-48	загрузка-49	annotator1	1		загрузка
загрузка-48	загрузка-49	annotator2	1		загрузка
загрузка-48	загрузка-49	annotator3	1		загрузка
загрузка-48	загрузка-49	annotator4	1		загрузка
загрузка-48	загрузка-49	annotator5	1		загрузка
загрузка-50	загрузка-51	annotator1	1		загрузка
загрузка-50	загрузка-51	annotator2	1		загрузка
загрузка-50	загрузка-51	annotator3	1		загрузка
загрузка-50	загрузка-51	annotator4	3		загрузка
загрузка-50	загрузка-51	annotator5	1		загрузка
загрузка-52	загрузка-53	annotator1	3		загрузка
загрузка-52	загрузка-53	annotator2	2		загрузка
загрузка-52	загрузка-53	annotator3	3		загрузка
загрузка-52	загрузка-53	annotator4	1		загрузка
загрузка-52	загрузка-53	annotator5	4		загрузка
загрузка-54	загрузка-55	annotator1	1		загрузка
загрузка-54	загрузка-55	annotator2	3		загрузка
загрузка-54	загрузка-55	annotator3	1		загрузка
загрузка-54	загрузка-55	annotator4	4		загрузка
загрузка-54	загрузка-55	annotator5	1		загрузка
загрузка-56	загрузка-57	annotator1	4		загрузка
загрузка-56	загрузка-57	annotator2	4		загрузка
загрузка-56	загрузка-57	annotator3	2		загрузка
загрузка-56	загрузка-57	annotator4	1		загрузка
загрузка-56	загрузка-57	annotator5	2		загрузка
загрузка-58	загрузка-59	annotator1	3		загрузка
загрузка-58	загрузка-59	annotator2	2		загрузка
загрузка-58	загрузка-59	annotator3	3		загрузка
загрузка-58	загрузка-59	annotator4	2		загрузка
загрузка-58	загрузка-59	annotator5	1		загрузка
загрузка-60	загрузка-61	annotator1	4		загрузка
загрузка-60	загрузка-61	annotator2	3		загрузка
загрузка-60	загрузка-61	annotator3	4		загрузка
загрузка-60	загрузка-61	annotator4	4		загрузка
загрузка-60	загрузка-61	annotator5	4		загрузка
загрузка-62	загрузка-63	annotator1	3		загрузка
загрузка-62	загрузка-63	annotator2	1		загрузка
загрузка-62	загрузка-63	annotator3	1		загрузка
загрузка-62	загрузка-63	annotator4	4		загрузка
загрузка-62	загрузка-63	annotator5	1		загрузка
загрузка-64	загрузка-65	annotator1	1		загрузка
загрузка-64	загрузка-65	annotator2	1		загрузка
загрузка-64	загрузка-65	annotator3	2		загрузка
загрузка-64	загрузка-65	annotator4	3		загрузка
загрузка-64	загрузка-65	annotator5	1		загрузка
загрузка-66	загрузка-67	annotator1	1		загрузка
загрузка-66	загрузка-67	annotator2	1		загрузка
загрузка-66	загрузка-67	annotator3	4		загрузка
загрузка-66	загрузка-67	annotator4	4		загрузка
загрузка-66	загрузка-67	annotator5	4		загрузка
загрузка-68	загрузка-69	annotator1	1		загрузка
загрузка-68	загрузка-69	annotator2	3		загрузка
загрузка-68	загрузка-69	annotator3	1		загрузка
загрузка-68	загрузка-69	annotator4	1		загрузка
загрузка-68	загрузка-69	annotator5	1		загрузка
загрузка-70	загрузка-71	annotator1	3		загрузка
загрузка-70	загрузка-71	annotator2	1		загрузка
загрузка-70	загрузка-71	annotator3	1		загрузка
загрузка-70	загрузка-71	annotator4	2		загрузка
загрузка-70	загрузка-71	annotator5	4		загрузка
загрузка-72	загрузка-73	annotator1	2		загрузка
загрузка-72	загрузка-73	annotator2	1		загрузка
загрузка-72	загрузка-73	annotator3	1		загрузка
загрузка-72	загрузка-73	annotator4	2		загрузка
загрузка-72	загрузка-73	annotator5	1		загрузка
загрузка-74	загрузка-75	annotator1	4		загрузка
загрузка-74	загрузка-75	annotator2	4		загрузка
загрузка-74	загрузка-75	annotator3	4		загрузка
загрузка-74	загрузка-75	annotator4	4		загрузка
загрузка-74	загрузка-75	annotator5	4		загрузка
загрузка-76	загрузка-77	annotator1	1		загрузка
загрузка-76	загрузка-77	annotator2	1		загрузка
загрузка-76	загрузка-77	annotator3	1		загрузка
загрузка-76	загрузка-77	annotator4	1		загрузка
загрузка-76	загрузка-77	annotator5	2		загрузка
загрузка-78	загрузка-79	annotator1	1		загрузка
загрузка-78	загрузка-79	annotator2	1		загрузка
загрузка-78	загрузка-79	annotator3	1		загрузка
загрузка-78	загрузка-79	annotator4	3		загрузка
загрузка-78	загрузка-79	annotator5	3		загрузка
загрузка-80	загрузка-81	annotator1	4		загрузка
загрузка-80	загрузка-81	annotator2	1		загрузка
загрузка-80	загрузка-81	annotator3	2		загрузка
загрузка-80	загрузка-81	annotator4	1		загрузка
загрузка-80	загрузка-81	annotator5	2		загрузка
загрузка-82	загрузка-83	annotator1	1		загрузка
загрузка-82	загрузка-83	annotator2	3		загрузка
загрузка-82	загрузка-83	annotator3	1		загрузка
загрузка-82	загрузка-83	annotator4	2		загрузка
загрузка-82	загрузка-83	annotator5	2		загрузка
загрузка-84	загрузка-85	annotator1	4		загрузка
загрузка-84	загрузка-85	annotator2	1		загрузка
загрузка-84	загрузка-85	annotator3	1		загрузка
загрузка-84	загрузка-85	annotator4	1		загрузка
загрузка-84	загрузка-85	annotator5	1		загрузка
загрузка-86	загрузка-87	annotator1	2		загрузка
загрузка-86	загрузка-87	annotator2	3		загрузка
загрузка-86	загрузка-87	annotator3	4		загрузка
загрузка-86	загрузка-87	annotator4	2		загрузка
загрузка-86	загрузка-87	annotator5	4		загрузка
загрузка-88	загрузка-89	annotator1	4		загрузка
загрузка-88	загрузка-89	annotator2	3		загрузка
загрузка-88	загрузка-89	annotator3	1		загрузка
загрузка-88	загрузка-89	annotator4	2		загрузка
загрузка-88	загрузка-89	annotator5	3		загрузка
загрузка-90	загрузка-91	annotator1	3		загрузка
загрузка-90	загрузка-91	annotator2	1		загрузка
загрузка-90	загрузка-91	annotator3	2		загрузка
загрузка-90	загрузка-91	annotator4	2		загрузка
загрузка-90	загрузка-91	annotator5	4		загрузка
загрузка-92	загрузка-93	annotator1	1		загрузка
загрузка-92	загрузка-93	annotator2	2		загрузка
загрузка-92	загрузка-93	annotator3	2		загрузка
загрузка-92	загрузка-93	annotator4	1		загрузка
загрузка-92	загрузка-93	annotator5	1		загрузка
загрузка-94	загрузка-95	annotator1	1		загрузка
загрузка-94	загрузка-95	annotator2	2		загрузка
загрузка-94	загрузка-95	annotator3	1		загрузка
загрузка-94	загрузка-95	annotator4	4		загрузка
загрузка-94	загрузка-95	annotator5	1		загрузка
загрузка-96	загрузка-97	annotator1	4		загрузка
загрузка-96	загрузка-97	annotator2	4		загрузка
загрузка-96	загрузка-97	annotator3	3		загрузка
загрузка-96	загрузка-97	annotator4	4		загрузка
загрузка-96	загрузка-97	annotator5	4		загрузка
загрузка-98	загрузка-99	annotator1	1		загрузка
загрузка-98	загрузка-99	annotator2	1		загрузка
загрузка-98	загрузка-99	annotator3	4		загрузка
загрузка-98	загрузка-99	annotator4	4		загрузка
загрузка-98	загрузка-99	annotator5	1		загрузка
загрузка-100	загрузка-101	annotator1	1		загрузка
загрузка-100	загрузка-101	annotator2	2		загрузка
загрузка-100	загрузка-101	annotator3	2		загрузка
загрузка-100	загрузка-101	annotator4	4		загрузка
загрузка-100	загрузка-101	annotator5	1		загрузка
загрузка-102	загрузка-103	annotator1	4		загрузка
загрузка-102	загрузка-103	annotator2	0		загрузка
загрузка-102	загрузка-103	annotator3	4		загрузка
загрузка-102	загрузка-103	annotator4	4		загрузка
загрузка-102	загрузка-103	annotator5	3		загрузка
загрузка-104	загрузка-105	annotator1	1		загрузка
загрузка-104	загрузка-105	annotator2	2		загрузка
загрузка-104	загрузка-105	annotator3	3		загрузка
загрузка-104	загрузка-105	annotator4	1		загрузка
загрузка-104	загрузка-105	annotator5	4		загрузка
загрузка-106	загрузка-107	annotator1	1		загрузка
загрузка-106	загрузка-107	annotator2	1		загрузка
загрузка-106	загрузка-107	annotator3	1		загрузка
загрузка-106	загрузка-107	annotator4	1		загрузка
загрузка-106	загрузка-107	annotator5	1		загрузка
загрузка-108	загрузка-109	annotator1	4		загрузка
загрузка-108	загрузка-109	annotator2	4		загрузка
загрузка-108	загрузка-109	annotator3	4		загрузка
загрузка-108	загрузка-109	annotator4	4		загрузка
загрузка-108	загрузка-109	annotator5	4		загрузка
загрузка-110	загрузка-111	annotator1	1		загрузка
загрузка-110	загрузка-111	annotator2	1		загрузка
загрузка-110	загрузка-111	annotator3	3		загрузка
загрузка-110	загрузка-111	annotator4	2		загрузка
загрузка-110	загрузка-111	annotator5	1		загрузка
загрузка-112	загрузка-113	annotator1	4		загрузка
загрузка-112	загрузка-113	annotator2	2		загрузка
загрузка-112	загрузка-113	annotator3	1		загрузка
загрузка-112	загрузка-113	annotator4	1		загрузка
загрузка-112	загрузка-113	annotator5	1		загрузка
загрузка-114	загрузка-115	annotator1	1		загрузка
загрузка-114	загрузка-115	annotator2	2		загрузка
загрузка-114	загрузка-115	annotator3	1		загрузка
загрузка-114	загрузка-115	annotator4	1		загрузка
загрузка-114	загрузка-115	annotator5	1		загрузка
загрузка-116	загрузка-117	annotator1	1		загрузка
загрузка-116	загрузка-117	annotator2	3		загрузка
загрузка-116	загрузка-117	annotator3	1		загрузка
загрузка-116	загрузка-117	annotator4	1		загрузка
загрузка-116	загрузка-117	annotator5	4		загрузка
загрузка-118	загрузка-119	annotator1	2		загрузка
загрузка-118	загрузка-119	annotator2	1		загрузка
загрузка-118	загрузка-119	annotator3	1		загрузка
загрузка-118	загрузка-119	annotator4	1		загрузка
загрузка-118	загрузка-119	annotator5	2		загрузка
