lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
загрузка	NOUN	1991-2017	2	загрузка-0		"Ямал СПГ" обеспечит загрузку двух атомных ледоколов, включая новый строящийся ЛК-60.	21:29	0:85
загрузка	NOUN	1991-2017	2	загрузка-1		2. Благодаря снижению веса футеровочных плит при использовании резинометаллической футеровки, действует ряд экономически выгодных факторов: снижение потребления электроэнергии, снижение расхода мелющих шаров, возможность увеличения шаровой загрузки.	240:248	0:249
загрузка	NOUN	1918-1990	1	загрузка-2		Загрузка активной зоны ядерного реактора: 66 т металлического урана, 63.7 т урана-238, 2.3 т урана-235.	0:8	0:103
загрузка	NOUN	1991-2017	2	загрузка-3		Это наиболее рациональный коэффициент загрузки оборудования для подобного рода технологических процессов.	38:46	0:105
загрузка	NOUN	1991-2017	2	загрузка-4		Загрузка мощностей снизилась приблизительно до 50%, в то время как "Уралкалий" нарастил обороты продаж.	0:8	0:103
загрузка	NOUN	1991-2017	2	загрузка-5		Сейчас обсуждается программа выпуска локомотивов на 2016 и 2017 годы, что дает заводу уверенность в устойчивой загрузке.	111:119	0:120
загрузка	NOUN	1991-2017	2	загрузка-6		А членство в этих структурах, возможно, помогло бы ему обеспечить загрузку мощностей хотя бы до минимума.	66:74	0:105
загрузка	NOUN	1991-2017	2	загрузка-7		Предпринимаются меры по загрузке дороги за счет освоения в близком будущем ряда источников сырья: Эльгинских углей, Удоканского месторождения меди, Чинейских полиметаллических руд и др.	24:32	0:185
загрузка	NOUN	1991-2017	2	загрузка-8		Большая загрузка ТЭЦ будет означать снижение себестоимости каждой гигакалории, снижение потребления топлива.	8:16	0:108
загрузка	NOUN	1991-2017	2	загрузка-9		Перед устьем находится площадка -- шесток, куда ставят посуду перед загрузкой в горнило.	68:77	0:88
загрузка	NOUN	1918-1990	1	загрузка-10		В "Аэрофлоте" говорят, что с началом беспосадочных полетов через Россию коммерческая загрузка его рейсов из Европы в Москву упала на 6%, а из Москвы в страны Юго-Восточной Азии (Токио, Сеул, Сингапур, Куала-Лумпур, Гонконг и др.) -- более чем на 10%.	85:93	0:250
загрузка	NOUN	1991-2017	2	загрузка-11		Поддон сделан подвижным на колесах с приводом от электродвигателя для удобства и облегчения загрузки деталей.	92:100	0:109
