identifier1	identifier2	annotator	judgment	comment	lemma
знамя-0-13	знамя-1-13	annotator1	2		знамя
знамя-14-13	знамя-15-13	annotator1	4		знамя
знамя-108-13	знамя-109-13	annotator1	1		знамя
знамя-110-13	знамя-111-13	annotator1	1		знамя
знамя-10-13	знамя-11-13	annotator1	4		знамя
знамя-112-13	знамя-113-13	annotator1	4		знамя
знамя-30-13	знамя-31-13	annotator1	4		знамя
знамя-22-13	знамя-23-13	annotator1	1		знамя
знамя-52-13	знамя-53-13	annotator1	3		знамя
знамя-12-13	знамя-13-13	annotator1	4		знамя
знамя-90-13	знамя-91-13	annotator1	4		знамя
знамя-50-13	знамя-51-13	annotator1	3		знамя
знамя-48-13	знамя-49-13	annotator1	1		знамя
знамя-74-13	знамя-75-13	annotator1	3		знамя
знамя-72-13	знамя-73-13	annotator1	4		знамя
знамя-68-13	знамя-69-13	annotator1	4		знамя
знамя-62-13	знамя-63-13	annotator1	4		знамя
знамя-58-13	знамя-59-13	annotator1	4		знамя
знамя-64-13	знамя-65-13	annotator1	2		знамя
знамя-70-13	знамя-71-13	annotator1	4		знамя
знамя-56-13	знамя-57-13	annotator1	4		знамя
знамя-8-13	знамя-9-13	annotator1	3		знамя
знамя-118-13	знамя-119-13	annotator1	2		знамя
знамя-100-13	знамя-101-13	annotator1	4		знамя
знамя-20-13	знамя-21-13	annotator1	4		знамя
знамя-18-13	знамя-19-13	annotator1	4		знамя
знамя-104-13	знамя-105-13	annotator1	4		знамя
знамя-102-13	знамя-103-13	annotator1	4		знамя
знамя-98-13	знамя-99-13	annotator1	4		знамя
знамя-92-13	знамя-93-13	annotator1	1		знамя
знамя-28-13	знамя-29-13	annotator1	4		знамя
знамя-2-13	знамя-3-13	annotator1	3		знамя
знамя-94-13	знамя-95-13	annotator1	3		знамя
знамя-96-13	знамя-97-13	annotator1	3		знамя
знамя-24-13	знамя-25-13	annotator1	2		знамя
знамя-16-13	знамя-17-13	annotator1	4		знамя
знамя-106-13	знамя-107-13	annotator1	1		знамя
знамя-114-13	знамя-115-13	annotator1	1		знамя
знамя-6-13	знамя-7-13	annotator1	4		знамя
знамя-116-13	знамя-117-13	annotator1	3		знамя
знамя-4-13	знамя-5-13	annotator1	1		знамя
знамя-26-13	знамя-27-13	annotator1	1		знамя
знамя-66-13	знамя-67-13	annotator1	4		знамя
знамя-60-13	знамя-61-13	annotator1	1		знамя
знамя-32-13	знамя-33-13	annotator1	4		знамя
знамя-78-13	знамя-79-13	annotator1	3		знамя
знамя-44-13	знамя-45-13	annotator1	3		знамя
знамя-34-13	знамя-35-13	annotator1	1		знамя
знамя-80-13	знамя-81-13	annotator1	4		знамя
знамя-42-13	знамя-43-13	annotator1	4		знамя
знамя-84-13	знамя-85-13	annotator1	1		знамя
знамя-36-13	знамя-37-13	annotator1	1		знамя
знамя-76-13	знамя-77-13	annotator1	4		знамя
знамя-38-13	знамя-39-13	annotator1	4		знамя
