lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
знамя	NOUN	1991-2017	2	знамя-0		-- "Пламя души своей, -- тянул Тимофей Степанович, -- знамя страны своей мы пронесем через миры и века..."	54:59	0:106
знамя	NOUN	1991-2017	2	знамя-1		Именно эту небесную, обреченную на исчезновение в огне нового дня Козочку писатель сделал героиней своего "Голубого знамени", вернее, племянницей главного героя -- купца Семена Ивановича, и именно знакомство с ней, вероятно, послужило прелюдией к тому роману, который развернулся в Ельце, и героиню его, по странному совпадению, тоже звали Софьей.	116:123	0:347
знамя	NOUN	1991-2017	2	знамя-2		-- Во время Текинского сражения Апшеронский полк потерял, а затем вновь отбил у туркменов свое полковое знамя.	104:109	0:110
знамя	NOUN	1991-2017	2	знамя-3		-- Как кровь -- Нет, как знамя!	25:30	0:31
знамя	NOUN	1991-2017	2	знамя-4		А вот свободные шведы, призванные под знамена своего короля, сражаются и побеждают.	38:45	0:83
знамя	NOUN	1991-2017	2	знамя-5		В то время как труп лейтенанта за ноги волокли к костру, освященное его кровью знамя победно взмыло над площадью.	79:84	0:113
знамя	NOUN	1991-2017	2	знамя-6		А мне страстно нравилось идти через мост к Кремлю над Москвой-рекой впереди колонны под нашими чудесными страстными кровавыми знаменами.	126:135	0:136
знамя	NOUN	1991-2017	2	знамя-7		Просил бы Вас, Борис Николаевич, дать политическую и правовую оценку этим противоправным действиям и принять меры по возвращению нарушителей, техники и боевого знамени.	160:167	0:168
знамя	NOUN	1918-1990	1	знамя-8		А нам, нам он нужен был бы как знамя.	31:36	0:37
знамя	NOUN	1918-1990	1	знамя-9		Кому пришла эта гениальная идея, я затрудняюсь сказать, но очень скоро наш брат чиновник, да и кое-какой офицер почувствовал, что настоящая власть это и есть Цедербаум, Нахамкес и компания, а князь Львов, Гучков и Милюков -- это только вывеска для господ, и ловчилы в мундирах, иногда и со значками Генерального штаба, стали появляться, яко тать в нощи, перед советом и выражать свою преданность красному знамени, отрекаясь от ощипанного новым правительством двуглавого орла.	405:412	0:475
знамя	NOUN	1918-1990	1	знамя-10		А тем временем непрочные и ненадежные части петроградского гарнизона под красными знаменами стекаются к Таврическому дворцу, похожему теперь, скорее, на военный лагерь, чем на законодательный орган.	82:91	0:198
знамя	NOUN	1991-2017	2	знамя-11		Строй следил за знаменем.	16:24	0:25
знамя	NOUN	1918-1990	1	знамя-12		Брежнев в Отчетном докладе ХХVI съезду КПСС, как всегда, мудро и лаконично определил: "Под знаменем ислама может развертываться освободительная борьба.	91:99	0:151
знамя	NOUN	1991-2017	2	знамя-13		А против моей атаки вышел из-за кустов маленький такой, в куцем пиджачке, человечек, сказал несколько слов, и я оказался разбитым наголову и покатился назад, бросая орудия и знамена, комкая ряды разогнавшихся в марше колонистов.	174:181	0:228
знамя	NOUN	1918-1990	1	знамя-14		В 1794 году сражался против России под знаменами Костюшки, который теперь томился по воле Екатерины в петербургском плену.	39:48	0:122
знамя	NOUN	1918-1990	1	знамя-15		На перекрестках задерживали автомобили и демонстрантов, отнимали знамена, винтовки и пулеметы, уводили в подворотни и тяжело били окованными концами прикладов.	65:72	0:159
знамя	NOUN	1918-1990	1	знамя-16		В самом деле, в период якобинской диктатуры только имя Руссо осталось на знамени революции, и последствия французских потрясений не были преодолены в Европе к 1810 году.	73:80	0:169
знамя	NOUN	1991-2017	2	знамя-17		Маршировали дружины мусульман со знаменами священной войны.	33:42	0:59
знамя	NOUN	1991-2017	2	знамя-18		В связи с этим даже коммунистическая символика приобретает в глазах Устрялова имперский смысл: "Красное ли знамя безобразит собою Зимний дворец, или, напротив, Зимний дворец красит собою красное знамя "Интернационал" ли нечестивыми звуками оскверняет Спасские ворота, или Спасские ворота кремлёвским веянием влагают новый смысл в "Интернационал"" ("Интервенция").	107:112	0:363
знамя	NOUN	1991-2017	2	знамя-19		Вверху, над моей головой, освещенное первыми лучами солнца, трепетало на ветерке знамя ордена доминиканцев.	81:86	0:107
знамя	NOUN	1918-1990	1	знамя-20		Ведь и татарского нашествия, из которого, со злыми слезами на глазах, выводят российскую отсталость наши националисты, Балашов и Ко, в его хрестоматийном, общепринятом виде никогда не было; а было то, что русские люди, под водительством русских князей, пять веков смертно били друг друга и спешили наперегонки призвать хана в союзники, чтобы вместе с ним разорить стол соседа: на Куликовом поле, под татарскими знаменами стояли и русские полки.	411:420	0:444
знамя	NOUN	1991-2017	2	знамя-21		Осенью 1925 г. в Москве сначала в узком кругу Зиновьев и Каменев подняли знамя левой оппозиции.	73:78	0:95
знамя	NOUN	1991-2017	2	знамя-22		Вера в истинность одной только католической церкви не препятствовала революционным настроениям, тогда как приверженность идеалам Вселенской церкви могла обернуться реакционностью (в последующую эпоху поддержка идеи Вселенской церкви стала формой сопротивления официальной идеологии в России, а чисто католические настроения -- знаменем антирусской пропаганды).	327:335	0:360
знамя	NOUN	1991-2017	2	знамя-23		Ветераны дивизии, многие из которых после увольнения в запас и отставку проживают в городе Советске, также считают, что сдача в архив гвардейского знамени и боевых наград 17-й гвардейской кавалерийской дивизии (при переформировании ее в ноябре 1945 года) является исторической несправедливостью.	147:154	0:295
знамя	NOUN	1918-1990	1	знамя-24		Видно, надо, чтобы выговоры отделение получило, чтобы знамени мы лишились, тогда дойдет до некоторых!..	54:61	0:103
знамя	NOUN	1991-2017	2	знамя-25		.. должны быть под одним знаменем: простоты и здравого вкуса.	25:33	0:61
знамя	NOUN	1991-2017	2	знамя-26		Воевали на суше и на море, в одиночку и союзами, под знамёнами партии гвельфов и под знамёнами партии гибеллинов.	53:62	0:113
знамя	NOUN	1991-2017	2	знамя-27		Но немногие из них могут сравниться в значении с образом из небольшого северного городка Тихвина: Владимирская, которую князь Андрей Боголюбский в преддверии татарского разорения Киева перенес на северо-восточные земли и послужил тем самым будущему возвышению нового русского государства; Смоленская, как щит прикрывавшая Русь с Запада, от посягательства польских орд и тевтонского клина; Казанская, ставшая знаменем присоединения к Москве земель и народов Поволжья, Урала, Сибири.	408:416	0:481
знамя	NOUN	1918-1990	1	знамя-28		Вперед с красными знаменами!	18:27	0:28
знамя	NOUN	1991-2017	2	знамя-29		Над массами рабочих -- красные знамена с лозунгами: "Долой царя!", "Долой войну!", "Хлеба!".	31:38	0:92
знамя	NOUN	1918-1990	1	знамя-30		Горбатов, уходя со знаменем, немало дивился, откуда оно взялось Судя по вензелю и по черному прусского начертания орлу, знамя действительно голштинское.	19:27	0:152
знамя	NOUN	1918-1990	1	знамя-31		Нету знамени.	5:12	0:13
знамя	NOUN	1918-1990	1	знамя-32		Для каждого офицера флота выбор, под какими знамёнами служить, был сугубо личным делом, часто зависевшим от совершенно разных как субъективных, так и объективных обстоятельств.	44:53	0:176
знамя	NOUN	1991-2017	2	знамя-33		Народу, и особенно рабочей его части, незачем склонять знамёна перед своим прошлым.	55:62	0:83
знамя	NOUN	1991-2017	2	знамя-34		Его трагедия в том, что он боролся за великую Россию, однако стал, по иронии судьбы, знаменем тех, кто стремился ее уничтожить.	85:93	0:127
знамя	NOUN	1991-2017	2	знамя-35		-- Столько времени утекло, подумать только, а С Ефимом судьба свела меня в начале 88-го, спустя четверть века после моей службы под славными знаменами Франции.	141:150	0:159
знамя	NOUN	1991-2017	2	знамя-36		Если продолжить изыскания, то придется убедиться, что наши знамена -- суть символ вульвы державы, ее вечно зарастающей и потому в принципе непорочной, не знающей позора целки.	59:66	0:175
знамя	NOUN	1991-2017	2	знамя-37		Я не делал политических заявлений, но от вида всей советской атрибутики: знамен, досок почета, вождей на трибуне мавзолея, свинарок на первых страницах газет, хоккеистов, фигуристов -- меня тошнило и часто подмывало, говоря словами Германа Плисецкого, "уйти в разряд небритых лиц от лозунгов, передовиц и голубых перворазрядниц.	73:79	0:328
знамя	NOUN	1918-1990	1	знамя-38		Если убиты все солдаты, сохранено знамя полка, и его штатное расписание может быть заполнено новыми людьми.	34:39	0:107
знамя	NOUN	1991-2017	2	знамя-39		* * * В сафоновский полк привезли гвардейское знамя.	46:51	0:52
знамя	NOUN	1918-1990	1	знамя-40		Журнал стал, по существу, знаменем мировой науки; сорок нобелевских лауреатов первоначально публиковались именно в нем -- не в специальном научном издании, а в этом, популярном.	26:34	0:177
знамя	NOUN	1991-2017	2	знамя-41		Сталин -- верный ученик Ленина, принял от него победное знамя Октябрьской пролетарской революции и твердой рукой несет его во главе всего советского народа по пути к коммунизму.	56:61	0:177
знамя	NOUN	1918-1990	1	знамя-42		Забывая, что у него нет оружия и что дружинникам он чужой, помня только, что перед ним боевое, красное знамя, он бросился по переулку вперед.	103:108	0:141
знамя	NOUN	1918-1990	1	знамя-43		Впереди колонны на конях комбат Гаврилов и Корчагин, сзади гром меди, шелест знамен и песни, песни!	77:83	0:99
знамя	NOUN	1918-1990	1	знамя-44		Затем в небесах появился гигантский всадник на огненном коне, окруженный пламенем, со знаменем Шамбалы в руке.	86:94	0:110
знамя	NOUN	1918-1990	1	знамя-45		Ветер колышет разноцветный шелк знамен и флагов.	32:38	0:48
знамя	NOUN	1918-1990	1	знамя-46		И никто не подумал, что началось все просто с украденных однажды с гарнизонного склада трусов и алюминиевой посуды, потом формы, погон, орденов, знамен, а закончилось продажей противнику оружия и маршрутов движения колонн десантников в горах.	145:151	0:242
знамя	NOUN	1991-2017	2	знамя-47		Впереди развевалось знамя из красного кумача, окруженное людьми в картузах, с суровыми лицами.	20:25	0:94
знамя	NOUN	1918-1990	1	знамя-48		И реввоенсовет "товарища Котовского за доблестные подвиги, проявленные в боях в районе Одесса -- Овиднополь, постановил наградить орденом "Красного знамени".	148:155	0:157
знамя	NOUN	1918-1990	1	знамя-49		Приводим подстрочный перевод этого письма, опубликованный в нашей стране в 1934 году в журнале "Под знаменем марксизма" (вместе с немецким текстом) и в 1937 году в переводе книги К. Шорлеммера "Возникновение и развитие органической химии".	100:108	0:239
знамя	NOUN	1991-2017	2	знамя-50		Им оказался Николай Никифоров, передовик и победитель соцсоревнования, бывший член райкома и профкома, кавалер ордена Трудового Красного Знамени, много лет служивший маяком и прожектором для всего заводского коллектива.	137:144	0:219
знамя	NOUN	1991-2017	2	знамя-51		Какими глазами смотрели они на сталинских соколов, вручавших знамя!..	61:66	0:69
знамя	NOUN	1991-2017	2	знамя-52		Имеет 6 правительственных и более 20 отраслевых и академических наград и знаков, в том числе ордена: "За заслуги перед отечеством IV степени", "Трудового Красного Знамени", "Знак Почета", награжден золотой и серебряной медалями "За научные открытия" им. Капицы, золотой медалью им. Петра I -- за выдающийся вклад в развитие экономики и производства.	163:170	0:349
знамя	NOUN	1991-2017	2	знамя-53		Она благосклонно разглядывала подсунутую Комарихой Колькину фотографию, где тот, вздернув слабенький подбородок, стоял с оружием у знамени, кое-как расправленного на стене, словно бархатный коврик с кистями.	131:138	0:207
знамя	NOUN	1918-1990	1	знамя-54		Можно было бы устроиться где-нибудь неподалеку, но во второй половине двадцатых в России ухудшилась, как нынче принято говорить, криминогенная обстановка, развелось много хулиганства -- того самого, о котором пришвинский герой из "Голубого знамени" в 1918 году радостно восклицал: "Хулиганчики, хулиганчики, сколько в вас божественного!", а теперь его создатель связывал опасное явление с нерешительными действиями правительства и еще раньше заключил, что "жить в стороне становится рискованно, надо переезжать в Сергиев".	240:247	0:522
знамя	NOUN	1991-2017	2	знамя-55		Прибавьте к описанию спектакля красочные костюмы, из которых многие были подлинные японские, старинные латы самураев, знамена, подлинную японщину, оригинальную пластику, актерскую ловкость, жонглирование, акробатику, ритм, танцы, хорошенькие молодые лица барышень и юношей, азарт и темперамент, -- и успех станет понятен.	118:125	0:321
знамя	NOUN	1918-1990	1	знамя-56		Мощнейший представитель двигался за ними, держа одной рукой на высоте главное достояние Республики, ее знамя, представляющее из себя старый российский триколор с трезубцем Нептуна.	103:108	0:180
знамя	NOUN	1991-2017	2	знамя-57		На Спасской башне свешивались шведские знамена.	39:46	0:47
знамя	NOUN	1991-2017	2	знамя-58		Мы встали над толпой, развернули свои безупречно чистые знамена, надраили хромовые сапоги, натянули белые перчатки.	56:63	0:115
знамя	NOUN	1991-2017	2	знамя-59		Разумеется, он не ждал увидеть эскадрон в строю, со знаменем и вздетыми "подвысь" клинками, но все же подивился открывшейся ему картине.	52:60	0:136
знамя	NOUN	1918-1990	1	знамя-60		На месте убитых появлялись новые воины, зеленое знамя металось вдоль всего фронта; турки неудержимо рвались вперед.	48:53	0:115
знамя	NOUN	1918-1990	1	знамя-61		Я не могу шагать за Вашим знаменем, как и Вы не можете за моим.	26:34	0:63
знамя	NOUN	1918-1990	1	знамя-62		На черепушке его возите, красное знамя.	33:38	0:39
знамя	NOUN	1918-1990	1	знамя-63		У копен под знаменем мы пели "Интернационал".	12:20	0:45
знамя	NOUN	1918-1990	1	знамя-64		Над нею тихо реяли красные кумачовые знамена, на которых грубо, аляповато, черными буквами было что-то написано.	37:44	0:112
знамя	NOUN	1918-1990	1	знамя-65		Следует признать, что термин "допризывная военная подготовка" в наши дни является жупелом не только для некультурных масс населения, но даже и для культурных слоев нашего общества, и этим мы обязаны всецело тем вредным экспериментам, которые при временном правительстве широко проводились как в школе, так и вне ее стен, и всеобщее обучение, которое на знамени своем написало, что оно отказывается от методов системы и аттрибутов печальной памяти казарменного обучения -- это всеобщее обучение с той же последовательностью должно сказать, что оно неповинно и ничего общего не имеет с теми попытками насаждения "потешных" и других аналогичных организаций, которые имели место раньше.	353:360	0:682
знамя	NOUN	1918-1990	1	знамя-66		Напоминаю, всё это из дневников, а потому от подобных суждений и мыслей не отмахнуться ссылками на то, что, мол, "время было какое, людям приходилось скрывать свои истинные мнения" и прочая, и прочая в том же роде, что мне не раз приходилось слышать и что меня всегда поражало глубоким неуважением не только к эпохе (это стало уже делом привычным), но и к тем людям, чьи имена стремились сделать своего рода знаменем в ожесточённой борьбе с ней.	408:416	0:445
знамя	NOUN	1991-2017	2	знамя-67		Но каждый раз под увеличителем на периферии кадра можно разыскать множество деталей (это и есть любимая игра лаборанта), закравшихся по недосмотру, даже в центре иногда -- неожиданные подробности, каких не застанешь на газетных фото: поющий студент держит лапу на голой коленке соседки, мальчик готовится наставить приятелю рожки, школьники на заднем плане лишь нагло ухмыляются, опершись на лопаты и грабли, а верховой демонстрант снят на фоне портрета, причем голова седока угодила основоположнику в бороду; мужская волосатая рука, поддерживающая голого малыша, неуверенна, позади маячит другая, женская, а из-под подставленной загару толстой одутловатой ляжки нахально подглядывает девица лет пятнадцати, застигнутая за чисткой картофеля или грибов, -- и бесконечен этот орнамент, в глазах рябит от нерезко снятых тел, собак, лиц, растений, знамен, фуражек, и, может быть, еще не раз пожалеет самонадеянный юноша, что не оставлял себе каждого снимка по штуке, но отбросил сданные ему судьбой на руки карты, ведь мог бы позже разыграть из всех этих персонажей обширный реалистический пасьянс, сколлажировать, скажем, лейтенанта с девицей-автодорожницей, заставить демонстранта удочерить девочку в джинсах и лохматую собаку, осестрить покойного ныне солдатика, а в мужья овдовевшей Наташке ли, Верке ли подбросить ничего не подозревающего, бесшабашного до поры до времени босоногого гитариста.	844:850	0:1394
знамя	NOUN	1918-1990	1	знамя-68		Немногие, вопреки всему сохранившие индивидуальность, пронесут ее сквозь свою жизнь как знамя и превратятся в криминальных авторитетов, серийных маньяков, средней популярности звезд эстрады и футболистов. 17.15.	88:93	0:211
знамя	NOUN	1991-2017	2	знамя-69		К самому ее краю прицепились две сосенки и, пошумливали, будто зеленые знамена.	71:78	0:79
знамя	NOUN	1918-1990	1	знамя-70		Но парад дребезжит ночью в членах, еще рот забит криком ура, в глазах стоят разноцветные пятна: знамен, генеральских штанов, золотых мундиров и архиерейской панагии с террасы.	96:102	0:175
знамя	NOUN	1918-1990	1	знамя-71		Эка, знаменами заколосились.	5:14	0:28
знамя	NOUN	1918-1990	1	знамя-72		Но почему по случаю её приезда устроили сбор подписей в альбоме, под фотографией революционного крейсера "Аврора" с красными знаменами К сожалению, подписались многие, даже не обратив внимания на "Аврору" и красные тряпки, пока альбом не попал в руки делегату из Бризбена и пишущему эти строки.	125:134	0:294
знамя	NOUN	1991-2017	2	знамя-73		Взметнулись руки, колыхнулось у самого стола, на котором стоял Козуба, красное бархатное тяжелое знамя.	97:102	0:103
знамя	NOUN	1918-1990	1	знамя-74		Но я припоминаю маленький инцидент с вопросом о знамени Исполнительного Комитета.	48:55	0:81
знамя	NOUN	1918-1990	1	знамя-75		Иван Петрович надел орден Красного Знамени.	35:42	0:43
знамя	NOUN	1918-1990	1	знамя-76		Ну это ещё не чего не значит....ну купил реал Фигу, Бэкхема и Зидана, а игра у них не пошла, тут ещё многое зависит и от тренера, а у руля постоянно вставал непонятно кто....но сейчас вроде руководство клуба одумалось и призвала под свои знамена бразильского тренера, который становился чемпионом мира.	238:245	0:302
знамя	NOUN	1991-2017	2	знамя-77		На знамени девиз: "И рудокопу солнце".	3:10	0:38
знамя	NOUN	1918-1990	1	знамя-78		Обвинения в тех или иных философских ошибках сменились на страницах журнала "Под знаменем марксизма" обвинениями во вредительстве и даже террористической деятельности.	81:89	0:167
знамя	NOUN	1918-1990	1	знамя-79		Красная полоса налилась в этом беспределье, громадный флаг, чье-то знамя -- а чье Полыхает пожар, что-то сгорает в нем -- а что Разметалась над чем-то дуга темного, а местами ярко сияющего серебра а над чем Ну, голубой цвет -- он для небес попросту домашний, как ровно желтые половицы в русской избе.	67:72	0:300
знамя	NOUN	1918-1990	1	знамя-80		Она стала знаменем освободителей Москвы от поляков.	10:18	0:51
знамя	NOUN	1991-2017	2	знамя-81		А затем, когда все наши попытки закончились неудачей и последние наши союзники -- башкиры -- вынуждены были заключить с большевиками мир на основе союзных действий против Колчака, нам оставалось одно: покинуть территорию, на которой не развевалось больше знамя Учредительного Собрания и где начатой во имя народовластия борьбе суждено было надолго выродиться в борьбу двух меньшинств за диктаторскую власть над народом.	255:260	0:419
знамя	NOUN	1918-1990	1	знамя-82		Организация масс под знаменем классовой борьбы -- важнейшее условие успешности борьбы против войны.	21:29	0:99
знамя	NOUN	1918-1990	1	знамя-83		Шла рота солдат, несла знамя, барабаны били под знамена.	23:28	0:56
знамя	NOUN	1991-2017	2	знамя-84		Отец посмотрел по ним документы и нашел письмо из французского посольства, где предлагали большие деньги на реставрацию этих знамен, а то, что невозможно восстановить, просили вернуть.	125:131	0:184
знамя	NOUN	1991-2017	2	знамя-85		Очень сильные рассказы Мирчи Элиаде проходят "фоном" -- ни намека на то, что их автор вот-вот станет знаменем философов "архаического отката".	101:109	0:142
