identifier1	identifier2	annotator	judgment	comment	lemma
игра-0	игра-1	annotator1	1		игра
игра-0	игра-1	annotator2	1		игра
игра-0	игра-1	annotator3	1		игра
игра-0	игра-1	annotator4	1		игра
игра-0	игра-1	annotator5	3		игра
игра-2	игра-3	annotator1	1		игра
игра-2	игра-3	annotator2	4		игра
игра-2	игра-3	annotator3	1		игра
игра-2	игра-3	annotator4	3		игра
игра-2	игра-3	annotator5	1		игра
игра-4	игра-5	annotator1	1		игра
игра-4	игра-5	annotator2	4		игра
игра-4	игра-5	annotator3	3		игра
игра-4	игра-5	annotator4	4		игра
игра-4	игра-5	annotator5	4		игра
игра-6	игра-7	annotator1	2		игра
игра-6	игра-7	annotator2	1		игра
игра-6	игра-7	annotator3	1		игра
игра-6	игра-7	annotator4	1		игра
игра-6	игра-7	annotator5	3		игра
игра-8	игра-9	annotator1	4		игра
игра-8	игра-9	annotator2	4		игра
игра-8	игра-9	annotator3	4		игра
игра-8	игра-9	annotator4	3		игра
игра-8	игра-9	annotator5	3		игра
игра-10	игра-11	annotator1	1		игра
игра-10	игра-11	annotator2	1		игра
игра-10	игра-11	annotator3	1		игра
игра-10	игра-11	annotator4	1		игра
игра-10	игра-11	annotator5	1		игра
игра-12	игра-13	annotator1	1		игра
игра-12	игра-13	annotator2	1		игра
игра-12	игра-13	annotator3	1		игра
игра-12	игра-13	annotator4	1		игра
игра-12	игра-13	annotator5	2		игра
игра-14	игра-15	annotator1	4		игра
игра-14	игра-15	annotator2	1		игра
игра-14	игра-15	annotator3	1		игра
игра-14	игра-15	annotator4	1		игра
игра-14	игра-15	annotator5	1		игра
игра-16	игра-17	annotator1	2		игра
игра-16	игра-17	annotator2	1		игра
игра-16	игра-17	annotator3	3		игра
игра-16	игра-17	annotator4	3		игра
игра-16	игра-17	annotator5	1		игра
игра-18	игра-19	annotator1	2		игра
игра-18	игра-19	annotator2	0		игра
игра-18	игра-19	annotator3	1		игра
игра-18	игра-19	annotator4	1		игра
игра-18	игра-19	annotator5	1		игра
игра-20	игра-21	annotator1	3		игра
игра-20	игра-21	annotator2	2		игра
игра-20	игра-21	annotator3	1		игра
игра-20	игра-21	annotator4	1		игра
