lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
игра	NOUN	1918-1990	1	игра-0		-- Знаешь, Сфинкс, -- говорит Курильщик глядя ему вслед, -- я когда-то играл сам с собой в такую игру: мысленно раздевал всех подряд.	71:76	0:133
игра	NOUN	1991-2017	2	игра-1		На скатерти та же игра светотени, как и на лицах, под движущейся легендарной листвой лип, дубов и кленов, одновременно увеличенных до живописных размеров и уменьшенных до вместимости одного сердца, и управляет всем праздником дух вечного возвращения, который побуждает меня подбираться к этому столу (мы, призраки, так осторожны!) не со стороны дома, откуда сошлись к нему остальные, а извне, из глубины парка, точно м чта, для того чтоб иметь право вернуться, должна подойти босиком, беззвучными шагами блудного сына, изнемогающего от волнения.	18:22	0:545
игра	NOUN	1991-2017	2	игра-2		-...Смилла Павович оказалась убедительнее всех своих соперниц в образе сексапильной и беспредельной героини игры, воительницы постапокалиптического будущего Сары Тафф.	108:112	0:167
игра	NOUN	1991-2017	2	игра-3		Майоров еще сказал, что финны слишком выступать стали, они нас обыграли на последнем чемпионате мира, надо их на место поставить, что и сделаем -- закатим им такую игру.	164:168	0:169
игра	NOUN	1991-2017	2	игра-4		А все-таки, маэстро, правила игры хотя бы игрокам-то надо сообщать!	29:33	0:67
игра	NOUN	1991-2017	2	игра-5		(Сплетничала же вчера мать по телефону, что чей-то муж, измученный многолетним супружеством, купил в секс-шопе маску и под видом игры стал натягивать ее на жену, что подстегнуло их угасшую постель).	129:133	0:198
игра	NOUN	1918-1990	1	игра-6		А основная -- это Бестемьянова и Букин, и главная цель -- Олимпийские игры.	70:74	0:75
игра	NOUN	1918-1990	1	игра-7		Зимой я в особенности налегал на военную игру и проэкзаменовал всех начальствующих лиц в этом отношении.	41:45	0:104
игра	NOUN	1991-2017	2	игра-8		А тем временем Баку в политической игре с Москвой пускал в ход новые и старые козыри.	35:39	0:85
игра	NOUN	1991-2017	2	игра-9		Противоположный случай нарушения двуплановости игрового поведения -- отказ принимать игру всерьез, однолинейное подчеркивание ее условного, "ненастоящего" характера.	47:55	0:165
игра	NOUN	1991-2017	2	игра-10		А то, что кормит, поит и одевает, должно соответствовать правилам игры сегодня.	66:70	0:79
игра	NOUN	1991-2017	2	игра-11		Туда, где можно пожать руку знаменитому спецназовцу из игры DOOM и мило пообщаться с его создателем и дизайнером Джоном Ромеро.	55:59	0:127
игра	NOUN	1918-1990	1	игра-12		Азартная игра года 20 октября 1970 года в Центральном доме журналистов состоялся первый тираж "Спортлото".	9:13	0:106
игра	NOUN	1991-2017	2	игра-13		Как почти всегда, он и на этот раз не мог обойтись без игры, аффектации, жеста.	55:59	0:79
игра	NOUN	1918-1990	1	игра-14		Актер и воображает жизнь и изображает ее в своей игре.	49:53	0:54
игра	NOUN	1918-1990	1	игра-15		Стефания часто появлялась там, чтобы проверить, достаточно ли на столе вина и по-прежнему ли увлечены офицеры игрой.	110:115	0:116
игра	NOUN	1918-1990	1	игра-16		Более внушительную и радостную, чем древнегреческие процессии и хореи, чем ночь Дионисий и игры посвященных на светозарном лугу элевсинской Деметры Этого бы я не сказал; но эпоха эллинизма вообще склонна заменять всенародную соборность виртуозностью специалистов, -- и в искусстве, и в агонистике, и в религии.	91:95	0:310
игра	NOUN	1918-1990	1	игра-17		Условия игры были обычные: заправленный, готовый к взлету самолет; требуемая сумма в купюрах и золотых слитках на борту; полная безопасность проезда на аэродром и полета.	8:12	0:170
игра	NOUN	1918-1990	1	игра-18		В их игре всегда огромное количество деталей, подробностей, мелочей.	5:9	0:68
игра	NOUN	1918-1990	1	игра-19		Таким образом музыкант не тянул мелодию, как это делается при игре на флейте, а, следя за нотами, ждал своего времени, когда ему дунуть в рожок, ни на момент раньше или позже.	62:66	0:175
игра	NOUN	1918-1990	1	игра-20		В народном детском саду Шлегер был применен крупный оригинальный строительный материал для игр и занятий, введены куклы, использованию которых в воспитательной работе детского сада она придавала большое значение.	91:94	0:212
игра	NOUN	1918-1990	1	игра-21		По странной игре случая туда приносило течением почти исключительно паровые суда.	12:16	0:81
игра	NOUN	1918-1990	1	игра-22		В ходе нынешнего оперативного сбора военные предполагают провести деловую игру по моделированию прогноза развития военного сотрудничества государств Содружества в XXI веке, а также спланировать оперативное развертывание и применение Коллективных сил быстрого развертывания в центрально-азиатских республиках.	74:78	0:308
игра	NOUN	1991-2017	2	игра-23		Становясь в иерархическую структуру -- любую, пусть это экспедиция или коммерческий банк -- мы должны добровольно принять правила игры, причем примерив самые худшие их последствия на самих себя.	130:134	0:194
игра	NOUN	1918-1990	1	игра-24		Вольберг О.А. Законы случая (Начало статьи в 2 нашего журнала) Безобидные и небезобидные игры.	89:93	0:94
игра	NOUN	1918-1990	1	игра-25		Цензурных преткновений я не опасалась: речь в первой части идет о годах дореволюционных, и главным образом об играх Корнея Ивановича с маленькими детьми.	110:115	0:153
игра	NOUN	1991-2017	2	игра-26		Гамбургским счетом американцы издавна привыкли считать только Олимпийские игры.	74:78	0:79
игра	NOUN	1991-2017	2	игра-27		Именно содержание игры выражает уровень развития игровой деятельности.	18:22	0:70
игра	NOUN	1991-2017	2	игра-28		Говорят, ты очень любишь играть в компьютерные игры.	25:31	0:52
игра	NOUN	1991-2017	2	игра-29		Вы сводите счеты -- оставим сразу игру с фиктивными именами! -- с Марселем Райх-Раницким.	34:38	0:89
игра	NOUN	1918-1990	1	игра-30		Давай по коням! -- громким шепотом Ольга пресекла амазонские игры, и обе воительницы, вскрикнув, бросились обниматься.	61:65	0:118
игра	NOUN	1991-2017	2	игра-31		Хотя речь идет тут о войне, о двойном убийстве, -- ритм говорит об игре.	67:71	0:72
игра	NOUN	1918-1990	1	игра-32		Для самых массовых игр на агоре (для политики вслух) принцип невмешательства оставался чуждым вплоть до эпохи эллинизма.	19:22	0:120
игра	NOUN	1991-2017	2	игра-33		Отсюда начинается игра теми же приемами задержания, как и в рассказе об отрезанном носе.	18:22	0:88
игра	NOUN	1918-1990	1	игра-34		Его класс был довольно "сложным", поэтому ему пришлось придумать какую-то игру для того, чтобы занять ребят.	74:78	0:108
игра	NOUN	1991-2017	2	игра-35		А сколько разнообразия внесло бы теневое искусство в спортивные сооружения Москвы, строящиеся к предстоящим Олимпийским играм!	120:125	0:126
