identifier1	identifier2	annotator	judgment	comment	lemma
инкубатор-0	инкубатор-1	annotator1	4		инкубатор
инкубатор-0	инкубатор-1	annotator2	4		инкубатор
инкубатор-0	инкубатор-1	annotator3	4		инкубатор
инкубатор-0	инкубатор-1	annotator4	3		инкубатор
инкубатор-0	инкубатор-1	annotator5	4		инкубатор
инкубатор-2	инкубатор-3	annotator1	2		инкубатор
инкубатор-2	инкубатор-3	annotator2	4		инкубатор
инкубатор-2	инкубатор-3	annotator3	2		инкубатор
инкубатор-2	инкубатор-3	annotator4	1		инкубатор
инкубатор-2	инкубатор-3	annotator5	1		инкубатор
инкубатор-4	инкубатор-5	annotator1	4		инкубатор
инкубатор-4	инкубатор-5	annotator2	4		инкубатор
инкубатор-4	инкубатор-5	annotator3	4		инкубатор
инкубатор-4	инкубатор-5	annotator4	4		инкубатор
инкубатор-4	инкубатор-5	annotator5	4		инкубатор
инкубатор-6	инкубатор-7	annotator1	4		инкубатор
инкубатор-6	инкубатор-7	annotator2	3		инкубатор
инкубатор-6	инкубатор-7	annotator3	4		инкубатор
инкубатор-6	инкубатор-7	annotator4	4		инкубатор
инкубатор-6	инкубатор-7	annotator5	3		инкубатор
инкубатор-8	инкубатор-9	annotator1	3		инкубатор
инкубатор-8	инкубатор-9	annotator2	1		инкубатор
инкубатор-8	инкубатор-9	annotator3	2		инкубатор
инкубатор-8	инкубатор-9	annotator4	2		инкубатор
инкубатор-8	инкубатор-9	annotator5	1		инкубатор
инкубатор-10	инкубатор-11	annotator1	4		инкубатор
инкубатор-10	инкубатор-11	annotator2	4		инкубатор
инкубатор-10	инкубатор-11	annotator3	4		инкубатор
инкубатор-10	инкубатор-11	annotator4	4		инкубатор
инкубатор-10	инкубатор-11	annotator5	4		инкубатор
инкубатор-12	инкубатор-13	annotator1	1		инкубатор
инкубатор-12	инкубатор-13	annotator2	1		инкубатор
инкубатор-12	инкубатор-13	annotator3	3		инкубатор
инкубатор-12	инкубатор-13	annotator4	1		инкубатор
инкубатор-12	инкубатор-13	annotator5	1		инкубатор
инкубатор-14	инкубатор-15	annotator1	4		инкубатор
