identifier1	identifier2	annotator	judgment	comment	lemma
исполнитель-0	исполнитель-1	annotator1	1		исполнитель
исполнитель-0	исполнитель-1	annotator2	2		исполнитель
исполнитель-0	исполнитель-1	annotator3	1		исполнитель
исполнитель-0	исполнитель-1	annotator4	3		исполнитель
исполнитель-0	исполнитель-1	annotator5	1		исполнитель
исполнитель-2	исполнитель-3	annotator1	2		исполнитель
исполнитель-2	исполнитель-3	annotator2	3		исполнитель
исполнитель-2	исполнитель-3	annotator3	4		исполнитель
исполнитель-2	исполнитель-3	annotator4	1		исполнитель
исполнитель-2	исполнитель-3	annotator5	2		исполнитель
исполнитель-4	исполнитель-5	annotator1	1		исполнитель
исполнитель-4	исполнитель-5	annotator2	3		исполнитель
исполнитель-4	исполнитель-5	annotator3	2		исполнитель
исполнитель-4	исполнитель-5	annotator4	3		исполнитель
исполнитель-4	исполнитель-5	annotator5	3		исполнитель
исполнитель-6	исполнитель-7	annotator1	4		исполнитель
исполнитель-6	исполнитель-7	annotator2	4		исполнитель
исполнитель-6	исполнитель-7	annotator3	4		исполнитель
исполнитель-6	исполнитель-7	annotator4	4		исполнитель
исполнитель-6	исполнитель-7	annotator5	4		исполнитель
исполнитель-8	исполнитель-9	annotator1	4		исполнитель
исполнитель-8	исполнитель-9	annotator2	1		исполнитель
исполнитель-8	исполнитель-9	annotator3	3		исполнитель
исполнитель-8	исполнитель-9	annotator4	3		исполнитель
исполнитель-8	исполнитель-9	annotator5	4		исполнитель
исполнитель-10	исполнитель-11	annotator1	4		исполнитель
исполнитель-10	исполнитель-11	annotator2	2		исполнитель
исполнитель-10	исполнитель-11	annotator3	4		исполнитель
исполнитель-10	исполнитель-11	annotator4	4		исполнитель
исполнитель-10	исполнитель-11	annotator5	4		исполнитель
исполнитель-12	исполнитель-13	annotator1	3		исполнитель
исполнитель-12	исполнитель-13	annotator2	2		исполнитель
исполнитель-12	исполнитель-13	annotator3	3		исполнитель
исполнитель-12	исполнитель-13	annotator4	3		исполнитель
исполнитель-12	исполнитель-13	annotator5	2		исполнитель
исполнитель-14	исполнитель-15	annotator1	2		исполнитель
исполнитель-14	исполнитель-15	annotator2	4		исполнитель
исполнитель-14	исполнитель-15	annotator3	3		исполнитель
исполнитель-14	исполнитель-15	annotator4	1		исполнитель
исполнитель-14	исполнитель-15	annotator5	1		исполнитель
