lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
исполнитель	NOUN	1991-2017	2	исполнитель-0		"Когда Алла узнала, -- пишет Полубояринова, -- что в спешном порядке ищут другого исполнителя на "Орфея", она твердо сказала Слободкину: "Паша, я должна туда поехать!"	82:93	0:167
исполнитель	NOUN	1991-2017	2	исполнитель-1		Если в процессе рассмотрения материалов, представленных на утверждение, будут установлены необъективность или некачественное выполнение работы, допускается привлекать независимого эксперта в качестве оппонента и (или) обязать Исполнителя провести повторную экспертизу (полностью или частично).	226:237	0:293
исполнитель	NOUN	1918-1990	1	исполнитель-2		(вместо слова "шкаф" литератор вставил имя Антона Павловича)... приветствуя вас..." и т. д. Антон Павлович покосился на меня -- исполнителя Гаева, и коварная улыбка пробежала по его губам.	128:139	0:188
исполнитель	NOUN	1918-1990	1	исполнитель-3		Никого из исполнителей пока еще в Петербурге нет, она же находится здесь в качестве маяка, т. е. к ней должны все являться.	10:22	0:123
исполнитель	NOUN	1991-2017	2	исполнитель-4		, а не деятельность иных, несудебных органов, коими являются судебные приставы-исполнители.	-1:18	0:91
исполнитель	NOUN	1991-2017	2	исполнитель-5		И заключает: -- Казенное имущество испорчено, дисциплина нарушена, непосредственный исполнитель -- несовершеннолетний.	84:95	0:118
исполнитель	NOUN	1991-2017	2	исполнитель-6		-- В.Е.), а не в результате действий Т. В связи с этим непонятно, каким же образом Т. вменяется квалифицирующий признак -- повлекшее иные тяжкие последствия, которые образовались в результате эксцесса исполнителя Такая квалификация весьма схожа с объективным вменением".	201:212	0:270
исполнитель	NOUN	1991-2017	2	исполнитель-7		Возможно также, что следователи не торопились обнародовать факт задержания исполнителей убийства в связи с расследованием дела милиционеров-"оборотней".	75:87	0:152
исполнитель	NOUN	1918-1990	1	исполнитель-8		-- Но это, наверное, зависит не только от инструмента, но и от исполнителя Или, может быть, от их взаимоотношений -- Точно.	63:74	0:123
исполнитель	NOUN	1991-2017	2	исполнитель-9		Почти все роли, за небольшим исключением, нашли вдумчивых и серьезных исполнителей.	70:82	0:83
исполнитель	NOUN	1918-1990	1	исполнитель-10		-- Толстой имеет в виду нетвердое знание ролей некоторыми исполнителями в "Смерти Иоанна Грозного", в первую очередь игравшим Грозного В. В. Самойловым.	58:71	0:152
исполнитель	NOUN	1918-1990	1	исполнитель-11		Къ сожалню, несмотря на вс стараня исполнителей, ничего другого на этомъ спектакл не было.	35:47	0:90
исполнитель	NOUN	1918-1990	1	исполнитель-12		2. Договором может быть также предусмотрена обязанность заказчика выдать исполнителю техническое задание и согласовать с ним программу (технико-экономические параметры) или тематику работ.	73:84	0:188
исполнитель	NOUN	1991-2017	2	исполнитель-13		У меня в кабинете на стене висит нарисованная актерами картина, где изображены все участники спектакля и под каждым исполнителем личная подпись.	116:128	0:144
исполнитель	NOUN	1918-1990	1	исполнитель-14		А Регуляторы получили звезды помощников шерифа и как судебные исполнители вызвались доставить повестки адресатам.	62:73	0:113
исполнитель	NOUN	1991-2017	2	исполнитель-15		Там создают реалистическую обстановку декораций, вещей, в которых все правда, но при этом забывают о подлинности самого чувства и переживания исполнителей ролей.	142:154	0:161
