identifier1	identifier2	annotator	judgment	comment	lemma
карта-0	карта-1	annotator1	4		карта
карта-0	карта-1	annotator2	4		карта
карта-0	карта-1	annotator3	4		карта
карта-0	карта-1	annotator4	4		карта
карта-0	карта-1	annotator5	4		карта
карта-2	карта-3	annotator1	1		карта
карта-2	карта-3	annotator2	1		карта
карта-2	карта-3	annotator3	1		карта
карта-2	карта-3	annotator4	1		карта
карта-2	карта-3	annotator5	1		карта
карта-4	карта-5	annotator1	4		карта
карта-4	карта-5	annotator2	1		карта
карта-4	карта-5	annotator3	2		карта
карта-4	карта-5	annotator4	2		карта
карта-4	карта-5	annotator5	4		карта
карта-6	карта-7	annotator1	1		карта
карта-6	карта-7	annotator2	1		карта
карта-6	карта-7	annotator3	1		карта
карта-6	карта-7	annotator4	1		карта
карта-6	карта-7	annotator5	1		карта
карта-8	карта-9	annotator1	3		карта
карта-8	карта-9	annotator2	4		карта
карта-8	карта-9	annotator3	3		карта
карта-8	карта-9	annotator4	4		карта
карта-8	карта-9	annotator5	3		карта
карта-10	карта-11	annotator1	4		карта
карта-10	карта-11	annotator2	4		карта
карта-10	карта-11	annotator3	4		карта
карта-10	карта-11	annotator4	4		карта
карта-10	карта-11	annotator5	4		карта
карта-12	карта-13	annotator1	1		карта
карта-12	карта-13	annotator2	2		карта
карта-12	карта-13	annotator3	1		карта
карта-12	карта-13	annotator4	2		карта
карта-12	карта-13	annotator5	4		карта
карта-14	карта-15	annotator1	1		карта
карта-14	карта-15	annotator2	1		карта
карта-14	карта-15	annotator3	1		карта
карта-14	карта-15	annotator4	1		карта
карта-14	карта-15	annotator5	1		карта
карта-16	карта-17	annotator1	1		карта
карта-16	карта-17	annotator2	1		карта
карта-16	карта-17	annotator3	1		карта
карта-16	карта-17	annotator4	1		карта
карта-16	карта-17	annotator5	1		карта
карта-18	карта-19	annotator1	4		карта
карта-18	карта-19	annotator2	4		карта
карта-18	карта-19	annotator3	1		карта
карта-18	карта-19	annotator4	4		карта
карта-18	карта-19	annotator5	4		карта
карта-20	карта-21	annotator1	1		карта
карта-20	карта-21	annotator2	1		карта
карта-20	карта-21	annotator3	1		карта
карта-20	карта-21	annotator4	1		карта
карта-20	карта-21	annotator5	1		карта
карта-22	карта-23	annotator1	1		карта
карта-22	карта-23	annotator2	1		карта
карта-22	карта-23	annotator3	1		карта
карта-22	карта-23	annotator4	1		карта
карта-22	карта-23	annotator5	1		карта
карта-24	карта-25	annotator1	1		карта
карта-24	карта-25	annotator2	4		карта
карта-24	карта-25	annotator3	1		карта
карта-24	карта-25	annotator4	1		карта
карта-24	карта-25	annotator5	2		карта
карта-26	карта-27	annotator1	1		карта
карта-26	карта-27	annotator2	1		карта
карта-26	карта-27	annotator3	1		карта
карта-26	карта-27	annotator4	1		карта
карта-26	карта-27	annotator5	1		карта
карта-28	карта-29	annotator1	1		карта
карта-28	карта-29	annotator2	1		карта
карта-28	карта-29	annotator3	1		карта
карта-28	карта-29	annotator4	1		карта
карта-28	карта-29	annotator5	1		карта
карта-30	карта-31	annotator1	1		карта
карта-30	карта-31	annotator2	1		карта
карта-30	карта-31	annotator3	1		карта
