identifier1	identifier2	annotator	judgment	comment	lemma
корпус-0	корпус-1	annotator1	1		корпус
корпус-0	корпус-1	annotator2	1		корпус
корпус-0	корпус-1	annotator3	1		корпус
корпус-0	корпус-1	annotator4	1		корпус
корпус-0	корпус-1	annotator5	1		корпус
корпус-2	корпус-3	annotator1	1		корпус
корпус-2	корпус-3	annotator2	1		корпус
корпус-2	корпус-3	annotator3	1		корпус
корпус-2	корпус-3	annotator4	1		корпус
корпус-2	корпус-3	annotator5	1		корпус
корпус-4	корпус-5	annotator1	1		корпус
корпус-4	корпус-5	annotator2	1		корпус
корпус-4	корпус-5	annotator3	1		корпус
корпус-4	корпус-5	annotator4	1		корпус
корпус-4	корпус-5	annotator5	1		корпус
корпус-6	корпус-7	annotator1	1		корпус
корпус-6	корпус-7	annotator2	1		корпус
корпус-6	корпус-7	annotator3	4		корпус
корпус-6	корпус-7	annotator4	4		корпус
корпус-6	корпус-7	annotator5	1		корпус
корпус-8	корпус-9	annotator1	2		корпус
корпус-8	корпус-9	annotator2	3		корпус
корпус-8	корпус-9	annotator3	4		корпус
корпус-8	корпус-9	annotator4	4		корпус
корпус-8	корпус-9	annotator5	4		корпус
корпус-10	корпус-11	annotator1	1		корпус
корпус-10	корпус-11	annotator2	1		корпус
корпус-10	корпус-11	annotator3	1		корпус
корпус-10	корпус-11	annotator4	1		корпус
корпус-10	корпус-11	annotator5	1		корпус
корпус-12	корпус-13	annotator1	1		корпус
корпус-12	корпус-13	annotator2	2		корпус
корпус-12	корпус-13	annotator3	4		корпус
корпус-12	корпус-13	annotator4	4		корпус
корпус-12	корпус-13	annotator5	1		корпус
корпус-14	корпус-15	annotator1	1		корпус
корпус-14	корпус-15	annotator2	1		корпус
корпус-14	корпус-15	annotator3	4		корпус
корпус-14	корпус-15	annotator4	1		корпус
корпус-14	корпус-15	annotator5	1		корпус
корпус-16	корпус-17	annotator1	1		корпус
корпус-16	корпус-17	annotator2	4		корпус
корпус-16	корпус-17	annotator3	1		корпус
корпус-16	корпус-17	annotator4	4		корпус
корпус-16	корпус-17	annotator5	2		корпус
корпус-18	корпус-19	annotator1	1		корпус
корпус-18	корпус-19	annotator2	1		корпус
корпус-18	корпус-19	annotator3	1		корпус
корпус-18	корпус-19	annotator4	1		корпус
корпус-18	корпус-19	annotator5	1		корпус
корпус-20	корпус-21	annotator1	1		корпус
корпус-20	корпус-21	annotator2	1		корпус
корпус-20	корпус-21	annotator3	1		корпус
корпус-20	корпус-21	annotator4	1		корпус
корпус-20	корпус-21	annotator5	1		корпус
корпус-22	корпус-23	annotator1	4		корпус
корпус-22	корпус-23	annotator2	4		корпус
корпус-22	корпус-23	annotator3	4		корпус
корпус-22	корпус-23	annotator4	4		корпус
корпус-22	корпус-23	annotator5	4		корпус
корпус-24	корпус-25	annotator1	3		корпус
корпус-24	корпус-25	annotator2	1		корпус
корпус-24	корпус-25	annotator3	4		корпус
корпус-24	корпус-25	annotator4	2		корпус
корпус-24	корпус-25	annotator5	4		корпус
корпус-26	корпус-27	annotator1	1		корпус
корпус-26	корпус-27	annotator2	1		корпус
корпус-26	корпус-27	annotator3	1		корпус
корпус-26	корпус-27	annotator4	1		корпус
корпус-26	корпус-27	annotator5	1		корпус
корпус-28	корпус-29	annotator1	1		корпус
корпус-28	корпус-29	annotator2	1		корпус
корпус-28	корпус-29	annotator3	1		корпус
корпус-28	корпус-29	annotator4	1		корпус
корпус-28	корпус-29	annotator5	1		корпус
корпус-30	корпус-31	annotator1	4		корпус
корпус-30	корпус-31	annotator2	4		корпус
корпус-30	корпус-31	annotator3	4		корпус
корпус-30	корпус-31	annotator4	4		корпус
корпус-30	корпус-31	annotator5	4		корпус
корпус-32	корпус-33	annotator1	4		корпус
корпус-32	корпус-33	annotator2	4		корпус
корпус-32	корпус-33	annotator3	4		корпус
корпус-32	корпус-33	annotator4	4		корпус
корпус-32	корпус-33	annotator5	1		корпус
корпус-34	корпус-35	annotator1	1		корпус
корпус-34	корпус-35	annotator2	1		корпус
корпус-34	корпус-35	annotator3	1		корпус
корпус-34	корпус-35	annotator4	1		корпус
корпус-34	корпус-35	annotator5	1		корпус
корпус-36	корпус-37	annotator1	4		корпус
корпус-36	корпус-37	annotator2	1		корпус
корпус-36	корпус-37	annotator3	4		корпус
корпус-36	корпус-37	annotator4	4		корпус
корпус-36	корпус-37	annotator5	4		корпус
