identifier1	identifier2	annotator	judgment	comment	lemma
лилипут-0	лилипут-1	annotator1	4		лилипут
лилипут-0	лилипут-1	annotator2	4		лилипут
лилипут-0	лилипут-1	annotator3	4		лилипут
лилипут-0	лилипут-1	annotator4	4		лилипут
лилипут-0	лилипут-1	annotator5	4		лилипут
лилипут-2	лилипут-3	annotator1	1		лилипут
лилипут-2	лилипут-3	annotator2	3		лилипут
лилипут-2	лилипут-3	annotator3	4		лилипут
лилипут-2	лилипут-3	annotator4	3		лилипут
лилипут-2	лилипут-3	annotator5	1		лилипут
лилипут-4	лилипут-5	annotator1	1		лилипут
лилипут-4	лилипут-5	annotator2	2		лилипут
лилипут-4	лилипут-5	annotator3	4		лилипут
лилипут-4	лилипут-5	annotator4	2		лилипут
лилипут-4	лилипут-5	annotator5	4		лилипут
лилипут-6	лилипут-7	annotator1	4		лилипут
лилипут-6	лилипут-7	annotator2	4		лилипут
лилипут-6	лилипут-7	annotator3	4		лилипут
лилипут-6	лилипут-7	annotator4	3		лилипут
лилипут-6	лилипут-7	annotator5	4		лилипут
лилипут-8	лилипут-9	annotator1	3		лилипут
лилипут-8	лилипут-9	annotator2	4		лилипут
лилипут-8	лилипут-9	annotator3	1		лилипут
лилипут-8	лилипут-9	annotator4	3		лилипут
лилипут-8	лилипут-9	annotator5	3		лилипут
лилипут-10	лилипут-11	annotator1	1		лилипут
лилипут-10	лилипут-11	annotator2	3		лилипут
лилипут-10	лилипут-11	annotator3	4		лилипут
лилипут-10	лилипут-11	annotator4	1		лилипут
лилипут-10	лилипут-11	annotator5	4		лилипут
лилипут-12	лилипут-13	annotator1	4		лилипут
лилипут-12	лилипут-13	annotator2	4		лилипут
лилипут-12	лилипут-13	annotator3	1		лилипут
лилипут-12	лилипут-13	annotator4	4		лилипут
лилипут-12	лилипут-13	annotator5	1		лилипут
лилипут-14	лилипут-15	annotator1	1		лилипут
лилипут-14	лилипут-15	annotator2	0		лилипут
лилипут-14	лилипут-15	annotator3	4		лилипут
лилипут-14	лилипут-15	annotator4	4		лилипут
лилипут-14	лилипут-15	annotator5	3		лилипут
лилипут-16	лилипут-17	annotator1	3		лилипут
лилипут-16	лилипут-17	annotator2	4		лилипут
лилипут-16	лилипут-17	annotator3	3		лилипут
лилипут-16	лилипут-17	annotator4	4		лилипут
лилипут-16	лилипут-17	annotator5	1		лилипут
лилипут-18	лилипут-19	annotator1	0		лилипут
лилипут-18	лилипут-19	annotator2	2		лилипут
лилипут-18	лилипут-19	annotator3	3		лилипут
лилипут-18	лилипут-19	annotator4	1		лилипут
лилипут-18	лилипут-19	annotator5	2		лилипут
лилипут-20	лилипут-21	annotator1	2		лилипут
лилипут-20	лилипут-21	annotator2	1		лилипут
лилипут-20	лилипут-21	annotator3	1		лилипут
лилипут-20	лилипут-21	annotator4	4		лилипут
лилипут-20	лилипут-21	annotator5	3		лилипут
лилипут-22	лилипут-23	annotator1	4		лилипут
лилипут-22	лилипут-23	annotator2	4		лилипут
лилипут-22	лилипут-23	annotator3	4		лилипут
лилипут-22	лилипут-23	annotator4	4		лилипут
лилипут-22	лилипут-23	annotator5	4		лилипут
лилипут-24	лилипут-25	annotator1	1		лилипут
лилипут-24	лилипут-25	annotator2	4		лилипут
лилипут-24	лилипут-25	annotator3	4		лилипут
лилипут-24	лилипут-25	annotator4	2		лилипут
лилипут-24	лилипут-25	annotator5	4		лилипут
лилипут-26	лилипут-27	annotator1	4		лилипут
лилипут-26	лилипут-27	annotator2	4		лилипут
лилипут-26	лилипут-27	annotator3	4		лилипут
лилипут-26	лилипут-27	annotator4	4		лилипут
лилипут-26	лилипут-27	annotator5	4		лилипут
