identifier1	identifier2	annotator	judgment	comment	lemma
ломберный-0	ломберный-1	annotator1	1		ломберный
ломберный-0	ломберный-1	annotator2	1		ломберный
ломберный-0	ломберный-1	annotator3	1		ломберный
ломберный-0	ломберный-1	annotator4	1		ломберный
ломберный-0	ломберный-1	annotator5	4		ломберный
ломберный-2	ломберный-3	annotator1	4		ломберный
ломберный-2	ломберный-3	annotator2	4		ломберный
ломберный-2	ломберный-3	annotator3	4		ломберный
ломберный-2	ломберный-3	annotator4	4		ломберный
ломберный-2	ломберный-3	annotator5	4		ломберный
ломберный-4	ломберный-5	annotator1	4		ломберный
ломберный-4	ломберный-5	annotator2	4		ломберный
ломберный-4	ломберный-5	annotator3	4		ломберный
ломберный-4	ломберный-5	annotator4	4		ломберный
ломберный-4	ломберный-5	annotator5	4		ломберный
ломберный-6	ломберный-7	annotator1	4		ломберный
ломберный-6	ломберный-7	annotator2	4		ломберный
ломберный-6	ломберный-7	annotator3	4		ломберный
ломберный-6	ломберный-7	annotator4	1		ломберный
ломберный-6	ломберный-7	annotator5	3		ломберный
ломберный-8	ломберный-9	annotator1	4		ломберный
ломберный-8	ломберный-9	annotator2	4		ломберный
ломберный-8	ломберный-9	annotator3	4		ломберный
ломберный-8	ломберный-9	annotator4	4		ломберный
ломберный-8	ломберный-9	annotator5	4		ломберный
ломберный-10	ломберный-11	annotator1	4		ломберный
ломберный-10	ломберный-11	annotator2	4		ломберный
ломберный-10	ломберный-11	annotator3	4		ломберный
ломберный-10	ломберный-11	annotator4	4		ломберный
ломберный-10	ломберный-11	annotator5	4		ломберный
ломберный-12	ломберный-13	annotator1	4		ломберный
ломберный-12	ломберный-13	annotator2	4		ломберный
ломберный-12	ломберный-13	annotator3	4		ломберный
ломберный-12	ломберный-13	annotator4	4		ломберный
ломберный-12	ломберный-13	annotator5	4		ломберный
ломберный-14	ломберный-15	annotator1	4		ломберный
ломберный-14	ломберный-15	annotator2	4		ломберный
ломберный-14	ломберный-15	annotator3	4		ломберный
ломберный-14	ломберный-15	annotator4	4		ломберный
ломберный-14	ломберный-15	annotator5	4		ломберный
ломберный-16	ломберный-17	annotator1	4		ломберный
ломберный-16	ломберный-17	annotator2	4		ломберный
ломберный-16	ломберный-17	annotator3	4		ломберный
ломберный-16	ломберный-17	annotator4	4		ломберный
ломберный-16	ломберный-17	annotator5	4		ломберный
ломберный-18	ломберный-19	annotator1	4		ломберный
ломберный-18	ломберный-19	annotator2	4		ломберный
ломберный-18	ломберный-19	annotator3	4		ломберный
ломберный-18	ломберный-19	annotator4	4		ломберный
ломберный-18	ломберный-19	annotator5	4		ломберный
ломберный-20	ломберный-21	annotator1	4		ломберный
ломберный-20	ломберный-21	annotator2	4		ломберный
ломберный-20	ломберный-21	annotator3	1		ломберный
ломберный-20	ломберный-21	annotator4	4		ломберный
ломберный-20	ломберный-21	annotator5	4		ломберный
ломберный-22	ломберный-23	annotator1	3		ломберный
ломберный-22	ломберный-23	annotator2	4		ломберный
ломберный-22	ломберный-23	annotator3	4		ломберный
ломберный-22	ломберный-23	annotator4	4		ломберный
ломберный-22	ломберный-23	annotator5	4		ломберный
ломберный-24	ломберный-25	annotator1	4		ломберный
ломберный-24	ломберный-25	annotator2	4		ломберный
ломберный-24	ломберный-25	annotator3	4		ломберный
ломберный-24	ломберный-25	annotator4	4		ломберный
ломберный-24	ломберный-25	annotator5	4		ломберный
ломберный-26	ломберный-27	annotator1	4		ломберный
ломберный-26	ломберный-27	annotator2	4		ломберный
ломберный-26	ломберный-27	annotator3	4		ломберный
ломберный-26	ломберный-27	annotator4	4		ломберный
ломберный-26	ломберный-27	annotator5	4		ломберный
ломберный-28	ломберный-29	annotator1	4		ломберный
ломберный-28	ломберный-29	annotator2	4		ломберный
ломберный-28	ломберный-29	annotator3	3		ломберный
ломберный-28	ломберный-29	annotator4	4		ломберный
ломберный-28	ломберный-29	annotator5	4		ломберный
ломберный-30	ломберный-31	annotator1	4		ломберный
ломберный-30	ломберный-31	annotator2	4		ломберный
ломберный-30	ломберный-31	annotator3	4		ломберный
ломберный-30	ломберный-31	annotator4	4		ломберный
ломберный-30	ломберный-31	annotator5	4		ломберный
ломберный-32	ломберный-33	annotator1	3		ломберный
ломберный-32	ломберный-33	annotator2	4		ломберный
ломберный-32	ломберный-33	annotator3	4		ломберный
ломберный-32	ломберный-33	annotator4	4		ломберный
ломберный-32	ломберный-33	annotator5	4		ломберный
ломберный-34	ломберный-35	annotator1	4		ломберный
ломберный-34	ломберный-35	annotator2	4		ломберный
ломберный-34	ломберный-35	annotator3	4		ломберный
ломберный-34	ломберный-35	annotator4	4		ломберный
ломберный-34	ломберный-35	annotator5	3		ломберный
ломберный-36	ломберный-37	annotator1	4		ломберный
ломберный-36	ломберный-37	annotator2	4		ломберный
ломберный-36	ломберный-37	annotator3	4		ломберный
ломберный-36	ломберный-37	annotator4	4		ломберный
ломберный-36	ломберный-37	annotator5	4		ломберный
ломберный-38	ломберный-39	annotator1	4		ломберный
