identifier1	identifier2	annotator	judgment	comment	lemma
мгновение-104-13	мгновение-105-13	annotator1	4		мгновение
мгновение-22-13	мгновение-23-13	annotator1	4		мгновение
мгновение-84-13	мгновение-85-13	annotator1	4		мгновение
мгновение-90-13	мгновение-91-13	annotator1	4		мгновение
мгновение-40-13	мгновение-41-13	annotator1	4		мгновение
мгновение-20-13	мгновение-21-13	annotator1	4		мгновение
мгновение-82-13	мгновение-83-13	annotator1	3		мгновение
мгновение-8-13	мгновение-9-13	annotator1	4		мгновение
мгновение-94-13	мгновение-95-13	annotator1	3		мгновение
мгновение-38-13	мгновение-39-13	annotator1	4		мгновение
мгновение-96-13	мгновение-97-13	annotator1	3		мгновение
мгновение-112-13	мгновение-113-13	annotator1	3		мгновение
мгновение-36-13	мгновение-37-13	annotator1	2		мгновение
мгновение-58-13	мгновение-59-13	annotator1	4		мгновение
мгновение-98-13	мгновение-99-13	annotator1	4		мгновение
мгновение-18-13	мгновение-19-13	annotator1	4		мгновение
мгновение-12-13	мгновение-13-13	annotator1	4		мгновение
мгновение-86-13	мгновение-87-13	annotator1	1		мгновение
мгновение-24-13	мгновение-25-13	annotator1	4		мгновение
мгновение-74-13	мгновение-75-13	annotator1	4		мгновение
мгновение-114-13	мгновение-115-13	annotator1	4		мгновение
мгновение-10-13	мгновение-11-13	annotator1	4		мгновение
мгновение-0-13	мгновение-1-13	annotator1	1		мгновение
мгновение-72-13	мгновение-73-13	annotator1	4		мгновение
мгновение-78-13	мгновение-79-13	annotator1	4		мгновение
мгновение-118-13	мгновение-119-13	annotator1	1		мгновение
мгновение-2-13	мгновение-3-13	annotator1	4		мгновение
мгновение-70-13	мгновение-71-13	annotator1	4		мгновение
мгновение-80-13	мгновение-81-13	annotator1	4		мгновение
мгновение-4-13	мгновение-5-13	annotator1	4		мгновение
мгновение-50-13	мгновение-51-13	annotator1	4		мгновение
мгновение-88-13	мгновение-89-13	annotator1	4		мгновение
мгновение-6-13	мгновение-7-13	annotator1	4		мгновение
мгновение-116-13	мгновение-117-13	annotator1	4		мгновение
мгновение-26-13	мгновение-27-13	annotator1	4		мгновение
мгновение-76-13	мгновение-77-13	annotator1	4		мгновение
мгновение-100-13	мгновение-101-13	annotator1	4		мгновение
мгновение-106-13	мгновение-107-13	annotator1	4		мгновение
мгновение-48-13	мгновение-49-13	annotator1	2		мгновение
мгновение-108-13	мгновение-109-13	annotator1	2		мгновение
мгновение-30-13	мгновение-31-13	annotator1	4		мгновение
мгновение-68-13	мгновение-69-13	annotator1	4		мгновение
мгновение-16-13	мгновение-17-13	annotator1	4		мгновение
мгновение-92-13	мгновение-93-13	annotator1	4		мгновение
мгновение-56-13	мгновение-57-13	annotator1	1		мгновение
мгновение-64-13	мгновение-65-13	annotator1	4		мгновение
мгновение-60-13	мгновение-61-13	annotator1	4		мгновение
мгновение-66-13	мгновение-67-13	annotator1	4		мгновение
мгновение-52-13	мгновение-53-13	annotator1	4		мгновение
мгновение-110-13	мгновение-111-13	annotator1	4		мгновение
мгновение-46-13	мгновение-47-13	annotator1	4		мгновение
мгновение-34-13	мгновение-35-13	annotator1	4		мгновение
мгновение-14-13	мгновение-15-13	annotator1	3		мгновение
мгновение-54-13	мгновение-55-13	annotator1	4		мгновение
мгновение-42-13	мгновение-43-13	annotator1	3		мгновение
мгновение-62-13	мгновение-63-13	annotator1	2		мгновение
мгновение-44-13	мгновение-45-13	annotator1	1		мгновение
мгновение-32-13	мгновение-33-13	annotator1	4		мгновение
мгновение-102-13	мгновение-103-13	annotator1	4		мгновение
мгновение-28-13	мгновение-29-13	annotator1	4		мгновение
мгновение-78-13	мгновение-79-13	annotator2	4		мгновение
мгновение-50-13	мгновение-51-13	annotator2	4		мгновение
мгновение-26-13	мгновение-27-13	annotator2	4		мгновение
мгновение-46-13	мгновение-47-13	annotator2	2		мгновение
мгновение-76-13	мгновение-77-13	annotator2	4		мгновение
мгновение-44-13	мгновение-45-13	annotator2	3		мгновение
мгновение-114-13	мгновение-115-13	annotator2	4		мгновение
мгновение-118-13	мгновение-119-13	annotator2	1		мгновение
мгновение-28-13	мгновение-29-13	annotator2	4		мгновение
мгновение-24-13	мгновение-25-13	annotator2	4		мгновение
мгновение-48-13	мгновение-49-13	annotator2	4		мгновение
мгновение-12-13	мгновение-13-13	annotator2	4		мгновение
мгновение-22-13	мгновение-23-13	annotator2	4		мгновение
мгновение-30-13	мгновение-31-13	annotator2	4		мгновение
мгновение-86-13	мгновение-87-13	annotator2	3		мгновение
мгновение-38-13	мгновение-39-13	annotator2	4		мгновение
мгновение-18-13	мгновение-19-13	annotator2	4		мгновение
мгновение-40-13	мгновение-41-13	annotator2	4		мгновение
мгновение-36-13	мгновение-37-13	annotator2	4		мгновение
мгновение-16-13	мгновение-17-13	annotator2	3		мгновение
мгновение-32-13	мгновение-33-13	annotator2	3		мгновение
мгновение-14-13	мгновение-15-13	annotator2	3		мгновение
мгновение-116-13	мгновение-117-13	annotator2	4		мгновение
мгновение-20-13	мгновение-21-13	annotator2	3		мгновение
мгновение-0-13	мгновение-1-13	annotator2	4		мгновение
мгновение-112-13	мгновение-113-13	annotator2	4		мгновение
мгновение-70-13	мгновение-71-13	annotator2	4		мгновение
мгновение-94-13	мгновение-95-13	annotator2	1		мгновение
мгновение-60-13	мгновение-61-13	annotator2	4		мгновение
мгновение-58-13	мгновение-59-13	annotator2	4		мгновение
мгновение-98-13	мгновение-99-13	annotator2	4		мгновение
мгновение-56-13	мгновение-57-13	annotator2	1		мгновение
мгновение-100-13	мгновение-101-13	annotator2	4		мгновение
мгновение-54-13	мгновение-55-13	annotator2	4		мгновение
мгновение-52-13	мгновение-53-13	annotator2	4		мгновение
мгновение-92-13	мгновение-93-13	annotator2	4		мгновение
мгновение-90-13	мгновение-91-13	annotator2	4		мгновение
мгновение-108-13	мгновение-109-13	annotator2	4		мгновение
мгновение-106-13	мгновение-107-13	annotator2	4		мгновение
мгновение-66-13	мгновение-67-13	annotator2	4		мгновение
мгновение-68-13	мгновение-69-13	annotator2	4		мгновение
мгновение-102-13	мгновение-103-13	annotator2	1		мгновение
мгновение-64-13	мгновение-65-13	annotator2	4		мгновение
мгновение-104-13	мгновение-105-13	annotator2	4		мгновение
мгновение-62-13	мгновение-63-13	annotator2	2		мгновение
