lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
мгновение	NOUN	1991-2017	2	мгновение-0		"Союзники" вслушивались, подрагивая, готовые сорваться в любое мгновение -- повторить то, что сделали недавно в Москве.	63:72	0:119
мгновение	NOUN	1991-2017	2	мгновение-1		Мгновениями порыв: восстать -- как поют: смертию смерть поправ -- и гордо бросить ему в лицо: ненавижу!	0:11	0:103
мгновение	NOUN	1918-1990	1	мгновение-2		-- А если неудача -- Ваша светлость, если у вождя хоть на мгновение мелькнет мысль о неудаче, он обязан немедля прекратить бой.	58:67	0:127
мгновение	NOUN	1918-1990	1	мгновение-3		И только изредка он словно замирал на мгновение от тоски жизни -- тогда он жалобно глядел на любого человека, находящегося перед его взором; это он чувствовал воспоминание, что он -- головотяп и упущенец -- так его называли иногда в бумагах из района.	38:47	0:251
мгновение	NOUN	1991-2017	2	мгновение-4		-- Давай вот, -- больно подтолкнула сватья Валентину Викторовну в брешь в шеренге; Елтышева на мгновение вспыхнула от такой бесцеремонности, но выражать негодование было некогда и как-то нелепо сейчас, здесь; втиснулись, поставили на асфальт ведра, сдернули уже местами пропитавшиеся темно-синим соком наволочки.	95:104	0:312
мгновение	NOUN	1991-2017	2	мгновение-5		Семинарист, в одно мгновение лишенный редкой возможности покрасоваться перед девчонками автобусной группы, поплелся вперед, не подымая головы, как на промывание желудка.	19:28	0:169
мгновение	NOUN	1991-2017	2	мгновение-6		-- Даже боком продвигаясь по тропинке сада, чтобы ни на мгновение не терять из вида глаз великой княгини, он умудрялся учтиво кланяться.	56:65	0:136
мгновение	NOUN	1991-2017	2	мгновение-7		В то же мгновение гигантские потоки энергии Красноярской ГЭС и сотен других станций по тысячекилометровым ЛЭП (линиям электропередачи) поступают в бедствующий район.	8:17	0:165
мгновение	NOUN	1918-1990	1	мгновение-8		-- Ошибка Доглатова в чем В попытке встать на минуточку -- всего лишь на одно мгновение! раньше с ним ничего подобного не было! -- в попытке шагнуть в сторону от исторического потока.	78:87	0:183
мгновение	NOUN	1991-2017	2	мгновение-9		На мгновение оба замерли: кто-то шевелился в канаве.	3:12	0:52
