identifier1	identifier2	annotator	judgment	comment	lemma
модель-10-13	модель-11-13	annotator1	1		модель
модель-92-13	модель-93-13	annotator1	3		модель
модель-94-13	модель-95-13	annotator1	1		модель
модель-90-13	модель-91-13	annotator1	4		модель
модель-8-13	модель-9-13	annotator1	4		модель
модель-12-13	модель-13-13	annotator1	3		модель
модель-6-13	модель-7-13	annotator1	1		модель
модель-18-13	модель-19-13	annotator1	1		модель
модель-16-13	модель-17-13	annotator1	4		модель
модель-14-13	модель-15-13	annotator1	3		модель
модель-4-13	модель-5-13	annotator1	3		модель
модель-20-13	модель-21-13	annotator1	1		модель
модель-114-13	модель-115-13	annotator1	1		модель
модель-116-13	модель-117-13	annotator1	1		модель
модель-118-13	модель-119-13	annotator1	2		модель
модель-2-13	модель-3-13	annotator1	2		модель
модель-0-13	модель-1-13	annotator1	4		модель
модель-112-13	модель-113-13	annotator1	4		модель
модель-110-13	модель-111-13	annotator1	1		модель
модель-42-13	модель-43-13	annotator1	1		модель
модель-40-13	модель-41-13	annotator1	2		модель
модель-38-13	модель-39-13	annotator1	4		модель
модель-82-13	модель-83-13	annotator1	1		модель
модель-44-13	модель-45-13	annotator1	2		модель
модель-84-13	модель-85-13	annotator1	3		модель
модель-86-13	модель-87-13	annotator1	1		модель
модель-72-13	модель-73-13	annotator1	1		модель
модель-68-13	модель-69-13	annotator1	4		модель
модель-66-13	модель-67-13	annotator1	1		модель
модель-74-13	модель-75-13	annotator1	4		модель
модель-80-13	модель-81-13	annotator1	2		модель
модель-78-13	модель-79-13	annotator1	0		модель
модель-76-13	модель-77-13	annotator1	1		модель
модель-56-13	модель-57-13	annotator1	4		модель
модель-54-13	модель-55-13	annotator1	1		модель
модель-52-13	модель-53-13	annotator1	1		модель
модель-58-13	модель-59-13	annotator1	3		модель
модель-64-13	модель-65-13	annotator1	3		модель
модель-62-13	модель-63-13	annotator1	4		модель
модель-60-13	модель-61-13	annotator1	4		модель
модель-100-13	модель-101-13	annotator1	1		модель
модель-98-13	модель-99-13	annotator1	4		модель
модель-108-13	модель-109-13	annotator1	4		модель
модель-102-13	модель-103-13	annotator1	2		модель
модель-104-13	модель-105-13	annotator1	4		модель
модель-106-13	модель-107-13	annotator1	4		модель
модель-96-13	модель-97-13	annotator1	1		модель
модель-88-13	модель-89-13	annotator1	3		модель
модель-50-13	модель-51-13	annotator1	3		модель
модель-70-13	модель-71-13	annotator1	1		модель
модель-32-13	модель-33-13	annotator1	1		модель
модель-34-13	модель-35-13	annotator1	3		модель
модель-46-13	модель-47-13	annotator1	4		модель
модель-26-13	модель-27-13	annotator1	4		модель
модель-36-13	модель-37-13	annotator1	2		модель
модель-24-13	модель-25-13	annotator1	1		модель
модель-22-13	модель-23-13	annotator1	1		модель
модель-30-13	модель-31-13	annotator1	3		модель
модель-28-13	модель-29-13	annotator1	4		модель
модель-48-13	модель-49-13	annotator1	3		модель
модель-76-13	модель-77-13	annotator2	1		модель
модель-112-13	модель-113-13	annotator2	4		модель
модель-6-13	модель-7-13	annotator2	1		модель
модель-88-13	модель-89-13	annotator2	1		модель
модель-100-13	модель-101-13	annotator2	4		модель
модель-26-13	модель-27-13	annotator2	4		модель
модель-118-13	модель-119-13	annotator2	1		модель
модель-94-13	модель-95-13	annotator2	3		модель
модель-24-13	модель-25-13	annotator2	1		модель
модель-44-13	модель-45-13	annotator2	1		модель
модель-92-13	модель-93-13	annotator2	4		модель
модель-108-13	модель-109-13	annotator2	2		модель
модель-114-13	модель-115-13	annotator2	3		модель
модель-62-13	модель-63-13	annotator2	1		модель
модель-34-13	модель-35-13	annotator2	4		модель
модель-56-13	модель-57-13	annotator2	1		модель
модель-18-13	модель-19-13	annotator2	1		модель
модель-50-13	модель-51-13	annotator2	4		модель
модель-52-13	модель-53-13	annotator2	1		модель
модель-8-13	модель-9-13	annotator2	4		модель
модель-4-13	модель-5-13	annotator2	1		модель
модель-60-13	модель-61-13	annotator2	1		модель
модель-16-13	модель-17-13	annotator2	2		модель
модель-80-13	модель-81-13	annotator2	1		модель
модель-12-13	модель-13-13	annotator2	4		модель
модель-58-13	модель-59-13	annotator2	2		модель
модель-54-13	модель-55-13	annotator2	1		модель
модель-0-13	модель-1-13	annotator2	2		модель
модель-90-13	модель-91-13	annotator2	3		модель
модель-32-13	модель-33-13	annotator2	1		модель
модель-14-13	модель-15-13	annotator2	2		модель
модель-116-13	модель-117-13	annotator2	2		модель
модель-64-13	модель-65-13	annotator2	4		модель
модель-2-13	модель-3-13	annotator2	4		модель
модель-30-13	модель-31-13	annotator2	3		модель
модель-42-13	модель-43-13	annotator2	2		модель
модель-22-13	модель-23-13	annotator2	3		модель
модель-40-13	модель-41-13	annotator2	1		модель
модель-96-13	модель-97-13	annotator2	1		модель
модель-38-13	модель-39-13	annotator2	4		модель
модель-20-13	модель-21-13	annotator2	1		модель
модель-68-13	модель-69-13	annotator2	3		модель
модель-106-13	модель-107-13	annotator2	4		модель
модель-36-13	модель-37-13	annotator2	1		модель
модель-102-13	модель-103-13	annotator2	3		модель
модель-104-13	модель-105-13	annotator2	1		модель
модель-48-13	модель-49-13	annotator2	1		модель
модель-72-13	модель-73-13	annotator2	2		модель
модель-70-13	модель-71-13	annotator2	1		модель
модель-10-13	модель-11-13	annotator2	1		модель
модель-86-13	модель-87-13	annotator2	1		модель
модель-46-13	модель-47-13	annotator2	2		модель
модель-78-13	модель-79-13	annotator2	1		модель
модель-74-13	модель-75-13	annotator2	4		модель
модель-28-13	модель-29-13	annotator2	1		модель
модель-98-13	модель-99-13	annotator2	1		модель
модель-84-13	модель-85-13	annotator2	2		модель
модель-66-13	модель-67-13	annotator2	1		модель
модель-82-13	модель-83-13	annotator2	1		модель
модель-110-13	модель-111-13	annotator2	1		модель
модель-82-13	модель-83-13	annotator3	3		модель
модель-62-13	модель-63-13	annotator3	1		модель
модель-104-13	модель-105-13	annotator3	4		модель
модель-98-13	модель-99-13	annotator3	3		модель
модель-94-13	модель-95-13	annotator3	1		модель
модель-34-13	модель-35-13	annotator3	1		модель
модель-72-13	модель-73-13	annotator3	1		модель
модель-8-13	модель-9-13	annotator3	3		модель
модель-88-13	модель-89-13	annotator3	3		модель
модель-22-13	модель-23-13	annotator3	4		модель
модель-50-13	модель-51-13	annotator3	4		модель
модель-60-13	модель-61-13	annotator3	4		модель
модель-100-13	модель-101-13	annotator3	4		модель
модель-84-13	модель-85-13	annotator3	2		модель
модель-24-13	модель-25-13	annotator3	1		модель
модель-96-13	модель-97-13	annotator3	1		модель
модель-108-13	модель-109-13	annotator3	2		модель
модель-86-13	модель-87-13	annotator3	4		модель
модель-48-13	модель-49-13	annotator3	1		модель
модель-92-13	модель-93-13	annotator3	4		модель
модель-90-13	модель-91-13	annotator3	3		модель
модель-10-13	модель-11-13	annotator3	1		модель
модель-52-13	модель-53-13	annotator3	1		модель
модель-102-13	модель-103-13	annotator3	2		модель
модель-74-13	модель-75-13	annotator3	2		модель
модель-54-13	модель-55-13	annotator3	2		модель
модель-116-13	модель-117-13	annotator3	1		модель
модель-112-13	модель-113-13	annotator3	4		модель
модель-38-13	модель-39-13	annotator3	1		модель
модель-66-13	модель-67-13	annotator3	1		модель
модель-44-13	модель-45-13	annotator3	1		модель
модель-118-13	модель-119-13	annotator3	2		модель
модель-40-13	модель-41-13	annotator3	1		модель
модель-6-13	модель-7-13	annotator3	1		модель
модель-2-13	модель-3-13	annotator3	2		модель
модель-20-13	модель-21-13	annotator3	3		модель
модель-68-13	модель-69-13	annotator3	4		модель
модель-0-13	модель-1-13	annotator3	2		модель
модель-78-13	модель-79-13	annotator3	4		модель
модель-110-13	модель-111-13	annotator3	2		модель
модель-30-13	модель-31-13	annotator3	4		модель
модель-76-13	модель-77-13	annotator3	1		модель
модель-114-13	модель-115-13	annotator3	3		модель
модель-80-13	модель-81-13	annotator3	1		модель
модель-56-13	модель-57-13	annotator3	1		модель
модель-64-13	модель-65-13	annotator3	1		модель
модель-58-13	модель-59-13	annotator3	1		модель
модель-18-13	модель-19-13	annotator3	2		модель
модель-26-13	модель-27-13	annotator3	1		модель
модель-28-13	модель-29-13	annotator3	1		модель
модель-70-13	модель-71-13	annotator3	1		модель
модель-16-13	модель-17-13	annotator3	4		модель
модель-42-13	модель-43-13	annotator3	1		модель
модель-12-13	модель-13-13	annotator3	1		модель
модель-36-13	модель-37-13	annotator3	4		модель
модель-32-13	модель-33-13	annotator3	1		модель
модель-14-13	модель-15-13	annotator3	1		модель
модель-4-13	модель-5-13	annotator3	3		модель
модель-106-13	модель-107-13	annotator3	2		модель
модель-46-13	модель-47-13	annotator3	4		модель
модель-106-13	модель-107-13	annotator4	3		модель
модель-68-13	модель-69-13	annotator4	4		модель
модель-100-13	модель-101-13	annotator4	4		модель
модель-70-13	модель-71-13	annotator4	1		модель
модель-66-13	модель-67-13	annotator4	1		модель
модель-28-13	модель-29-13	annotator4	2		модель
модель-62-13	модель-63-13	annotator4	1		модель
модель-96-13	модель-97-13	annotator4	1		модель
модель-78-13	модель-79-13	annotator4	2		модель
модель-32-13	модель-33-13	annotator4	1		модель
модель-76-13	модель-77-13	annotator4	1		модель
модель-74-13	модель-75-13	annotator4	4		модель
модель-56-13	модель-57-13	annotator4	4		модель
модель-98-13	модель-99-13	annotator4	4		модель
модель-80-13	модель-81-13	annotator4	2		модель
модель-52-13	модель-53-13	annotator4	2		модель
модель-60-13	модель-61-13	annotator4	4		модель
модель-58-13	модель-59-13	annotator4	2		модель
модель-64-13	модель-65-13	annotator4	1		модель
модель-72-13	модель-73-13	annotator4	2		модель
модель-48-13	модель-49-13	annotator4	3		модель
модель-30-13	модель-31-13	annotator4	3		модель
модель-20-13	модель-21-13	annotator4	1		модель
модель-10-13	модель-11-13	annotator4	4		модель
модель-110-13	модель-111-13	annotator4	4		модель
модель-8-13	модель-9-13	annotator4	4		модель
модель-24-13	модель-25-13	annotator4	1		модель
модель-108-13	модель-109-13	annotator4	1		модель
модель-6-13	модель-7-13	annotator4	1		модель
модель-0-13	модель-1-13	annotator4	4		модель
модель-4-13	модель-5-13	annotator4	1		модель
модель-18-13	модель-19-13	annotator4	1		модель
модель-88-13	модель-89-13	annotator4	1		модель
модель-2-13	модель-3-13	annotator4	2		модель
модель-26-13	модель-27-13	annotator4	3		модель
модель-102-13	модель-103-13	annotator4	2		модель
модель-14-13	модель-15-13	annotator4	4		модель
модель-112-13	модель-113-13	annotator4	4		модель
модель-12-13	модель-13-13	annotator4	4		модель
модель-34-13	модель-35-13	annotator4	2		модель
модель-44-13	модель-45-13	annotator4	1		модель
модель-114-13	модель-115-13	annotator4	1		модель
модель-118-13	модель-119-13	annotator4	2		модель
модель-16-13	модель-17-13	annotator4	2		модель
модель-50-13	модель-51-13	annotator4	4		модель
модель-54-13	модель-55-13	annotator4	1		модель
модель-40-13	модель-41-13	annotator4	3		модель
модель-104-13	модель-105-13	annotator4	1		модель
модель-42-13	модель-43-13	annotator4	1		модель
модель-36-13	модель-37-13	annotator4	3		модель
модель-94-13	модель-95-13	annotator4	4		модель
модель-86-13	модель-87-13	annotator4	4		модель
модель-90-13	модель-91-13	annotator4	4		модель
модель-84-13	модель-85-13	annotator4	1		модель
модель-22-13	модель-23-13	annotator4	1		модель
модель-38-13	модель-39-13	annotator4	4		модель
модель-46-13	модель-47-13	annotator4	3		модель
модель-116-13	модель-117-13	annotator4	1		модель
модель-92-13	модель-93-13	annotator4	1		модель
модель-82-13	модель-83-13	annotator4	1		модель
модель-108-13	модель-109-13	annotator5	1		модель
модель-40-13	модель-41-13	annotator5	2		модель
модель-48-13	модель-49-13	annotator5	4		модель
модель-118-13	модель-119-13	annotator5	2		модель
модель-42-13	модель-43-13	annotator5	1		модель
модель-70-13	модель-71-13	annotator5	3		модель
модель-74-13	модель-75-13	annotator5	1		модель
модель-38-13	модель-39-13	annotator5	4		модель
модель-18-13	модель-19-13	annotator5	1		модель
модель-2-13	модель-3-13	annotator5	3		модель
модель-36-13	модель-37-13	annotator5	1		модель
модель-110-13	модель-111-13	annotator5	4		модель
модель-68-13	модель-69-13	annotator5	1		модель
модель-0-13	модель-1-13	annotator5	1		модель
модель-34-13	модель-35-13	annotator5	1		модель
модель-116-13	модель-117-13	annotator5	1		модель
модель-72-13	модель-73-13	annotator5	1		модель
модель-66-13	модель-67-13	annotator5	1		модель
модель-78-13	модель-79-13	annotator5	1		модель
модель-44-13	модель-45-13	annotator5	1		модель
модель-28-13	модель-29-13	annotator5	2		модель
модель-46-13	модель-47-13	annotator5	4		модель
модель-76-13	модель-77-13	annotator5	1		модель
модель-14-13	модель-15-13	annotator5	1		модель
модель-114-13	модель-115-13	annotator5	4		модель
модель-92-13	модель-93-13	annotator5	2		модель
модель-22-13	модель-23-13	annotator5	1		модель
модель-98-13	модель-99-13	annotator5	4		модель
модель-82-13	модель-83-13	annotator5	3		модель
модель-106-13	модель-107-13	annotator5	3		модель
модель-96-13	модель-97-13	annotator5	1		модель
модель-90-13	модель-91-13	annotator5	1		модель
модель-84-13	модель-85-13	annotator5	1		модель
модель-26-13	модель-27-13	annotator5	3		модель
модель-94-13	модель-95-13	annotator5	4		модель
модель-102-13	модель-103-13	annotator5	1		модель
модель-20-13	модель-21-13	annotator5	1		модель
модель-100-13	модель-101-13	annotator5	4		модель
модель-104-13	модель-105-13	annotator5	4		модель
модель-80-13	модель-81-13	annotator5	1		модель
модель-88-13	модель-89-13	annotator5	2		модель
модель-58-13	модель-59-13	annotator5	2		модель
модель-30-13	модель-31-13	annotator5	3		модель
модель-56-13	модель-57-13	annotator5	4		модель
модель-112-13	модель-113-13	annotator5	3		модель
модель-54-13	модель-55-13	annotator5	2		модель
модель-12-13	модель-13-13	annotator5	2		модель
модель-52-13	модель-53-13	annotator5	1		модель
модель-16-13	модель-17-13	annotator5	1		модель
модель-32-13	модель-33-13	annotator5	1		модель
модель-10-13	модель-11-13	annotator5	1		модель
модель-4-13	модель-5-13	annotator5	1		модель
модель-6-13	модель-7-13	annotator5	1		модель
модель-62-13	модель-63-13	annotator5	3		модель
модель-24-13	модель-25-13	annotator5	3		модель
модель-8-13	модель-9-13	annotator5	4		модель
модель-60-13	модель-61-13	annotator5	4		модель
модель-50-13	модель-51-13	annotator5	2		модель
модель-64-13	модель-65-13	annotator5	4		модель
модель-86-13	модель-87-13	annotator5	3		модель
