lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
мыло	NOUN	1918-1990	1	мыло-0		-- Мылом, мылом.	3:8	0:16
мыло	NOUN	1991-2017	2	мыло-1		Пахло туалетным мылом, мятной зубной пастой, одеколоном.	16:21	0:56
мыло	NOUN	1918-1990	1	мыло-2		-- А что, по-твоему, считается хорошим поступком Если я, например, утром встану и умоюсь холодной водой с мылом -- это будет хороший поступок -- Конечно, -- сказала Кнопочка.	106:111	0:174
мыло	NOUN	1918-1990	1	мыло-3		Были и коробейники с галантереей -- мылом, гребенками, ленточками.	36:41	0:66
мыло	NOUN	1991-2017	2	мыло-4		-- Выходите на волю, -- позвал он, -- А из вазы, О из болота, У из булки, Е из сена, Ы из мыла, Ю из Юлы, Ё из ёлки, Э из эму, И из сливок, Я из ямки!	90:94	0:150
мыло	NOUN	1991-2017	2	мыло-5		Народ вокруг был простой и грубый, и он успел нанюхаться всяких запахов, по которым, наверно, можно было бы составить энциклопедию оркской жизни: пахло луковыми очистками, обрезками кожи, надувной жвачкой, жареными на масле бананами, щелочным мылом, свиными кишками, гнилой папайей, ржавым железом, квасолой, потом, перегаром и одеколоном "Ancient Serpent".	243:248	0:357
мыло	NOUN	1991-2017	2	мыло-6		-- Где заказанное мыло!	18:22	0:23
мыло	NOUN	1991-2017	2	мыло-7		Если кто захочет попробовать, пишите мне на мыло irina2404@km.ru Я увлеклась этим всерьез, перелопатила гору литературы,так что могу давать консультации и по косметическим проблемам, и по вопросам лечения аромамаслами.	44:48	0:218
мыло	NOUN	1918-1990	1	мыло-8		-- Меньшой, при обряде лишения прав по закону вашей нации, окрещен Жоржиком; его главный вклад в семейное благополучие состоит в том, что он никогда не плачет, даже когда мыло попадает в глаза: выдержанный мужчина, в дедушку пойдет, надо будет пригласить фрайлен, знающую стихи Leier und Schwert, чьи не помню; но пока ему еще до первого годового юбилея далеко.	171:175	0:361
мыло	NOUN	1918-1990	1	мыло-9		Прикатили на двух телегах, кони в мыле.	34:38	0:39
мыло	NOUN	1991-2017	2	мыло-10		-- Что вы говорите -- переспросил Ротшильд, умывающий руки большим куском коричневого хозяйственного мыла.	101:105	0:106
мыло	NOUN	1991-2017	2	мыло-11		Потом взяла кусок хозяйственного мыла, быстро, крепко намылилась и опять зачерпнула воды из ведра.	33:37	0:98
мыло	NOUN	1991-2017	2	мыло-12		А если, скажем, война или просто победа социализма во всем мире, вследствие чего навеки отключится электричество и водопровод, то, где и кем ни окажусь, беженцем, ссыльным, в глухом городишке, в деревне, сразу налажусь варить мыло.	226:230	0:231
мыло	NOUN	1991-2017	2	мыло-13		Как-то они поменялись в лицах и стали смотреть на мыло, как на ядерную боеголовку.	50:54	0:82
мыло	NOUN	1918-1990	1	мыло-14		А потом удивляемся, почему отстала промышленность, одряхлела техника, развалилась наука, отсутствуют изначальные навыки управления, нет мяса, мыла и обуви.	142:146	0:155
мыло	NOUN	1991-2017	2	мыло-15		А белый порошок, который слаще сахара, сахарин А колесная мазь А хлороформ, которым усыпляют больного на операционном столе Да и в обыкновенном мыле нефтяные продукты часто заменяют животные жиры.	144:148	0:196
мыло	NOUN	1918-1990	1	мыло-16		Беззубенький побежал в ванную комнату, вытащил свои зубы из специальной коробочки, подаренной ему Благородным Доктором Фурье, почистил их 70% хозяйственным мылом (сука Кузнецов, подумал) и вышел из ванной в зубах.	156:161	0:213
мыло	NOUN	1918-1990	1	мыло-17		В промежутки между поисками службы я придумывал себе различные дела по квартире -- мыл и мыл пол, протирал стекла окон, потом уходил к "Росинанту" и возился с ним.	83:86	0:163
мыло	NOUN	1918-1990	1	мыло-18		Буквально через 15 минут появляется -- весь в мыле.	46:50	0:51
мыло	NOUN	1991-2017	2	мыло-19		-- В мыло мужиков вогнал.	5:9	0:25
мыло	NOUN	1991-2017	2	мыло-20		В очередной продуктовой передаче Толстяк получил лишь мыло, чай, сахар и сигареты.	54:58	0:82
мыло	NOUN	1991-2017	2	мыло-21		Я тоже пользуюсь детским мылом.	25:30	0:31
мыло	NOUN	1918-1990	1	мыло-22		Вдогонку ему Ольга кричит: -- С мылом, смотрите!..	32:37	0:50
мыло	NOUN	1918-1990	1	мыло-23		-- Почему с прилавков пропали стиральный порошок и мыло.	51:55	0:56
мыло	NOUN	1918-1990	1	мыло-24		Вернувшись домой, раздевшись, подойдя к умывальнику, протянув руку за мылом, я сосчитал: двести семь.	70:75	0:101
мыло	NOUN	1918-1990	1	мыло-25		-- А чего ж, можно и мылом.	21:26	0:27
мыло	NOUN	1991-2017	2	мыло-26		Взяла с полочки тюбик с жидким мылом и принялась смывать грим.	31:36	0:62
мыло	NOUN	1991-2017	2	мыло-27		не бывает хороших смывов Вот просто так -- хороших смывов без кальвадоса и взятки, а просто потому, что у нас действительно соблюдается санитарный режим и акушерки наши и санитарки трут и моют всё, как невменяемые, напоследок ещё и налакировывая стены хозяйственным мылом.	266:271	0:272
мыло	NOUN	1991-2017	2	мыло-28		Вот соседи видели, как он подбегал к подъезду весь в мыле.	53:57	0:58
мыло	NOUN	1991-2017	2	мыло-29		Найдет на его место образованного, небогатого и без претензий, чтобы ноги боссу мыл и воду пил.	80:83	0:95
мыло	NOUN	1918-1990	1	мыло-30		Все мы давно насквозь в "мыле".	4:6	0:31
мыло	NOUN	1991-2017	2	мыло-31		Арап принялся мыть ноги самодержца душистым мылом.	44:49	0:50
мыло	NOUN	1991-2017	2	мыло-32		Все так же равнодушно блестел кафель, пахло хозяйственным мылом, шумно текла вода.	58:63	0:82
мыло	NOUN	1991-2017	2	мыло-33		Жидкое моющее средство NUMIS med Средство, не содержащее мыла, нежно и эффективно очищает кожу, не вызывая раздражения и сухости.	57:61	0:129
мыло	NOUN	1991-2017	2	мыло-34		Допускать это никак нельзя: погладив собаку, нужно срочно бежать и мыть руки с мылом.	79:84	0:85
мыло	NOUN	1991-2017	2	мыло-35		А то я видел утром, как он посуду мыл в ведре и клал ее на пол.	34:37	0:63
мыло	NOUN	1991-2017	2	мыло-36		За хлебом ходили ежедневно, а сахар, соль, мыло давали раз в месяц или в квартал.	43:47	0:81
мыло	NOUN	1991-2017	2	мыло-37		Предварительно защитите стекла полосками бумаги, приклеив их мылом или липкой лентой.	61:66	0:85
мыло	NOUN	1918-1990	1	мыло-38		Заинтриговали интимным мылом.	23:28	0:29
мыло	NOUN	1991-2017	2	мыло-39		И исподнее велит стирать с мылом, неделю проносит и скинет, совсем чистое, -- а с мылом!..	27:32	0:90
мыло	NOUN	1991-2017	2	мыло-40		Закончив у раковины, каждый осторожно брал пластиковую мыльницу за донышко, подставлял кусок мыла под бегущую струю, затем, придерживая мыло пальцем, сливал воду и, наконец, ставил на место, уступая очередь следующему.	55:63	0:218
мыло	NOUN	1991-2017	2	мыло-41		Остальные же граждане достойны того, чтобы систематически получать хлеб, соль, мыло и керосин, запасы которых отмерены, взвешены и ограничены".	79:83	0:143
мыло	NOUN	1991-2017	2	мыло-42		Из него делают растительное масло, мыло и даже свечи, потому-то оно сальное.	35:39	0:76
мыло	NOUN	1991-2017	2	мыло-43		Касаясь губами сизой, пахнущей мылом плоти (хоть подмылся, для первого раза), Лидия подумала, что Кольку облизала бы с ног до головы и было бы не стыдно и не противно, а очень даже правильно.	31:36	0:191
мыло	NOUN	1918-1990	1	мыло-44		Инженер присел и отвернул кран, чтобы смыть мыло.	44:48	0:49
мыло	NOUN	1918-1990	1	мыло-45		Главные материальные проблемы: у меня, с ликвидацией шубы, нет пальто; необходимо купить ватник; второе -- необходимо купить мыло, чтобы мыться; третья проблема -- проблема стирки: я хожу в грязном белье, грязных брюках, без мыла никто не берет стирать, да и с мылом никого нельзя об этом попросить: в общежитии семьи приглашают прачку на большие стирки с простынями и т.п., дают ей мыло, таз и вдобавок кормят; я же этого себе никак не могу позволить.	125:129	0:452
мыло	NOUN	1918-1990	1	мыло-46		К вечеру примчалась жена, подогрела воду, помыла своего амурчика мочалкой с мылом.	76:81	0:82
мыло	NOUN	1991-2017	2	мыло-47		Непредставление срочно сведений затормозит работу П/Отдела Охраны Труда Ц.К., и тем самым рабочие Союза не получат своевременно надлежащего обмундирования и мыла.	157:161	0:162
мыло	NOUN	1918-1990	1	мыло-48		Как же не купить такое мыло!	23:27	0:28
мыло	NOUN	1991-2017	2	мыло-49		-- Спасибо, я буду мыть уши без мыла.	32:36	0:37
мыло	NOUN	1918-1990	1	мыло-50		Какой-то полковник от неожиданности раковину расколол, руки мыл...	60:63	0:66
мыло	NOUN	1991-2017	2	мыло-51		Я сажал их обычно в глубь автомобиля, а не рядом с собой, так как все они были очень надушены крепкими дешевыми духами, чем-то вроде едкого раствора плохого мыла, и от их соседства у меня во рту появлялся дурнотный вкус.	157:161	0:220
мыло	NOUN	1991-2017	2	мыло-52		Когда в пене, в мыле, в азарте режиссер тащит картину, любой дурацкой реплике можно придать гиперболизированное значение.	16:20	0:121
мыло	NOUN	1991-2017	2	мыло-53		И как бы ни был этот запах заглушаем горячим потом взмыленных паломников, волокущих деревянный крест по Виа Долороса, как бы ни перешибала его грубая вонь подозрительного мыла дешевых постоялых дворов, сколь бы ни примешивался к нему хлебный дух длинных пресных кренделей, что продают арабы с тележек, -- тревожащий, тонкий, всепроникающий запах ладана царит не только в храмах и церквах, но и на улицах Христианского квартала.	171:175	0:427
мыло	NOUN	1918-1990	1	мыло-54		Кормила из соски молоком, клала на живот грелку, купала в корыте с мылом, повязывала платочком и укладывала с собой в постель.	67:72	0:126
мыло	NOUN	1918-1990	1	мыло-55		Бросил мыло, полотенце, мочалку в медный таз.	7:11	0:45
мыло	NOUN	1918-1990	1	мыло-56		Кормлю его остатками похлебки, а сама думаю: "Ну, хорошо, керосин, тетрадки и мыло он отхлопотал -- это ясно, почему же он смотрит на меня так хитро и значительно Что-то еще он приберег в себе, какой-то есть секрет".	78:82	0:216
мыло	NOUN	1918-1990	1	мыло-57		4. Гор. и Губсовнархозы, согласно положению о Прозодежде, при помощи своих технических аппаратов реализируют ордера в соответствующих производящих органах, и распределяет полученные готовые изделия и мыло между предприятиями и учреждениями по разверстке и указаниям губернских П/Отделов Охраны Труда (Санит.	200:204	0:307
мыло	NOUN	1918-1990	1	мыло-58		Краснобородый мулла, вывалив из корзины куски многоцветного мыла, сгребал часы, брошки, кольца.	60:64	0:95
мыло	NOUN	1918-1990	1	мыло-59		Примечание: Доводится до сведения, что йода, йодоформа, ол. рицини, препаратов мышьяка, абсол. спирта, сулемы, брома, хины, опия и его производных (кодеин и пр.), борной кислоты, салицилового натра, аспирина и др. производных салициловой группы, тонина (валерьян, капли, дигиталис и др.), александрийского листа, а также марли, ваты, бинтов и других перевязочных материалов, зубного порошка, туалетного мыла и посуды в городских и коммунальных аптеках в настоящее время не имеется.	403:407	0:481
мыло	NOUN	1918-1990	1	мыло-60		Люди еще как-то мирились с тем, что в магазинах пропали мыло, мясо и все остальные продукты, но исчезновение сигарет в Воркуте повергло всех в ужас, и шахтеры забастовали.	56:60	0:171
мыло	NOUN	1991-2017	2	мыло-61		Кан уже летел наверх с теплой водой, мылом и полотенцами.	37:42	0:57
мыло	NOUN	1918-1990	1	мыло-62		Мишка наскоро смыл мыло с лица и пошел в конец мыльной.	19:23	0:55
мыло	NOUN	1918-1990	1	мыло-63		-- И лицо надо с мылом, -- сказала Синеглазка.	17:22	0:46
мыло	NOUN	1918-1990	1	мыло-64		Мыть крашеные двери рекомендуется теплой водой без мыла и соды. 3.72.	51:55	0:69
мыло	NOUN	1991-2017	2	мыло-65		Выкладывает на стол коробку -- духи или мыло.	40:44	0:45
мыло	NOUN	1918-1990	1	мыло-66		На "мексиканском бульваре" растут пальмы и эвкалипты, в "японском садике" можно видеть пробковую ель и фисташковое дерево, лотос и масличное дерево, из которого варят мыло.	167:171	0:172
мыло	NOUN	1918-1990	1	мыло-67		Хохоча, получили по пластинке гадкого мыла и прошли в просторную гулкую мыльню смывать девичьи гульбы.	38:42	0:102
мыло	NOUN	1918-1990	1	мыло-68		На мыло твою старуху, на мыло!.." "1 октября.	3:7	0:45
мыло	NOUN	1991-2017	2	мыло-69		Принес много хлеба -- на сахар и мыло он опять наменял, по кусочку раздав бойцам.	33:37	0:81
мыло	NOUN	1918-1990	1	мыло-70		Намыливаю детским мылом губку -- ноет, что губка дерет кожу.	18:23	0:60
мыло	NOUN	1991-2017	2	мыло-71		Под предлогом распределения посылок он вскрывал каждую, забирая себе платочки и зеркальца, расчески, конфеты, спички, карандаши, туалетное мыло, зубные щетки и порошок, пасту и прочее, что еще уцелело от тыловых грабителей.	139:143	0:223
мыло	NOUN	1991-2017	2	мыло-72		Но и в счастливом 1937 году стирка, даже в горячей воде с мылом, -- занятие не из легких.	58:63	0:89
мыло	NOUN	1991-2017	2	мыло-73		Я давал ему возможность отдохнуть, а сам манипулировал мылом, водой и своими тряпками.	55:60	0:86
мыло	NOUN	1991-2017	2	мыло-74		Но под упомянутым душем на пляже, когда я попросил у приятеля мыло, меня окликнул самый настоящий эмигрант, понтийский грек, один из тех тысяч греков, проживавших на территории СССР, которые уехали на родину своих предков.	62:66	0:222
мыло	NOUN	1991-2017	2	мыло-75		Что, привык женщинам без мыла в душу лезть Лучше скажи, я тебе в самом деле так понравилась или ты такой неумный бабник, что на все готов, лишь бы своего добиться -- Ты мне действительно понравилась.	25:29	0:199
мыло	NOUN	1918-1990	1	мыло-76		Но это не была простая мена "шила на мыло".	37:41	0:43
мыло	NOUN	1991-2017	2	мыло-77		И до революции было здесь много таких "смельчаков", которые с проклятием отрывались от неродящей земли, шли в города в лакеи, кучера и т.д. Они знакомились там с душистым мылом, галстуками, с отдельной посудой, презирали деревенских сородичей и научали этому презрению своих восприимчивых жен.	171:176	0:293
мыло	NOUN	1991-2017	2	мыло-78		Обезвредили его, впрочем, за благородным занятием: бесплатно мыл в городе все южнокорейские автомобили "дэу", "хендай".	61:64	0:119
мыло	NOUN	1991-2017	2	мыло-79		-- Ой, дяденька Дяцюк, а у вас найдутся ведро, тряпка, веник, мыло -- спросила Александра, едва окинув взглядом маленький пыльный кабинетик Дяцюка с почерневшими от грязи щелястыми полами.	62:66	0:188
мыло	NOUN	1918-1990	1	мыло-80		Она вызвала недовольство хозяев тем, что иногда пользуется предметами их домашнего обихода: полотенцем, мылом, а сегодня, по ошибке, стала чистить зубы хозяйской щеточкой.	104:109	0:171
мыло	NOUN	1918-1990	1	мыло-81		Отец Кузьма в парчовой ризе, с наперсным крестом на груди, имел вид торжественный и строгий, даже грубые, видавшие всякую работу руки были начисто отпарены горячим щелоком и мылом.	174:179	0:180
мыло	NOUN	1918-1990	1	мыло-82		Они завертывают конфеты, упаковывают мыло, набивают папиросы, шьют ботинки.	37:41	0:75
мыло	NOUN	1918-1990	1	мыло-83		Однако следует отметить, что первое место среди косметических средств занимает мыло, представляющее, как известно, соединение жировых кислот со щелочами.	79:83	0:153
мыло	NOUN	1991-2017	2	мыло-84		Они разрывали их с матерью Змея на полоски и из этих полосок плели в четыре руки коврики, которые потом кипятили со струганым мылом и мочевиной, полоскали, сушили, и коврики получались яркие, пестрые, у двери положить -- миленькое дельце.	126:131	0:238
мыло	NOUN	1991-2017	2	мыло-85		В нью-йоркском представительстве "Эр Франс" Ольгу заверили, что ее багаж непременно найдется, а пока ей выдали вещмешок с джентльменским набором беженца: зубная паста, щетка, мыло, шампунь, расческа.	175:179	0:199
мыло	NOUN	1991-2017	2	мыло-86		Перед парной полезно принять теплый душ без мыла.	44:48	0:49
мыло	NOUN	1991-2017	2	мыло-87		То есть, если вас укусила собака, необходимо немедленно промыть рану водой с мылом, после чего пойти в травмпункт и сделать прививку.	77:82	0:133
мыло	NOUN	1918-1990	1	мыло-88		По вечерам тут всегда пахнет калеными подсолнухами, земляничным мылом, конфетами и еще чем-то непонятным и тревожным -- девками, наверно.	64:69	0:137
мыло	NOUN	1918-1990	1	мыло-89		В жилищах зараза, по указаниям врачей, уничтожается основательным мытьем, с мылом или с прибавлением сулемы, карболовой кислоты и т. п. и последующим проветриванием.	76:81	0:165
мыло	NOUN	1918-1990	1	мыло-90		Под ноготь забилось мыло.	20:24	0:25
мыло	NOUN	1918-1990	1	мыло-91		Маша ни за что не хотела ее есть (так же, как не хотела на днях мылиться мылом-слоником), навзрыд зарыдала, когда я, шутя, сунул в рот птичий клювик.	64:72	0:149
мыло	NOUN	1918-1990	1	мыло-92		Положив бумагу на стол и все так же улыбаясь любезной, предупредительной улыбкой, пан Песковский придвинул ближе к Динке свой стул и, опершись на колени руками, свежевымытыми душистым розовым мылом, с любопытством разглядывал темную, вдовью фигурку, примостившуюся на краю стула.	192:197	0:279
мыло	NOUN	1918-1990	1	мыло-93		Вопль: -- Какой дурак кинул мыло под ноги Хохот, крики "виу".	28:32	0:61
мыло	NOUN	1918-1990	1	мыло-94		Пользоваться мылом с такими добавками можно не часто.	13:18	0:53
мыло	NOUN	1991-2017	2	мыло-95		Это ведь лучше, чем висеть на крючке или в двухтысячный раз варить в себе обиды, напоминающие вкусом едкое мыло.	107:111	0:112
мыло	NOUN	1918-1990	1	мыло-96		После мочеиспускания и туалета половых органов обязательно мойте руки антибактериальным мылом.	88:93	0:94
мыло	NOUN	1991-2017	2	мыло-97		-- Чего же вы, однако, перепугались В вашей коробке обыкновенное, слегка подкрашенное мыло.	86:90	0:91
мыло	NOUN	1918-1990	1	мыло-98		Правда, от "медведей" за мылом никто не пришел, хотя последние больше всех остальных накануне выборов говорили о необходимости проведения честной и достойной предвыборной кампании.	25:30	0:180
мыло	NOUN	1991-2017	2	мыло-99		Пол вымыт (по-маминому) мочалкой и мылом -- легко ли было протискивать сюда ведра с водой! -- стены оклеены страницами журнала "Будильник", который подарил мне усач Симоненко.	35:40	0:175
мыло	NOUN	1918-1990	1	мыло-100		Примечательно, что некоторые важные персоны, как, например, крупный комсомольский деятель К. Л., быстро съезжали на заднице из "официалов" в "диссиденты" по общественной лестнице, намазанной большевистским мылом.	206:211	0:212
мыло	NOUN	1991-2017	2	мыло-101		Получали, что удавалось получить, -- не то, что нужно больше, а то, что оказывалось в наличности: кусок серого мыла, банку повидла, пузырек чайной эссенции.	111:115	0:156
мыло	NOUN	1991-2017	2	мыло-102		Пришел Карен-маленький и стал щеткой и мылом истово драить свои волосатые руки от кончиков пальцев до локтей.	39:44	0:109
мыло	NOUN	1991-2017	2	мыло-103		А если учесть, что скоро откроют свои магазины Aushan и Spar, которые несомненно попытаются переманить поставщиков, российским магазинам придется опять заполнять свои полки однотипными стиральными порошками и хозяйственным мылом.	223:228	0:229
мыло	NOUN	1918-1990	1	мыло-104		Противень должен быть совершенно чистым; предварительно вымойте его горячей водой с мылом.	84:89	0:90
