lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
одежда	NOUN	1918-1990	1	одежда-0		(В красивой одежде пациент особенно лжив.	12:18	0:41
одежда	NOUN	1991-2017	2	одежда-1		Для меня почти каждая неудача может быть роковой: вот, если расползется мой плотик и вещи утонут, куда пойду я без одежды и пищи Метр за метром, минута за минутой -- все ближе противоположный берег.	115:121	0:198
одежда	NOUN	1918-1990	1	одежда-2		-- Вон там мы проходили мимо мужской одежды, -- указала рукой Маруся.	37:43	0:69
одежда	NOUN	1991-2017	2	одежда-3		На пурпурном ковре Анна, принесшая себя в жертву ради торжества нашей церкви, молилась в пышных одеждах.	96:103	0:104
одежда	NOUN	1918-1990	1	одежда-4		-- Он не договорил, вскочил на постели и схватил Фарона за одежду.	59:65	0:66
одежда	NOUN	1991-2017	2	одежда-5		Всюду по лесу лежало разбросанное имущество: разбитые сундуки, стулья, одежда, упряжь, посуда, швейные машины, мешки с зерном, все, что в великой хозяйской жадности было схвачено и привезено при отступлении к Дону.	71:77	0:214
одежда	NOUN	1991-2017	2	одежда-6		-- Форма одежды -- голый торс, а все, что останется от голого торса, положить на скамейку.	9:15	0:90
одежда	NOUN	1991-2017	2	одежда-7		Алеше покупают одежду обычно впопыхах: лично он по ней не страдает, но вдруг выясняется, что надо лететь на международный форум, а в шкафу нет даже приличного пиджака.	15:21	0:167
одежда	NOUN	1918-1990	1	одежда-8		-- Хочу обратить внимание летного состава на ношение формы одежды.	59:65	0:66
одежда	NOUN	1991-2017	2	одежда-9		Одноклассник, помнишь, я тебе рассказывал, у нас в школе был пацан, одевающийся в самолично сшитые немыслимые одежды и распевающий на переменах тошнотворно-смехотворные строчки: Смеешься Ну и правильно.	110:116	0:202
одежда	NOUN	1918-1990	1	одежда-10		.." -- лениво подумала она, скидывая с себя одежду.	44:50	0:51
одежда	NOUN	1991-2017	2	одежда-11		Наутро одежда Папке была выглажена, вычищена, китель аккуратно висел на спинке стула.	7:13	0:85
одежда	NOUN	1918-1990	1	одежда-12		А потом за ним пришли персиянин, араб и армяне в богатых одеждах, и тогда уж время стало шумное, валкое.	57:64	0:104
одежда	NOUN	1918-1990	1	одежда-13		Он вышел, ковыляя по грязноватому кафелю и брезгливо поджимая пальцы, и направился к своей одежде.	91:97	0:98
одежда	NOUN	1918-1990	1	одежда-14		А эти украшения когда-то были нашиты на одежды воинов и воительниц.	40:46	0:67
одежда	NOUN	1918-1990	1	одежда-15		В среде интеллигенции, лиц свободных профессий -- адвокатов, врачей, артистов, служащих частных банков, -- более зажиточных, соприкасавшихся с высшим обществом, бывавших за границей, одежда и моды были несколько иные.	183:189	0:217
одежда	NOUN	1918-1990	1	одежда-16		Бреммеле из книги М. Кузмина "О дендизме", но не для того, чтобы восславить дендизм, а, скорее, для того, чтобы раскрыть нам сложность того, что может быть названо красивым поведением, хорошей одеждой, умением ее носить, вышутить фатовство и пижонство у мальчишек.	193:200	0:264
одежда	NOUN	1991-2017	2	одежда-17		Понятно, что она не могла видеть, как наиздальке из страшной приземлившейся птицы вышли два человека в черной кожаной одежде и, нерешительно потоптавшись на месте, озираясь, тронулись ко двору.	118:124	0:193
одежда	NOUN	1918-1990	1	одежда-18		В сопровождении своего молодого товарища худой рослый доктор в неказистой одежде походил на искателя правды из простонародья, а его постоянный провожатый на послушного, слепо ему преданного ученика и последователя.	74:80	0:214
одежда	NOUN	1918-1990	1	одежда-19		На иконописном языке лицо называется ликом, а все прочее, т. е. включая сюда тело, одежды, палаты или архитектурный стафаж, деревья, скалы и проч., -- называется доличным; замечательная подробность: в понятие лика входят вторичные органы выразительности, маленькие лица нашего существа -- руки и ноги.	83:89	0:301
одежда	NOUN	1991-2017	2	одежда-20		Вдвоем с Аланом они уложили ее на землю и смотрели, как рвет на ней одежду сестра и хочет воплями согнать смерть с ее лица, белого и хрупкого ("Все равно что задумавшееся о снеге стекло", -- подумал сосед), причитая во весь голос и невольно тесня от бездыханного тела расторопную Хамыцеву жену с поднесенной чашей воды.	68:74	0:319
одежда	NOUN	1991-2017	2	одежда-21		Конечно, стрелы летели не в саму спину, а в специальную дощечку, спрятанную под одеждой.	80:87	0:88
