identifier1	identifier2	annotator	judgment	comment	lemma
однодневка-40-13	однодневка-41-13	annotator1	2		однодневка
однодневка-2-13	однодневка-3-13	annotator1	2		однодневка
однодневка-10-13	однодневка-11-13	annotator1	3		однодневка
однодневка-30-13	однодневка-31-13	annotator1	3		однодневка
однодневка-42-13	однодневка-43-13	annotator1	4		однодневка
однодневка-4-13	однодневка-5-13	annotator1	2		однодневка
однодневка-24-13	однодневка-25-13	annotator1	4		однодневка
однодневка-46-13	однодневка-47-13	annotator1	3		однодневка
однодневка-58-13	однодневка-59-13	annotator1	3		однодневка
однодневка-20-13	однодневка-21-13	annotator1	4		однодневка
однодневка-26-13	однодневка-27-13	annotator1	3		однодневка
однодневка-56-13	однодневка-57-13	annotator1	0		однодневка
однодневка-6-13	однодневка-7-13	annotator1	3		однодневка
однодневка-22-13	однодневка-23-13	annotator1	2		однодневка
однодневка-28-13	однодневка-29-13	annotator1	3		однодневка
однодневка-52-13	однодневка-53-13	annotator1	3		однодневка
однодневка-8-13	однодневка-9-13	annotator1	4		однодневка
однодневка-54-13	однодневка-55-13	annotator1	4		однодневка
однодневка-50-13	однодневка-51-13	annotator1	2		однодневка
однодневка-14-13	однодневка-15-13	annotator1	4		однодневка
однодневка-0-13	однодневка-1-13	annotator1	4		однодневка
однодневка-36-13	однодневка-37-13	annotator1	3		однодневка
однодневка-12-13	однодневка-13-13	annotator1	4		однодневка
однодневка-32-13	однодневка-33-13	annotator1	1		однодневка
однодневка-44-13	однодневка-45-13	annotator1	2		однодневка
однодневка-38-13	однодневка-39-13	annotator1	3		однодневка
однодневка-34-13	однодневка-35-13	annotator1	1		однодневка
однодневка-18-13	однодневка-19-13	annotator1	2		однодневка
однодневка-16-13	однодневка-17-13	annotator1	2		однодневка
однодневка-48-13	однодневка-49-13	annotator1	1		однодневка
однодневка-18-13	однодневка-19-13	annotator2	2		однодневка
однодневка-16-13	однодневка-17-13	annotator2	3		однодневка
однодневка-52-13	однодневка-53-13	annotator2	3		однодневка
однодневка-2-13	однодневка-3-13	annotator2	3		однодневка
однодневка-4-13	однодневка-5-13	annotator2	4		однодневка
однодневка-6-13	однодневка-7-13	annotator2	1		однодневка
однодневка-14-13	однодневка-15-13	annotator2	4		однодневка
однодневка-28-13	однодневка-29-13	annotator2	3		однодневка
однодневка-10-13	однодневка-11-13	annotator2	2		однодневка
однодневка-8-13	однодневка-9-13	annotator2	3		однодневка
однодневка-22-13	однодневка-23-13	annotator2	4		однодневка
однодневка-20-13	однодневка-21-13	annotator2	4		однодневка
однодневка-38-13	однодневка-39-13	annotator2	4		однодневка
однодневка-48-13	однодневка-49-13	annotator2	2		однодневка
однодневка-32-13	однодневка-33-13	annotator2	4		однодневка
однодневка-46-13	однодневка-47-13	annotator2	3		однодневка
