lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
однодневка	NOUN	1918-1990	1	однодневка-0		"Противоправная схема включала в себя цепь сделок по купле-продаже акций ведущих российских компаний ("голубых фишек"), где продавцами и покупателями выступали оффшорные компании и фирмы-однодневки, подконтрольные ее организаторам", -- отметили в МВД.	-1:14	0:251
однодневка	NOUN	1991-2017	2	однодневка-1		В отличие от многих произведений документальной литературы, новеллы Атарова отнюдь не однодневки.	86:96	0:97
однодневка	NOUN	1991-2017	2	однодневка-2		-- Не имея на руках денег, -- считает генерал, -- их не отдашь проходимцам или фирмам-однодневкам, как это было раньше, когда под строительство жилья военнослужащим выдавались ссуды.	-1:16	0:182
однодневка	NOUN	1991-2017	2	однодневка-3		Население, крепко ударенное по голове и карманам финансовыми пирамидами и банками с запасом жизненных сил бабочки-однодневки, за последние пять лет прочно уверовало в то, что надежней места, чем "под подушкой", для сохранности капиталов просто не найти.	-1:16	0:253
однодневка	NOUN	1918-1990	1	однодневка-4		А до мотылька-однодневки, послужившего прообразом героя, никому и дела не было.	-1:17	0:79
однодневка	NOUN	1918-1990	1	однодневка-5		Я не могу сказать, что пишу однодневки или даже десятидневки.	28:38	0:61
однодневка	NOUN	1918-1990	1	однодневка-6		А если еще учесть, что, кроме крупных партий, появилась целая стая мелких однодневок типа "евро-азиатской партии", то действительно в этих дебрях заблудиться легко.	74:84	0:164
однодневка	NOUN	1991-2017	2	однодневка-7		А впрочем, сравнивать- к чему Срок жизни собак куда короче срока жизни людей, но тут уж природа, наверно, позаботилась, чтобы каждый живущий успел начать, продолжить и завершить свою судьбу- даже жук-плавунец, даже бабочка-однодневка, -- узнать детство, юность, зрелость и... и всегда всем ну вот вздоха еще одного не хватает.	-1:16	0:326
однодневка	NOUN	1991-2017	2	однодневка-8		А реалии сегодняшнего дня крепки -- не то что позавчерашние мутанты-однодневки, кооператоры и "новые русские".	-1:16	0:110
однодневка	NOUN	1991-2017	2	однодневка-9		Вселенной, для которой вся твоя жизнь с её счастьем, печалями и страстями -- мимолётней, чем для тебя самого -- жизнь бабочки-однодневки.	-1:16	0:137
однодневка	NOUN	1918-1990	1	однодневка-10		Будто стройка, стены завода не фундаментальные -- однодневки, одногодки.	50:60	0:72
однодневка	NOUN	1918-1990	1	однодневка-11		-- Вы, кажется, вообразили себе, будто вы что-то там значите Мы, мол, большие, а вы-де все копошитесь там внизу Мы, мол, каменные, а вы -- плоть гниющая Мы, дескать, во веки веков, а вы -- прах, однодневки Вот вам! -- он показал им дулю.	195:205	0:237
однодневка	NOUN	1918-1990	1	однодневка-12		В осенний день в подвальном помещении маленькой типографии, при потушенных во всем здании огнях, с кучкой рабочих-добровольцев я выпускаю последнюю однодневку "За свободу печати"; вся московская литературная знать дала статьи за полной подписью -- последнее, что мы можем сделать.	148:158	0:280
однодневка	NOUN	1918-1990	1	однодневка-13		В театре постоянно и быстро менялись главные режиссеры, ставились спектакли-однодневки, и зритель постепенно терял интерес к Ленкому.	-1:18	0:133
однодневка	NOUN	1991-2017	2	однодневка-14		В почтовых ящиках по-прежнему не иссякает бурный поток нелегальщины -- "грязных" прокламаций и газетенок-однодневок, а по домам и квартирам ходят ласково агитаторы,ненавязчиво зомбирующие обывателя на предмет любви к определенному кандидату.	-1:18	0:241
однодневка	NOUN	1991-2017	2	однодневка-15		В постсоветской России отличалось созданием мелких и дутых однодневок.	59:69	0:70
однодневка	NOUN	1991-2017	2	однодневка-16		В то же время есть и другие примеры, когда коммерсанты-"однодневки", скупив старую технику, подрегулируют ее, подкрасят и реализуют такие машины сельхозтоваропроизводителям по низкой цене, а затем их след пропадает.	-1:20	0:215
однодневка	NOUN	1991-2017	2	однодневка-17		Это иллюзия ограниченных людей, людей-однодневок, не знающих ни Чечни -- Кавказ это дело другое, -- ни законов общественного развития.	-1:14	0:134
однодневка	NOUN	1918-1990	1	однодневка-18		Ведь тот "произвол" и та звериная жестокость, которые в III веке по Р. X. сидели на римском троне, -- разве их не было в другие эпохи Разве блеск века Елизаветы английской или царя-солнца затмил бы настолько взор Плотина, чтоб он уверовал в благополучие человеческого существования Порфирий нам рассказал, что Плотин стыдился своего тела, -- неужели можно думать, что, живи он в эпоху, когда произвол облачался в видимость справедливости и законности, ему бы зависимость от тела казалась менее постыдной И он не стремился бы всеми силами к тому, чтобы , чтоб душа его была вне тела Или не прославлял бы (бесстрашие перед смертью) как высшую добродетель, (мужество) И не видел бы свой философский идеал в возможности взлететь над знанием (), потому что знание -- есть логос, а логос -- есть множественность А раз так, значит, и при Елизавете, и при Людовике XIV, и когда захотите забота и философский пафос Плотина сводились бы к тому, чтоб бежать, бежать без оглядки из того царства самоочевидностей, в котором на престоле сидят не императоры-однодневки -- как бы они ни назывались, а то "вечное", бесплотное, идеальное начало, которое с незапамятных времен называется "естественной необходимостью" ( ).	15:16	0:1203
однодневка	NOUN	1918-1990	1	однодневка-19		И летят, летят на огонь бабочки-однодневки.	-1:16	0:43
однодневка	NOUN	1991-2017	2	однодневка-20		Ведь я все-таки создавал фирмы-однодневки и осуществлял незаконные сделки.	-1:14	0:74
однодневка	NOUN	1991-2017	2	однодневка-21		Обычно этим нехитрым приемом пользуются фирмы-однодневки, которым легче сбыть свою продукцию, наштамповав ярлыков с громкими названиями.	-1:14	0:136
однодневка	NOUN	1918-1990	1	однодневка-22		Вексельные схемы осуществлялись через три, в настоящий момент уже не существующие фирмы-однодневки -- "Эколайн-К", "Индевер Пром" и "Юнисэт", которые держали счета в МДМ-банке.	66:68	0:176
однодневка	NOUN	1991-2017	2	однодневка-23		Серьезность ее существования в кинематографе, в театре, которая видна уже сегодня, исключает звездную болезнь бабочек-однодневок.	-1:16	0:129
