identifier1	identifier2	annotator	judgment	comment	lemma
орбита-40-13	орбита-41-13	annotator1	4		орбита
орбита-8-13	орбита-9-13	annotator1	4		орбита
орбита-22-13	орбита-23-13	annotator1	2		орбита
орбита-20-13	орбита-21-13	annotator1	4		орбита
орбита-18-13	орбита-19-13	annotator1	1		орбита
орбита-16-13	орбита-17-13	annotator1	1		орбита
орбита-110-13	орбита-111-13	annotator1	4		орбита
орбита-108-13	орбита-109-13	annotator1	1		орбита
орбита-0-13	орбита-1-13	annotator1	4		орбита
орбита-2-13	орбита-3-13	annotator1	1		орбита
орбита-4-13	орбита-5-13	annotator1	3		орбита
орбита-10-13	орбита-11-13	annotator1	1		орбита
орбита-6-13	орбита-7-13	annotator1	1		орбита
орбита-112-13	орбита-113-13	annotator1	4		орбита
орбита-118-13	орбита-119-13	annotator1	1		орбита
орбита-116-13	орбита-117-13	annotator1	3		орбита
орбита-24-13	орбита-25-13	annotator1	1		орбита
орбита-42-13	орбита-43-13	annotator1	4		орбита
орбита-54-13	орбита-55-13	annotator1	2		орбита
орбита-56-13	орбита-57-13	annotator1	4		орбита
орбита-58-13	орбита-59-13	annotator1	4		орбита
орбита-44-13	орбита-45-13	annotator1	4		орбита
орбита-52-13	орбита-53-13	annotator1	1		орбита
орбита-114-13	орбита-115-13	annotator1	4		орбита
орбита-50-13	орбита-51-13	annotator1	4		орбита
орбита-12-13	орбита-13-13	annotator1	4		орбита
орбита-94-13	орбита-95-13	annotator1	4		орбита
орбита-62-13	орбита-63-13	annotator1	2		орбита
орбита-66-13	орбита-67-13	annotator1	1		орбита
орбита-80-13	орбита-81-13	annotator1	1		орбита
орбита-82-13	орбита-83-13	annotator1	4		орбита
орбита-74-13	орбита-75-13	annotator1	1		орбита
орбита-78-13	орбита-79-13	annotator1	1		орбита
орбита-76-13	орбита-77-13	annotator1	2		орбита
орбита-68-13	орбита-69-13	annotator1	1		орбита
орбита-72-13	орбита-73-13	annotator1	1		орбита
орбита-84-13	орбита-85-13	annotator1	1		орбита
орбита-14-13	орбита-15-13	annotator1	1		орбита
орбита-70-13	орбита-71-13	annotator1	3		орбита
орбита-100-13	орбита-101-13	annotator1	4		орбита
орбита-102-13	орбита-103-13	annotator1	4		орбита
орбита-104-13	орбита-105-13	annotator1	4		орбита
орбита-106-13	орбита-107-13	annotator1	4		орбита
орбита-60-13	орбита-61-13	annotator1	1		орбита
орбита-96-13	орбита-97-13	annotator1	4		орбита
орбита-86-13	орбита-87-13	annotator1	4		орбита
орбита-88-13	орбита-89-13	annotator1	3		орбита
орбита-90-13	орбита-91-13	annotator1	3		орбита
орбита-92-13	орбита-93-13	annotator1	1		орбита
орбита-98-13	орбита-99-13	annotator1	1		орбита
орбита-48-13	орбита-49-13	annotator1	4		орбита
орбита-64-13	орбита-65-13	annotator1	1		орбита
орбита-38-13	орбита-39-13	annotator1	4		орбита
орбита-34-13	орбита-35-13	annotator1	4		орбита
орбита-30-13	орбита-31-13	annotator1	1		орбита
орбита-28-13	орбита-29-13	annotator1	4		орбита
орбита-46-13	орбита-47-13	annotator1	4		орбита
орбита-26-13	орбита-27-13	annotator1	1		орбита
орбита-32-13	орбита-33-13	annotator1	1		орбита
орбита-36-13	орбита-37-13	annotator1	3		орбита
орбита-48-13	орбита-49-13	annotator2	4		орбита
орбита-86-13	орбита-87-13	annotator2	4		орбита
орбита-40-13	орбита-41-13	annotator2	4		орбита
орбита-4-13	орбита-5-13	annotator2	1		орбита
орбита-106-13	орбита-107-13	annotator2	4		орбита
орбита-118-13	орбита-119-13	annotator2	3		орбита
орбита-102-13	орбита-103-13	annotator2	4		орбита
орбита-100-13	орбита-101-13	annotator2	1		орбита
орбита-32-13	орбита-33-13	annotator2	1		орбита
орбита-112-13	орбита-113-13	annotator2	4		орбита
орбита-14-13	орбита-15-13	annotator2	1		орбита
орбита-98-13	орбита-99-13	annotator2	1		орбита
орбита-114-13	орбита-115-13	annotator2	4		орбита
орбита-104-13	орбита-105-13	annotator2	4		орбита
орбита-2-13	орбита-3-13	annotator2	1		орбита
орбита-88-13	орбита-89-13	annotator2	4		орбита
орбита-96-13	орбита-97-13	annotator2	4		орбита
орбита-22-13	орбита-23-13	annotator2	4		орбита
орбита-8-13	орбита-9-13	annotator2	4		орбита
орбита-20-13	орбита-21-13	annotator2	4		орбита
орбита-10-13	орбита-11-13	annotator2	1		орбита
орбита-38-13	орбита-39-13	annotator2	4		орбита
орбита-12-13	орбита-13-13	annotator2	1		орбита
орбита-18-13	орбита-19-13	annotator2	1		орбита
орбита-36-13	орбита-37-13	annotator2	4		орбита
орбита-60-13	орбита-61-13	annotator2	3		орбита
орбита-16-13	орбита-17-13	annotator2	1		орбита
орбита-94-13	орбита-95-13	annotator2	4		орбита
орбита-92-13	орбита-93-13	annotator2	1		орбита
орбита-110-13	орбита-111-13	annotator2	4		орбита
орбита-90-13	орбита-91-13	annotator2	4		орбита
орбита-0-13	орбита-1-13	annotator2	4		орбита
орбита-34-13	орбита-35-13	annotator2	4		орбита
орбита-84-13	орбита-85-13	annotator2	1		орбита
орбита-26-13	орбита-27-13	annotator2	3		орбита
орбита-116-13	орбита-117-13	annotator2	1		орбита
орбита-24-13	орбита-25-13	annotator2	1		орбита
орбита-56-13	орбита-57-13	annotator2	4		орбита
орбита-52-13	орбита-53-13	annotator2	1		орбита
орбита-68-13	орбита-69-13	annotator2	1		орбита
орбита-108-13	орбита-109-13	annotator2	3		орбита
орбита-80-13	орбита-81-13	annotator2	1		орбита
орбита-78-13	орбита-79-13	annotator2	3		орбита
орбита-54-13	орбита-55-13	annotator2	1		орбита
орбита-46-13	орбита-47-13	annotator2	4		орбита
орбита-76-13	орбита-77-13	annotator2	1		орбита
орбита-44-13	орбита-45-13	annotator2	4		орбита
орбита-30-13	орбита-31-13	annotator2	1		орбита
орбита-82-13	орбита-83-13	annotator2	4		орбита
орбита-62-13	орбита-63-13	annotator2	1		орбита
орбита-58-13	орбита-59-13	annotator2	1		орбита
орбита-66-13	орбита-67-13	annotator2	1		орбита
орбита-28-13	орбита-29-13	annotator2	1		орбита
орбита-42-13	орбита-43-13	annotator2	4		орбита
орбита-50-13	орбита-51-13	annotator2	4		орбита
орбита-72-13	орбита-73-13	annotator2	1		орбита
орбита-6-13	орбита-7-13	annotator2	4		орбита
орбита-74-13	орбита-75-13	annotator2	4		орбита
орбита-70-13	орбита-71-13	annotator2	4		орбита
орбита-64-13	орбита-65-13	annotator2	1		орбита
орбита-64-13	орбита-65-13	annotator3	1		орбита
орбита-92-13	орбита-93-13	annotator3	1		орбита
орбита-80-13	орбита-81-13	annotator3	1		орбита
орбита-6-13	орбита-7-13	annotator3	1		орбита
орбита-60-13	орбита-61-13	annotator3	4		орбита
орбита-30-13	орбита-31-13	annotator3	1		орбита
орбита-94-13	орбита-95-13	annotator3	4		орбита
орбита-10-13	орбита-11-13	annotator3	2		орбита
орбита-12-13	орбита-13-13	annotator3	3		орбита
орбита-8-13	орбита-9-13	annotator3	4		орбита
орбита-78-13	орбита-79-13	annotator3	3		орбита
орбита-66-13	орбита-67-13	annotator3	1		орбита
