lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
орбита	NOUN	1991-2017	2	орбита-0		 будут способны доставлять на околоземную орбиту мини-спутники, служащие, например, для поддержания мобильной связи.	42:48	0:116
орбита	NOUN	1991-2017	2	орбита-1		А в него непременно включить положение "о неприкосновенности космоса", запретив создание средств поражения спутников, находящихся на орбитах.	133:140	0:141
орбита	NOUN	1918-1990	1	орбита-2		"Русским Страховым Центром" осуществлено страхование вывода на орбиту первого элемента международной космической станции -- функционального грузового блока "Заря".	63:69	0:163
орбита	NOUN	1991-2017	2	орбита-3		Создавались и внешние политические осложнения: Австрия все более и более вырывалась из орбиты германской политики, граф Чернин носился уже с планом австро-польского единения, ставившего необыкновенно остро вопрос о Познани и польской Силезии.	87:93	0:242
орбита	NOUN	1991-2017	2	орбита-4		, который втягивал в орбиту деятельности нужных людей со всего Союза и всегда заканчивался конкретными решениями.	21:27	0:113
орбита	NOUN	1991-2017	2	орбита-5		Солнце не стоит на месте, оно спешит, несется по орбите вокруг центра нашей Галактики, преодолевая ежесекундно больше 200 км.	49:55	0:125
орбита	NOUN	1918-1990	1	орбита-6		-- Как вы оцениваете роль машиностроительной отрасли в экономике Кузбасса -- Сегодня в мире идут процессы, которые вовлекают в свою орбиту и наш край, и в особенности это факт предстоящего вступления России в ВТО.	132:138	0:213
орбита	NOUN	1991-2017	2	орбита-7		Иван Кузьмич даже перекрестился -- ему примнилось, что в ягодного уполномоченного вошел бес, настолько нечеловеческими были глаза, выкаченные из орбит.	145:150	0:151
орбита	NOUN	1991-2017	2	орбита-8		-- Ты думаешь, это имеет значение на околоземной орбите -- Ну, не знаю.	49:55	0:71
орбита	NOUN	1991-2017	2	орбита-9		Вращаясь же вокруг вертикальной оси, они еще и передвигаются по кругу -- по своей орбите вокруг Солнца.	82:88	0:103
орбита	NOUN	1918-1990	1	орбита-10		.. корабль вместо торможения, наоборот, получил дополнительную скорость и перешел на другую орбиту.	92:98	0:99
орбита	NOUN	1918-1990	1	орбита-11		А в момент испускания он сваливается вниз, и его подхватывает другая -- более близкая к ядру -- орбита.	96:102	0:103
орбита	NOUN	1918-1990	1	орбита-12		А почему квант А почему устойчивая орбита Почему нельзя, в соответствии с новыми теориями, узнать, где находится электрон, если известна его скорость, и наоборот Каковы размеры электрона Подсчитано, что он, во всяком случае, в миллион раз меньше атома.	35:41	0:252
орбита	NOUN	1918-1990	1	орбита-13		Изучение сатурнианских колец привело ученых к заключению, что они состоят из небольших каменных обломков и частиц космической пыли, обращающихся по орбитам вокруг Сатурна.	148:155	0:171
орбита	NOUN	1918-1990	1	орбита-14		А через государственные займы, которые так щедро организовывала французская буржуазия, царская Россия всецело втягивалась в орбиту французской политики, которой приносились в жертву насущнейшие интересы народных масс.	124:130	0:217
орбита	NOUN	1918-1990	1	орбита-15		Кеплер, который пришел к выводу, что планеты движутся вовсе не по круговым орбитам, как полагали со времен древних, а по эллипсам.	75:82	0:130
орбита	NOUN	1991-2017	2	орбита-16		Брови Короткова поползли вверх, глаза от изумления, казалось, вылезли из орбит, даже рот приоткрылся.	73:78	0:101
орбита	NOUN	1991-2017	2	орбита-17		Эти звезды меняют свои орбиты и зачастую образуют протяженный размытый диск вокруг галактики-победительницы.	23:29	0:108
