lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
осуществимый	ADJ	1991-2017	2	осуществимый-0		"Тема утопическая, но возможная и осуществимая -- изменить и регулировать по желанию климат родного шара", -- утверждал Алексей Толстой в 1934-м.	34:46	0:145
осуществимый	ADJ	1991-2017	2	осуществимый-1		Таким образом, рассматриваемый комплекс должен включать все три направления в необходимой и в то же время осуществимой степени.	106:118	0:127
осуществимый	ADJ	1918-1990	1	осуществимый-2		-- Если только она осуществима с технической стороны.	19:30	0:53
осуществимый	ADJ	1918-1990	1	осуществимый-3		Неужели индустрией и сельским хозяйством исчерпывается весь комплекс нашей хозяйственной и государственной жизни А громадная, имеющая неизмеримое будущее, область коммунального хозяйства А медицина Санитария Вопросы рациональной организации финансовых, торговых, распределительных, планирующих и учитывающих аппаратов Работа в области охраны труда, общественной санитарии, борьбы с детской смертностью и беспризорностью (острая сегодняшняя задача), работа по кооперации, сберегательные и страховые кассы, статистика и многие отрасли общественной работы дают вполне реальную, вполне осуществимую и общественно-необходимую базу для построения и городской, "буржуйской", по аттестации комсомольцев, школы, дают полную возможность и в ней осуществить те же принципы единой трудовой школы, выполнять те же единые задания.	582:594	0:816
осуществимый	ADJ	1918-1990	1	осуществимый-4		-- Но разве это осуществимо -- Конечно.	16:27	0:39
осуществимый	ADJ	1991-2017	2	осуществимый-5		Необходимо, и это вполне осуществимо, чтобы система государственного управления была построена на основе целесообразности и общей выгоды.	25:36	0:137
осуществимый	ADJ	1918-1990	1	осуществимый-6		-- Технически это вполне осуществимо.	25:36	0:37
осуществимый	ADJ	1991-2017	2	осуществимый-7		Конечно, есть в Добротолюбии вещи, которые трудно осуществимы без организованного аскетизма; но, как Григорий Сковорода говорил, замечательно устроено в жизни то, что все сложное ненужно и все нужное несложно.	50:61	0:209
осуществимый	ADJ	1918-1990	1	осуществимый-8		-- Это осуществимо только при создании сильного и дееспособного министерства внутренних дел республики.	7:18	0:103
осуществимый	ADJ	1991-2017	2	осуществимый-9		На прямых параллельных путях это невозможно, зато вполне осуществимо на концентрических окружностях.	57:68	0:100
осуществимый	ADJ	1991-2017	2	осуществимый-10		-- Это желание осуществимо, -- сказал я.	15:26	0:40
осуществимый	ADJ	1991-2017	2	осуществимый-11		Это вполне осуществимо, то есть реально.	11:22	0:40
