identifier1	identifier2	annotator	judgment	comment	lemma
партиец-0	партиец-1	annotator1	4		партиец
партиец-0	партиец-1	annotator2	4		партиец
партиец-0	партиец-1	annotator3	4		партиец
партиец-0	партиец-1	annotator4	4		партиец
партиец-0	партиец-1	annotator5	3		партиец
партиец-2	партиец-3	annotator1	4		партиец
партиец-2	партиец-3	annotator2	4		партиец
партиец-2	партиец-3	annotator3	4		партиец
партиец-2	партиец-3	annotator4	4		партиец
партиец-2	партиец-3	annotator5	4		партиец
партиец-4	партиец-5	annotator1	4		партиец
партиец-4	партиец-5	annotator2	4		партиец
партиец-4	партиец-5	annotator3	4		партиец
партиец-4	партиец-5	annotator4	4		партиец
партиец-4	партиец-5	annotator5	4		партиец
партиец-6	партиец-7	annotator1	4		партиец
партиец-6	партиец-7	annotator2	4		партиец
партиец-6	партиец-7	annotator3	4		партиец
партиец-6	партиец-7	annotator4	4		партиец
партиец-6	партиец-7	annotator5	4		партиец
партиец-8	партиец-9	annotator1	3		партиец
партиец-8	партиец-9	annotator2	4		партиец
партиец-8	партиец-9	annotator3	4		партиец
партиец-8	партиец-9	annotator4	4		партиец
партиец-8	партиец-9	annotator5	4		партиец
партиец-10	партиец-11	annotator1	4		партиец
партиец-10	партиец-11	annotator2	4		партиец
партиец-10	партиец-11	annotator3	1		партиец
партиец-10	партиец-11	annotator4	2		партиец
партиец-10	партиец-11	annotator5	0		партиец
партиец-12	партиец-13	annotator1	4		партиец
партиец-12	партиец-13	annotator2	3		партиец
партиец-12	партиец-13	annotator3	4		партиец
партиец-12	партиец-13	annotator4	4		партиец
партиец-12	партиец-13	annotator5	2		партиец
партиец-14	партиец-15	annotator1	3		партиец
партиец-14	партиец-15	annotator2	3		партиец
партиец-14	партиец-15	annotator3	4		партиец
партиец-14	партиец-15	annotator4	4		партиец
партиец-14	партиец-15	annotator5	3		партиец
партиец-16	партиец-17	annotator1	4		партиец
партиец-16	партиец-17	annotator2	4		партиец
партиец-16	партиец-17	annotator3	3		партиец
партиец-16	партиец-17	annotator4	4		партиец
партиец-16	партиец-17	annotator5	4		партиец
партиец-18	партиец-19	annotator1	4		партиец
партиец-18	партиец-19	annotator2	4		партиец
партиец-18	партиец-19	annotator3	4		партиец
партиец-18	партиец-19	annotator4	4		партиец
