lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
партиец	NOUN	1991-2017	2	партиец-0		-- И некоторые партийцы успешно разыгрывают религиозную карту, используя служителей культа в качестве агитаторов и пропагандистов".	15:23	0:131
партиец	NOUN	1991-2017	2	партиец-1		Потом я задал глупый вопрос: -- А эти -- Коля и референт -- они партийцы.	64:72	0:73
партиец	NOUN	1918-1990	1	партиец-2		-- Партийная, -- откликнулся кто-то из партийцев.	39:48	0:49
партиец	NOUN	1991-2017	2	партиец-3		Наоборот партийцы, опережающие процесс перерождения партии, для России и для борьбы за Россию не пропадут.	9:17	0:106
партиец	NOUN	1918-1990	1	партиец-4		А одно я хорошо знаю: партиец ты, комсомолец, -- а должен шевелить собственными мозгами и справляться с собственным душевным голосом.	22:29	0:133
партиец	NOUN	1918-1990	1	партиец-5		-- Так ты уже, значит, партиец Можно поздравить -- Нет, я только комсомолец, -- ответил Семка, -- но совесть и у комсомольца партийная.	23:30	0:135
партиец	NOUN	1918-1990	1	партиец-6		А тут еще энергичная загробная ревность -- встречный взгляд выбритого партийца.	70:78	0:79
партиец	NOUN	1991-2017	2	партиец-7		Я мимоходом записал и еще кое-что: среди партийцев прогульщиков четыре процента по одному дню в месяц н опаздывают тоже четыре процента.	41:50	0:136
партиец	NOUN	1918-1990	1	партиец-8		А чтобы еще пуще на весь мир раздуть, такая сила есть, это мы с вами -- партийцы!	72:80	0:81
партиец	NOUN	1918-1990	1	партиец-9		В общем, руководство пролетариата чувствуется, но это нужно было бы гораздо ярче подчеркнуть живыми образами партийцев.	109:118	0:119
партиец	NOUN	1918-1990	1	партиец-10		Более же молодые партийцы только расхлебывают кашу, заваренную их отцами и дедами.	17:25	0:82
