identifier1	identifier2	annotator	judgment	comment	lemma
перестройка-50-13	перестройка-51-13	annotator1	2		перестройка
перестройка-54-13	перестройка-55-13	annotator1	4		перестройка
перестройка-72-13	перестройка-73-13	annotator1	3		перестройка
перестройка-44-13	перестройка-45-13	annotator1	4		перестройка
перестройка-110-13	перестройка-111-13	annotator1	1		перестройка
перестройка-74-13	перестройка-75-13	annotator1	1		перестройка
перестройка-108-13	перестройка-109-13	annotator1	4		перестройка
перестройка-0-13	перестройка-1-13	annotator1	4		перестройка
перестройка-106-13	перестройка-107-13	annotator1	2		перестройка
перестройка-36-13	перестройка-37-13	annotator1	1		перестройка
перестройка-76-13	перестройка-77-13	annotator1	1		перестройка
перестройка-112-13	перестройка-113-13	annotator1	1		перестройка
перестройка-88-13	перестройка-89-13	annotator1	1		перестройка
перестройка-70-13	перестройка-71-13	annotator1	1		перестройка
перестройка-78-13	перестройка-79-13	annotator1	1		перестройка
перестройка-118-13	перестройка-119-13	annotator1	4		перестройка
перестройка-38-13	перестройка-39-13	annotator1	3		перестройка
перестройка-116-13	перестройка-117-13	annotator1	3		перестройка
перестройка-24-13	перестройка-25-13	annotator1	1		перестройка
перестройка-114-13	перестройка-115-13	annotator1	4		перестройка
перестройка-56-13	перестройка-57-13	annotator1	4		перестройка
перестройка-86-13	перестройка-87-13	annotator1	1		перестройка
перестройка-62-13	перестройка-63-13	annotator1	4		перестройка
перестройка-46-13	перестройка-47-13	annotator1	4		перестройка
перестройка-20-13	перестройка-21-13	annotator1	1		перестройка
перестройка-60-13	перестройка-61-13	annotator1	2		перестройка
перестройка-18-13	перестройка-19-13	annotator1	1		перестройка
перестройка-80-13	перестройка-81-13	annotator1	1		перестройка
перестройка-48-13	перестройка-49-13	annotator1	4		перестройка
перестройка-16-13	перестройка-17-13	annotator1	1		перестройка
перестройка-14-13	перестройка-15-13	annotator1	1		перестройка
перестройка-82-13	перестройка-83-13	annotator1	4		перестройка
перестройка-22-13	перестройка-23-13	annotator1	4		перестройка
перестройка-32-13	перестройка-33-13	annotator1	2		перестройка
перестройка-58-13	перестройка-59-13	annotator1	1		перестройка
перестройка-84-13	перестройка-85-13	annotator1	3		перестройка
перестройка-52-13	перестройка-53-13	annotator1	4		перестройка
перестройка-30-13	перестройка-31-13	annotator1	1		перестройка
перестройка-28-13	перестройка-29-13	annotator1	4		перестройка
перестройка-26-13	перестройка-27-13	annotator1	1		перестройка
перестройка-10-13	перестройка-11-13	annotator1	1		перестройка
перестройка-34-13	перестройка-35-13	annotator1	1		перестройка
перестройка-40-13	перестройка-41-13	annotator1	4		перестройка
перестройка-96-13	перестройка-97-13	annotator1	4		перестройка
перестройка-100-13	перестройка-101-13	annotator1	4		перестройка
перестройка-42-13	перестройка-43-13	annotator1	1		перестройка
перестройка-90-13	перестройка-91-13	annotator1	2		перестройка
перестройка-102-13	перестройка-103-13	annotator1	1		перестройка
перестройка-12-13	перестройка-13-13	annotator1	2		перестройка
перестройка-4-13	перестройка-5-13	annotator1	1		перестройка
перестройка-68-13	перестройка-69-13	annotator1	1		перестройка
перестройка-2-13	перестройка-3-13	annotator1	2		перестройка
перестройка-94-13	перестройка-95-13	annotator1	3		перестройка
перестройка-66-13	перестройка-67-13	annotator1	1		перестройка
перестройка-92-13	перестройка-93-13	annotator1	4		перестройка
перестройка-6-13	перестройка-7-13	annotator1	4		перестройка
перестройка-8-13	перестройка-9-13	annotator1	4		перестройка
перестройка-98-13	перестройка-99-13	annotator1	4		перестройка
перестройка-64-13	перестройка-65-13	annotator1	3		перестройка
перестройка-104-13	перестройка-105-13	annotator1	4		перестройка
перестройка-28-13	перестройка-29-13	annotator2	4		перестройка
перестройка-52-13	перестройка-53-13	annotator2	4		перестройка
перестройка-64-13	перестройка-65-13	annotator2	4		перестройка
перестройка-84-13	перестройка-85-13	annotator2	1		перестройка
перестройка-46-13	перестройка-47-13	annotator2	4		перестройка
перестройка-8-13	перестройка-9-13	annotator2	4		перестройка
перестройка-6-13	перестройка-7-13	annotator2	4		перестройка
перестройка-96-13	перестройка-97-13	annotator2	4		перестройка
перестройка-102-13	перестройка-103-13	annotator2	1		перестройка
перестройка-26-13	перестройка-27-13	annotator2	2		перестройка
перестройка-22-13	перестройка-23-13	annotator2	4		перестройка
перестройка-30-13	перестройка-31-13	annotator2	2		перестройка
перестройка-18-13	перестройка-19-13	annotator2	3		перестройка
перестройка-20-13	перестройка-21-13	annotator2	3		перестройка
перестройка-58-13	перестройка-59-13	annotator2	3		перестройка
перестройка-82-13	перестройка-83-13	annotator2	4		перестройка
перестройка-54-13	перестройка-55-13	annotator2	4		перестройка
перестройка-70-13	перестройка-71-13	annotator2	1		перестройка
перестройка-100-13	перестройка-101-13	annotator2	4		перестройка
перестройка-14-13	перестройка-15-13	annotator2	4		перестройка
перестройка-48-13	перестройка-49-13	annotator2	4		перестройка
