lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
перестройка	NOUN	1991-2017	2	перестройка-0		-- Перестройка его из подвала освободила, а он о ней даже и не слышал.	3:14	0:70
перестройка	NOUN	1991-2017	2	перестройка-1		В тот же день в Ереване другой секретарь ЦК -- Александр Яковлев -- объявил, что право народов на самоопределение -- главный принцип перестройки.	133:144	0:145
перестройка	NOUN	1918-1990	1	перестройка-2		-- Но нужна демократическая перестройка общества.	28:39	0:49
перестройка	NOUN	1918-1990	1	перестройка-3		(Добавление 1987 г. Я надеюсь, что в результате "перестройки" подобные проблемы будут решаться более прямым способом -- без несуществующих работников и формальных нарушений.	49:60	0:173
перестройка	NOUN	1918-1990	1	перестройка-4		2.5 тонны, требует перестройки Перестройка моста под нагрузку Н-8 20.10 Инженерн. управление 8 Сиротинская паром - 6 т. на веслах Ремонт парома, исправление подходов, усиление парома до 10 тонн.	19:30	0:194
перестройка	NOUN	1918-1990	1	перестройка-5		Основной причиной этого является отсутствие перестройки в самой партии.	44:55	0:71
перестройка	NOUN	1918-1990	1	перестройка-6		Перестройка пошла по ложному пути.	0:11	0:34
перестройка	NOUN	1991-2017	2	перестройка-7		Слово "перестройка" впервые произнесено было по-русски.	7:18	0:55
перестройка	NOUN	1991-2017	2	перестройка-8		А один, мой дядька Валентин Карпович Месяц, был министром сельского хозяйства СССР, а потом во время перестройки, при М.С. Горбачеве, первым секретарем Московского обкома партии.	101:112	0:178
перестройка	NOUN	1991-2017	2	перестройка-9		Нет, как раз эта осмотрительность и способность предвидеть хотя бы личный ущерб была у интеллигенции отключена в ходе перестройки.	118:129	0:130
перестройка	NOUN	1918-1990	1	перестройка-10		А потом -- с середины семидесятых и до начала перестройки -- эти успехи растерять, потерпеть ряд жестоких неудач.	46:57	0:113
перестройка	NOUN	1991-2017	2	перестройка-11		Дворец поэтому нуждался в перестройке, которая была поручена архитектору Щуко.	26:37	0:78
перестройка	NOUN	1918-1990	1	перестройка-12		В России ускорение и перестройка.	21:32	0:33
перестройка	NOUN	1918-1990	1	перестройка-13		Таким образом, сейчас в городе полным ходом идут возведение объектов и социальная перестройка.	82:93	0:94
перестройка	NOUN	1991-2017	2	перестройка-14		В основу ее реализации положена структурная перестройка системы организации психиатрической помощи, предусматривающая изменение приоритетов, объема и качества лечебно-диагностического процесса и социально-реабилитационных мероприятий.	44:55	0:234
перестройка	NOUN	1991-2017	2	перестройка-15		Крупные хромосомные перестройки, такие как слияние двух хромосом в одну или, наоборот, разделение, в пределах одного вида встречаются реже, чем при межвидовых сравнениях, но все же встречаются.	20:31	0:193
перестройка	NOUN	1918-1990	1	перестройка-16		В первые годы царствования Людовика VII у Сугерия появляется много свободного времени, и в 1140 г. он начинает перестройку церкви в Сен-Дени.	111:122	0:141
перестройка	NOUN	1991-2017	2	перестройка-17		А впрочем, чего обижаться: на дворе свобода, блин, перестройка, благодать!	51:62	0:74
перестройка	NOUN	1991-2017	2	перестройка-18		В принятых вчера рекомендациях парламенту предложено вводить 100-процентную оплату услуг населением не ранее 2008 года, а правительству до этого провести полную структурную перестройку в ЖКХ с изысканием всех внутренних финансовых источников.	173:184	0:242
перестройка	NOUN	1991-2017	2	перестройка-19		Это были проблемы, возникшие при перестройке системы учета и статистики, создании новой информационной базы для СНС и проведении экспериментальных расчетов для перехода от системы БНХ к Системе национальных счетов.	33:44	0:214
перестройка	NOUN	1918-1990	1	перестройка-20		В этом -- основное "внутреннее противоречие" регенеративного приемника: с одной стороны, желательно увеличение обратной связи почти до "порога генерации"; с другой же стороны малейшее случайное повышение накала или перестройка на иную волну может вызвать начало генерации, и отрывок принимаемой речи будет потерян.	215:226	0:314
перестройка	NOUN	1918-1990	1	перестройка-21		Завершается перестройка органов государственной власти на основе Сталинской Конституции.	12:23	0:88
перестройка	NOUN	1991-2017	2	перестройка-22		Взлет активности нового генерального совпал с началом перестройки.	54:65	0:66
перестройка	NOUN	1991-2017	2	перестройка-23		Но в любом случае я бы забросил в мусорную корзину все мои колебания, сомнения, переживания, исходящие из чувства почти рабской лояльности к Горбачеву, и начал бы действовать без оглядки, соответственно тому, как я понимал обстановку и интересы Перестройки.	245:256	0:257
перестройка	NOUN	1918-1990	1	перестройка-24		Вопрос о соотношении психологии с естественными науками и философией встал особенно остро в 1920-е гг. в связи с необходимостью перестройки психологии на основе марксизма.	128:139	0:171
перестройка	NOUN	1991-2017	2	перестройка-25		Против этого могут выступать только бесталанные, а я обращаюсь ко всем одаренным: не теряйте времени зря, творите больше хороших дел, активно участвуйте в перестройке!	155:166	0:167
перестройка	NOUN	1918-1990	1	перестройка-26		Выбор есть всегда Среди многочисленных предложений, высказанных читателями при ответе на анкету "Горизонта", наиболее настойчивым было: организовать на страницах журнала встречи с писателями, деятелями искусства -- теми, кто сегодня находится на переднем крае перестройки.	260:271	0:272
перестройка	NOUN	1918-1990	1	перестройка-27		Макаров высказывал уверенность, что перестройка носовой части "Ермака" обеспечит ему успех.	36:47	0:91
перестройка	NOUN	1918-1990	1	перестройка-28		Гитлер носится с планами коренной административной перестройки своей "третьей империи".	51:62	0:87
